Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2000-02-16,AAPL,0.0,0.0,1.0,0.0
2000-03-14,AAPL,0.238,0.366,0.396,-0.3182
2000-04-03,AAPL,0.0,0.0,1.0,0.0
2000-04-24,AAPL,0.0,0.0,1.0,0.0
2000-05-16,AAPL,0.0,0.0,1.0,0.0
2000-05-19,AAPL,0.0,0.462,0.538,-0.7184
2000-08-17,AAPL,0.483,0.0,0.517,0.4215
2000-08-21,AAPL,0.0,0.0,1.0,0.0
2001-06-08,AAPL,0.208,0.198,0.594,0.0258
2001-09-26,AAPL,0.0,0.0,1.0,0.0
2001-10-03,AAPL,0.0,0.294,0.706,-0.3612
2001-10-04,AAPL,0.0,0.32,0.68,-0.5106
2001-10-25,AAPL,0.0,0.0,1.0,0.0
2001-11-12,AAPL,0.0,0.278,0.722,-0.4019
2001-11-16,AAPL,0.0,0.0,1.0,0.0
2001-12-04,AAPL,0.0,0.0,1.0,0.0
2002-01-07,AAPL,0.0,0.0,1.0,0.0
2002-01-11,AAPL,0.0,0.0,1.0,0.0
2002-03-05,AAPL,0.0,0.383,0.617,-0.4767
2002-03-20,AAPL,0.0,0.0,1.0,0.0
2002-04-03,AAPL,0.0,0.0,1.0,0.0
2002-06-26,AAPL,0.0,0.0,1.0,0.0
2002-08-07,AAPL,0.0,0.0,1.0,0.0
2002-08-23,AAPL,0.0,0.54,0.46,-0.6908
2002-12-30,AAPL,0.0,0.0,1.0,0.0
2003-01-08,AAPL,0.0,0.0,1.0,0.0
2003-01-16,AAPL,0.0,0.0,1.0,0.0
2003-01-27,AAPL,0.0,0.0,1.0,0.0
2003-02-10,AAPL,0.0,0.0,1.0,0.0
2003-02-13,AAPL,0.0,0.7590000000000001,0.241,-0.743
2003-02-28,AAPL,0.0,0.344,0.656,-0.2732
2003-03-06,AAPL,0.0,0.0,1.0,0.0
2003-03-27,AAPL,0.0,0.0,1.0,0.0
2003-04-03,AAPL,0.0,0.0,1.0,0.0
2003-04-04,AAPL,0.0,0.0,1.0,0.0
2003-04-09,AAPL,0.0,0.0,1.0,0.0
2003-05-14,AAPL,0.615,0.0,0.38499999999999995,0.4927
2003-06-09,AAPL,0.0,0.0,1.0,0.0
2003-06-20,AAPL,0.0,0.0,1.0,0.0
2003-06-30,AAPL,0.268,0.102,0.8569938650306749,0.4767
2003-07-14,AAPL,0.0,0.0,1.0,0.0
2003-08-12,AAPL,0.0,0.383,0.617,-0.4767
2003-09-18,AAPL,0.0,0.0,1.0,0.0
2003-09-23,AAPL,0.0,0.0,1.0,0.0
2003-10-14,AAPL,0.0,0.351,0.649,-0.4019
2003-10-20,AAPL,0.0,0.0,1.0,0.0
2003-11-17,AAPL,0.0,0.342,0.658,-0.3818
2003-11-25,AAPL,0.0,0.0,1.0,0.0
2003-12-15,AAPL,0.262,0.0,0.738,0.4939
2004-01-02,AAPL,0.0,0.0,1.0,0.0
2004-01-06,AAPL,0.0,0.0,1.0,0.0
2004-01-08,AAPL,0.0,0.0,1.0,0.0
2004-01-09,AAPL,0.0,0.0,1.0,0.0
2004-01-16,AAPL,0.0,0.0,1.0,0.0
2004-02-25,AAPL,0.0,0.0,1.0,0.0
2004-03-02,AAPL,0.38499999999999995,0.0,0.615,0.3612
2004-03-25,AAPL,0.0,0.0,1.0,0.0
2004-03-30,AAPL,0.0,0.0,1.0,0.0
2004-04-19,AAPL,0.0,0.0,1.0,0.0
2004-04-28,AAPL,0.0,0.0,1.0,0.0
2004-04-29,AAPL,0.375,0.0,0.625,0.34
2004-07-23,AAPL,0.0,0.58,0.41999999999999993,-0.7844999999999999
2004-08-05,AAPL,0.39,0.0,0.8522360248447206,0.4939
2004-08-06,AAPL,0.0,0.189,0.811,-0.10269999999999999
2004-09-17,AAPL,0.0,0.43799999999999994,0.562,-0.5994
2004-09-28,AAPL,0.211,0.0,0.7890000000000001,0.34
2004-10-20,AAPL,0.225,0.0,0.775,0.4404
2004-12-21,AAPL,0.0,0.0,1.0,0.0
2005-01-06,AAPL,0.0,0.239,0.8967183418512208,-0.296
2005-01-11,AAPL,0.0,0.0,1.0,0.0
2005-01-14,AAPL,0.0,0.0,1.0,0.0
2005-02-23,AAPL,0.0,0.375,0.8557692307692307,-0.2023
2005-03-21,AAPL,0.0,0.0,1.0,0.0
2005-04-28,AAPL,0.0,0.0,1.0,0.0
2005-05-11,AAPL,0.6,0.0,0.4000000000000001,0.7184
2005-06-10,AAPL,0.0,0.341,0.659,-0.4767
2005-07-07,AAPL,0.0,0.0,1.0,0.0
2005-07-28,AAPL,0.0,0.197,0.803,-0.4019
2005-09-09,AAPL,0.0,0.149,0.851,-0.10269999999999999
2005-10-19,AAPL,0.0,0.149,0.851,-0.10269999999999999
2005-10-24,AAPL,0.0,0.328,0.672,-0.5994
2005-11-10,AAPL,0.0,0.38499999999999995,0.615,-0.3612
2005-12-23,AAPL,0.0,0.0,1.0,0.0
2006-01-17,AAPL,0.0,0.0,1.0,0.0
2006-01-19,AAPL,0.0,0.35500000000000004,0.8608054711246201,-0.296
2006-02-01,AAPL,0.0,0.0,1.0,0.0
2006-02-02,AAPL,0.244,0.0,0.756,0.4404
2006-02-14,AAPL,0.0,0.0,1.0,0.0
2006-02-17,AAPL,0.22400000000000003,0.264,0.9005350318471338,-0.121
2006-02-23,AAPL,0.0,0.143,0.9340059235325795,-0.128
2006-02-28,AAPL,0.0,0.216,0.9391724137931036,-0.296
2006-03-13,AAPL,0.0,0.0,1.0,0.0
2006-03-21,AAPL,0.0,0.0,1.0,0.0
2006-04-07,AAPL,0.0,0.0,1.0,0.0
2006-07-05,AAPL,0.0,0.0,1.0,0.0
2006-08-11,AAPL,0.0,0.34,0.66,-0.5574
2006-08-21,AAPL,0.0,0.0,1.0,0.0
2006-09-14,AAPL,0.0,0.39,0.61,-0.4939
2006-10-12,AAPL,0.515,0.297,0.6140016835016835,0.06269999999999998
2006-10-17,AAPL,0.213,0.292,0.7495872909698996,-0.2843
2006-10-31,AAPL,0.0,0.0,1.0,0.0
2006-12-26,AAPL,0.116,0.259,0.625,-0.3818
2007-01-04,AAPL,0.0,0.0,1.0,0.0
2007-01-11,AAPL,0.0,0.0,1.0,0.0
2007-01-18,AAPL,0.0,0.199,0.9430921099607283,-0.357
2007-02-07,AAPL,0.0,0.0,1.0,0.0
2007-02-12,AAPL,0.0,0.0,1.0,0.0
2007-03-19,AAPL,0.0,0.0,1.0,0.0
2007-08-08,AAPL,0.0,0.0,1.0,0.0
2007-08-22,AAPL,0.0,0.0,1.0,0.0
2007-08-29,AAPL,0.0,0.0,1.0,0.0
2007-09-10,AAPL,0.0,0.0,1.0,0.0
2007-10-22,AAPL,0.552,0.0,0.44800000000000006,0.8126
2007-11-07,AAPL,0.259,0.0,0.7410000000000001,0.4215
2007-12-11,AAPL,0.0,0.20299999999999999,0.797,-0.4215
2007-12-12,AAPL,0.0,0.0,1.0,0.0
2008-01-02,AAPL,0.0,0.0,1.0,0.0
2008-01-29,AAPL,0.0,0.31,0.69,-0.4019
2008-03-06,AAPL,0.0,0.0,1.0,0.0
2008-03-07,AAPL,0.302,0.0,0.698,0.5994
2008-03-12,AAPL,0.0,0.333,0.667,-0.5423
2008-03-28,AAPL,0.0,0.0,1.0,0.0
2008-06-27,AAPL,0.132,0.272,0.596,-0.4767
2008-07-14,AAPL,0.182,0.0,0.818,0.25
2008-07-23,AAPL,0.0,0.0,1.0,0.0
2008-07-28,AAPL,0.0,0.0,1.0,0.0
2008-08-09,AAPL,0.0,0.0,1.0,0.0
2008-08-13,AAPL,0.0,0.167,0.833,-0.4215
2008-08-23,AAPL,0.0,0.0,1.0,0.0
2008-08-26,AAPL,0.0,0.0,1.0,0.0
2008-10-07,AAPL,0.0,0.0,1.0,0.0
2008-10-20,AAPL,0.183,0.0,0.817,0.4003
2008-10-24,AAPL,0.0,0.0,1.0,0.0
2008-11-11,AAPL,0.0,0.255,0.745,-0.34
2008-11-26,AAPL,0.0,0.268,0.732,-0.5106
2008-12-08,AAPL,0.163,0.22400000000000003,0.612,-0.22629999999999997
2008-12-11,AAPL,0.0,0.262,0.738,-0.8625
2009-02-24,AAPL,0.0,0.0,1.0,0.0
2009-03-06,AAPL,0.047,0.072,0.881,-0.2256
2009-03-09,AAPL,0.0,0.255,0.745,-0.5859
2009-03-15,AAPL,0.07,0.116,0.813,-0.2732
2009-03-25,AAPL,0.0,0.223,0.777,-0.8873
2009-04-17,AAPL,0.0,0.0,1.0,0.0
2009-04-26,AAPL,0.0,0.0,1.0,0.0
2009-05-05,AAPL,0.0,0.161,0.839,-0.7269
2009-05-19,AAPL,0.0,0.259,0.7410000000000001,-0.5423
2009-05-22,AAPL,0.0,0.13,0.87,-0.5574
2009-06-16,AAPL,0.073,0.383,0.543,-0.9323
2009-06-17,AAPL,0.0,0.271,0.729,-0.832
2009-07-20,AAPL,0.0,0.537,0.463,-0.7003
2009-08-17,AAPL,0.05000000000000001,0.0,0.9756410256410256,0.3612
2009-08-18,AAPL,0.148,0.0,0.852,0.3818
2009-08-23,AAPL,0.0,0.0,1.0,0.0
2009-09-08,AAPL,0.091,0.155,0.755,-0.1779
2009-09-24,AAPL,0.078,0.207,0.715,-0.4153
2009-10-01,AAPL,0.0,0.078,0.922,-0.5106
2009-10-07,AAPL,0.0,0.265,0.735,-0.7578999999999999
2009-10-17,AAPL,0.0,0.236,0.764,-0.7783000000000001
2009-10-18,AAPL,0.124,0.155,0.722,-0.1531
2009-10-28,AAPL,0.13,0.173,0.697,-0.3089
2009-10-30,AAPL,0.0,0.198,0.802,-0.4939
2009-11-11,AAPL,0.084,0.073,0.842,0.0772
2009-11-12,AAPL,0.0,0.0,1.0,0.0
2009-11-15,AAPL,0.0,0.0,1.0,0.0
2009-11-23,AAPL,0.0,0.0,1.0,0.0
2009-11-26,AAPL,0.22,0.3,0.481,-0.21119999999999997
2009-11-28,AAPL,0.0,0.216,0.7840000000000001,-0.296
2009-12-04,AAPL,0.051,0.035,0.914,0.2023
2009-12-13,AAPL,0.142,0.103,0.754,-0.2924
2009-12-17,AAPL,0.142,0.074,0.7840000000000001,0.0925
2009-12-25,AAPL,0.0,0.0,1.0,0.0
2009-12-27,AAPL,0.0,0.0,1.0,0.0
2009-12-29,AAPL,0.209,0.183,0.608,0.0754
2010-01-02,AAPL,0.22400000000000003,0.0,0.776,0.3818
2010-01-04,AAPL,0.0,0.0,1.0,0.0
2010-01-05,AAPL,0.13,0.168,0.703,-0.1779
