Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2011-06-07,AAPL,0.062,0.164,0.774,-0.7003
2011-06-14,AAPL,0.095,0.0,0.905,0.296
2011-06-20,AAPL,0.033,0.041,0.926,-0.128
2011-07-07,AAPL,0.086,0.035,0.879,0.474
2011-07-13,AAPL,0.204,0.021,0.776,0.9217
2011-07-19,AAPL,0.062,0.0,0.938,0.4588
2011-07-20,AAPL,0.05189320388349515,0.101,0.9013685968819599,-0.3474000000000001
2011-08-01,AAPL,0.122,0.066,0.8119999999999999,0.4226
2011-08-09,AAPL,0.082,0.042291139240506335,0.8804545454545454,0.36978023288838396
2011-08-24,AAPL,0.142,0.055,0.804,0.7302999999999998
2011-08-25,AAPL,0.10026627218934911,0.09892660550458716,0.8740980091883614,-0.0717755301354341
2011-08-26,AAPL,0.109,0.195,0.696,-0.5324
2011-09-19,AAPL,0.168,0.05600000000000001,0.776,0.3324
2011-09-26,AAPL,0.05406122448979592,0.12618085106382979,0.9209541609822646,-0.39265780837972464
2011-10-04,AAPL,0.14578228782287822,0.15208720930232558,0.8610383186705767,0.3014495451519858
2011-10-05,AAPL,0.0,0.041,0.959,-0.25
2011-10-10,AAPL,0.0,0.0,1.0,0.0
2011-10-13,AAPL,0.035,0.092,0.872,-0.5267
2011-10-14,AAPL,0.099,0.05000000000000001,0.851,0.3625999999999999
2011-10-18,AAPL,0.1024,0.1199402390438247,0.9079330116904806,0.38055917098445596
2011-10-19,AAPL,0.10987804878048782,0.11356637168141594,0.7855624999999998,-0.36869999999999997
2011-10-21,AAPL,0.207,0.053,0.74,0.8436
2011-10-31,AAPL,0.071,0.0,0.929,0.6369
2011-11-10,AAPL,0.06711173184357541,0.12422321428571428,0.8680608160123171,-0.2344863825536874
2011-11-14,AAPL,0.024,0.161,0.815,-0.8063
2011-12-13,AAPL,0.077,0.0,0.923,0.6597
2011-12-20,AAPL,0.054,0.128,0.819,-0.7578999999999999
2011-12-23,AAPL,0.122,0.11200000000000002,0.767,-0.0644
2012-01-24,AAPL,0.059016949152542374,0.078,0.9037738359201773,0.012800000000000032
