Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2011-05-02,AMZN,0.042,0.043,0.915,-0.0062
2011-05-12,AMZN,0.067,0.071,0.8619999999999999,-0.0516
2011-05-23,AMZN,0.136,0.062,0.801,0.3612
2011-06-20,AMZN,0.091,0.0,0.909,0.4939
2011-06-27,AMZN,0.26299504950495045,0.029,0.8032758620689655,0.8318307413625519
2011-07-13,AMZN,0.27,0.0,0.7299999999999999,0.8225
2011-07-20,AMZN,0.132,0.041,0.827,0.4215
2011-07-25,AMZN,0.063,0.087,0.851,-0.3818
2011-07-26,AMZN,0.11660515021459228,0.0,0.8835138653084325,0.4956264208133367
2011-07-27,AMZN,0.11353403141361258,0.04,0.8887761447145279,0.5702791746378791
2011-08-01,AMZN,0.221,0.0,0.779,0.3987
2011-08-23,AMZN,0.059,0.077,0.864,0.024
2011-08-31,AMZN,0.094,0.046,0.861,0.4215
2011-09-15,AMZN,0.308,0.0,0.692,0.8658000000000001
2011-09-27,AMZN,0.169,0.081,0.75,0.5423
2011-09-28,AMZN,0.18480661577608143,0.04601538461538461,0.8362377876463465,0.6780795144909586
2011-10-19,AMZN,0.099,0.0,0.901,0.4742
2011-10-25,AMZN,0.2202163265306122,0.0844,0.7873416309012876,0.7305918382501856
2011-10-26,AMZN,0.09994656488549618,0.14093577981651376,0.8256602059357966,-0.3347
2011-11-03,AMZN,0.099,0.064,0.8370000000000001,0.265
2011-11-14,AMZN,0.189,0.038,0.7729999999999999,0.8225
2011-11-18,AMZN,0.072,0.255,0.673,-0.9199
2011-11-28,AMZN,0.158,0.034,0.808,0.7508000000000001
2011-12-01,AMZN,0.077,0.0,0.923,0.4404
2011-12-12,AMZN,0.053,0.111,0.836,-0.34
2011-12-21,AMZN,0.0,0.0,1.0,0.0
2011-12-29,AMZN,0.211,0.04900000000000001,0.74,0.9096
2012-01-17,AMZN,0.268,0.0,0.732,0.9485
2012-01-18,AMZN,0.205,0.154,0.641,0.2006
