Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2011-05-16,GOOG,0.093,0.077,0.83,0.2617
2011-05-26,GOOG,0.033,0.032,0.935,0.0272
2011-06-14,GOOG,0.0,0.05600000000000001,0.944,-0.4497
2011-06-16,GOOG,0.026,0.078,0.8960000000000001,-0.3503
2011-06-17,GOOG,0.088,0.031,0.881,0.43099999999999994
2011-06-21,GOOG,0.08855681818181818,0.12125941422594143,0.7930832807570978,-0.3041539130434783
2011-06-28,GOOG,0.039,0.064,0.897,-0.1098
2011-07-05,GOOG,0.14863636363636362,0.045,0.8293908323281062,0.6647376109523093
2011-07-08,GOOG,0.0,0.198,0.802,-0.8447999999999999
2011-07-14,GOOG,0.12065217391304348,0.102,0.8674150289017342,0.4429178765665642
2011-07-15,GOOG,0.19061959654178676,0.072,0.790932953826692,0.7710720108695652
2011-07-19,GOOG,0.204,0.047,0.749,0.791
2011-07-21,GOOG,0.11358947368421053,0.0,0.9069513812154696,0.6568964462213338
2011-07-28,GOOG,0.079,0.0,0.9209999999999999,0.4632
2011-07-29,GOOG,0.214,0.068,0.7169999999999999,0.8476
2011-08-03,GOOG,0.025000000000000005,0.137,0.839,-0.7003
2011-08-04,GOOG,0.068,0.068,0.864,0.25
2011-08-09,GOOG,0.173,0.0,0.827,0.8932
2011-08-15,GOOG,0.06606060606060606,0.05762962962962963,0.9415063829787234,0.06282476811461105
2011-08-16,GOOG,0.05600000000000001,0.071,0.874,-0.2141
2011-08-17,GOOG,0.068,0.095,0.8370000000000001,-0.10269999999999999
2011-10-05,GOOG,0.077,0.157,0.767,-0.6124
2011-10-10,GOOG,0.106,0.058,0.836,0.3818
2011-10-13,GOOG,0.07498113207547169,0.071,0.9078325358851673,0.21427356948228882
2011-10-14,GOOG,0.08916033755274262,0.0404,0.8948114051434961,0.5433017355027117
2011-11-28,GOOG,0.141,0.053,0.806,0.5087
2012-01-09,GOOG,0.058,0.13,0.8119999999999999,-0.5754
2012-01-19,GOOG,0.159032183908046,0.11363865546218488,0.7831890846583586,0.7263367882369901
2012-01-20,GOOG,0.065,0.066,0.869,-0.0258
2012-01-25,GOOG,0.186,0.0,0.8140000000000001,0.9009
2012-02-22,GOOG,0.085,0.047,0.869,0.4424
2012-03-28,GOOG,0.0,0.057,0.943,-0.34
2012-04-12,GOOG,0.223,0.046,0.731,0.7381
2012-04-13,GOOG,0.091,0.046,0.863,0.34
2012-04-24,GOOG,0.165,0.052,0.7829999999999999,0.8554999999999999
2012-05-02,GOOG,0.116,0.039,0.845,0.4786
2012-05-16,GOOG,0.207,0.0,0.793,0.8481
2012-07-19,GOOG,0.16230246913580249,0.06618446601941746,0.7885565438373571,0.7330659710244912
2012-07-20,GOOG,0.231,0.027,0.7419999999999999,0.9412
2012-07-30,GOOG,0.111,0.0,0.889,0.653
2012-08-13,GOOG,0.031,0.0993949044585987,0.9098979591836736,-0.5825181403171552
2012-09-11,GOOG,0.111,0.057,0.832,0.6249
2012-09-24,GOOG,0.282,0.0,0.718,0.9622
