Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2011-05-13,NVDA,0.099,0.061,0.8399999999999999,0.5033
2011-07-21,NVDA,0.0,0.057,0.943,-0.2254
2011-07-25,NVDA,0.054,0.11,0.836,-0.343
2011-08-01,NVDA,0.125,0.186,0.689,-0.7096
2011-08-11,NVDA,0.193,0.089,0.718,0.6548
2011-08-12,NVDA,0.094,0.129,0.777,-0.4817
2011-08-23,NVDA,0.148,0.068,0.7840000000000001,0.5669
2011-09-06,NVDA,0.083,0.066,0.851,-0.0449
2011-09-07,NVDA,0.189,0.026,0.785,0.8539
2011-10-04,NVDA,0.101,0.185,0.715,-0.5616
2011-10-20,NVDA,0.06,0.0,0.94,0.5574
2011-11-01,NVDA,0.059,0.194,0.747,-0.8634
2011-11-10,NVDA,0.18232718894009217,0.116,0.8346904619076184,-0.0737
2011-11-11,NVDA,0.15667938931297712,0.07200729927007299,0.8027564022485946,0.6781999999999999
2011-11-21,NVDA,0.173,0.034,0.793,0.8203
2011-11-22,NVDA,0.152,0.0,0.848,0.7578999999999999
2011-11-30,NVDA,0.089,0.058,0.853,0.2023
2012-01-05,NVDA,0.06,0.11,0.831,-0.6124
2012-01-24,NVDA,0.026,0.174,0.799,-0.8359
2012-01-25,NVDA,0.226,0.165,0.609,0.7506
2012-02-15,NVDA,0.185,0.0,0.815,0.6261
2012-02-16,NVDA,0.091,0.079,0.83,0.4425
2012-03-28,NVDA,0.149,0.0,0.851,0.7625
2012-05-07,NVDA,0.182,0.026,0.792,0.9093
2012-05-11,NVDA,0.17367435158501443,0.068,0.7935249211356467,0.6337616420361247
2012-06-11,NVDA,0.072,0.034,0.895,0.34
2012-06-19,NVDA,0.0,0.069,0.931,-0.6597
2012-08-09,NVDA,0.19,0.0,0.81,0.6261
2012-11-09,NVDA,0.053,0.021,0.926,0.43559999999999993
2013-01-07,NVDA,0.124,0.044,0.832,0.7676
2013-02-14,NVDA,0.21899999999999997,0.108,0.673,0.8693000000000001
2013-04-12,NVDA,0.139,0.042,0.819,0.8817
2013-05-10,NVDA,0.089,0.09800000000000002,0.813,-0.2655
2013-05-14,NVDA,0.176,0.07,0.754,0.4215
2013-06-19,NVDA,0.06,0.0,0.94,0.5579
2013-11-18,NVDA,0.154,0.088,0.7590000000000001,0.1643
2014-02-12,NVDA,0.14,0.0,0.8599999999999999,0.2394
2014-03-19,NVDA,0.0,0.0,1.0,0.0
2014-04-01,NVDA,0.0,0.0,1.0,0.0
2014-05-06,NVDA,0.0,0.153,0.847,-0.6597
2014-05-08,NVDA,0.115,0.135,0.75,-0.3864
2014-05-19,NVDA,0.117,0.0,0.883,0.4331
2014-08-07,NVDA,0.085,0.0,0.9593864229765013,0.2394
2014-08-08,NVDA,0.124,0.0,0.8759999999999999,0.659
2015-02-11,NVDA,0.073,0.111,0.9173215859030837,-0.2605
2015-03-23,NVDA,0.0,0.063,0.937,-0.2732
2015-05-08,NVDA,0.0,0.134,0.866,-0.765
2015-05-27,NVDA,0.046,0.0,0.954,0.2732
2015-08-06,NVDA,0.151,0.1633766233766234,0.7723251135626217,-0.2074145490981964
2015-08-26,NVDA,0.0,0.022,0.978,-0.10269999999999999
2015-10-30,NVDA,0.0,0.0,1.0,0.0
2015-11-05,NVDA,0.082,0.125,0.9084489682097044,-0.2605
2015-11-06,NVDA,0.121,0.0,0.879,0.7351000000000001
2016-01-14,NVDA,0.096,0.144,0.761,-0.1779
2016-02-17,NVDA,0.078,0.12,0.9114941699056079,-0.2605
2016-05-12,NVDA,0.268,0.0,0.8867344110854503,0.6782
2016-05-13,NVDA,0.402,0.0,0.598,0.7736999999999999
2016-06-13,NVDA,0.0,0.0,1.0,0.0
2016-07-26,NVDA,0.0,0.0,1.0,0.0
2016-08-11,NVDA,0.304,0.0,0.875245283018868,0.4453
2016-08-12,NVDA,0.259,0.0,0.8897650775416428,0.6808
2016-10-24,NVDA,0.118,0.0,0.882,0.4215
2016-11-07,NVDA,0.0,0.0,1.0,0.0
2016-11-10,NVDA,0.039,0.09800000000000002,0.9361138560687431,-0.4506
2016-11-11,NVDA,0.348859649122807,0.093,0.7451833218470021,0.0376000000000001
2016-11-14,NVDA,0.291,0.07,0.639,0.7844999999999999
2016-11-16,NVDA,0.162,0.026,0.8119999999999999,0.7478999999999999
2016-12-01,NVDA,0.0,0.055,0.945,-0.2732
2016-12-12,NVDA,0.106,0.0,0.894,0.6779
2016-12-14,NVDA,0.114,0.0,0.886,0.4767
2016-12-20,NVDA,0.177,0.0,0.823,0.7609
2016-12-27,NVDA,0.0,0.0,1.0,0.0
2016-12-28,NVDA,0.084,0.048,0.868,0.4635
2017-01-09,NVDA,0.057,0.034,0.909,0.3182
2017-02-09,NVDA,0.04900000000000001,0.077,0.874,-0.2835
2017-02-10,NVDA,0.193,0.0,0.807,0.8677
2017-02-24,NVDA,0.0,0.0,1.0,0.0
2017-04-04,NVDA,0.113,0.15667938931297712,0.8125027692307694,-0.331
2017-04-10,NVDA,0.0,0.062,0.938,-0.2151
2017-05-09,NVDA,0.388,0.0,0.8526947890818858,0.8316
2017-05-11,NVDA,0.128,0.0,0.872,0.5063
2017-05-19,NVDA,0.0,0.0,1.0,0.0
2017-05-26,NVDA,0.20999999999999996,0.06,0.731,0.5514
2017-05-30,NVDA,0.074,0.0,0.926,0.3818
2017-06-08,NVDA,0.0,0.0,1.0,0.0
2017-06-09,NVDA,0.118,0.039,0.9281871947911016,0.5106
2017-06-20,NVDA,0.0,0.133,0.867,-0.3315
2017-08-10,NVDA,0.115,0.062,0.9200927043335161,0.2047
2017-08-14,NVDA,0.17273020527859237,0.0,0.8299584086799278,0.5168381663113008
2017-09-11,NVDA,0.089,0.122,0.7890000000000001,0.0
2017-09-15,NVDA,0.0,0.0,1.0,0.0
2017-09-18,NVDA,0.0,0.0,1.0,0.0
2017-09-27,NVDA,0.17,0.0,0.83,0.5423
2017-09-29,NVDA,0.0,0.0,1.0,0.0
