title,publishedAt,url,compound sentiment score
"The Air Force wants its recruits to one day carry real rifles at boot camp instead of practice M4 carbines, top NCO says",2024-09-23 06:39:30+00:00,https://www.businessinsider.com/us-air-force-wants-recruits-carry-real-rifles-practice-m4-2024-9,0.0
We're talking to Nevada voters. Here's what role the state could play in the election,2024-09-23 09:00:00+00:00,https://www.npr.org/2024/09/23/nx-s1-5114992/nevada-vote-election-voters-swing-state-trump-harris,0.0
U.S. Proposes Ban on Connected Car Technology From China and Russia,2024-09-23 14:17:48+00:00,https://gizmodo.com/u-s-proposes-ban-on-connected-car-technology-from-china-and-russia-2000501899,-0.429
Can our stockpiles of Tamiflu protect against a bird flu pandemic?,2024-09-23 14:54:53+00:00,https://undark.org/2024/09/23/h5n1-old-drug-protect-against-new-pandemic/,0.0
Biden administration seeks ban on auto software from China,2024-09-23 15:40:25+00:00,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a5bcc80c-318c-43dd-b61d-0f75e161cc92,0.0
'I left my son at school so he'd be taken into care',2024-09-23 23:00:24+00:00,https://www.bbc.com/news/articles/c2lnd5wj9z5o,0.0
Can families returning after centuries resolve South Korea's population crisis?,2024-09-24 00:09:35+00:00,https://www.bbc.com/news/articles/c7v5mng4z45o,0.0
Israel’s Pager Attacks and Supply Chain Vulnerabilities,2024-09-24 01:02:31+00:00,https://www.schneier.com/blog/archives/2024/09/israels-pager-attacks.html,-0.9966
Gizmodo Science Fair: Bacteria-Created Plastic That Can Be Recycled Forever,2024-09-24 12:00:48+00:00,https://gizmodo.com/science-fair-pdk-plastic-2000496553,0.0
Improved cement shows promise for protecting coastline ecosystems,2024-09-24 15:00:01+00:00,https://phys.org/news/2024-09-cement-coastline-ecosystems.html,0.0
"Outbreak detection under-resourced in Asia, study finds",2024-09-24 16:30:08+00:00,https://www.sciencedaily.com/releases/2024/09/240924123008.htm,0.9842
China carried out its first known test of an ICBM in the Pacific Ocean for more than four decades,2024-09-25 12:03:57+00:00,https://www.businessinsider.com/china-icbm-launch-into-pacific-was-first-in-44-years-2024-9,0.0
Tropical Storm Helene is forecast to become a major hurricane as it nears Florida,2024-09-25 12:29:13+00:00,https://www.npr.org/2024/09/25/nx-s1-5126452/helene-florida-tropical-storm-hurricane,0.0
UN chief says sea level rise threatens 'rising tide of misery',2024-09-25 14:38:27+00:00,https://phys.org/news/2024-09-chief-sea-threatens-tide-misery.html,0.0
"Global Surge in Nearsightedness Linked to Covid-19, Study Finds",2024-09-25 19:15:34+00:00,https://gizmodo.com/global-surge-in-nearsightedness-linked-to-covid-19-study-finds-2000503155,0.0
Second Health Care Worker Exposed to Person with Bird Flu Had Symptoms. Here’s What We Know and Don’t Know,2024-09-26 15:40:00+00:00,https://www.scientificamerican.com/article/second-health-care-worker-exposed-to-person-with-bird-flu-had-symptoms-heres/,0.9541
"Hurricane Helene Tracker: When Helene is expected to hit Florida's Big Bend, future path",2024-09-26 16:24:09+00:00,https://www.capecodtimes.com/story/weather/2024/09/26/hurricane-helene-map-florida-path-massachusetts/75389502007/,0.0
A deepfake caller pretending to be a Ukrainian official almost tricked a US Senator,2024-09-26 17:54:23+00:00,https://www.theverge.com/2024/9/26/24255179/deepfake-call-ukraine-senator-cardin-dmytro-kuleba,0.5494
Hurricane Helene is unusual — but it's not an example of the Fujiwhara Effect,2024-09-26 18:32:13+00:00,https://abcnews.go.com/US/wireStory/hurricane-helene-unusual-fujiwhara-effect-114208917,0.0
Intense Flooding Expected as Florida Faces Possible Category 4 Hurricane Tonight,2024-09-26 19:53:01+00:00,https://gizmodo.com/intense-flooding-expected-as-florida-faces-possible-category-4-hurricane-tonight-2000503906,0.0
