title,publishedAt,url,compound sentiment score
China's worsening relationship with US businesses could put AI's chip supply on shaky ground,2024-09-23 06:39:30+00:00,https://www.businessinsider.com/china-economy-supporting-domestic-companies-huawei-over-apple-ai-chips-2024-9,0.9961
Japan sails warship through Taiwan Strait - reports,2024-09-23 09:00:00+00:00,https://www.bbc.com/news/articles/cm28yd04xxno,-0.959
China-Linked Hackers Target US Internet Providers in Latest Attack,2024-09-23 14:17:48+00:00,https://www.cnet.com/home/internet/china-linked-hackers-target-us-internet-providers-in-latest-attack/,-0.8076
U.S. Wiretap Systems Targeted in China-Linked Hack,2024-09-23 14:54:53+00:00,https://slashdot.org/story/24/10/05/2118247/us-wiretap-systems-targeted-in-china-linked-hack,0.4173
"Apple Launches 'Submerged' Short Film for Vision Pro, Outlines Upcoming Content",2024-09-23 15:40:25+00:00,https://www.macrumors.com/2024/10/10/apple-submerged-vision-pro/,0.0
Floating platforms for rising sea levels,2024-09-23 23:00:24+00:00,https://springwise.com/innovation/sustainability/modular-floating-land-tackles-climate-change/,0.0
"Climate report warns of escalating crisis, urges immediate action as UN summit nears",2024-09-24 00:09:35+00:00,https://phys.org/news/2024-10-climate-escalating-crisis-urges-action.html,-0.6705
Are we underestimating global warming?,2024-09-24 01:02:31+00:00,https://www.vox.com/climate/374253/climate-chamge-model-warming-ipcc-record-heat,0.9995
The US Could Finally Ban Inane Forced Password Changes,2024-09-24 12:00:48+00:00,https://www.wired.com/story/nist-password-guidance-improvements/,0.945
The 10 Most Nightmare-Inducing Movies on Max,2024-09-24 15:00:01+00:00,https://gizmodo.com/the-10-most-nightmare-inducing-movies-in-maxs-no-sleep-october-programming-2000511197,0.0
Mark Zuckerberg says there’s ‘no causal connection’ between social media and teen mental health,2024-09-24 16:30:08+00:00,https://www.theverge.com/2024/9/25/24254044/mark-zuckerberg-meta-social-media-teen-mental-health,0.7983
Russia claims it doesn't care who wins the US election. Its state media tells another story.,2024-09-25 12:03:57+00:00,https://www.businessinsider.com/russia-state-media-trump-harris-presidential-us-election-putin-kremlin-2024-10,0.99
Trump Says He’ll Prosecute Google If He Retakes Power,2024-09-25 12:29:13+00:00,https://gizmodo.com/trump-says-hell-prosecute-google-if-he-retakes-power-2000504499,-0.9837
"The Best New Movies and TV Streaming in October 2024, and Where to Watch Them",2024-09-25 14:38:27+00:00,https://gizmodo.com/best-new-movies-and-tv-streaming-october-2024-2000505209,0.0
How to Stream Meta Connect 2024,2024-09-25 19:15:34+00:00,https://gizmodo.com/how-to-stream-meta-connect-2024-2000502872,0.9408
Media mogul Barry Diller slams fellow billionaires who back Trump for economic reasons: they 'don't need another nickel',2024-09-26 15:40:00+00:00,https://www.businessinsider.com/diller-trump-paulson-harris-election-wealth-billionaires-economy-taxes-policy-2024-10,0.9693
Fake ‘Kamala Harris ad’ used AI and old John Lewis advert,2024-09-26 16:24:09+00:00,https://www.bbc.com/news/videos/cqjrwkw128no,-0.4767
Tonight's vice presidential debate matters a lot more this time around,2024-09-26 17:54:23+00:00,https://www.businessinsider.com/jd-vance-tim-walz-vice-presidential-debate-voters-election-2024-10,0.9967
Elon Musk Is Trying to Be the MrBeast of Politics,2024-09-26 18:32:13+00:00,https://gizmodo.com/elon-musk-is-trying-to-be-the-mrbeast-of-politics-2000514361,0.9986
Everything Announced at Meta Connect 2024,2024-09-26 19:53:01+00:00,https://gizmodo.com/everything-announced-at-meta-connect-2024-2000503229,0.9988
Findlay calls on Swinney to ditch National Care Service plans,2024-09-26 20:35:31+00:00,https://www.bbc.com/news/articles/cgry4q17evwo,0.9962
Russia's defense industry has a massive labor shortage. Rules on what jobs women can do are part of the issue.,2024-09-26 22:48:35+00:00,https://www.businessinsider.com/russia-defense-industry-labor-shortage-worsened-by-policy-on-women-2024-10,-0.956
Scottish government: Assisted dying bill not in Holyrood's powers,2024-09-27 12:20:06+00:00,https://www.bbc.com/news/articles/c4g5w299npjo,-0.9132
"No, Hurricane Milton was not 'engineered'",,https://www.bbc.com/news/articles/cx2lyzw7xwxo,0.9806
