Sheet 1: Energy
title,publishedAt,url
Mitch McConnell goes after Trump's trade policy: 'I'm not a tariff fan',2024-09-24T21:06:42Z,https://www.businessinsider.com/mitch-mcconnell-criticizes-trump-tariffs-2024-9

Sheet 2: Finance
title,publishedAt,url
"US economy grew at a solid 3% rate last quarter, government says in final estimate",2024-09-26T12:48:44Z,https://abcnews.go.com/Business/wireStory/us-economy-grew-solid-3-rate-quarter-government-114180444

Sheet 3: Consumers
title,publishedAt,url
DJI sues the US Department of Defense for labeling it a ‘Chinese Military Company’,2024-10-19T07:28:04Z,https://www.theverge.com/2024/10/19/24274153/dji-sues-us-dod-chinese-military-company
EU hits China with tariffs in electric car sales battle,2024-10-04T09:43:35Z,https://www.bbc.com/news/articles/cly20n4d0g9o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D
Findlay calls on Swinney to ditch National Care Service plans,2024-10-03T12:45:20Z,https://www.bbc.com/news/articles/cgry4q17evwo
Scottish government: Assisted dying bill not in Holyrood's powers,2024-10-01T09:49:49Z,https://www.bbc.com/news/articles/c4g5w299npjo
Opinion: How to design a US data privacy law,2024-09-28T11:15:11Z,https://arstechnica.com/tech-policy/2024/09/opinion-how-to-design-a-us-data-privacy-law/
'Room for negotiation' on national care service plan - Gray,2024-09-29T10:51:54Z,https://www.bbc.com/news/articles/c4gljpn7wlko

Sheet 4: Communications
title,publishedAt,url
Findlay calls on Swinney to ditch National Care Service plans,2024-10-03T12:45:20Z,https://www.bbc.com/news/articles/cgry4q17evwo
Russia's defense industry has a massive labor shortage. Rules on what jobs women can do are part of the issue.,2024-10-05T10:43:02Z,https://www.businessinsider.com/russia-defense-industry-labor-shortage-worsened-by-policy-on-women-2024-10
Scottish government: Assisted dying bill not in Holyrood's powers,2024-10-01T09:49:49Z,https://www.bbc.com/news/articles/c4g5w299npjo

Sheet 5: Health
title,publishedAt,url
Huntsville Hospital Health System terminates contract with United Healthcare,2024-10-10T19:29:22Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_9deb2463-e503-4fcd-97d5-6f86403a76fb
FTC Sues Prescription Drug Middlemen for Artificially Inflating Insulin Prices,2024-09-23T10:58:56Z,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-sues-prescription-drug-middlemen-artificially-inflating-insulin-drug-prices
Why conventional wisdom on health care is wrong (a primer) (2020),2024-10-17T15:57:54Z,https://randomcriticalanalysis.com/why-conventional-wisdom-on-health-care-is-wrong-a-primer/
We left the US and moved to Mexico when I got pregnant 4 years ago. It's more affordable and our family is thriving.,2024-10-01T13:10:02Z,https://www.businessinsider.com/moved-from-us-to-mexico-after-pregnant-family-thriving-2024-10
Why is US health care like this?,2024-10-01T20:40:32Z,https://www.vox.com/explain-it-to-me/375082/us-health-insurance-plans-medicare-medicaid
"Hurricanes Helene’s Floods Swamped a Hospital, Highlighting Climate Threats to Health Care",2024-10-02T18:45:00Z,https://subscriber.politicopro.com/article/eenews/2024/10/02/a-dangerous-rescue-helene-made-a-hospital-almost-inescapable-00181734
"Will AI tools revolutionize public health? Not if they continue following old patterns, researchers argue",2024-10-09T00:14:19Z,https://www.sciencedaily.com/releases/2024/10/241008201419.htm
Novo Nordisk CEO blames drug 'middlemen' for high price of weight loss meds,2024-09-24T13:30:00Z,https://qz.com/novo-nordisk-congress-ceo-testimony-1851655576

Sheet 6: Industrials
title,publishedAt,url
DJI sues the US Department of Defense for labeling it a ‘Chinese Military Company’,2024-10-19T07:28:04Z,https://www.theverge.com/2024/10/19/24274153/dji-sues-us-dod-chinese-military-company
"The West is trying to starve the wrong part of Russia's war machine, defense experts say",2024-10-20T11:23:01Z,https://www.businessinsider.com/the-west-sanction-russia-artillery-war-machine-experts-2024-10
Russia's defense industry has a massive labor shortage. Rules on what jobs women can do are part of the issue.,2024-10-05T10:43:02Z,https://www.businessinsider.com/russia-defense-industry-labor-shortage-worsened-by-policy-on-women-2024-10
Boeing suppliers fear long-term jobs hit from strike,2024-09-30T10:04:34Z,https://finance.yahoo.com/news/boeing-suppliers-fear-long-term-100434581.html/
US laments 'disappointing' Swiss decision not to fully adopt latest EU sanctions against Russia,2024-10-18T16:45:28Z,https://www.yahoo.com/news/us-laments-disappointing-swiss-decision-164528955.html
Putin hosts a summit in a bid to show the West it can't keep Russia off the global stage,2024-10-21T05:55:04Z,https://www.npr.org/2024/10/21/g-s1-29150/putin-hosts-a-summit-in-a-bid-to-show-the-west-it-cant-keep-russia-off-the-global-stage
Fears of automation are at the heart of the dockworkers strike,2024-10-02T14:22:50Z,https://www.businessinsider.com/port-strike-dockworkers-union-automation-job-replacement-concerns-2024-10
Mindustry: Automation Tower Defense RTS with Deep Strategy and Modding,2024-09-29T17:01:32Z,https://github.com/Anuken/Mindustry
Would Trump's tariffs trigger a global trade war? Experts weigh in.,2024-10-18T12:21:30Z,https://abcnews.go.com/Business/would-trumps-tariffs-trigger-global-trade-war-experts/story?id=114887448
Mark Cuban says Trump's call for 200% tariffs on John Deere tractors is 'insane' and a 'good way to destroy a legendary American company',2024-09-24T03:52:59Z,https://www.businessinsider.com/mark-cuban-trump-call-200-percent-tariffs-john-deere-insane-2024-9
Key takeaways from the Walz-Vance vice presidential debate,2024-10-02T04:38:39Z,https://abcnews.go.com/Politics/key-takeaways-walz-vance-vice-presidential-debate/story?id=114409153

Sheet 7: Materials
title,publishedAt,url
Titan Submersible Hearings Spotlight Multiple Issues With Its Carbon Fiber Hull,2024-09-25T21:01:25Z,https://www.wired.com/story/titan-submersible-hearings-spotlight-multiple-issues-with-its-carbon-fiber-hull/
US bans new types of goods from China over allegations of forced labor,2024-10-02T18:46:00Z,https://abcnews.go.com/US/wireStory/us-bans-new-types-goods-china-allegations-forced-114438163
ICE's $2 Million Contract With a Spyware Vendor Is Under White House Review,2024-10-21T19:03:22Z,https://www.wired.com/story/ice-paragon-contract-white-house-review/
90-ton 3D printer to build world's biggest rocket,2024-10-22T18:00:00Z,https://www.yahoo.com/news/90-ton-3d-printer-build-180000475.html
Foxconn Building Nvidia Superchip Facility In Mexico,2024-10-09T01:25:00Z,https://slashdot.org/story/24/10/08/2219214/foxconn-building-nvidia-superchip-facility-in-mexico

Sheet 8: Real estate
title,publishedAt,url
Is the Dockworkers Union a Corporate Tool?,2024-10-04T22:30:01Z,https://www.shtfplan.com/experts/is-the-dockworkers-union-a-corporate-tool
How Racist Policies Destroyed Public Housing and Created the American Suburbs,2024-09-25T08:55:27Z,https://lithub.com/how-racist-policies-destroyed-public-housing-and-created-the-american-suburbs/

Sheet 9: Utilities
title,publishedAt,url
US to unveil first of two decisions on more solar tariffs,2024-09-30T10:25:36Z,https://finance.yahoo.com/news/us-unveil-first-two-decisions-102536555.html/
DJI sues the US Department of Defense for labeling it a ‘Chinese Military Company’,2024-10-19T07:28:04Z,https://www.theverge.com/2024/10/19/24274153/dji-sues-us-dod-chinese-military-company
Mitch McConnell goes after Trump's trade policy: 'I'm not a tariff fan',2024-09-24T21:06:42Z,https://www.businessinsider.com/mitch-mcconnell-criticizes-trump-tariffs-2024-9
Trump is threatening tariffs on yet another business — and economists say it makes no sense,2024-09-25T08:00:02Z,https://www.businessinsider.com/trump-tariff-threat-john-deere-economists-baffled-2024-9
Would Trump's tariffs trigger a global trade war? Experts weigh in.,2024-10-18T12:21:30Z,https://abcnews.go.com/Business/would-trumps-tariffs-trigger-global-trade-war-experts/story?id=114887448
India Plans Laptop Import Curbs To Boost Local Manufacturing,2024-10-18T14:03:00Z,https://tech.slashdot.org/story/24/10/18/143228/india-plans-laptop-import-curbs-to-boost-local-manufacturing
Britain targets Russian LNG sector with fresh shipping sanctions,2024-09-26T10:19:27Z,https://uk.news.yahoo.com/britain-announces-fresh-russia-sanctions-101927308.html
