Sheet 1: Energy
title,publishedAt,url
Growing number of Earth's ‘vital signs’ endangered by climate change,2024-10-08T15:00:27Z,https://www.newscientist.com/article/2450457-growing-number-of-earths-vital-signs-endangered-by-climate-change/
Hurricane Helene Made Me a Climate Change Refugee,2024-10-04T13:00:00Z,https://www.scientificamerican.com/article/hurricane-helene-made-me-a-climate-change-refugee/
"Climate report warns of escalating crisis, urges immediate action as UN summit nears",2024-10-08T14:00:01Z,https://phys.org/news/2024-10-climate-escalating-crisis-urges-action.html
Unlocking The Potential To Transform Carbon Emissions Into Sustainable Opportunities,2024-10-17T13:30:00Z,https://www.forbes.com/councils/forbesbusinesscouncil/2024/10/17/unlocking-the-potential-to-transform-carbon-emissions-into-sustainable-opportunities/
Improved cement shows promise for protecting coastline ecosystems,2024-09-24T15:00:01Z,https://phys.org/news/2024-09-cement-coastline-ecosystems.html
What happens to the world if forests stop absorbing carbon? Ask Finland.,2024-10-20T13:00:00Z,http://grist.org/international/what-happens-to-the-world-if-forests-stop-absorbing-carbon-ask-finland/

Sheet 2: Consumers
title,publishedAt,url
Why Tampa Is So Vulnerable to Hurricane Milton,2024-10-09T18:36:34Z,https://www.wired.com/story/why-tampa-is-so-vulnerable-to-hurricane-milton/
Intense Flooding Expected as Florida Faces Possible Category 4 Hurricane Tonight,2024-09-26T19:53:01Z,https://gizmodo.com/intense-flooding-expected-as-florida-faces-possible-category-4-hurricane-tonight-2000503906
The Home-Insurance Crisis That Won’t End After Hurricane Season,2024-10-14T10:00:00Z,https://www.newyorker.com/news/the-financial-page/the-home-insurance-crisis-that-wont-end-after-hurricane-season
Devastating Hurricane Milton Takes Aim at Tampa’s Climate Vulnerabilities,2024-10-08T16:30:00Z,https://www.scientificamerican.com/article/devastating-hurricane-milton-takes-aim-at-tampas-climate-vulnerabilities/
"Florida's coastline could change after Hurricane Milton, officials say",2024-10-09T00:26:19Z,https://abcnews.go.com/US/officials-expect-floridas-shoreline-change-amid-hurricane-milton/story?id=114610200
Growing number of Earth's ‘vital signs’ endangered by climate change,2024-10-08T15:00:27Z,https://www.newscientist.com/article/2450457-growing-number-of-earths-vital-signs-endangered-by-climate-change/
They came to Asheville looking for a 'climate haven.' Then came Hurricane Helene,2024-10-09T09:30:00Z,https://www.npr.org/2024/10/09/nx-s1-5137024/climate-haven-hurricane-helene-asheville
Floating platforms for rising sea levels,2024-10-02T04:55:00Z,https://springwise.com/innovation/sustainability/modular-floating-land-tackles-climate-change/
Why Tampa Bay is at such high risk for hurricane damage,2024-10-09T19:10:53Z,https://www.npr.org/2024/10/09/nx-s1-5145659/tampa-bay-hurricane-risk
I spent $1.25 million on a 'hurricane-proof' home in Milton's path. I'm not evacuating.,2024-10-09T21:50:36Z,https://www.businessinsider.com/retiree-bought-hurricane-proof-florida-house-in-hurricane-milton-path-2024-10
How does this hurricane compare to Helene and other hurricanes?,2024-10-09T11:34:33Z,https://www.bbc.com/weather/articles/cq64vnj51p1o
"Exactly 66 years ago, another Hurricane Helene rocked the Carolinas",2024-09-27T13:05:29Z,https://www.npr.org/2024/09/27/g-s1-24883/helene-1958
Why Hurricane Milton Is a Sign of the New Abnormal,2024-10-08T21:31:05Z,https://www.newyorker.com/news/the-lede/why-hurricane-milton-is-a-sign-of-the-new-abnormal
How satellite data has proven climate change is a climate crisis,2024-10-05T10:00:01Z,https://www.space.com/satellite-data-climate-change-crisis
UN chief says sea level rise threatens 'rising tide of misery',2024-09-25T14:38:27Z,https://phys.org/news/2024-09-chief-sea-threatens-tide-misery.html
Hurricane Helene is unusual — but it's not an example of the Fujiwhara Effect,2024-09-26T18:32:13Z,https://abcnews.go.com/US/wireStory/hurricane-helene-unusual-fujiwhara-effect-114208917
Improved cement shows promise for protecting coastline ecosystems,2024-09-24T15:00:01Z,https://phys.org/news/2024-09-cement-coastline-ecosystems.html
"Hurricanes Helene’s Floods Swamped a Hospital, Highlighting Climate Threats to Health Care",2024-10-02T18:45:00Z,https://subscriber.politicopro.com/article/eenews/2024/10/02/a-dangerous-rescue-helene-made-a-hospital-almost-inescapable-00181734
Coastal communities face ‘catastrophic flooding’ from rising sea levels,2024-09-28T19:20:21Z,https://www.aljazeera.com/news/2024/9/28/coastal-communities-face-catastrophic-flooding-from-rising-sea-levels
Unlocking The Potential To Transform Carbon Emissions Into Sustainable Opportunities,2024-10-17T13:30:00Z,https://www.forbes.com/councils/forbesbusinesscouncil/2024/10/17/unlocking-the-potential-to-transform-carbon-emissions-into-sustainable-opportunities/
Apple's holiday quarter will again see giant challenges because of supply chain issues,2024-10-01T16:45:51Z,https://appleinsider.com/articles/24/10/01/apples-holiday-quarter-will-again-see-giant-challenges-because-of-supply-chain-issues
Georgia’s Young Climate Voters Could Help Push Harris Past Trump,2024-09-29T14:00:00Z,http://www.rollingstone.com/politics/politics-features/georgia-climate-voters-harris-hurricane-helene-1235114809/
Are we underestimating global warming?,2024-09-26T22:48:35Z,https://www.vox.com/climate/374253/climate-chamge-model-warming-ipcc-record-heat
Tropical Storm Helene is forecast to become a major hurricane as it nears Florida,2024-09-25T12:29:13Z,https://www.npr.org/2024/09/25/nx-s1-5126452/helene-florida-tropical-storm-hurricane
"Hurricane Helene Tracker: When Helene is expected to hit Florida's Big Bend, future path",2024-09-26T16:24:09Z,https://www.capecodtimes.com/story/weather/2024/09/26/hurricane-helene-map-florida-path-massachusetts/75389502007/
What happens to the world if forests stop absorbing carbon? Ask Finland.,2024-10-20T13:00:00Z,http://grist.org/international/what-happens-to-the-world-if-forests-stop-absorbing-carbon-ask-finland/
"Understanding regional climate change is essential for guiding effective climate adaptation policy, study says",2024-10-01T09:00:01Z,https://phys.org/news/2024-09-regional-climate-essential-effective-policy.html
Is climate change really making hurricanes worse?,2024-10-17T20:47:14Z,https://www.vox.com/climate/378359/hurricane-climate-change-flood-helene-milton-warming

Sheet 3: Finance
title,publishedAt,url
Devastating Hurricane Milton Takes Aim at Tampa’s Climate Vulnerabilities,2024-10-08T16:30:00Z,https://www.scientificamerican.com/article/devastating-hurricane-milton-takes-aim-at-tampas-climate-vulnerabilities/
They came to Asheville looking for a 'climate haven.' Then came Hurricane Helene,2024-10-09T09:30:00Z,https://www.npr.org/2024/10/09/nx-s1-5137024/climate-haven-hurricane-helene-asheville
‘Flesh-Eating’ Bacteria Surge in Florida Floodwaters After Back-to-Back Hurricanes,2024-10-22T16:35:44Z,https://gizmodo.com/flesh-eating-bacteria-surge-in-florida-floodwaters-after-back-to-back-hurricanes-2000515033
"Understanding regional climate change is essential for guiding effective climate adaptation policy, study says",2024-10-01T09:00:01Z,https://phys.org/news/2024-09-regional-climate-essential-effective-policy.html

Sheet 4: Health
title,publishedAt,url
