Sheet 1: Energy
title,publishedAt,url
Trump Says He’ll Prosecute Google If He Retakes Power,2024-09-27T19:05:27Z,https://gizmodo.com/trump-says-hell-prosecute-google-if-he-retakes-power-2000504499
Israel's strike back at Iran could hurt the Harris campaign in its final stretch if gas prices soar,2024-10-05T11:47:02Z,https://www.businessinsider.com/israel-iran-middle-east-upheaval-hurt-harris-campaign-before-election-2024-10
Climate Change Action Depends on the 2024 Election,2024-10-16T10:45:00Z,https://www.scientificamerican.com/article/climate-change-action-depends-on-the-2024-election/
5 Prime Day Portable Charger and Power Station Deals (2024),2024-10-09T14:58:10Z,https://www.wired.com/story/best-prime-day-portable-power-station-and-charger-deals-october-2024/
Founder of new commodities exchange explains how it can fuel the green energy transition,2024-09-29T19:23:20Z,https://www.businessinsider.com/abaxx-commodities-exchange-energy-transition-goldman-sachs-alum-2024-9
"Ferrari F80 2024: Specs, Price, Availability",2024-10-17T12:03:28Z,https://www.wired.com/story/ferraris-f80-steals-the-best-f1-tech-but-it-should-have-been-more-extreme/
VC power player Ben Horowitz says he'll donate to Kamala Harris. Read the memo.,2024-10-05T01:26:58Z,https://www.businessinsider.com/read-ben-horowitzs-email-a16z-saying-plans-donate-kamala-harris-2024-10
Putin Proposes a New Nuclear Weapons Policy for Russia,2024-09-26T12:45:49Z,https://gizmodo.com/putin-proposes-a-new-nuclear-weapons-policy-for-russia-2000503573
World’s Top Uranium Miner Backs Nuclear Plant in Referendum,2024-10-07T10:04:10Z,https://finance.yahoo.com/news/world-top-uranium-miner-backs-070654490.html/
"The election is still incredibly close with 2 weeks to go, with warning signs for both Trump and Harris in the Sun Belt",2024-10-22T18:16:56Z,https://www.businessinsider.com/harris-trump-presidential-election-swing-state-polls-sun-belt-2024-10
"In Louisiana, natural gas terminals have destroyed communities. Trump wants to build more",2024-09-26T10:00:00Z,https://www.fastcompany.com/91196845/in-louisiana-natural-gas-terminals-have-destroyed-communities-trump-wants-to-build-more
"Targeted benefit campaign nets pensioners £250,000",2024-09-24T22:00:05Z,https://www.bbc.com/news/articles/c62dj8nk5x8o

Sheet 2: Finance
title,publishedAt,url
2020 is back on the 2024 campaign trail,2024-10-06T11:59:02Z,https://www.businessinsider.com/2020-is-back-on-the-2024-campaign-trail-2024-10
A researcher who studied Trump's plans to control the Fed said it could tank the economy,2024-09-29T10:00:02Z,https://www.businessinsider.com/trump-control-federal-reserve-jerome-powell-tariffs-inflation-2024-9
"Best CD Rates Today, Oct. 14, 2024: Don't Sleep on High APYs. CD Savings Rates Are Falling Fast",2024-10-14T09:30:00Z,https://www.cnet.com/personal-finance/banking/cds/cd-rates-today-oct-14-2024/
Mark Cuban mocks Trump for going even further than Bernie Sanders on capping credit card interest rates,2024-09-24T18:26:46Z,https://www.businessinsider.com/mark-cuban-trump-card-interest-rates-plan-bernie-sanders-2024-9
Kamala Harris' marijuana stance is hazier than you think,2024-09-27T09:30:02Z,https://www.businessinsider.com/kamala-harris-marijuana-legalization-stance-2024-9
I spent a day talking to voters in a crucial swing county in Pennsylvania. It's clear the economy is make-or-break for Harris and Trump alike.,2024-10-18T15:45:37Z,https://www.businessinsider.com/pennsylvania-grocery-store-voters-talk-economy-inflation-harris-trump-2024-10
Harris uses town hall to show empathy with Latino voters,2024-10-11T03:28:44Z,https://www.npr.org/2024/10/10/nx-s1-5147253/kamala-harris-univision-town-hall
Back-to-Back Hurricanes Reshape 2024 Campaign’s Final Stretch,2024-10-11T18:50:25Z,https://time.com/7086226/hurricanes-reshape-2024-campaign/
Legendary investor Paul Tudor Jones says he's buying gold and bitcoin pre-election because inflation will rise under both Trump and Harris,2024-10-22T18:13:29Z,https://markets.businessinsider.com/news/commodities/paul-tudor-jones-gold-crypto-bitcoin-election-inflation-debt-crisis-2024-10
"Mortgages Cool Off for Homeseekers: Current Mortgage Interest Rates on Sept. 25, 2024",2024-09-25T09:48:00Z,https://www.cnet.com/personal-finance/mortgages/mortgages-cool-off-for-homeseekers-current-mortgage-interest-rates-on-sept-25-2024/
What would a Kamala Harris or Donald Trump victory mean for the stock market?,2024-10-22T20:27:01Z,https://abcnews.go.com/Business/kamala-harris-donald-trump-victory-stock-market/story?id=115018990
Venture capital is going to war over the election. Here's the data to prove it.,2024-10-19T09:00:01Z,https://www.businessinsider.com/venture-capital-us-election-data-contributions-2024-10

Sheet 3: Health
title,publishedAt,url
"In Louisiana, natural gas terminals have destroyed communities. Trump wants to build more",2024-09-26T10:00:00Z,https://www.fastcompany.com/91196845/in-louisiana-natural-gas-terminals-have-destroyed-communities-trump-wants-to-build-more
"Kamala Harris releases medical report, drawing contrast with Donald Trump",2024-10-12T15:12:29Z,https://www.aljazeera.com/news/2024/10/12/kamala-harris-health-report-donald-trump-us-presidential-election

Sheet 4: Industrials
title,publishedAt,url
Will Elon Musk Tip the Election for Trump?,2024-10-10T21:49:47Z,https://www.wired.com/story/elon-musk-donald-trump-election/
2020 is back on the 2024 campaign trail,2024-10-06T11:59:02Z,https://www.businessinsider.com/2020-is-back-on-the-2024-campaign-trail-2024-10
Trump Supporters’ Fake Stories About Harris and Walz Flood the ‘For You’ Page on X,2024-10-21T20:10:02Z,https://gizmodo.com/trump-supporters-fake-stories-about-harris-and-walz-flood-the-for-you-page-on-x-2000514522
"As FTC Chair Lina Khan’s Term Expires, Democrats Are Torn Between Donors and Their Base",2024-09-27T11:30:00Z,https://www.wired.com/story/ftc-chair-lina-khans-democrats-donors-harris/
"Muted mic, abortion rights and civility - top takeaways from VP debate",2024-10-02T03:52:01Z,https://www.bbc.com/news/articles/crr5j1q8wlno
The US Could Finally Ban Inane Forced Password Changes,2024-09-28T10:30:00Z,https://www.wired.com/story/nist-password-guidance-improvements/
Leaked Docs From Far-Right Militias Show History of Voter Intimidation Plans,2024-10-11T18:18:57Z,https://www.wired.com/story/leaked-messages-militias-ap3-voter-intimidation-plan/
We Staged a Debate to Test the Bluetooth Earrings Kamala Harris Didn’t Wear,2024-10-01T20:32:06Z,https://www.wired.com/review/review-nova-h1-audio-earrings/
Close fight in the trenches: A look at the ground game in the presidential race,2024-10-15T10:07:40Z,https://abcnews.go.com/Politics/close-fight-trenches-ground-game-presidential-race/story?id=114780589
The stark divide between Harris and Trump on voting rights,2024-10-13T09:00:00Z,https://www.npr.org/2024/10/13/nx-s1-5150093/kamala-harris-voting-rights-trump
How Democrats Lost Ground on Voter Registrations Where It Matters Most,2024-10-08T15:56:16Z,https://time.com/7071878/harris-democrats-swing-states/
