title,publishedAt,url
The World Is Still Hooked on Russian Energy—at Its Own Peril,2024-10-20T11:30:00Z,https://time.com/7095298/europe-hooked-russian-oil-gas-ukraine/
Why China would want to launch an intercontinental ballistic missile out into the Pacific,2024-09-26T20:35:30Z,https://www.businessinsider.com/tk-china-icbm-test-header-2024-9
Why the Oil Market Is Not Shocked,2024-10-20T12:00:00Z,https://www.theatlantic.com/ideas/archive/2024/10/oil-market-shock-middle-east/680307/
The American Who Waged a Tech War on China,2024-10-10T10:00:00Z,https://www.wired.com/story/jake-sullivan-china-tech-profile/
China carried out its first known test of an ICBM in the Pacific Ocean for more than four decades,2024-09-25T12:03:57Z,https://www.businessinsider.com/china-icbm-launch-into-pacific-was-first-in-44-years-2024-9
China's economic issues are so serious that even the oil market doesn't care about Middle East tensions — for now,2024-10-01T06:38:56Z,https://www.businessinsider.com/oil-price-today-middle-east-israel-hezbollah-conflict-china-economy-2024-10
Putin proposes new rules for using nuclear weapons,2024-09-25T20:11:39Z,https://www.bbc.com/news/articles/c5yjej0rvw0o
Stock market today: Tech rally leads stocks higher as oil prices plunge and earnings kick off,2024-10-08T20:12:25Z,https://markets.businessinsider.com/news/stocks/stock-market-today-tech-rally-oil-prices-china-inflation-cpi-2024-10
"The Air Force wants its recruits to one day carry real rifles at boot camp instead of practice M4 carbines, top NCO says",2024-09-23T06:39:30Z,https://www.businessinsider.com/us-air-force-wants-recruits-carry-real-rifles-practice-m4-2024-9
"Russia planning to target nuclear plants, Zelensky says",2024-09-25T17:32:15Z,https://www.bbc.com/news/articles/c20mz0l36gjo
"China nuclear sub sank in its dock, US officials say",2024-09-27T15:35:26Z,https://www.bbc.com/news/articles/cqjrq0ewj77o
Hard Nuclear Weapons Choices Await Harris or Trump as President,2024-10-03T10:45:00Z,https://www.scientificamerican.com/article/hard-nuclear-weapons-choices-await-harris-or-trump-as-president/
Dow Jones Futures Rise; Nvidia Climbs In Buy Area As China Stocks Sell Off,2024-10-08T13:12:07Z,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-nvidia-nvda-stock-china-stocks-tesla/
"Prices in China are stagnating, putting more pressure on Beijing to jump-start the economy",2024-10-14T11:30:47Z,https://www.businessinsider.com/china-economy-deflation-stimulus-government-property-bubble-unemployment-growth-prices-2024-10
Meet the Winner of the Nobel Peace Prize—Nihon Hidankyo,2024-10-11T14:51:21Z,https://time.com/7086109/nobel-peace-prize-nihon-hidankyo/
Crude Oil Primed for Explosive Short-Squeeze as Bearish Sentiment Peaks,2024-09-26T08:25:00Z,https://finance.yahoo.com/news/crude-oil-primed-explosive-short-082500855.html/
DoE awards next-gen nuclear fuel contracts backwards,2024-10-08T15:02:13Z,https://www.theregister.com/2024/10/08/does_awards_nextgen_nuclear_fuel/

title,publishedAt,url
U.S. Proposes Ban on Connected Car Technology From China and Russia,2024-09-23T14:17:48Z,https://gizmodo.com/u-s-proposes-ban-on-connected-car-technology-from-china-and-russia-2000501899
India and China agree to de-escalate border tensions,2024-10-21T11:06:40Z,https://www.bbc.com/news/articles/ckg0gwy0nlyo
Biden administration seeks ban on auto software from China,2024-09-23T15:40:25Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a5bcc80c-318c-43dd-b61d-0f75e161cc92
"3 of China's Tesla rivals had a record month, putting pressure on Elon Musk",2024-10-01T10:04:03Z,https://www.businessinsider.com/tesla-chinese-ev-rivals-record-deliveries-pressure-on-elon-musk-2024-10
Dow Jones Futures Rise; Nvidia Climbs In Buy Area As China Stocks Sell Off,2024-10-08T13:12:07Z,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-nvidia-nvda-stock-china-stocks-tesla/
Paris Motor Show opens during a brewing EV trade war between the EU and China,2024-10-14T17:14:36Z,https://finance.yahoo.com/news/paris-motor-show-opens-during-171436499.html
China's economic issues are so serious that even the oil market doesn't care about Middle East tensions — for now,2024-10-01T06:38:56Z,https://www.businessinsider.com/oil-price-today-middle-east-israel-hezbollah-conflict-china-economy-2024-10
Can families returning after centuries resolve South Korea's population crisis?,2024-09-24T00:09:35Z,https://www.bbc.com/news/articles/c7v5mng4z45o
China carried out its first known test of an ICBM in the Pacific Ocean for more than four decades,2024-09-25T12:03:57Z,https://www.businessinsider.com/china-icbm-launch-into-pacific-was-first-in-44-years-2024-9
"China, Philippines continue to clash in South China Sea, with new flashpoint emerging",2024-10-07T09:30:00Z,https://finance.yahoo.com/news/china-philippines-continue-clash-south-093000388.html/
"The Air Force wants its recruits to one day carry real rifles at boot camp instead of practice M4 carbines, top NCO says",2024-09-23T06:39:30Z,https://www.businessinsider.com/us-air-force-wants-recruits-carry-real-rifles-practice-m4-2024-9
