Sheet 1: Energy
title,publishedAt,url
Gizmodo Science Fair: Bacteria-Created Plastic That Can Be Recycled Forever,2024-09-24T12:00:48Z,https://gizmodo.com/science-fair-pdk-plastic-2000496553

Sheet 2: Consumers
title,publishedAt,url
"Covid Vaccine Tech Is Being Used to Fight a Nasty, Diarrhea-Causing Bacteria",2024-10-22T09:00:56Z,https://gizmodo.com/covid-vaccine-tech-is-being-used-to-fight-a-nasty-diarrhea-causing-bacteria-2000514541
Covid Testing Lab Owner Pleads Guilty to Giving Fake Test Results,2024-10-02T12:45:27Z,https://gizmodo.com/covid-testing-lab-owner-pleads-guilty-to-giving-fake-test-results-2000506076
Can our stockpiles of Tamiflu protect against a bird flu pandemic?,2024-09-23T14:54:53Z,https://undark.org/2024/09/23/h5n1-old-drug-protect-against-new-pandemic/
Man says he has been 'left to rot' after Covid vaccine,2024-10-13T23:00:15Z,https://www.bbc.com/news/articles/c0kj1pmr7jdo
"Global Surge in Nearsightedness Linked to Covid-19, Study Finds",2024-09-25T19:15:34Z,https://gizmodo.com/global-surge-in-nearsightedness-linked-to-covid-19-study-finds-2000503155
Second Health Care Worker Exposed to Person with Bird Flu Had Symptoms. Here’s What We Know and Don’t Know,2024-09-26T15:40:00Z,https://www.scientificamerican.com/article/second-health-care-worker-exposed-to-person-with-bird-flu-had-symptoms-heres/
Bird Flu Fears Stoke the Race for an mRNA Flu Vaccine,2024-10-04T19:21:00Z,https://science.slashdot.org/story/24/10/04/1845237/bird-flu-fears-stoke-the-race-for-an-mrna-flu-vaccine
"COVID-19 cases during 1st wave linked to higher heart attack, stroke risk: Study",2024-10-11T22:01:57Z,https://abcnews.go.com/Health/covid-19-infections-1st-wave-linked-higher-risk/story?id=114734406
Invasive Ticks Carrying New Diseases Are Spreading Through the Northeast,2024-10-01T20:41:49Z,https://gizmodo.com/invasive-ticks-carrying-new-diseases-are-spreading-through-the-northeast-2000505769
Dozens of tigers dead after bird flu hits Vietnam zoos,2024-10-03T08:02:30Z,https://www.bbc.com/news/articles/crm2x40k82lo
The US is ramping up bird flu surveillance – but will it be enough?,2024-10-07T20:13:10Z,https://www.newscientist.com/article/2450743-the-us-is-ramping-up-bird-flu-surveillance-but-will-it-be-enough/
"‘I’m an Infectious Disease Expert, and This Is the #1 Vaccine Myth I Wish Everyone Would Stop Believing'",2024-10-03T10:25:00Z,https://parade.com/health/top-vaccine-myth-to-stop-believing-according-to-infectious-disease-experts
Dems Call for Criminal Investigation in Boar’s Head Listeria Outbreak That’s Killed 10,2024-09-28T12:00:48Z,https://gizmodo.com/dems-call-for-criminal-investigation-in-boars-head-listeria-outbreak-thats-killed-10-2000504668
"1 dead, dozens sickened in E. coli outbreak linked to McDonald's Quarter Pounders",2024-10-22T21:28:05Z,https://www.npr.org/2024/10/22/nx-s1-5161590/mcdonalds-ecoli-quarter-pounders-cdc
'I left my son at school so he'd be taken into care',2024-09-23T23:00:24Z,https://www.bbc.com/news/articles/c2lnd5wj9z5o
How Rwanda Is Containing a Deadly Marburg Virus Outbreak,2024-10-08T19:16:00Z,https://www.scientificamerican.com/article/how-rwanda-is-containing-a-deadly-marburg-virus-outbreak/
Marburg virus outbreak kills six in Rwanda,2024-09-29T07:58:57Z,https://www.bbc.com/news/articles/c8el1ky2nd6o
"As bird flu outbreaks rise, piles of dead cattle become shocking Central Valley tableau",2024-10-20T10:00:44Z,https://www.yahoo.com/news/bird-flu-outbreaks-rise-piles-100044871.html
"Outbreak detection under-resourced in Asia, study finds",2024-09-24T16:30:08Z,https://www.sciencedaily.com/releases/2024/09/240924123008.htm
CDC Says McDonald’s E. Coli Outbreak Kills 1 and Hospitalizes 10,2024-10-22T21:06:22Z,https://gizmodo.com/cdc-says-mcdonalds-e-coli-outbreak-kills-1-and-hospitalizes-10-2000515312
"Serious Infections Linked to Dementia Risk, Study Shows",2024-10-19T17:34:00Z,https://science.slashdot.org/story/24/10/19/0545239/serious-infections-linked-to-dementia-risk-study-shows
Reduced risk of serious cardiovascular disease after COVID vaccination,2024-09-30T16:29:18Z,https://www.sciencedaily.com/releases/2024/09/240930122918.htm
New mouse models offer valuable window into COVID-19 infection,2024-10-01T18:26:52Z,https://www.sciencedaily.com/releases/2024/10/241001142652.htm
Gizmodo Science Fair: Bacteria-Created Plastic That Can Be Recycled Forever,2024-09-24T12:00:48Z,https://gizmodo.com/science-fair-pdk-plastic-2000496553
An Ebola-like virus is spreading in Rwanda. Why isn’t there an approved vaccine for Marburg?,2024-10-03T21:08:07Z,https://www.vox.com/future-perfect/375819/marburg-outbreak-rwanda-vaccine-trial
COVID-19 infection appeared to increase risk of heart attack and stroke up to 3 years later,2024-10-09T16:25:25Z,https://www.sciencedaily.com/releases/2024/10/241009122525.htm
"As Hurricane Floodwaters Recede, a Public Health Threat Rises",2024-10-22T16:00:00Z,https://grist.org/health/as-helenes-immediate-impacts-recede-a-public-health-threat-rises/
"A deadly E. Coli outbreak across 10 states has been linked to McDonald's Quarter-Pounders, CDC says",2024-10-22T21:24:51Z,https://www.businessinsider.com/mcdonalds-e-coli-outbreak-tied-quarter-pounders-2024-10
Scientists bring socioeconomic status at the forefront of epidemic modelling,2024-10-11T18:09:56Z,https://www.sciencedaily.com/releases/2024/10/241011140956.htm

Sheet 3: Finance
title,publishedAt,url
