Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2000-01-03,AMZN,0.278,0.0,0.722,0.4019
2000-01-27,AMZN,0.31,0.0,0.69,0.4019
2000-02-09,AMZN,0.359,0.0,0.641,0.4215
2000-02-25,AMZN,0.0,0.107,0.893,-0.0516
2000-03-02,AMZN,0.0,0.286,0.714,-0.5574
2000-03-10,AMZN,0.429,0.163,0.408,0.5574
2000-03-17,AMZN,0.0,0.524,0.476,-0.5106
2000-03-20,AMZN,0.537,0.0,0.463,0.7003
2000-03-30,AMZN,0.574,0.0,0.426,0.6597
2000-04-13,AMZN,0.271,0.0,0.729,0.3818
2000-05-08,AMZN,0.756,0.0,0.244,0.4767
2000-05-18,AMZN,0.0,0.452,0.548,-0.5106
2000-06-09,AMZN,0.0,0.375,0.625,-0.5574
2000-06-15,AMZN,0.441,0.198,0.36,0.4019
2000-06-29,AMZN,0.097,0.195,0.708,-0.2732
2000-07-17,AMZN,0.412,0.0,0.588,0.6369
2000-07-27,AMZN,0.52,0.347,0.133,0.0772
2000-08-22,AMZN,0.0,0.263,0.737,-0.3612
2000-09-19,AMZN,0.399,0.0,0.601,0.2481
2000-11-22,AMZN,0.474,0.0,0.526,0.4019
2000-11-27,AMZN,0.0,0.52,0.48,-0.7578999999999999
2000-12-07,AMZN,0.247004662004662,0.39200000000000007,0.6112610169491525,-0.3981999999999999
2000-12-12,AMZN,0.0,0.286,0.714,-0.1531
2000-12-18,AMZN,0.0,0.6916950354609929,0.4647893296853626,-0.7088918862400669
2000-12-22,AMZN,0.368,0.0,0.632,0.5423
2000-12-27,AMZN,0.0,0.54,0.46,-0.5719
2001-01-02,AMZN,0.254,0.0,0.746,0.1779
2001-01-04,AMZN,0.0,0.367,0.633,-0.4404
2001-01-05,AMZN,0.0,0.35500000000000004,0.645,-0.296
2001-01-22,AMZN,0.0,0.574,0.426,-0.6597
2001-01-23,AMZN,0.545,0.0,0.455,0.802
2001-02-16,AMZN,0.319,0.0,0.681,0.1035
2001-03-01,AMZN,0.0,0.451,0.549,-0.6249
2001-03-12,AMZN,0.0,0.333,0.667,-0.4588
2001-04-09,AMZN,0.535,0.0,0.465,0.5574
2001-04-10,AMZN,0.0,0.368,0.632,-0.5423
