Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2000-03-01,GOOG,0.681,0.0,0.319,0.7506
2000-05-02,GOOG,0.0,0.194,0.806,-0.0516
2000-05-03,GOOG,0.556,0.0,0.444,0.6124
2000-06-16,GOOG,0.452,0.0,0.548,0.5106
2000-09-12,GOOG,0.508,0.492,0.0,0.0258
2000-09-22,GOOG,0.278,0.0,0.722,0.4019
2001-05-02,GOOG,0.464,0.0,0.536,0.3818
2001-05-25,GOOG,0.167,0.0,0.833,0.1531
2001-06-04,GOOG,0.659,0.0,0.341,0.7003
2001-09-28,GOOG,0.383,0.0,0.617,0.4767
2001-11-05,GOOG,0.552,0.0,0.44800000000000006,0.5719
2001-12-19,GOOG,0.512,0.0,0.488,0.6369
2002-01-30,GOOG,0.375,0.0,0.625,0.34
2002-02-07,GOOG,0.273,0.0,0.7269999999999999,0.128
2002-03-11,GOOG,0.31,0.0,0.69,0.4019
2002-06-03,GOOG,0.471,0.167,0.362,0.6369
2002-07-05,GOOG,0.5,0.0,0.5,0.7184
2002-12-19,GOOG,0.237,0.226,0.538,0.0258
2002-12-23,GOOG,0.35500000000000004,0.263,0.6940622286541245,0.1494
2003-01-10,GOOG,0.0,0.444,0.556,-0.34
2003-04-11,GOOG,0.315,0.0,0.685,0.3182
2003-05-19,GOOG,0.185,0.0,0.815,0.3612
2003-06-27,GOOG,0.274,0.20000000000000004,0.526,0.1779
2003-11-13,GOOG,0.0,0.56,0.44,-0.6249
2004-03-04,GOOG,0.293,0.0,0.707,0.4404
2004-04-01,GOOG,0.248,0.0,0.752,0.5106
2004-04-19,GOOG,0.0,0.265,0.735,-0.2023
2004-04-28,GOOG,0.0,0.19600000000000004,0.804,-0.296
2004-05-28,GOOG,0.394,0.0,0.606,0.3818
2004-06-17,GOOG,0.286,0.0,0.714,0.34
2004-07-16,GOOG,0.375,0.0,0.625,0.6369
2004-08-05,GOOG,0.204,0.333,0.463,-0.34
2004-08-23,GOOG,0.394,0.0,0.606,0.3818
2004-09-14,GOOG,0.623,0.0,0.377,0.5106
2005-01-27,GOOG,0.574,0.0,0.426,0.6597
2005-03-02,GOOG,0.341,0.0,0.659,0.4767
