Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2000-01-31,MSFT,0.0,0.622,0.378,-0.7645
2000-03-14,MSFT,0.35500000000000004,0.0,0.645,0.296
2000-03-24,MSFT,0.247,0.42999999999999994,0.323,-0.4019
2000-04-04,MSFT,0.0,0.135,0.865,-0.10269999999999999
2000-04-24,MSFT,0.18,0.0,0.918901098901099,0.296
2000-05-11,MSFT,0.0,0.623,0.377,-0.5106
2000-05-22,MSFT,0.245,0.0,0.755,0.3818
2000-05-25,MSFT,0.0,0.375,0.625,-0.34
2000-06-14,MSFT,0.326,0.0,0.674,0.4404
2000-07-24,MSFT,0.184,0.202,0.614,-0.0516
2000-10-05,MSFT,0.0,0.417,0.583,-0.5106
2000-12-08,MSFT,0.0,0.643,0.357,-0.6597
2000-12-19,MSFT,0.39,0.0,0.61,0.4939
2001-01-02,MSFT,0.0,0.36499999999999994,0.635,-0.3182
2001-08-21,MSFT,0.0,0.35500000000000004,0.645,-0.296
2001-09-06,MSFT,0.192,0.231,0.577,-0.10269999999999999
2001-11-05,MSFT,0.25,0.0,0.75,0.25
2001-11-06,MSFT,0.0,0.403,0.597,-0.4019
2001-11-15,MSFT,0.0,0.38499999999999995,0.615,-0.3612
2002-02-01,MSFT,0.212,0.318,0.471,-0.22629999999999997
2002-02-08,MSFT,0.0,0.43472739187418086,0.8071957979436745,-0.296
2002-03-15,MSFT,0.36499999999999994,0.0,0.635,0.3182
2002-05-08,MSFT,0.0,0.43799999999999994,0.562,-0.5994
2002-05-22,MSFT,0.0,0.7299999999999999,0.27,-0.6597
2002-06-03,MSFT,0.288,0.301,0.411,-0.0258
2002-06-13,MSFT,0.0,0.529,0.471,-0.6705
2002-08-08,MSFT,0.0,0.412,0.588,-0.4215
2002-09-25,MSFT,0.35500000000000004,0.0,0.645,0.296
2002-10-02,MSFT,0.194,0.403,0.403,-0.3818
2002-10-10,MSFT,0.444,0.0,0.556,0.34
2002-12-24,MSFT,0.223,0.0,0.9024924029262802,0.3182
2003-01-27,MSFT,0.403,0.0,0.597,0.4019
2003-03-13,MSFT,0.0,0.351,0.861856276531231,-0.4019
2003-04-09,MSFT,0.0,0.222,0.778,-0.25
2003-06-11,MSFT,0.0,0.37317158176943704,0.6271020733652313,-0.5398564335953662
2003-06-24,MSFT,0.318,0.329,0.353,-0.0258
2003-07-10,MSFT,0.0,0.235328227571116,0.8625815965395203,-0.2850566408995081
2003-07-22,MSFT,0.0,0.403,0.597,-0.4019
2003-08-20,MSFT,0.0,0.271,0.729,-0.3818
2003-09-09,MSFT,0.0,0.394,0.606,-0.3818
2003-09-12,MSFT,0.0,0.487,0.513,-0.4215
2003-10-30,MSFT,0.0,0.232,0.9356300578034683,-0.2755
2003-12-08,MSFT,0.122,0.265,0.612,-0.4767
2003-12-29,MSFT,0.0,0.4000000000000001,0.6,-0.4588
2004-01-09,MSFT,0.0,0.383,0.617,-0.4767
2004-01-16,MSFT,0.0,0.31,0.69,-0.2023
2004-01-21,MSFT,0.111,0.291,0.598,-0.4767
2004-01-23,MSFT,0.231,0.0,0.769,0.4019
2004-02-09,MSFT,0.0,0.286,0.714,-0.4939
2004-03-19,MSFT,0.0,0.333,0.667,-0.5423
2004-03-22,MSFT,0.0,0.368,0.632,-0.5423
2004-04-22,MSFT,0.154,0.405,0.441,-0.5927
2004-04-30,MSFT,0.444,0.0,0.556,0.34
2004-05-03,MSFT,0.194,0.0,0.9134197120708749,0.34
2004-05-05,MSFT,0.0,0.412,0.588,-0.4215
2004-06-23,MSFT,0.0,0.204,0.796,-0.3182
2004-07-07,MSFT,0.0,0.221,0.779,-0.1779
2004-08-27,MSFT,0.0,0.247,0.753,-0.5574
2004-09-20,MSFT,0.0,0.256,0.744,-0.4767
2004-10-08,MSFT,0.0,0.394,0.606,-0.3818
2004-11-18,MSFT,0.271,0.0,0.729,0.3818
2004-12-10,MSFT,0.0,0.529,0.471,-0.6705
2004-12-23,MSFT,0.205,0.0,0.795,0.2023
2005-01-21,MSFT,0.0,0.518,0.482,-0.6486
2005-01-27,MSFT,0.367,0.0,0.633,0.4404
2005-02-14,MSFT,0.0,0.7829999999999999,0.217,-0.7351000000000001
2005-02-24,MSFT,0.0,0.296,0.704,-0.2732
2005-03-30,MSFT,0.351,0.0,0.649,0.4019
2005-04-11,MSFT,0.0,0.351,0.649,-0.4019
