

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-337680000.0,0.36,5941000000.0,-938000000.0,-938000000.0,1370000000.0,2131000000.0,4202000000.0,5003000000.0,2872000000.0,-506000000.0,726000000.0,220000000.0,1970320000.0,1370000000.0,9527000000.0,3998000000.0,1771000000.0,1768000000.0,0.77,0.77,1360000000.0,1360000000.0,10000000.0,1370000000.0,-3000000.0,1373000000.0,1373000000.0,773000000.0,2146000000.0,-2283000000.0,-1345000000.0,-937000000.0,,937000000.0,-1000000.0,-506000000.0,726000000.0,220000000.0,4935000000.0,5325000000.0,,1948000000.0,3377000000.0,10260000000.0,4202000000.0,14462000000.0,14462000000.0
2024-03-31,-36960000.0,0.22,4657000000.0,-168000000.0,-168000000.0,1369000000.0,2074000000.0,4094000000.0,4489000000.0,2415000000.0,-453000000.0,660000000.0,207000000.0,1500040000.0,1369000000.0,9348000000.0,2798000000.0,1773000000.0,1769000000.0,0.77,0.77,1359000000.0,1359000000.0,10000000.0,1369000000.0,-3000000.0,1372000000.0,1372000000.0,383000000.0,1755000000.0,-754000000.0,-586000000.0,-164000000.0,,164000000.0,-4000000.0,-453000000.0,660000000.0,207000000.0,2962000000.0,5254000000.0,,1939000000.0,3315000000.0,8216000000.0,4094000000.0,12310000000.0,12310000000.0
2023-12-31,-105963696.369637,0.320132,4183000000.0,-331000000.0,-331000000.0,822000000.0,2076000000.0,5704000000.0,3852000000.0,1776000000.0,-378000000.0,564000000.0,186000000.0,1047036303.630363,822000000.0,10824000000.0,3195000000.0,1772000000.0,1765940733.0,0.46,0.465474,779000000.0,779000000.0,,822000000.0,-2000000.0,824000000.0,824000000.0,388000000.0,1212000000.0,-1887000000.0,-1556000000.0,-282000000.0,282000000.0,,-49000000.0,-378000000.0,564000000.0,186000000.0,3477000000.0,5120000000.0,0.0,1927000000.0,3193000000.0,8597000000.0,5704000000.0,14301000000.0,14301000000.0
2023-09-30,-8190000.0,0.09,4834000000.0,-91000000.0,-91000000.0,1778000000.0,2235000000.0,6485000000.0,4743000000.0,2508000000.0,-398000000.0,555000000.0,157000000.0,1860810000.0,1778000000.0,11580000000.0,2281000000.0,1771000000.0,1765486035.0,1.0,1.007088,1778000000.0,1778000000.0,,1778000000.0,-3000000.0,1781000000.0,1781000000.0,172000000.0,1953000000.0,4000000.0,95000000.0,-66000000.0,66000000.0,,-25000000.0,-398000000.0,555000000.0,157000000.0,2347000000.0,5095000000.0,,1723000000.0,3372000000.0,7442000000.0,6485000000.0,13927000000.0,13927000000.0
2023-06-30,-69740000.0,0.22,5739000000.0,-317000000.0,-317000000.0,2024000000.0,2260000000.0,4240000000.0,5422000000.0,3162000000.0,-454000000.0,552000000.0,98000000.0,2271260000.0,2024000000.0,9072000000.0,4513000000.0,1775438596.0,1775438596.0,1.14,1.14,2013000000.0,2013000000.0,11000000.0,2024000000.0,-3000000.0,2027000000.0,2027000000.0,583000000.0,2610000000.0,-1729000000.0,-1412000000.0,-280000000.0,280000000.0,280000000.0,-37000000.0,-454000000.0,552000000.0,98000000.0,4793000000.0,4832000000.0,-169000000.0,1733000000.0,3268000000.0,9625000000.0,4240000000.0,13865000000.0,13865000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,11000000.0,,,,,,,,,,150000000.0,150000000.0,,,,,,,-10000000.0,,,,,,


Net Income
,Net Income
2024-06-30,1370000000.0
2024-03-31,1369000000.0
2023-12-31,822000000.0
2023-09-30,1778000000.0
2023-06-30,2024000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-06 00:00:00-05:00,1634750000
2016-02-19 00:00:00-05:00,1611240000
2016-06-01 00:00:00-04:00,1680110000
2016-07-28 00:00:00-04:00,1656130000
2016-08-05 00:00:00-04:00,1664110000
2016-11-07 00:00:00-05:00,1625100000
2017-02-17 00:00:00-05:00,1593920000
2017-02-17 00:00:00-05:00,1593580000
2017-03-20 00:00:00-04:00,1593580032
2017-03-20 00:00:00-04:00,1591539968
2017-03-20 00:00:00-04:00,1593580000
2017-05-05 00:00:00-04:00,1591539968
2017-08-07 00:00:00-04:00,1587970048
2017-08-07 00:00:00-04:00,1504220032
2017-08-07 00:00:00-04:00,1596429952
2017-08-07 00:00:00-04:00,1586880000
2017-08-07 00:00:00-04:00,1594089984
2017-08-07 00:00:00-04:00,1514269952
2017-08-07 00:00:00-04:00,1586690048
2017-08-07 00:00:00-04:00,1514060032
2018-11-14 00:00:00-05:00,1504220032
2018-11-16 00:00:00-05:00,1504220032
2018-11-19 00:00:00-05:00,1504220032
2018-11-21 00:00:00-05:00,1504220032
2018-11-22 00:00:00-05:00,1504220032
2018-11-26 00:00:00-05:00,1504220032
2018-11-28 00:00:00-05:00,1504220032
2018-11-29 00:00:00-05:00,1504220032
2018-12-05 00:00:00-05:00,1504220032
2018-12-06 00:00:00-05:00,1504220032
2018-12-07 00:00:00-05:00,1504220032
2018-12-09 00:00:00-05:00,1504220032
2018-12-10 00:00:00-05:00,1504220032
2018-12-11 00:00:00-05:00,1504220032
2018-12-12 00:00:00-05:00,1504220032
2018-12-14 00:00:00-05:00,1504220032
2018-12-16 00:00:00-05:00,1504220032
2018-12-17 00:00:00-05:00,1504220032
2018-12-19 00:00:00-05:00,1504220032
2018-12-21 00:00:00-05:00,1504220032
2018-12-30 00:00:00-05:00,1504220032
2019-01-05 00:00:00-05:00,1504220032
2019-01-07 00:00:00-05:00,1504220032
2019-01-09 00:00:00-05:00,1504220032
2019-01-10 00:00:00-05:00,1504220032
2019-01-12 00:00:00-05:00,1504220032
2019-01-14 00:00:00-05:00,1504220032
2019-01-16 00:00:00-05:00,1504220032
2019-01-17 00:00:00-05:00,1504220032
2019-01-20 00:00:00-05:00,1504220032
2019-01-22 00:00:00-05:00,1504220032
2019-01-24 00:00:00-05:00,1504220032
2019-01-25 00:00:00-05:00,1504220032
2019-01-28 00:00:00-05:00,1504220032
2019-01-30 00:00:00-05:00,1504220032
2019-02-04 00:00:00-05:00,1504220032
2019-02-07 00:00:00-05:00,1504220032
2019-02-10 00:00:00-05:00,1504220032
2019-02-11 00:00:00-05:00,1504220032
2019-02-13 00:00:00-05:00,1504220032
2019-02-14 00:00:00-05:00,1504220032
2019-02-15 00:00:00-05:00,1504220032
2019-02-17 00:00:00-05:00,1504220032
2019-02-18 00:00:00-05:00,1504220032
2019-02-20 00:00:00-05:00,1504220032
2019-02-28 00:00:00-05:00,1504220032
2019-03-01 00:00:00-05:00,1504220032
2019-03-07 00:00:00-05:00,1475079936
2019-03-09 00:00:00-05:00,1475079936
2019-03-10 00:00:00-05:00,1475079936
2019-03-11 00:00:00-04:00,1475079936
2019-03-14 00:00:00-04:00,1475079936
2019-03-15 00:00:00-04:00,1475079936
2019-03-17 00:00:00-04:00,1475079936
2019-03-18 00:00:00-04:00,1475079936
2019-03-26 00:00:00-04:00,1478160000
2019-03-27 00:00:00-04:00,1478160000
2019-03-29 00:00:00-04:00,1478160000
2019-03-30 00:00:00-04:00,1478160000
2019-04-01 00:00:00-04:00,1478160000
2019-04-02 00:00:00-04:00,1478160000
2019-04-05 00:00:00-04:00,1478160000
2019-04-09 00:00:00-04:00,1478160000
2019-04-11 00:00:00-04:00,1478160000
2019-04-14 00:00:00-04:00,1478160000
2019-04-15 00:00:00-04:00,1478160000
2019-04-17 00:00:00-04:00,1478160000
2019-04-19 00:00:00-04:00,1478160000
2019-04-21 00:00:00-04:00,1478160000
2019-04-23 00:00:00-04:00,1478160000
2019-04-29 00:00:00-04:00,1478160000
2019-05-01 00:00:00-04:00,1478160000
2019-05-02 00:00:00-04:00,1478160000
2019-05-03 00:00:00-04:00,1478160000
