

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,1138767.890479,0.189795,2546000000.0,6000000.0,6000000.0,1302000000.0,805000000.0,4269000000.0,2552000000.0,1747000000.0,-58000000.0,140000000.0,82000000.0,1297138767.890479,1302000000.0,8708000000.0,1669000000.0,1751000000.0,1739633759.0,0.74,0.748433,1302000000.0,1302000000.0,1302000000.0,1302000000.0,1302000000.0,305000000.0,1607000000.0,-4000000.0,-10000000.0,6000000.0,-58000000.0,140000000.0,82000000.0,1669000000.0,4105000000.0,471000000.0,471000000.0,471000000.0,471000000.0,698000000.0,2936000000.0,5774000000.0,4603000000.0,10377000000.0,10377000000.0
2024-03-31,0.0,0.146936,2382000000.0,,,1225000000.0,805000000.0,4130000000.0,2382000000.0,1577000000.0,-61000000.0,141000000.0,80000000.0,1225000000.0,1225000000.0,8578000000.0,1386000000.0,1750000000.0,1739633759.0,0.7,0.704171,1225000000.0,1225000000.0,1225000000.0,1225000000.0,1225000000.0,211000000.0,1436000000.0,111000000.0,111000000.0,,-61000000.0,141000000.0,80000000.0,1386000000.0,4115000000.0,472000000.0,472000000.0,472000000.0,472000000.0,684000000.0,2959000000.0,5501000000.0,4463000000.0,9964000000.0,9964000000.0
2023-12-31,-2687465.181058,0.111978,2791000000.0,-24000000.0,-24000000.0,1594000000.0,813000000.0,4224000000.0,2767000000.0,1954000000.0,-70000000.0,159000000.0,89000000.0,1615312534.818942,1594000000.0,8461000000.0,1780000000.0,1748000000.0,1734076358.0,0.91,0.919221,1594000000.0,1594000000.0,1594000000.0,1594000000.0,1594000000.0,201000000.0,1795000000.0,85000000.0,109000000.0,-24000000.0,-70000000.0,159000000.0,89000000.0,1780000000.0,3905000000.0,481000000.0,481000000.0,481000000.0,481000000.0,700000000.0,2724000000.0,5685000000.0,4556000000.0,10241000000.0,10241000000.0
2023-09-30,1406343.506882,0.140634,2651000000.0,10000000.0,10000000.0,1436000000.0,824000000.0,4277000000.0,2661000000.0,1837000000.0,-69000000.0,166000000.0,97000000.0,1427406343.506882,1436000000.0,8496000000.0,1647000000.0,1748000000.0,1736058536.0,0.82,0.827161,1436000000.0,1436000000.0,1436000000.0,1436000000.0,1436000000.0,235000000.0,1671000000.0,93000000.0,83000000.0,10000000.0,-69000000.0,166000000.0,97000000.0,1647000000.0,3891000000.0,496000000.0,496000000.0,496000000.0,496000000.0,672000000.0,2723000000.0,5538000000.0,4605000000.0,10143000000.0,10143000000.0
2023-06-30,-3350244.498778,0.159535,2616000000.0,-21000000.0,-21000000.0,1375000000.0,800000000.0,4181000000.0,2595000000.0,1795000000.0,-61000000.0,159000000.0,98000000.0,1392649755.501222,1375000000.0,8436000000.0,1542000000.0,1750000000.0,1735357980.0,0.78,0.792344,1375000000.0,1375000000.0,1375000000.0,1375000000.0,1375000000.0,261000000.0,1636000000.0,155000000.0,176000000.0,-21000000.0,-61000000.0,159000000.0,98000000.0,1542000000.0,3953000000.0,498000000.0,498000000.0,498000000.0,498000000.0,715000000.0,2740000000.0,5495000000.0,4483000000.0,9978000000.0,9978000000.0
2023-03-31,,,,-6000000.0,-6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-6000000.0,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,1302000000.0
2024-03-31,1225000000.0
2023-12-31,1594000000.0
2023-09-30,1436000000.0
2023-06-30,1375000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-05 00:00:00-05:00,1491720000
2016-03-21 00:00:00-04:00,1473240000
2016-04-28 00:00:00-04:00,1469520000
2016-05-04 00:00:00-04:00,1469150000
2016-08-03 00:00:00-04:00,1470000000
2016-11-03 00:00:00-04:00,1472310000
2017-01-05 00:00:00-05:00,1726200000
2017-01-05 00:00:00-05:00,1721110000
2017-02-17 00:00:00-05:00,1728000000
2017-02-25 00:00:00-05:00,1728000000
2017-05-03 00:00:00-04:00,1735270016
2017-05-06 00:00:00-04:00,1735270016
2017-05-06 00:00:00-04:00,1737440000
2017-08-02 00:00:00-04:00,1754320000
2017-08-02 00:00:00-04:00,1753190016
2017-08-02 00:00:00-04:00,1746329984
2017-08-02 00:00:00-04:00,1740600064
2017-08-02 00:00:00-04:00,1756329984
2017-08-02 00:00:00-04:00,1737440000
2018-11-13 00:00:00-05:00,1756329984
2018-11-14 00:00:00-05:00,1756329984
2018-11-15 00:00:00-05:00,1756329984
2018-11-19 00:00:00-05:00,1756329984
2018-11-21 00:00:00-05:00,1756329984
2018-11-22 00:00:00-05:00,1756329984
2018-11-26 00:00:00-05:00,1756329984
2018-11-28 00:00:00-05:00,1756329984
2018-11-29 00:00:00-05:00,1756329984
2018-12-02 00:00:00-05:00,1756329984
2018-12-03 00:00:00-05:00,1756329984
2018-12-04 00:00:00-05:00,1756329984
2018-12-06 00:00:00-05:00,1756329984
2018-12-07 00:00:00-05:00,1756329984
2018-12-09 00:00:00-05:00,1756329984
2018-12-10 00:00:00-05:00,1756329984
2018-12-11 00:00:00-05:00,1756329984
2018-12-12 00:00:00-05:00,1756329984
2018-12-14 00:00:00-05:00,1756329984
2018-12-16 00:00:00-05:00,1756329984
2018-12-17 00:00:00-05:00,1756329984
2018-12-19 00:00:00-05:00,1756329984
2018-12-21 00:00:00-05:00,1756329984
2018-12-30 00:00:00-05:00,1756329984
2018-12-31 00:00:00-05:00,1756329984
2019-01-05 00:00:00-05:00,1756329984
2019-01-07 00:00:00-05:00,1756329984
2019-01-09 00:00:00-05:00,1756329984
2019-01-10 00:00:00-05:00,1756329984
2019-01-12 00:00:00-05:00,1756329984
2019-01-14 00:00:00-05:00,1756329984
2019-01-16 00:00:00-05:00,1756329984
2019-01-17 00:00:00-05:00,1756329984
2019-01-20 00:00:00-05:00,1756329984
2019-01-22 00:00:00-05:00,1756329984
2019-01-24 00:00:00-05:00,1756329984
2019-01-25 00:00:00-05:00,1756329984
2019-01-26 00:00:00-05:00,1756329984
2019-01-28 00:00:00-05:00,1756329984
2019-01-30 00:00:00-05:00,1756329984
2019-02-04 00:00:00-05:00,1756329984
2019-02-07 00:00:00-05:00,1756329984
2019-02-10 00:00:00-05:00,1756329984
2019-02-11 00:00:00-05:00,1756329984
2019-02-13 00:00:00-05:00,1756329984
2019-02-14 00:00:00-05:00,1756329984
2019-02-15 00:00:00-05:00,1756329984
2019-02-17 00:00:00-05:00,1756329984
2019-02-18 00:00:00-05:00,1756329984
2019-02-20 00:00:00-05:00,1756329984
2019-02-28 00:00:00-05:00,1756470016
2019-03-01 00:00:00-05:00,1756470016
2019-03-07 00:00:00-05:00,1756470016
2019-03-09 00:00:00-05:00,1756470016
2019-03-10 00:00:00-05:00,1756470016
2019-03-11 00:00:00-04:00,1756470016
2019-03-14 00:00:00-04:00,1756470016
2019-03-15 00:00:00-04:00,1756470016
2019-03-17 00:00:00-04:00,1756470016
2019-03-18 00:00:00-04:00,1756470016
2019-03-26 00:00:00-04:00,1756470016
2019-03-27 00:00:00-04:00,1756470016
2019-03-29 00:00:00-04:00,1756470016
2019-03-30 00:00:00-04:00,1756470016
2019-04-01 00:00:00-04:00,1756470016
2019-04-02 00:00:00-04:00,1756470016
2019-04-05 00:00:00-04:00,1756470016
2019-04-09 00:00:00-04:00,1756470016
2019-04-11 00:00:00-04:00,1756470016
2019-04-14 00:00:00-04:00,1756470016
2019-04-15 00:00:00-04:00,1756470016
2019-04-17 00:00:00-04:00,1756470016
2019-04-19 00:00:00-04:00,1756470016
2019-04-21 00:00:00-04:00,1756470016
2019-04-23 00:00:00-04:00,1756470016
2019-04-29 00:00:00-04:00,1756470016
2019-05-01 00:00:00-04:00,1756470016
2019-05-02 00:00:00-04:00,1764179968
2019-05-03 00:00:00-04:00,1764179968
2019-05-05 00:00:00-04:00,1764179968
2019-05-07 00:00:00-04:00,1764179968
2019-05-09 00:00:00-04:00,1764179968
2019-05-11 00:00:00-04:00,1764179968
2019-05-12 00:00:00-04:00,1764179968
2019-05-13 00:00:00-04:00,1764179968
2019-05-19 00:00:00-04:00,1764179968
2019-05-20 00:00:00-04:00,1764179968
2019-05-22 00:00:00-04:00,1764179968
2019-05-28 00:00:00-04:00,1764179968
2019-06-01 00:00:00-04:00,1764179968
2019-06-03 00:00:00-04:00,1764179968
2019-06-05 00:00:00-04:00,1764179968
2019-06-07 00:00:00-04:00,1764179968
2019-06-10 00:00:00-04:00,1764179968
2019-06-11 00:00:00-04:00,1764179968
2019-06-13 00:00:00-04:00,1764179968
2019-06-17 00:00:00-04:00,1764179968
2019-06-18 00:00:00-04:00,1764179968
2019-06-19 00:00:00-04:00,1764179968
2019-06-20 00:00:00-04:00,1764179968
2019-06-21 00:00:00-04:00,1764179968
2019-06-22 00:00:00-04:00,1764179968
2019-06-23 00:00:00-04:00,1764179968
2019-06-24 00:00:00-04:00,1764179968
2019-06-27 00:00:00-04:00,1764179968
2019-07-02 00:00:00-04:00,1764179968
2019-07-02 00:00:00-04:00,1772359936
2019-07-03 00:00:00-04:00,1773789952
2019-07-04 00:00:00-04:00,1764179968
2019-07-05 00:00:00-04:00,1749970048
2019-07-06 00:00:00-04:00,1764179968
2019-07-11 00:00:00-04:00,1766460032
2019-07-12 00:00:00-04:00,1772240000
2019-07-13 00:00:00-04:00,1764179968
2019-07-24 00:00:00-04:00,1777600000
2019-07-25 00:00:00-04:00,1764179968
2019-08-02 00:00:00-04:00,1767399936
2019-08-08 00:00:00-04:00,1798000000
2019-08-09 00:00:00-04:00,1787449984
2019-08-10 00:00:00-04:00,1767399936
2019-08-30 00:00:00-04:00,1754899968
2019-09-02 00:00:00-04:00,1744610048
2019-09-04 00:00:00-04:00,1767399936
2019-09-07 00:00:00-04:00,1755459968
2019-09-09 00:00:00-04:00,1752610048
2019-09-11 00:00:00-04:00,1812210048
2019-09-12 00:00:00-04:00,1767399936
2019-09-20 00:00:00-04:00,1758729984
2019-09-21 00:00:00-04:00,1767399936
2019-10-04 00:00:00-04:00,1733820032
2019-10-08 00:00:00-04:00,1767399936
2019-10-21 00:00:00-04:00,1776189952
2019-10-22 00:00:00-04:00,1767399936
2019-11-05 00:00:00-05:00,1787709952
2019-11-06 00:00:00-05:00,1797280000
2019-11-07 00:00:00-05:00,1768460032
2019-11-08 00:00:00-05:00,1787810048
2019-11-09 00:00:00-05:00,1768460032
2019-11-14 00:00:00-05:00,1765939968
2019-11-15 00:00:00-05:00,1766360064
2019-11-16 00:00:00-05:00,1768460032
2019-11-20 00:00:00-05:00,1768460032
2019-11-20 00:00:00-05:00,1769090048
2019-12-18 00:00:00-05:00,1781959936
2019-12-19 00:00:00-05:00,1768460032
2020-01-07 00:00:00-05:00,1790279936
2020-01-08 00:00:00-05:00,1780950016
2020-01-09 00:00:00-05:00,1765789952
2020-01-11 00:00:00-05:00,1775660032
2020-01-12 00:00:00-05:00,1768460032
2020-02-05 00:00:00-05:00,1792220032
2020-02-06 00:00:00-05:00,1768460032
2020-02-07 00:00:00-05:00,1766680064
2020-02-08 00:00:00-05:00,1768460032
2020-02-12 00:00:00-05:00,1785880064
2020-02-13 00:00:00-05:00,1768460032
2020-02-26 00:00:00-05:00,1768460032
2020-03-09 00:00:00-04:00,1790150016
2020-03-10 00:00:00-04:00,1763430016
2020-05-04 00:00:00-04:00,1768850048
2020-07-31 00:00:00-04:00,1770530048
2020-08-28 00:00:00-04:00,1770530048
2020-09-05 00:00:00-04:00,1836130048
2020-09-05 00:00:00-04:00,1770530048
2020-09-21 00:00:00-04:00,1767219968
2020-09-21 00:00:00-04:00,1770530048
2020-10-08 00:00:00-04:00,1770530048
2020-10-08 00:00:00-04:00,1746040064
2020-11-06 00:00:00-05:00,1772359936
2020-11-26 00:00:00-05:00,1772359936
2021-02-23 00:00:00-05:00,1771529984
2021-03-17 00:00:00-04:00,1771529984
2021-04-02 00:00:00-04:00,1784930048
2021-04-02 00:00:00-04:00,1771529984
2021-04-23 00:00:00-04:00,1758620032
2021-04-24 00:00:00-04:00,1761330048
2021-04-27 00:00:00-04:00,1771529984
2021-05-07 00:00:00-04:00,1776819968
2021-08-06 00:00:00-04:00,1772819968
2021-08-24 00:00:00-04:00,1772819968
2021-08-24 00:00:00-04:00,1779580032
2021-11-03 00:00:00-04:00,1789890048
2021-11-03 00:00:00-04:00,1772819968
2021-11-06 00:00:00-04:00,1768290048
2021-11-18 00:00:00-05:00,1799500032
2021-11-18 00:00:00-05:00,1768290048
2021-11-20 00:00:00-05:00,1779440000
2021-11-20 00:00:00-05:00,1768290048
2022-01-26 00:00:00-05:00,1776179968
2022-01-27 00:00:00-05:00,1815410048
2022-01-28 00:00:00-05:00,1768290048
2022-02-11 00:00:00-05:00,1768290048
2022-02-22 00:00:00-05:00,1763480064
2022-03-02 00:00:00-05:00,1800039936
2022-03-03 00:00:00-05:00,1763480064
2022-05-04 00:00:00-04:00,1769760000
2022-05-06 00:00:00-04:00,1763480064
2022-05-09 00:00:00-04:00,1750940032
2022-06-07 00:00:00-04:00,1753200000
2022-06-08 00:00:00-04:00,1750940032
2022-08-05 00:00:00-04:00,1751219968
2022-08-06 00:00:00-04:00,1751219968
2022-09-02 00:00:00-04:00,1751219968
2022-11-04 00:00:00-04:00,1743570048
2022-11-04 00:00:00-04:00,1772320000
2022-12-06 00:00:00-05:00,1787900032
2022-12-07 00:00:00-05:00,1743570048
2023-01-04 00:00:00-05:00,1746919936
2023-01-06 00:00:00-05:00,1743570048
2023-02-04 00:00:00-05:00,1750749952
2023-02-05 00:00:00-05:00,1743570048
2023-02-22 00:00:00-05:00,1737949952
2023-03-18 00:00:00-04:00,1774130048
2023-03-21 00:00:00-04:00,1737949952
2023-03-30 00:00:00-04:00,1764969984
2023-04-01 00:00:00-04:00,1737949952
2023-04-05 00:00:00-04:00,1758649984
2023-04-06 00:00:00-04:00,1737949952
2023-05-09 00:00:00-04:00,1738950016
2023-05-09 00:00:00-04:00,1743590016
2023-05-12 00:00:00-04:00,1749059968
2023-05-12 00:00:00-04:00,1742109952
2023-05-13 00:00:00-04:00,1742089984
2023-05-16 00:00:00-04:00,1738950016
2023-07-05 00:00:00-04:00,1768140032
2023-07-06 00:00:00-04:00,1765670016
2023-07-07 00:00:00-04:00,1738950016
2023-07-12 00:00:00-04:00,1746749952
