

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-08-31,0.0,0.263185,2749159000.0,,,1684301000.0,393763000.0,11068363000.0,2749159000.0,2355396000.0,28482000.0,22835000.0,51317000.0,1684301000.0,1684301000.0,14052151000.0,2353668000.0,,,,,1685907000.0,1606000.0,1684301000.0,1684301000.0,-34365000.0,1718666000.0,1718666000.0,613895000.0,2332561000.0,-49589000.0,-49589000.0,,,28482000.0,22835000.0,51317000.0,2353668000.0,2983788000.0,105947000.0,2877841000.0,1755272000.0,1122569000.0,1122569000.0,5337456000.0,11068363000.0,16405819000.0,16405819000.0
2024-05-31,0.0,0.254,3011129000.0,,,1932183000.0,345425000.0,10968377000.0,3011129000.0,2665704000.0,42356000.0,11334000.0,53690000.0,1932183000.0,1932183000.0,13835963000.0,2630865000.0,635607597.0,628353267.0,3.04,3.07,1934084000.0,1901000.0,1932183000.0,1932183000.0,-49165000.0,1981348000.0,1981348000.0,673022000.0,2654370000.0,-18851000.0,-18851000.0,,,42356000.0,11334000.0,53690000.0,2630865000.0,2867586000.0,77420000.0,2790166000.0,1750366000.0,1039800000.0,1039800000.0,5498451000.0,10968377000.0,16466828000.0,16466828000.0
2024-02-29,0.0,0.184,2453531000.0,,,1674859000.0,347487000.0,10921045000.0,2453531000.0,2106044000.0,54964000.0,10305000.0,65269000.0,1674859000.0,1674859000.0,13753087000.0,2046427000.0,636797814.0,629016555.0,2.63,2.66,1676534000.0,1675000.0,1674859000.0,1674859000.0,-34343000.0,1709202000.0,1709202000.0,386537000.0,2095739000.0,-5652000.0,-5652000.0,,,54964000.0,10305000.0,65269000.0,2046427000.0,2832042000.0,115409000.0,2716633000.0,1631185000.0,1085448000.0,1085448000.0,4878469000.0,10921045000.0,15799514000.0,15799514000.0
2023-11-30,0.0,0.232,2974515000.0,,,1973444000.0,343367000.0,10776362000.0,2974515000.0,2631148000.0,87485000.0,14495000.0,101980000.0,1973444000.0,1973444000.0,13659416000.0,2564887000.0,637398361.0,627996111.0,3.1,3.14,1975460000.0,2016000.0,1973444000.0,1973444000.0,-36537000.0,2009981000.0,2009981000.0,606672000.0,2616653000.0,-35719000.0,-35719000.0,,,87485000.0,14495000.0,101980000.0,2564887000.0,2883054000.0,139664000.0,2743390000.0,1709891000.0,1033499000.0,1033499000.0,5447941000.0,10776362000.0,16224303000.0,16224303000.0
2023-08-31,0.0,0.281204,2352266000.0,0.0,0.0,1372963000.0,375736000.0,10803571000.0,2352266000.0,1976530000.0,86224000.0,17403000.0,103627000.0,1372963000.0,1372963000.0,14072280000.0,1912920000.0,639249070.0,629922331.0,2.15,2.18,1374377000.0,1414000.0,1372963000.0,1372963000.0,-35249000.0,1408212000.0,1408212000.0,550915000.0,1959127000.0,-40017000.0,-40017000.0,0.0,0.0,86224000.0,17403000.0,103627000.0,1912920000.0,3268709000.0,471883000.0,2796826000.0,1730422000.0,1066404000.0,1066404000.0,5181629000.0,10803571000.0,15985200000.0,15985200000.0
2023-05-31,,,,0.0,0.0,,,,,,,,,,,,,638743434.0,631535162.0,3.15,3.18,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,


Net Income
,Net Income
2024-08-31,1684301000.0
2024-05-31,1932183000.0
2024-02-29,1674859000.0
2023-11-30,1973444000.0
2023-08-31,1372963000.0
2023-05-31,


Shares Outstanding
,0
2015-12-11 00:00:00-05:00,627914000
2015-12-17 00:00:00-05:00,259977000
2016-03-24 00:00:00-04:00,623791000
2016-04-22 00:00:00-04:00,622911000
2016-06-23 00:00:00-04:00,622542000
2016-10-28 00:00:00-04:00,620308000
2016-10-28 00:00:00-04:00,622630000
2016-12-15 00:00:00-05:00,620308000
2016-12-21 00:00:00-05:00,546575000
2016-12-21 00:00:00-05:00,548036000
2017-03-23 00:00:00-04:00,620083000
2017-03-23 00:00:00-04:00,620083008
2017-06-22 00:00:00-04:00,640748032
2017-06-22 00:00:00-04:00,638339968
2017-06-22 00:00:00-04:00,616668032
2017-06-22 00:00:00-04:00,643086976
2017-06-22 00:00:00-04:00,642222016
2017-06-22 00:00:00-04:00,614718016
2017-06-22 00:00:00-04:00,617985984
2018-11-13 00:00:00-05:00,638339968
2018-11-14 00:00:00-05:00,638339968
2018-11-15 00:00:00-05:00,638339968
2018-11-19 00:00:00-05:00,638339968
2018-11-20 00:00:00-05:00,638339968
2018-11-21 00:00:00-05:00,638339968
2018-11-22 00:00:00-05:00,638339968
2018-11-26 00:00:00-05:00,638339968
2018-11-28 00:00:00-05:00,638339968
2018-11-29 00:00:00-05:00,638339968
2018-12-02 00:00:00-05:00,638339968
2018-12-03 00:00:00-05:00,638339968
2018-12-04 00:00:00-05:00,638339968
2018-12-06 00:00:00-05:00,638339968
2018-12-07 00:00:00-05:00,638339968
2018-12-09 00:00:00-05:00,637449024
2018-12-10 00:00:00-05:00,637449024
2018-12-11 00:00:00-05:00,637449024
2018-12-12 00:00:00-05:00,637449024
2018-12-14 00:00:00-05:00,637449024
2018-12-16 00:00:00-05:00,637449024
2018-12-17 00:00:00-05:00,637449024
2018-12-19 00:00:00-05:00,637449024
2018-12-21 00:00:00-05:00,637449024
2018-12-22 00:00:00-05:00,637449024
2018-12-30 00:00:00-05:00,637449024
2018-12-31 00:00:00-05:00,637449024
2019-01-05 00:00:00-05:00,637449024
2019-01-07 00:00:00-05:00,637449024
2019-01-08 00:00:00-05:00,637449024
2019-01-09 00:00:00-05:00,637449024
2019-01-10 00:00:00-05:00,637449024
2019-01-11 00:00:00-05:00,637449024
2019-01-12 00:00:00-05:00,637449024
2019-01-14 00:00:00-05:00,637449024
2019-01-15 00:00:00-05:00,637449024
2019-01-16 00:00:00-05:00,637449024
2019-01-17 00:00:00-05:00,637449024
2019-01-20 00:00:00-05:00,637449024
2019-01-22 00:00:00-05:00,637449024
2019-01-24 00:00:00-05:00,637449024
2019-01-25 00:00:00-05:00,637449024
2019-01-26 00:00:00-05:00,637449024
2019-01-28 00:00:00-05:00,637449024
2019-01-30 00:00:00-05:00,637449024
2019-02-04 00:00:00-05:00,637449024
2019-02-07 00:00:00-05:00,637449024
2019-02-11 00:00:00-05:00,637449024
2019-02-13 00:00:00-05:00,637449024
2019-02-14 00:00:00-05:00,637449024
2019-02-15 00:00:00-05:00,637449024
2019-02-17 00:00:00-05:00,637449024
2019-02-18 00:00:00-05:00,637449024
2019-02-20 00:00:00-05:00,637449024
2019-02-28 00:00:00-05:00,637449024
2019-03-01 00:00:00-05:00,637449024
2019-03-07 00:00:00-05:00,637449024
2019-03-09 00:00:00-05:00,637449024
2019-03-10 00:00:00-05:00,637449024
2019-03-11 00:00:00-04:00,637449024
2019-03-14 00:00:00-04:00,637449024
2019-03-15 00:00:00-04:00,637449024
2019-03-17 00:00:00-04:00,637449024
2019-03-18 00:00:00-04:00,637449024
2019-03-26 00:00:00-04:00,637449024
2019-03-27 00:00:00-04:00,637449024
2019-03-29 00:00:00-04:00,637449024
2019-03-30 00:00:00-04:00,637449024
2019-04-01 00:00:00-04:00,637833024
2019-04-02 00:00:00-04:00,637833024
2019-04-05 00:00:00-04:00,637833024
2019-04-09 00:00:00-04:00,637833024
2019-04-11 00:00:00-04:00,637833024
2019-04-14 00:00:00-04:00,637833024
