

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-08-31,2160000.0,0.18,2294000000.0,12000000.0,12000000.0,1684000000.0,213000000.0,384000000.0,2306000000.0,2093000000.0,-51000000.0,51000000.0,1674160000.0,1684000000.0,3416000000.0,1992000000.0,448000000.0,445000000.0,3.76,3.78,1684000000.0,1684000000.0,1684000000.0,1684000000.0,1684000000.0,358000000.0,2042000000.0,101000000.0,89000000.0,0.0,,0.0,12000000.0,-51000000.0,51000000.0,1992000000.0,2862000000.0,43000000.0,43000000.0,43000000.0,43000000.0,1022000000.0,1797000000.0,1431000000.0,366000000.0,366000000.0,4854000000.0,554000000.0,5408000000.0,5408000000.0
2024-05-31,720000.0,0.18,2181000000.0,4000000.0,4000000.0,1573000000.0,214000000.0,426000000.0,2185000000.0,1971000000.0,-41000000.0,41000000.0,1569720000.0,1573000000.0,3424000000.0,1885000000.0,451000000.0,449000000.0,3.49,3.5,1573000000.0,1573000000.0,1573000000.0,1573000000.0,1573000000.0,357000000.0,1930000000.0,86000000.0,82000000.0,0.0,,0.0,4000000.0,-41000000.0,41000000.0,1885000000.0,2826000000.0,42000000.0,42000000.0,42000000.0,42000000.0,984000000.0,1800000000.0,1445000000.0,355000000.0,355000000.0,4711000000.0,598000000.0,5309000000.0,5309000000.0
2024-02-29,-353520000.0,0.36,2189000000.0,-982000000.0,-982000000.0,620000000.0,212000000.0,420000000.0,1207000000.0,995000000.0,-27000000.0,27000000.0,1248480000.0,620000000.0,3275000000.0,907000000.0,456000000.0,453000000.0,1.36,1.37,620000000.0,620000000.0,620000000.0,620000000.0,620000000.0,348000000.0,968000000.0,-912000000.0,70000000.0,-1000000000.0,1000000000.0,1000000000.0,18000000.0,-27000000.0,27000000.0,1907000000.0,2685000000.0,42000000.0,42000000.0,42000000.0,42000000.0,939000000.0,1704000000.0,1352000000.0,352000000.0,352000000.0,4592000000.0,590000000.0,5182000000.0,5182000000.0
2023-11-30,-3595132.743363,0.179757,2078000000.0,-20000000.0,-20000000.0,1483000000.0,222000000.0,454000000.0,2058000000.0,1836000000.0,241000000.0,28000000.0,1499404867.256637,1483000000.0,3305000000.0,1743000000.0,459000000.0,455000000.0,3.23,3.26,1483000000.0,1483000000.0,1483000000.0,1483000000.0,1483000000.0,325000000.0,1808000000.0,-176000000.0,-156000000.0,,,,-20000000.0,241000000.0,28000000.0,1743000000.0,2671000000.0,42000000.0,42000000.0,42000000.0,42000000.0,889000000.0,1740000000.0,1368000000.0,372000000.0,372000000.0,4414000000.0,634000000.0,5048000000.0,5048000000.0
2023-08-31,1200000.0,0.2,1982000000.0,6000000.0,6000000.0,1403000000.0,218000000.0,404000000.0,1988000000.0,1770000000.0,-27000000.0,27000000.0,1398200000.0,1403000000.0,3193000000.0,1697000000.0,459000000.0,456000000.0,3.05,3.07,1403000000.0,1403000000.0,1403000000.0,1403000000.0,1403000000.0,340000000.0,1743000000.0,73000000.0,67000000.0,0.0,,0.0,6000000.0,-27000000.0,27000000.0,1697000000.0,2613000000.0,42000000.0,42000000.0,42000000.0,42000000.0,881000000.0,1690000000.0,1337000000.0,353000000.0,353000000.0,4310000000.0,580000000.0,4890000000.0,4890000000.0
2023-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-08-31,1684000000.0
2024-05-31,1573000000.0
2024-02-29,620000000.0
2023-11-30,1483000000.0
2023-08-31,1403000000.0
2023-05-31,


Shares Outstanding
,0
2015-09-23 00:00:00-04:00,498799000
2016-01-19 00:00:00-05:00,498330000
2016-03-07 00:00:00-05:00,501214000
2016-03-30 00:00:00-04:00,500210000
2016-06-29 00:00:00-04:00,498291000
2016-06-29 00:00:00-04:00,497227000
2016-09-27 00:00:00-04:00,494078000
2016-09-27 00:00:00-04:00,497227000
2017-02-08 00:00:00-05:00,494078000
2017-02-08 00:00:00-05:00,495672000
2017-03-06 00:00:00-05:00,495672000
2017-03-29 00:00:00-04:00,494697984
2017-03-29 00:00:00-04:00,494698000
2017-03-29 00:00:00-04:00,493406016
2017-06-28 00:00:00-04:00,492943008
2017-06-28 00:00:00-04:00,493406016
2017-09-27 00:00:00-04:00,488134016
2017-09-27 00:00:00-04:00,491577984
2017-09-27 00:00:00-04:00,491579008
2017-09-27 00:00:00-04:00,493332992
2017-09-27 00:00:00-04:00,493334016
2017-09-27 00:00:00-04:00,492470016
2017-09-27 00:00:00-04:00,489663008
2017-09-27 00:00:00-04:00,492943008
2018-11-13 00:00:00-05:00,488134016
2018-11-14 00:00:00-05:00,488134016
2018-11-15 00:00:00-05:00,488134016
2018-11-19 00:00:00-05:00,488134016
2018-11-21 00:00:00-05:00,488134016
2018-11-22 00:00:00-05:00,488134016
2018-11-26 00:00:00-05:00,488134016
2018-11-28 00:00:00-05:00,488134016
2018-11-29 00:00:00-05:00,488134016
2018-12-02 00:00:00-05:00,488134016
2018-12-03 00:00:00-05:00,488134016
2018-12-04 00:00:00-05:00,488134016
2018-12-06 00:00:00-05:00,488134016
2018-12-07 00:00:00-05:00,488134016
2018-12-09 00:00:00-05:00,488134016
2018-12-10 00:00:00-05:00,488134016
2018-12-11 00:00:00-05:00,488134016
2018-12-12 00:00:00-05:00,488134016
2018-12-14 00:00:00-05:00,488134016
2018-12-16 00:00:00-05:00,488134016
2018-12-17 00:00:00-05:00,488134016
2018-12-19 00:00:00-05:00,488134016
2018-12-21 00:00:00-05:00,488134016
2018-12-30 00:00:00-05:00,488134016
2019-01-05 00:00:00-05:00,488134016
2019-01-07 00:00:00-05:00,488134016
2019-01-09 00:00:00-05:00,488134016
2019-01-10 00:00:00-05:00,488134016
2019-01-12 00:00:00-05:00,488134016
2019-01-14 00:00:00-05:00,488134016
2019-01-16 00:00:00-05:00,488134016
2019-01-17 00:00:00-05:00,488134016
2019-01-20 00:00:00-05:00,488134016
2019-01-22 00:00:00-05:00,488134016
2019-01-24 00:00:00-05:00,488134016
2019-01-25 00:00:00-05:00,488134016
2019-01-26 00:00:00-05:00,488134016
2019-01-28 00:00:00-05:00,487726016
2019-01-29 00:00:00-05:00,487726016
2019-01-30 00:00:00-05:00,487726016
2019-02-04 00:00:00-05:00,487726016
2019-02-05 00:00:00-05:00,487726016
2019-02-07 00:00:00-05:00,487726016
2019-02-10 00:00:00-05:00,487726016
2019-02-11 00:00:00-05:00,487726016
2019-02-13 00:00:00-05:00,487726016
2019-02-14 00:00:00-05:00,487726016
2019-02-15 00:00:00-05:00,487726016
2019-02-16 00:00:00-05:00,487726016
2019-02-17 00:00:00-05:00,487726016
2019-02-19 00:00:00-05:00,487726016
2019-02-20 00:00:00-05:00,487726016
2019-02-26 00:00:00-05:00,487726016
2019-02-28 00:00:00-05:00,487726016
2019-03-02 00:00:00-05:00,487726016
2019-03-07 00:00:00-05:00,489115008
2019-03-08 00:00:00-05:00,489115008
2019-03-10 00:00:00-05:00,489115008
2019-03-12 00:00:00-04:00,489115008
2019-03-14 00:00:00-04:00,489115008
2019-03-15 00:00:00-04:00,489115008
2019-03-17 00:00:00-04:00,489115008
2019-03-18 00:00:00-04:00,489115008
2019-03-26 00:00:00-04:00,489115008
2019-03-27 00:00:00-04:00,489115008
2019-03-29 00:00:00-04:00,487951008
2019-03-30 00:00:00-04:00,487951008
2019-04-01 00:00:00-04:00,487951008
2019-04-03 00:00:00-04:00,487951008
2019-04-05 00:00:00-04:00,487951008
2019-04-06 00:00:00-04:00,487951008
2019-04-09 00:00:00-04:00,487951008
2019-04-14 00:00:00-04:00,487951008
2019-04-15 00:00:00-04:00,487951008
2019-04-17 00:00:00-04:00,487951008
2019-04-19 00:00:00-04:00,487951008
