

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,0.0,0.134,1119000000.0,265000000.0,795000000.0,2548000000.0,1119000000.0,324000000.0,-25000000.0,25000000.0,265000000.0,265000000.0,5566000000.0,269000000.0,1637000000.0,1618000000.0,0.16,0.16,265000000.0,265000000.0,265000000.0,265000000.0,265000000.0,7000000.0,41000000.0,299000000.0,55000000.0,55000000.0,-25000000.0,25000000.0,269000000.0,2595000000.0,-10000000.0,372000000.0,372000000.0,372000000.0,372000000.0,1583000000.0,650000000.0,2864000000.0,2971000000.0,5835000000.0,5835000000.0
2024-03-31,0.0,0.21,899000000.0,123000000.0,810000000.0,2495000000.0,899000000.0,89000000.0,-25000000.0,25000000.0,123000000.0,123000000.0,5437000000.0,36000000.0,1639000000.0,1617000000.0,0.07,0.08,123000000.0,123000000.0,123000000.0,123000000.0,123000000.0,7000000.0,-52000000.0,64000000.0,53000000.0,53000000.0,-25000000.0,25000000.0,36000000.0,2524000000.0,-13000000.0,392000000.0,392000000.0,392000000.0,392000000.0,1525000000.0,620000000.0,2560000000.0,2913000000.0,5473000000.0,5473000000.0
2023-12-31,0.0,0.21,1215000000.0,667000000.0,824000000.0,2853000000.0,1215000000.0,391000000.0,179000000.0,27000000.0,667000000.0,667000000.0,5826000000.0,342000000.0,1628000000.0,1616000000.0,0.41,0.41,667000000.0,667000000.0,667000000.0,667000000.0,667000000.0,6000000.0,-297000000.0,364000000.0,-157000000.0,-156000000.0,179000000.0,27000000.0,342000000.0,2569000000.0,-6000000.0,420000000.0,420000000.0,420000000.0,420000000.0,1511000000.0,644000000.0,2911000000.0,3257000000.0,6168000000.0,6168000000.0
2023-09-30,0.0,0.21,1131000000.0,299000000.0,848000000.0,2655000000.0,1131000000.0,283000000.0,-26000000.0,26000000.0,299000000.0,299000000.0,5576000000.0,224000000.0,1629000000.0,1616000000.0,0.18,0.18,299000000.0,299000000.0,299000000.0,299000000.0,299000000.0,3000000.0,-39000000.0,257000000.0,59000000.0,59000000.0,-26000000.0,26000000.0,224000000.0,2523000000.0,-10000000.0,450000000.0,450000000.0,450000000.0,450000000.0,1507000000.0,576000000.0,2747000000.0,3053000000.0,5800000000.0,5800000000.0
2023-06-30,0.0,0.21,899000000.0,27000000.0,873000000.0,2524000000.0,899000000.0,26000000.0,-28000000.0,28000000.0,27000000.0,27000000.0,5379000000.0,-20000000.0,1627000000.0,1612000000.0,0.02,0.02,27000000.0,27000000.0,27000000.0,27000000.0,27000000.0,6000000.0,-23000000.0,-2000000.0,46000000.0,46000000.0,-28000000.0,28000000.0,-20000000.0,2463000000.0,-8000000.0,481000000.0,481000000.0,481000000.0,481000000.0,1443000000.0,547000000.0,2443000000.0,2916000000.0,5359000000.0,5359000000.0


Net Income
,Net Income
2024-06-30,265000000.0
2024-03-31,123000000.0
2023-12-31,667000000.0
2023-09-30,299000000.0
2023-06-30,27000000.0


Shares Outstanding
,0
2015-11-03 00:00:00-05:00,790189000
2015-12-22 00:00:00-05:00,792398000
2016-02-18 00:00:00-05:00,793248000
2016-03-28 00:00:00-04:00,793494000
2016-04-28 00:00:00-04:00,793520000
2016-07-26 00:00:00-04:00,795558000
2016-09-13 00:00:00-04:00,895000000
2016-10-26 00:00:00-04:00,926869000
2016-10-26 00:00:00-04:00,940758000
2017-02-21 00:00:00-05:00,941399000
2017-02-21 00:00:00-05:00,940758000
2017-03-09 00:00:00-05:00,945016000
2017-03-09 00:00:00-05:00,941398976
2017-03-09 00:00:00-05:00,941399000
2017-05-08 00:00:00-04:00,945016000
2017-08-03 00:00:00-04:00,969344000
2017-08-03 00:00:00-04:00,969132032
2017-08-03 00:00:00-04:00,964798976
2017-08-03 00:00:00-04:00,969110016
2017-08-03 00:00:00-04:00,946779008
2017-08-03 00:00:00-04:00,999406976
2017-08-03 00:00:00-04:00,974872000
2018-11-14 00:00:00-05:00,999406976
2018-11-15 00:00:00-05:00,999406976
2018-11-19 00:00:00-05:00,999406976
2018-11-21 00:00:00-05:00,999406976
2018-11-22 00:00:00-05:00,999406976
2018-11-26 00:00:00-05:00,999406976
2018-11-28 00:00:00-05:00,999406976
2018-11-29 00:00:00-05:00,999406976
2018-12-02 00:00:00-05:00,999406976
2018-12-03 00:00:00-05:00,999406976
2018-12-04 00:00:00-05:00,999406976
2018-12-06 00:00:00-05:00,999406976
2018-12-07 00:00:00-05:00,999406976
2018-12-09 00:00:00-05:00,999406976
2018-12-10 00:00:00-05:00,999406976
2018-12-11 00:00:00-05:00,999406976
2018-12-12 00:00:00-05:00,999406976
2018-12-14 00:00:00-05:00,999406976
2018-12-16 00:00:00-05:00,999406976
2018-12-17 00:00:00-05:00,999406976
2018-12-19 00:00:00-05:00,999406976
2018-12-21 00:00:00-05:00,999406976
2018-12-30 00:00:00-05:00,999406976
2019-01-05 00:00:00-05:00,999406976
2019-01-07 00:00:00-05:00,999406976
2019-01-09 00:00:00-05:00,999406976
2019-01-10 00:00:00-05:00,999406976
2019-01-12 00:00:00-05:00,999406976
2019-01-14 00:00:00-05:00,999406976
2019-01-16 00:00:00-05:00,999406976
2019-01-17 00:00:00-05:00,999406976
2019-01-20 00:00:00-05:00,999406976
2019-01-22 00:00:00-05:00,999406976
2019-01-24 00:00:00-05:00,999406976
2019-01-25 00:00:00-05:00,999406976
2019-01-26 00:00:00-05:00,999406976
2019-01-28 00:00:00-05:00,999406976
2019-01-30 00:00:00-05:00,999406976
2019-02-04 00:00:00-05:00,999406976
2019-02-07 00:00:00-05:00,999406976
2019-02-10 00:00:00-05:00,999406976
2019-02-11 00:00:00-05:00,999406976
2019-02-13 00:00:00-05:00,1005299968
2019-02-14 00:00:00-05:00,1005299968
2019-02-15 00:00:00-05:00,1005299968
2019-02-17 00:00:00-05:00,1005299968
2019-02-18 00:00:00-05:00,1005299968
2019-02-20 00:00:00-05:00,1005299968
2019-02-28 00:00:00-05:00,1005299968
2019-03-01 00:00:00-05:00,1005299968
2019-03-07 00:00:00-05:00,1005299968
2019-03-09 00:00:00-05:00,1005299968
2019-03-10 00:00:00-05:00,1005299968
2019-03-11 00:00:00-04:00,1005299968
2019-03-14 00:00:00-04:00,1005299968
2019-03-15 00:00:00-04:00,1005299968
2019-03-17 00:00:00-04:00,1005299968
2019-03-18 00:00:00-04:00,1005299968
2019-03-26 00:00:00-04:00,1081560064
2019-03-27 00:00:00-04:00,1081560064
2019-03-29 00:00:00-04:00,1081560064
