

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,4636274.188258,0.115907,27832000000.0,40000000.0,40000000.0,13485000000.0,12038000000.0,119655000000.0,27872000000.0,15834000000.0,591000000.0,589000000.0,1180000000.0,13449636274.188257,13485000000.0,133305000000.0,14672000000.0,10708000000.0,10447000000.0,1.26,1.29,13485000000.0,13485000000.0,13485000000.0,13485000000.0,13485000000.0,7000000.0,1767000000.0,15245000000.0,-18000000.0,-58000000.0,40000000.0,591000000.0,589000000.0,1180000000.0,14672000000.0,13650000000.0,97000000.0,13553000000.0,10512000000.0,3041000000.0,3041000000.0,28322000000.0,119655000000.0,147977000000.0,147977000000.0
2024-03-31,-460792960.024648,0.190018,27736000000.0,-2425000000.0,-2425000000.0,10431000000.0,11684000000.0,115374000000.0,25311000000.0,13627000000.0,349000000.0,644000000.0,993000000.0,12395207039.975351,10431000000.0,128006000000.0,15307000000.0,10670000000.0,10393000000.0,0.98,1.0,10431000000.0,10431000000.0,10431000000.0,10431000000.0,10431000000.0,-85000000.0,2467000000.0,12983000000.0,-2673000000.0,-248000000.0,-2425000000.0,349000000.0,644000000.0,993000000.0,15307000000.0,12632000000.0,228000000.0,12404000000.0,9662000000.0,2742000000.0,2742000000.0,27939000000.0,115374000000.0,143313000000.0,143313000000.0
2023-12-31,60407715.914073,0.223732,27949000000.0,270000000.0,270000000.0,10624000000.0,13820000000.0,140686000000.0,28219000000.0,14399000000.0,188000000.0,713000000.0,901000000.0,10414407715.914074,10624000000.0,156752000000.0,13209000000.0,10610000000.0,10356000000.0,1.0,1.03,10624000000.0,10624000000.0,10624000000.0,10624000000.0,10624000000.0,0.0,3062000000.0,13686000000.0,289000000.0,19000000.0,270000000.0,188000000.0,713000000.0,901000000.0,13209000000.0,16066000000.0,154000000.0,15912000000.0,12902000000.0,3010000000.0,3010000000.0,29275000000.0,140686000000.0,169961000000.0,169961000000.0
2023-09-30,204700303.552383,0.189187,24044000000.0,1082000000.0,1082000000.0,9879000000.0,12131000000.0,118539000000.0,25126000000.0,12995000000.0,-30000000.0,806000000.0,776000000.0,9001700303.552383,9879000000.0,131895000000.0,11188000000.0,10558000000.0,10322000000.0,0.94,0.96,9879000000.0,9879000000.0,9879000000.0,9879000000.0,9879000000.0,-4000000.0,2306000000.0,12189000000.0,1031000000.0,-51000000.0,1082000000.0,-30000000.0,806000000.0,776000000.0,11188000000.0,13356000000.0,244000000.0,13112000000.0,10551000000.0,2561000000.0,2561000000.0,24544000000.0,118539000000.0,143083000000.0,143083000000.0
2023-06-30,10418088.060294,0.106307,19894000000.0,98000000.0,98000000.0,6750000000.0,11589000000.0,112609000000.0,19992000000.0,8403000000.0,-179000000.0,840000000.0,661000000.0,6662418088.060294,6750000000.0,126702000000.0,7681000000.0,10449000000.0,10285000000.0,0.65,0.66,6750000000.0,6750000000.0,6750000000.0,6750000000.0,6750000000.0,-9000000.0,804000000.0,7563000000.0,61000000.0,-37000000.0,98000000.0,-179000000.0,840000000.0,661000000.0,7681000000.0,14093000000.0,146000000.0,13947000000.0,10745000000.0,3202000000.0,3202000000.0,21774000000.0,112609000000.0,134383000000.0,134383000000.0


Net Income
,Net Income
2024-06-30,13485000000.0
2024-03-31,10431000000.0
2023-12-31,10624000000.0
2023-09-30,9879000000.0
2023-06-30,6750000000.0


Shares Outstanding
,0
2015-10-23 00:00:00-04:00,468762000
2016-01-29 00:00:00-05:00,470842000
2016-04-06 00:00:00-04:00,471591000
2016-04-29 00:00:00-04:00,471828000
2016-07-29 00:00:00-04:00,474074000
2016-10-28 00:00:00-04:00,475167000
2016-10-28 00:00:00-04:00,475166000
2017-02-03 00:00:00-05:00,477000000
2017-02-10 00:00:00-05:00,477171000
2017-04-13 00:00:00-04:00,477975008
2017-04-13 00:00:00-04:00,477948000
2017-04-28 00:00:00-04:00,480380000
2017-04-28 00:00:00-04:00,477975008
2017-07-28 00:00:00-04:00,481872000
2017-07-28 00:00:00-04:00,484969984
2017-07-28 00:00:00-04:00,484107008
2017-07-28 00:00:00-04:00,485227008
2017-07-28 00:00:00-04:00,488968992
2017-07-28 00:00:00-04:00,487740992
2017-07-28 00:00:00-04:00,480380000
2018-11-12 00:00:00-05:00,488968992
2018-11-14 00:00:00-05:00,488968992
2018-11-15 00:00:00-05:00,488968992
2018-11-19 00:00:00-05:00,488968992
2018-11-21 00:00:00-05:00,488968992
2018-11-22 00:00:00-05:00,488968992
2018-11-26 00:00:00-05:00,488968992
2018-11-28 00:00:00-05:00,488968992
2018-11-29 00:00:00-05:00,488968992
2018-12-02 00:00:00-05:00,488968992
2018-12-03 00:00:00-05:00,488968992
2018-12-04 00:00:00-05:00,488968992
2018-12-06 00:00:00-05:00,488968992
2018-12-07 00:00:00-05:00,488968992
2018-12-09 00:00:00-05:00,488968992
2018-12-10 00:00:00-05:00,488968992
2018-12-11 00:00:00-05:00,488968992
2018-12-12 00:00:00-05:00,488968992
2018-12-14 00:00:00-05:00,488968992
2018-12-16 00:00:00-05:00,488968992
2018-12-17 00:00:00-05:00,488968992
2018-12-19 00:00:00-05:00,488968992
2018-12-21 00:00:00-05:00,488968992
2018-12-30 00:00:00-05:00,488968992
2018-12-31 00:00:00-05:00,488968992
2019-01-05 00:00:00-05:00,488968992
2019-01-07 00:00:00-05:00,488968992
2019-01-09 00:00:00-05:00,488968992
2019-01-10 00:00:00-05:00,488968992
2019-01-12 00:00:00-05:00,488968992
2019-01-14 00:00:00-05:00,488968992
2019-01-16 00:00:00-05:00,488968992
2019-01-20 00:00:00-05:00,488968992
2019-01-22 00:00:00-05:00,488968992
2019-01-24 00:00:00-05:00,488968992
2019-01-25 00:00:00-05:00,488968992
2019-01-26 00:00:00-05:00,488968992
2019-01-28 00:00:00-05:00,488968992
2019-01-29 00:00:00-05:00,488968992
2019-01-30 00:00:00-05:00,488968992
2019-02-04 00:00:00-05:00,491203008
2019-02-05 00:00:00-05:00,491203008
2019-02-07 00:00:00-05:00,491203008
2019-02-11 00:00:00-05:00,491203008
2019-02-13 00:00:00-05:00,491203008
2019-02-14 00:00:00-05:00,491203008
2019-02-15 00:00:00-05:00,491203008
2019-02-16 00:00:00-05:00,491203008
2019-02-17 00:00:00-05:00,491203008
2019-02-19 00:00:00-05:00,491203008
2019-02-20 00:00:00-05:00,491203008
2019-02-26 00:00:00-05:00,491203008
2019-02-28 00:00:00-05:00,491203008
2019-03-02 00:00:00-05:00,491203008
2019-03-07 00:00:00-05:00,491203008
2019-03-08 00:00:00-05:00,491203008
2019-03-10 00:00:00-05:00,491203008
2019-03-12 00:00:00-04:00,491203008
2019-03-14 00:00:00-04:00,491203008
2019-03-15 00:00:00-04:00,491203008
2019-03-17 00:00:00-04:00,491203008
2019-03-18 00:00:00-04:00,491203008
2019-03-26 00:00:00-04:00,491203008
2019-03-27 00:00:00-04:00,491203008
2019-03-29 00:00:00-04:00,491203008
2019-03-30 00:00:00-04:00,491203008
2019-04-01 00:00:00-04:00,491203008
2019-04-03 00:00:00-04:00,491203008
2019-04-04 00:00:00-04:00,491203008
2019-04-05 00:00:00-04:00,491203008
2019-04-06 00:00:00-04:00,491203008
2019-04-09 00:00:00-04:00,491203008
2019-04-14 00:00:00-04:00,492052992
2019-04-15 00:00:00-04:00,492052992
