

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-07-31,-63630000.0,0.21,6697000000.0,-303000000.0,-303000000.0,-1432000000.0,2524000000.0,3004000000.0,6394000000.0,3870000000.0,-1064000000.0,1064000000.0,-1192630000.0,-1875000000.0,8981000000.0,3788000000.0,4663000000.0,4663000000.0,-0.4,-0.4,-1875000000.0,-1875000000.0,-1875000000.0,-1875000000.0,-443000000.0,-1432000000.0,4238000000.0,2806000000.0,-221000000.0,82000000.0,-303000000.0,303000000.0,-1064000000.0,1064000000.0,4091000000.0,4265000000.0,812000000.0,812000000.0,812000000.0,812000000.0,2353000000.0,1100000000.0,8356000000.0,4716000000.0,13072000000.0,13072000000.0
2024-04-30,-61320000.0,0.21,5874000000.0,-292000000.0,-292000000.0,2121000000.0,2530000000.0,3008000000.0,5582000000.0,3052000000.0,-1047000000.0,1047000000.0,2351680000.0,2121000000.0,9230000000.0,2965000000.0,4800000000.0,4650000000.0,0.442,0.456,2121000000.0,2121000000.0,2121000000.0,2121000000.0,0.0,2121000000.0,-116000000.0,2005000000.0,-205000000.0,87000000.0,-292000000.0,292000000.0,-1047000000.0,1047000000.0,3257000000.0,4519000000.0,827000000.0,827000000.0,827000000.0,827000000.0,2415000000.0,1277000000.0,7776000000.0,4711000000.0,12487000000.0,12487000000.0
2024-01-31,-31415797.317437,0.050671,5233000000.0,-620000000.0,-620000000.0,1274000000.0,2345000000.0,3033000000.0,4613000000.0,2268000000.0,-926000000.0,926000000.0,1862584202.682563,1325000000.0,9258000000.0,2083000000.0,4670000000.0,4520000000.0,0.284,0.293,1325000000.0,1325000000.0,1325000000.0,1325000000.0,51000000.0,1274000000.0,68000000.0,1342000000.0,-435000000.0,185000000.0,-620000000.0,620000000.0,-926000000.0,926000000.0,2703000000.0,4672000000.0,792000000.0,792000000.0,792000000.0,792000000.0,2308000000.0,1572000000.0,7375000000.0,4586000000.0,11961000000.0,11961000000.0
2023-10-31,-223342.576254,0.111671,5306000000.0,-2000000.0,-2000000.0,3524000000.0,932000000.0,2304000000.0,5304000000.0,4372000000.0,130000000.0,405000000.0,3525776657.423746,3524000000.0,5042000000.0,4240000000.0,4270000000.0,4130000000.0,0.825,0.853,3524000000.0,3524000000.0,3524000000.0,3524000000.0,,3524000000.0,443000000.0,3967000000.0,-416000000.0,-414000000.0,-13000000.0,13000000.0,130000000.0,405000000.0,4253000000.0,2154000000.0,348000000.0,348000000.0,348000000.0,348000000.0,1388000000.0,418000000.0,6407000000.0,2888000000.0,9295000000.0,9295000000.0
2023-07-31,-16074986.010073,0.075825,5124000000.0,-212000000.0,-212000000.0,3303000000.0,932000000.0,2130000000.0,4912000000.0,3980000000.0,-406000000.0,406000000.0,3498925013.989927,3303000000.0,4808000000.0,3856000000.0,4269000000.0,4130000000.0,0.77,0.8,3303000000.0,3303000000.0,3303000000.0,3303000000.0,0.0,3303000000.0,271000000.0,3574000000.0,-88000000.0,124000000.0,-212000000.0,212000000.0,-406000000.0,406000000.0,4068000000.0,2096000000.0,350000000.0,350000000.0,350000000.0,350000000.0,1358000000.0,388000000.0,6164000000.0,2712000000.0,8876000000.0,8876000000.0
2023-04-30,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-07-31,-1875000000.0
2024-04-30,2121000000.0
2024-01-31,1325000000.0
2023-10-31,3524000000.0
2023-07-31,3303000000.0
2023-04-30,


Shares Outstanding
,0
2015-11-10 00:00:00-05:00,275999000
2015-12-17 00:00:00-05:00,276490000
2016-02-03 00:00:00-05:00,276497000
2016-03-04 00:00:00-05:00,390448000
2016-06-09 00:00:00-04:00,395519000
2016-09-08 00:00:00-04:00,397330000
2016-09-08 00:00:00-04:00,420134000
2016-12-23 00:00:00-05:00,423999000
2016-12-23 00:00:00-05:00,421785000
2017-03-09 00:00:00-05:00,423999000
2017-03-09 00:00:00-05:00,423999008
2017-06-08 00:00:00-04:00,430169984
2017-06-08 00:00:00-04:00,428897984
2017-09-07 00:00:00-04:00,410736000
2017-09-07 00:00:00-04:00,430169984
2017-09-07 00:00:00-04:00,432825984
2017-09-07 00:00:00-04:00,431504000
2017-09-07 00:00:00-04:00,431470016
2017-09-07 00:00:00-04:00,410487008
2018-02-23 00:00:00-05:00,431470016
2018-04-23 00:00:00-04:00,410487008
2018-04-24 00:00:00-04:00,410487008
2018-04-30 00:00:00-04:00,410487008
2018-05-03 00:00:00-04:00,410487008
2018-05-04 00:00:00-04:00,410487008
2018-05-07 00:00:00-04:00,410487008
2018-05-08 00:00:00-04:00,410487008
2018-05-10 00:00:00-04:00,410487008
2018-05-14 00:00:00-04:00,410487008
2018-05-21 00:00:00-04:00,410487008
2018-05-24 00:00:00-04:00,410487008
2018-05-25 00:00:00-04:00,410487008
2018-05-29 00:00:00-04:00,410487008
2018-05-30 00:00:00-04:00,410487008
2018-06-04 00:00:00-04:00,410487008
2018-06-07 00:00:00-04:00,410487008
2018-06-08 00:00:00-04:00,410487008
2018-06-11 00:00:00-04:00,410487008
2018-06-13 00:00:00-04:00,410487008
2018-06-14 00:00:00-04:00,410487008
2018-06-18 00:00:00-04:00,431680992
2018-06-24 00:00:00-04:00,431680992
2018-06-25 00:00:00-04:00,431680992
2018-07-02 00:00:00-04:00,431680992
2018-07-05 00:00:00-04:00,431680992
2018-07-06 00:00:00-04:00,431680992
2018-07-07 00:00:00-04:00,431680992
2018-07-08 00:00:00-04:00,431680992
2018-07-16 00:00:00-04:00,418168992
2018-07-19 00:00:00-04:00,418168992
2018-07-23 00:00:00-04:00,418168992
2018-07-27 00:00:00-04:00,418168992
2018-07-28 00:00:00-04:00,418168992
2018-07-29 00:00:00-04:00,418168992
2018-07-30 00:00:00-04:00,418168992
2018-07-31 00:00:00-04:00,418168992
2018-08-01 00:00:00-04:00,418168992
2018-08-02 00:00:00-04:00,418168992
2018-08-07 00:00:00-04:00,418168992
2018-08-08 00:00:00-04:00,418168992
2018-08-09 00:00:00-04:00,418168992
2018-08-13 00:00:00-04:00,418168992
2018-08-17 00:00:00-04:00,418168992
2018-08-20 00:00:00-04:00,418168992
2018-08-25 00:00:00-04:00,418168992
2018-08-27 00:00:00-04:00,418168992
2018-08-30 00:00:00-04:00,418168992
2018-09-05 00:00:00-04:00,418168992
2018-09-06 00:00:00-04:00,418168992
2018-09-07 00:00:00-04:00,418168992
2018-09-08 00:00:00-04:00,418168992
2018-09-12 00:00:00-04:00,418168992
2018-09-15 00:00:00-04:00,418168992
2018-09-16 00:00:00-04:00,413447008
2018-09-17 00:00:00-04:00,413447008
2018-09-18 00:00:00-04:00,413447008
2018-09-19 00:00:00-04:00,413447008
2018-09-24 00:00:00-04:00,413447008
2018-09-26 00:00:00-04:00,413447008
2018-09-27 00:00:00-04:00,413447008
2018-10-02 00:00:00-04:00,413447008
2018-10-04 00:00:00-04:00,413447008
2018-10-05 00:00:00-04:00,413447008
2018-10-08 00:00:00-04:00,413447008
2018-10-12 00:00:00-04:00,413447008
2018-10-15 00:00:00-04:00,413447008
2018-10-16 00:00:00-04:00,413447008
2018-10-18 00:00:00-04:00,413447008
2018-10-20 00:00:00-04:00,413447008
2018-10-22 00:00:00-04:00,413447008
2018-10-29 00:00:00-04:00,413447008
2018-11-01 00:00:00-04:00,413447008
2018-11-02 00:00:00-04:00,413447008
2018-11-04 00:00:00-04:00,413447008
2018-11-05 00:00:00-05:00,413447008
2018-11-06 00:00:00-05:00,413447008
2018-11-07 00:00:00-05:00,413447008
