

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense
2024-06-30,0.0,0.088,,,6897000000.0,543000000.0,13702000000.0,23152000000.0,36854000000.0,6897000000.0,6897000000.0,7960900000.0,7897900000.0,0.83,0.83,6582000000.0,,6582000000.0,315000000.0,6897000000.0,6897000000.0,6897000000.0,663000000.0,7560000000.0,,,0.0,12074000000.0,1378000000.0,10696000000.0,870000000.0,9826000000.0,25377000000.0,25377000000.0,1818000000.0,654000000.0,1763000000.0
2024-03-31,56700000.0,0.081,700000000.0,700000000.0,6674000000.0,538000000.0,14032000000.0,22253000000.0,36285000000.0,6030700000.0,6674000000.0,8031400000.0,7968200000.0,0.76,0.77,6142000000.0,,6142000000.0,532000000.0,6674000000.0,6674000000.0,6674000000.0,588000000.0,7262000000.0,700000000.0,-700000000.0,0.0,13778000000.0,1306000000.0,12472000000.0,2277000000.0,10195000000.0,25818000000.0,25818000000.0,1811000000.0,548000000.0,1800000000.0
2023-12-31,0.0,0.21,,,3144000000.0,527000000.0,13946000000.0,21683000000.0,35629000000.0,3144000000.0,3144000000.0,8062500000.0,7990900000.0,0.35,0.36,2671000000.0,,2838000000.0,306000000.0,3144000000.0,3144000000.0,3144000000.0,-20000000.0,3124000000.0,,,0.0,11597000000.0,1337000000.0,10260000000.0,800000000.0,9460000000.0,21959000000.0,21959000000.0,1794000000.0,550000000.0,1690000000.0
2023-09-30,0.0,0.036,,,7802000000.0,517000000.0,14379000000.0,19245000000.0,33624000000.0,7802000000.0,7802000000.0,8075900000.0,8017100000.0,0.9,0.91,7270000000.0,0.0,7270000000.0,532000000.0,7802000000.0,7802000000.0,7802000000.0,293000000.0,8095000000.0,,,0.0,11822000000.0,1381000000.0,10441000000.0,890000000.0,9551000000.0,25167000000.0,25167000000.0,1795000000.0,545000000.0,1676000000.0
2023-06-30,0.0,0.078,,,7408000000.0,510000000.0,14158000000.0,18196000000.0,32354000000.0,7408000000.0,7408000000.0,8080700000.0,8040900000.0,0.88,0.88,7102000000.0,,7102000000.0,306000000.0,7408000000.0,7408000000.0,7408000000.0,626000000.0,8034000000.0,,,0.0,12091000000.0,1469000000.0,10622000000.0,1221000000.0,9401000000.0,25197000000.0,25197000000.0,1776000000.0,527000000.0,1644000000.0


Net Income
,Net Income
2024-06-30,6897000000.0
2024-03-31,6674000000.0
2023-12-31,3144000000.0
2023-09-30,7802000000.0
2023-06-30,7408000000.0


Shares Outstanding
,0
2015-10-30 00:00:00-04:00,10412500000
2016-01-20 00:00:00-05:00,10380300000
2016-02-24 00:00:00-05:00,10325600000
2016-03-18 00:00:00-04:00,10325700000
2016-04-15 00:00:00-04:00,10312700000
2016-05-02 00:00:00-04:00,10271900000
2016-07-19 00:00:00-04:00,10216800000
2016-08-01 00:00:00-04:00,10204800000
2016-08-01 00:00:00-04:00,10123800000
2016-11-01 00:00:00-04:00,10052600000
2016-11-01 00:00:00-04:00,10105000000
2017-01-17 00:00:00-05:00,10052600000
2017-01-17 00:00:00-05:00,10025100000
2017-02-24 00:00:00-05:00,10025100000
2017-02-24 00:00:00-05:00,10011900000
2017-03-16 00:00:00-04:00,10011900000
2017-04-19 00:00:00-04:00,9974190080
2017-04-19 00:00:00-04:00,9951899648
2017-05-02 00:00:00-04:00,9951899648
2017-07-19 00:00:00-04:00,9878120448
2017-07-19 00:00:00-04:00,9850579968
2017-07-31 00:00:00-04:00,9850579968
2017-07-31 00:00:00-04:00,10549999616
2017-08-31 00:00:00-04:00,9814200320
2017-08-31 00:00:00-04:00,10430600192
2017-08-31 00:00:00-04:00,9988249600
2017-08-31 00:00:00-04:00,10224000000
2017-08-31 00:00:00-04:00,10175899648
2017-08-31 00:00:00-04:00,10012699648
2017-08-31 00:00:00-04:00,9985829888
2017-08-31 00:00:00-04:00,10243699712
2017-08-31 00:00:00-04:00,9858249728
2017-08-31 00:00:00-04:00,10549999616
2017-08-31 00:00:00-04:00,10139400192
2017-08-31 00:00:00-04:00,10287299584
2018-11-14 00:00:00-05:00,9814200320
2018-11-16 00:00:00-05:00,9814200320
2018-11-19 00:00:00-05:00,9814200320
2018-11-21 00:00:00-05:00,9814200320
2018-11-22 00:00:00-05:00,9814200320
2018-11-26 00:00:00-05:00,9814200320
2018-11-28 00:00:00-05:00,9814200320
2018-11-29 00:00:00-05:00,9814200320
2018-12-05 00:00:00-05:00,9814200320
2018-12-06 00:00:00-05:00,9814200320
2018-12-07 00:00:00-05:00,9814200320
2018-12-10 00:00:00-05:00,9814200320
2018-12-11 00:00:00-05:00,9814200320
2018-12-12 00:00:00-05:00,9814200320
2018-12-14 00:00:00-05:00,9814200320
2018-12-16 00:00:00-05:00,9814200320
2018-12-17 00:00:00-05:00,9814200320
2018-12-19 00:00:00-05:00,9814200320
2018-12-21 00:00:00-05:00,9814200320
2018-12-30 00:00:00-05:00,9814200320
2019-01-05 00:00:00-05:00,9814200320
2019-01-07 00:00:00-05:00,9814200320
2019-01-09 00:00:00-05:00,9814200320
2019-01-10 00:00:00-05:00,9814200320
2019-01-12 00:00:00-05:00,9814200320
2019-01-14 00:00:00-05:00,9814200320
2019-01-16 00:00:00-05:00,9814200320
2019-01-17 00:00:00-05:00,9814200320
2019-01-20 00:00:00-05:00,9814200320
2019-01-22 00:00:00-05:00,9669289984
2019-01-24 00:00:00-05:00,9669289984
2019-01-25 00:00:00-05:00,9669289984
2019-01-28 00:00:00-05:00,9669289984
2019-01-30 00:00:00-05:00,9669289984
2019-02-04 00:00:00-05:00,9669289984
2019-02-07 00:00:00-05:00,9669289984
2019-02-10 00:00:00-05:00,9669289984
2019-02-11 00:00:00-05:00,9669289984
2019-02-13 00:00:00-05:00,9669289984
2019-02-14 00:00:00-05:00,9669289984
2019-02-15 00:00:00-05:00,9669289984
2019-02-17 00:00:00-05:00,9669289984
2019-02-18 00:00:00-05:00,9669289984
2019-02-20 00:00:00-05:00,9669289984
