

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims
2024-06-30,0.0,0.2,30348000000.0,3198000000.0,39367000000.0,-1230000000.0,1230000000.0,5249000000.0,30348000000.0,30348000000.0,79373000000.0,1739000000.0,2155183922.0,2155183922.0,14.08134,14.08134,30348000000.0,30348000000.0,30348000000.0,-150000000.0,30498000000.0,30498000000.0,7639000000.0,38137000000.0,64968000000.0,-1230000000.0,1230000000.0,21963000000.0,6934000000.0,5195000000.0,1739000000.0,1739000000.0,117510000000.0,117510000000.0,15061000000.0,15061000000.0
2024-03-31,0.0,0.183,12702000000.0,3168000000.0,17022000000.0,-1316000000.0,1316000000.0,4305000000.0,12702000000.0,12702000000.0,76039000000.0,1691000000.0,2159053920.0,2159053920.0,5.883336,5.883336,12702000000.0,12702000000.0,12702000000.0,-130000000.0,12832000000.0,12832000000.0,2874000000.0,15706000000.0,63021000000.0,-1316000000.0,1316000000.0,21211000000.0,6464000000.0,4773000000.0,1691000000.0,1691000000.0,91745000000.0,91745000000.0,14393000000.0,14393000000.0
2023-12-31,0.0,0.195577,37574000000.0,3129000000.0,48214000000.0,-1276000000.0,1276000000.0,4439000000.0,37574000000.0,37574000000.0,83252000000.0,1614000000.0,,,,,37574000000.0,37574000000.0,37574000000.0,-184000000.0,37758000000.0,37758000000.0,9180000000.0,46938000000.0,66210000000.0,-1276000000.0,1276000000.0,22828000000.0,8492000000.0,6878000000.0,1614000000.0,1614000000.0,130190000000.0,130190000000.0,16130000000.0,16130000000.0
2023-09-30,0.0,0.259,-12767000000.0,3210000000.0,-15699000000.0,-1260000000.0,1260000000.0,4047000000.0,-12767000000.0,-12767000000.0,80391000000.0,1489000000.0,2170386415.0,2170386415.0,-5.88267,-5.88267,-12767000000.0,-12767000000.0,-12767000000.0,-200000000.0,-12567000000.0,-12567000000.0,-4392000000.0,-16959000000.0,66421000000.0,-1260000000.0,1260000000.0,23376000000.0,6609000000.0,5120000000.0,1489000000.0,1489000000.0,63432000000.0,63432000000.0,14863000000.0,14863000000.0
2023-06-30,0.0,0.203,35912000000.0,3096000000.0,46684000000.0,-1249000000.0,1249000000.0,3846000000.0,35912000000.0,35912000000.0,80129000000.0,1457000000.0,2174311913.0,2174311913.0,16.516675,16.516675,35912000000.0,35912000000.0,35912000000.0,-287000000.0,36199000000.0,36199000000.0,9236000000.0,45435000000.0,66606000000.0,-1249000000.0,1249000000.0,23362000000.0,6462000000.0,5005000000.0,1457000000.0,1457000000.0,125564000000.0,125564000000.0,15217000000.0,15217000000.0
2023-03-31,,,,,,,,,,,,,2184655908.0,2184655908.0,16.251341,16.251341,,,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,30348000000.0
2024-03-31,12702000000.0
2023-12-31,37574000000.0
2023-09-30,-12767000000.0
2023-06-30,35912000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-06 00:00:00-05:00,2465050000
2016-03-11 00:00:00-05:00,2463840000
2016-03-17 00:00:00-04:00,2463840000
2016-05-06 00:00:00-04:00,2465590000
2016-05-11 00:00:00-04:00,2465590000
2016-07-09 00:00:00-04:00,2465260000
2016-08-10 00:00:00-04:00,2467440000
2016-08-10 00:00:00-04:00,2464560000
2016-08-10 00:00:00-04:00,2465780000
2016-08-10 00:00:00-04:00,2467140000
2016-08-10 00:00:00-04:00,2467060000
2016-08-10 00:00:00-04:00,2466140000
2016-08-10 00:00:00-04:00,2466620000
2016-08-10 00:00:00-04:00,2464790000
2016-11-04 00:00:00-04:00,2456480000
2016-11-04 00:00:00-04:00,2458120000
2016-11-10 00:00:00-05:00,2458320000
2016-11-10 00:00:00-05:00,2459130000
2016-11-10 00:00:00-05:00,2458410000
2016-11-10 00:00:00-05:00,2458890000
2016-11-10 00:00:00-05:00,2458500000
2016-11-10 00:00:00-05:00,2458590000
2016-11-10 00:00:00-05:00,2458990000
2016-11-10 00:00:00-05:00,2456280000
2016-11-10 00:00:00-05:00,2460290000
2016-11-10 00:00:00-05:00,2457730000
2016-11-10 00:00:00-05:00,2455580000
2016-11-10 00:00:00-05:00,2458470000
2016-11-10 00:00:00-05:00,2459030000
2016-11-10 00:00:00-05:00,2460390000
2016-11-10 00:00:00-05:00,2458150000
2017-03-02 00:00:00-05:00,2458010000
2017-03-02 00:00:00-05:00,2464910000
2017-03-02 00:00:00-05:00,2459170000
2017-03-22 00:00:00-04:00,2464940032
2017-03-22 00:00:00-04:00,2465220096
2017-03-22 00:00:00-04:00,2464950016
2017-03-22 00:00:00-04:00,2466200064
2017-03-22 00:00:00-04:00,2465620000
2017-03-22 00:00:00-04:00,2466360000
2017-04-29 00:00:00-04:00,2471119872
2017-04-29 00:00:00-04:00,2470370048
2017-04-29 00:00:00-04:00,2471569920
2017-05-10 00:00:00-04:00,2466889984
2017-05-10 00:00:00-04:00,2471330048
2017-05-10 00:00:00-04:00,2468120064
2017-05-10 00:00:00-04:00,2475099904
2017-05-10 00:00:00-04:00,2469710080
2017-05-10 00:00:00-04:00,2466729984
2017-05-10 00:00:00-04:00,2466670080
2017-05-10 00:00:00-04:00,2467259904
2017-05-10 00:00:00-04:00,2470569984
2017-05-10 00:00:00-04:00,2467180032
2017-05-10 00:00:00-04:00,2470230016
2017-05-10 00:00:00-04:00,2469280000
2017-05-10 00:00:00-04:00,2467429888
2017-05-10 00:00:00-04:00,2466070016
2017-08-04 00:00:00-04:00,2470739968
2017-08-04 00:00:00-04:00,2468430080
2017-08-04 00:00:00-04:00,2465939968
2017-08-04 00:00:00-04:00,2486240000
2017-08-04 00:00:00-04:00,2463630080
2017-08-04 00:00:00-04:00,2476999936
2017-08-04 00:00:00-04:00,2466579968
2017-08-04 00:00:00-04:00,2469479936
2017-08-04 00:00:00-04:00,2468120064
2017-08-04 00:00:00-04:00,2468349952
2017-08-04 00:00:00-04:00,2467990016
2017-08-04 00:00:00-04:00,2477100032
2017-08-04 00:00:00-04:00,2468039936
2017-08-04 00:00:00-04:00,2469400064
2017-08-04 00:00:00-04:00,2468450048
2017-08-04 00:00:00-04:00,2485260032
