

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-08-31,-6826855.123675,0.243816,3896000000.0,-28000000.0,-28000000.0,2354000000.0,706000000.0,69588000000.0,3868000000.0,3162000000.0,99000000.0,49000000.0,148000000.0,2375173144.876325,2354000000.0,76655000000.0,3042000000.0,,,,,2354000000.0,2354000000.0,2354000000.0,,2354000000.0,2354000000.0,759000000.0,3113000000.0,-28000000.0,-28000000.0,99000000.0,,49000000.0,148000000.0,3042000000.0,7067000000.0,7067000000.0,10109000000.0,69588000000.0,79697000000.0,79697000000.0
2024-05-31,5280000.0,0.264,2821000000.0,20000000.0,20000000.0,1681000000.0,516000000.0,51173000000.0,2841000000.0,2325000000.0,67000000.0,41000000.0,108000000.0,1666280000.0,1681000000.0,56318000000.0,2197000000.0,444828000.0,443892000.0,3.78,3.79,1681000000.0,1681000000.0,1681000000.0,,1681000000.0,1681000000.0,603000000.0,2284000000.0,20000000.0,20000000.0,67000000.0,,41000000.0,108000000.0,2197000000.0,5145000000.0,5145000000.0,7342000000.0,51173000000.0,58515000000.0,58515000000.0
2024-02-29,6851000.0,0.221,2761000000.0,31000000.0,31000000.0,1743000000.0,514000000.0,51140000000.0,2792000000.0,2278000000.0,144000000.0,41000000.0,185000000.0,1718851000.0,1743000000.0,56380000000.0,2062000000.0,444754000.0,443892000.0,3.92,3.93,1743000000.0,1743000000.0,1743000000.0,,1743000000.0,1743000000.0,494000000.0,2237000000.0,31000000.0,31000000.0,144000000.0,,41000000.0,185000000.0,2062000000.0,5240000000.0,5240000000.0,7302000000.0,51140000000.0,58442000000.0,58442000000.0
2023-11-30,735000.0,0.245,2642000000.0,3000000.0,3000000.0,1589000000.0,501000000.0,50457000000.0,2645000000.0,2144000000.0,119000000.0,38000000.0,157000000.0,1586735000.0,1589000000.0,55815000000.0,1984000000.0,444403000.0,443827000.0,3.58,3.58,1589000000.0,1589000000.0,1589000000.0,,1589000000.0,1589000000.0,517000000.0,2106000000.0,3000000.0,3000000.0,119000000.0,-3000000.0,38000000.0,157000000.0,1984000000.0,5358000000.0,5358000000.0,7342000000.0,50457000000.0,57799000000.0,57799000000.0
2023-08-31,7046236.922038,0.271009,3681000000.0,26000000.0,26000000.0,2160000000.0,688000000.0,69219000000.0,3707000000.0,3019000000.0,156000000.0,56000000.0,212000000.0,2141046236.922038,2160000000.0,76158000000.0,2781000000.0,,,,,2160000000.0,2160000000.0,2160000000.0,0.0,2160000000.0,2160000000.0,803000000.0,2963000000.0,26000000.0,26000000.0,156000000.0,-11000000.0,56000000.0,212000000.0,2781000000.0,6939000000.0,6939000000.0,9720000000.0,69219000000.0,78939000000.0,78939000000.0
2023-05-31,,,,,,,,,,,,,,,,,,444360000.0,443814000.0,2.93,2.94,,,,0.0,,,,,,,,-9000000.0,,,,,,,,,
2023-02-28,,,,,,,,,,,,,,,,,,444475000.0,443877000.0,3.3,3.3,,,,0.0,,,,,,,,-6000000.0,,,,,,,,,
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-6000000.0,,,,,,,,,


Net Income
,Net Income
2024-08-31,2354000000.0
2024-05-31,1681000000.0
2024-02-29,1743000000.0
2023-11-30,1589000000.0
2023-08-31,2160000000.0
2023-05-31,
2023-02-28,
2023-01-31,


Shares Outstanding
,0
2015-12-10 00:00:00-05:00,439777000
2016-10-21 00:00:00-04:00,439343000
2016-12-09 00:00:00-05:00,439240000
2016-12-16 00:00:00-05:00,439240000
2016-12-16 00:00:00-05:00,438941000
2017-03-09 00:00:00-05:00,438940992
2017-03-09 00:00:00-05:00,438941000
2017-03-09 00:00:00-05:00,438679008
2017-05-30 00:00:00-04:00,438679008
2017-06-01 00:00:00-04:00,437524000
2017-06-01 00:00:00-04:00,436990016
2017-06-01 00:00:00-04:00,438592992
2017-06-01 00:00:00-04:00,438679008
2017-10-06 00:00:00-04:00,438208000
2017-10-06 00:00:00-04:00,438601984
2017-10-06 00:00:00-04:00,438820000
2017-10-06 00:00:00-04:00,438883008
2017-10-06 00:00:00-04:00,438542016
2017-10-06 00:00:00-04:00,436990016
2017-10-06 00:00:00-04:00,439105984
2017-10-06 00:00:00-04:00,438188992
2017-10-06 00:00:00-04:00,439184992
2018-11-14 00:00:00-05:00,438208000
2018-11-15 00:00:00-05:00,438208000
2018-11-19 00:00:00-05:00,438208000
2018-11-21 00:00:00-05:00,438208000
2018-11-22 00:00:00-05:00,438208000
2018-11-26 00:00:00-05:00,438208000
2018-11-28 00:00:00-05:00,438208000
2018-11-29 00:00:00-05:00,438208000
2018-12-02 00:00:00-05:00,438208000
2018-12-03 00:00:00-05:00,438208000
2018-12-04 00:00:00-05:00,438208000
2018-12-06 00:00:00-05:00,438208000
2018-12-07 00:00:00-05:00,438208000
2018-12-09 00:00:00-05:00,438208000
2018-12-10 00:00:00-05:00,438208000
2018-12-11 00:00:00-05:00,438208000
2018-12-12 00:00:00-05:00,438208000
2018-12-14 00:00:00-05:00,438208000
2018-12-16 00:00:00-05:00,438208000
2018-12-17 00:00:00-05:00,440545984
2018-12-19 00:00:00-05:00,440545984
2018-12-21 00:00:00-05:00,440489984
2018-12-30 00:00:00-05:00,440489984
2019-01-05 00:00:00-05:00,440489984
2019-01-07 00:00:00-05:00,440489984
2019-01-09 00:00:00-05:00,440489984
2019-01-10 00:00:00-05:00,440489984
2019-01-12 00:00:00-05:00,440489984
2019-01-14 00:00:00-05:00,440489984
2019-01-16 00:00:00-05:00,440489984
2019-01-17 00:00:00-05:00,440489984
2019-01-20 00:00:00-05:00,440489984
2019-01-22 00:00:00-05:00,440489984
2019-01-24 00:00:00-05:00,440489984
2019-01-25 00:00:00-05:00,440489984
2019-01-26 00:00:00-05:00,440489984
2019-01-28 00:00:00-05:00,440489984
2019-01-29 00:00:00-05:00,440489984
2019-01-30 00:00:00-05:00,440489984
2019-02-04 00:00:00-05:00,440489984
2019-02-07 00:00:00-05:00,440489984
2019-02-10 00:00:00-05:00,440489984
2019-02-11 00:00:00-05:00,440489984
2019-02-13 00:00:00-05:00,440489984
2019-02-14 00:00:00-05:00,440489984
2019-02-15 00:00:00-05:00,440489984
2019-02-16 00:00:00-05:00,440489984
2019-02-17 00:00:00-05:00,440489984
2019-02-19 00:00:00-05:00,440489984
2019-02-20 00:00:00-05:00,440489984
2019-02-26 00:00:00-05:00,440489984
2019-02-28 00:00:00-05:00,440489984
2019-03-07 00:00:00-05:00,440489984
2019-03-08 00:00:00-05:00,440489984
2019-03-10 00:00:00-05:00,439988992
2019-03-14 00:00:00-04:00,439988992
2019-03-17 00:00:00-04:00,439880000
2019-03-18 00:00:00-04:00,439880000
2019-03-26 00:00:00-04:00,439880000
2019-03-27 00:00:00-04:00,439880000
2019-03-29 00:00:00-04:00,439880000
2019-03-30 00:00:00-04:00,439880000
2019-04-01 00:00:00-04:00,439880000
2019-04-05 00:00:00-04:00,439880000
2019-04-06 00:00:00-04:00,439880000
2019-04-09 00:00:00-04:00,439880000
