

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-07-31,-9082637.729549,0.097663,3730000000.0,-93000000.0,-93000000.0,2162000000.0,823000000.0,4306000000.0,3637000000.0,2814000000.0,-148000000.0,418000000.0,270000000.0,2245917362.270451,2162000000.0,10912000000.0,2618000000.0,,,,,2162000000.0,2162000000.0,2162000000.0,2162000000.0,2162000000.0,234000000.0,2396000000.0,-186000000.0,-93000000.0,-112000000.0,112000000.0,19000000.0,-148000000.0,418000000.0,270000000.0,2730000000.0,6051000000.0,268000000.0,268000000.0,268000000.0,268000000.0,2179000000.0,3604000000.0,2841000000.0,763000000.0,763000000.0,8781000000.0,4861000000.0,13642000000.0,13642000000.0
2024-04-30,-85020000.0,0.156,3998000000.0,-545000000.0,-545000000.0,1886000000.0,861000000.0,3865000000.0,3453000000.0,2592000000.0,54000000.0,357000000.0,411000000.0,2345980000.0,1886000000.0,9969000000.0,2191000000.0,4060000000.0,4042000000.0,0.46,0.47,1886000000.0,1886000000.0,1886000000.0,1886000000.0,1886000000.0,349000000.0,2235000000.0,-552000000.0,-7000000.0,-542000000.0,542000000.0,-3000000.0,54000000.0,357000000.0,411000000.0,2733000000.0,5540000000.0,297000000.0,297000000.0,297000000.0,297000000.0,1948000000.0,3295000000.0,2559000000.0,736000000.0,736000000.0,8273000000.0,4429000000.0,12702000000.0,12702000000.0
2024-01-31,-20541000.0,0.167,3826000000.0,-123000000.0,-123000000.0,2634000000.0,422000000.0,4218000000.0,3703000000.0,3281000000.0,204000000.0,120000000.0,324000000.0,2736459000.0,2634000000.0,9683000000.0,3096000000.0,4073000000.0,4055000000.0,0.65,0.65,2634000000.0,2634000000.0,2634000000.0,2634000000.0,2634000000.0,527000000.0,3161000000.0,-151000000.0,-28000000.0,-12000000.0,12000000.0,-111000000.0,204000000.0,120000000.0,324000000.0,3108000000.0,5109000000.0,66000000.0,66000000.0,66000000.0,66000000.0,1943000000.0,3100000000.0,2458000000.0,642000000.0,642000000.0,8217000000.0,4574000000.0,12791000000.0,12791000000.0
2023-10-31,-35114000.0,0.181,5148000000.0,-194000000.0,-194000000.0,3638000000.0,401000000.0,4777000000.0,4954000000.0,4553000000.0,249000000.0,111000000.0,360000000.0,3796886000.0,3638000000.0,10269000000.0,4276000000.0,4087000000.0,4057000000.0,0.89,0.9,3638000000.0,3638000000.0,3638000000.0,3638000000.0,3638000000.0,804000000.0,4442000000.0,-206000000.0,-12000000.0,-123000000.0,123000000.0,-71000000.0,249000000.0,111000000.0,360000000.0,4399000000.0,5158000000.0,67000000.0,67000000.0,67000000.0,67000000.0,1913000000.0,3178000000.0,2506000000.0,672000000.0,672000000.0,9557000000.0,5111000000.0,14668000000.0,14668000000.0
2023-07-31,-18587787.966898,0.114739,5166000000.0,-162000000.0,-162000000.0,3958000000.0,422000000.0,5103000000.0,5004000000.0,4582000000.0,201000000.0,111000000.0,312000000.0,4101412212.033102,3958000000.0,10747000000.0,4253000000.0,4093000000.0,4071000000.0,0.97,0.97,3958000000.0,3958000000.0,3958000000.0,3958000000.0,3958000000.0,513000000.0,4471000000.0,-186000000.0,-24000000.0,-203000000.0,203000000.0,41000000.0,201000000.0,111000000.0,312000000.0,4456000000.0,5292000000.0,70000000.0,70000000.0,70000000.0,70000000.0,1953000000.0,3269000000.0,2579000000.0,690000000.0,690000000.0,9748000000.0,5455000000.0,15203000000.0,15203000000.0
2023-04-30,,,,,,,,,,,,,,,,,,4110000000.0,4089000000.0,0.78,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-07-31,2162000000.0
2024-04-30,1886000000.0
2024-01-31,2634000000.0
2023-10-31,3638000000.0
2023-07-31,3958000000.0
2023-04-30,


Shares Outstanding
,0
2015-11-20 00:00:00-05:00,5076080000
2016-05-25 00:00:00-04:00,5029710000
2016-09-08 00:00:00-04:00,5014350000
2016-10-25 00:00:00-04:00,5019760000
2016-10-25 00:00:00-04:00,5026280000
2016-11-22 00:00:00-05:00,5019760000
2016-11-22 00:00:00-05:00,5007860000
2017-02-21 00:00:00-05:00,5007860224
2017-02-21 00:00:00-05:00,5000050176
2017-02-21 00:00:00-05:00,5007860000
2017-05-23 00:00:00-04:00,4951960064
2017-05-23 00:00:00-04:00,5000050176
2017-09-08 00:00:00-04:00,4702879744
2017-09-08 00:00:00-04:00,4817520128
2017-09-08 00:00:00-04:00,4943620096
2017-09-08 00:00:00-04:00,4951779840
2017-09-08 00:00:00-04:00,4951960064
2017-09-08 00:00:00-04:00,4571330048
2018-11-13 00:00:00-05:00,4571330048
2018-11-14 00:00:00-05:00,4571330048
2018-11-15 00:00:00-05:00,4571330048
2018-11-19 00:00:00-05:00,4571330048
2018-11-21 00:00:00-05:00,4571330048
2018-11-22 00:00:00-05:00,4571330048
2018-11-26 00:00:00-05:00,4495960064
2018-11-28 00:00:00-05:00,4495960064
2018-11-29 00:00:00-05:00,4495960064
2018-12-02 00:00:00-05:00,4495960064
2018-12-03 00:00:00-05:00,4495960064
2018-12-04 00:00:00-05:00,4495960064
2018-12-06 00:00:00-05:00,4495960064
2018-12-07 00:00:00-05:00,4495960064
2018-12-10 00:00:00-05:00,4495960064
2018-12-11 00:00:00-05:00,4495960064
2018-12-12 00:00:00-05:00,4495960064
2018-12-14 00:00:00-05:00,4495960064
2018-12-16 00:00:00-05:00,4495960064
2018-12-17 00:00:00-05:00,4495960064
2018-12-19 00:00:00-05:00,4495960064
2018-12-21 00:00:00-05:00,4495960064
2018-12-30 00:00:00-05:00,4495960064
2019-01-05 00:00:00-05:00,4495960064
2019-01-07 00:00:00-05:00,4495960064
2019-01-09 00:00:00-05:00,4495960064
2019-01-10 00:00:00-05:00,4495960064
2019-01-12 00:00:00-05:00,4495960064
2019-01-14 00:00:00-05:00,4495960064
2019-01-16 00:00:00-05:00,4495960064
2019-01-17 00:00:00-05:00,4495960064
2019-01-18 00:00:00-05:00,4495960064
2019-01-22 00:00:00-05:00,4495960064
2019-01-24 00:00:00-05:00,4495960064
2019-01-25 00:00:00-05:00,4495960064
2019-01-26 00:00:00-05:00,4495960064
2019-01-28 00:00:00-05:00,4495960064
2019-01-30 00:00:00-05:00,4495960064
2019-02-04 00:00:00-05:00,4495960064
2019-02-07 00:00:00-05:00,4495960064
2019-02-11 00:00:00-05:00,4495960064
2019-02-13 00:00:00-05:00,4495960064
2019-02-14 00:00:00-05:00,4495960064
2019-02-15 00:00:00-05:00,4495960064
2019-02-17 00:00:00-05:00,4495960064
2019-02-18 00:00:00-05:00,4495960064
2019-02-20 00:00:00-05:00,4495960064
2019-02-28 00:00:00-05:00,4402030080
2019-03-01 00:00:00-05:00,4402030080
2019-03-07 00:00:00-05:00,4402030080
2019-03-09 00:00:00-05:00,4402030080
2019-03-10 00:00:00-05:00,4402030080
2019-03-11 00:00:00-04:00,4402030080
2019-03-14 00:00:00-04:00,4402030080
2019-03-15 00:00:00-04:00,4402030080
2019-03-17 00:00:00-04:00,4402030080
2019-03-18 00:00:00-04:00,4402030080
2019-03-26 00:00:00-04:00,4402030080
2019-03-27 00:00:00-04:00,4402030080
2019-03-29 00:00:00-04:00,4402030080
2019-03-30 00:00:00-04:00,4402030080
2019-04-01 00:00:00-04:00,4402030080
2019-04-02 00:00:00-04:00,4402030080
2019-04-05 00:00:00-04:00,4402030080
2019-04-09 00:00:00-04:00,4402030080
2019-04-14 00:00:00-04:00,4402030080
2019-04-15 00:00:00-04:00,4402030080
2019-04-17 00:00:00-04:00,4402030080
2019-04-19 00:00:00-04:00,4402030080
2019-04-21 00:00:00-04:00,4402030080
2019-04-29 00:00:00-04:00,4402030080
2019-05-02 00:00:00-04:00,4402030080
2019-05-03 00:00:00-04:00,4402030080
2019-05-05 00:00:00-04:00,4402030080
2019-05-07 00:00:00-04:00,4402030080
2019-05-09 00:00:00-04:00,4402030080
2019-05-12 00:00:00-04:00,4402030080
2019-05-13 00:00:00-04:00,4402030080
2019-05-19 00:00:00-04:00,4402030080
2019-05-20 00:00:00-04:00,4402030080
2019-05-22 00:00:00-04:00,4402030080
2019-05-23 00:00:00-04:00,4402030080
2019-05-28 00:00:00-04:00,4280730112
2019-06-01 00:00:00-04:00,4280730112
2019-06-03 00:00:00-04:00,4280730112
2019-06-04 00:00:00-04:00,4280730112
2019-06-05 00:00:00-04:00,4280730112
2019-06-07 00:00:00-04:00,4280730112
2019-06-10 00:00:00-04:00,4280730112
2019-06-11 00:00:00-04:00,4280730112
2019-06-13 00:00:00-04:00,4280730112
2019-06-17 00:00:00-04:00,4280730112
2019-06-19 00:00:00-04:00,4280730112
2019-06-21 00:00:00-04:00,4280730112
2019-06-23 00:00:00-04:00,4280730112
2019-06-25 00:00:00-04:00,4280730112
2019-06-26 00:00:00-04:00,4280730112
2019-07-05 00:00:00-04:00,4229949952
2019-07-06 00:00:00-04:00,4280730112
2019-08-07 00:00:00-04:00,4437400064
2019-08-08 00:00:00-04:00,4280730112
2019-08-09 00:00:00-04:00,4326309888
2019-08-10 00:00:00-04:00,4280730112
2019-08-14 00:00:00-04:00,4378740224
2019-08-15 00:00:00-04:00,4280730112
2019-08-20 00:00:00-04:00,4421109760
2019-08-21 00:00:00-04:00,4280730112
2019-08-22 00:00:00-04:00,4355760128
2019-08-23 00:00:00-04:00,4280730112
2019-08-28 00:00:00-04:00,4252559872
2019-08-29 00:00:00-04:00,4280730112
2019-08-30 00:00:00-04:00,4244509952
2019-09-02 00:00:00-04:00,4286220032
2019-09-04 00:00:00-04:00,4280730112
2019-09-06 00:00:00-04:00,4138400000
2019-09-09 00:00:00-04:00,4102810112
2019-09-11 00:00:00-04:00,4124770048
2019-09-12 00:00:00-04:00,4245289984
2019-09-13 00:00:00-04:00,4236800000
2019-09-14 00:00:00-04:00,4245289984
2019-09-18 00:00:00-04:00,4198550016
2019-09-19 00:00:00-04:00,4239280128
2019-09-20 00:00:00-04:00,4232379904
2019-09-21 00:00:00-04:00,4245289984
2019-09-24 00:00:00-04:00,4229880064
2019-09-25 00:00:00-04:00,4245289984
2019-09-27 00:00:00-04:00,4178959872
2019-09-28 00:00:00-04:00,4245289984
2019-10-05 00:00:00-04:00,4200189952
2019-10-08 00:00:00-04:00,4182190080
2019-10-09 00:00:00-04:00,4245289984
2019-10-10 00:00:00-04:00,4286469888
2019-10-11 00:00:00-04:00,4245289984
2019-10-17 00:00:00-04:00,4284669952
2019-10-17 00:00:00-04:00,4245289984
2019-10-22 00:00:00-04:00,4307089920
2019-10-23 00:00:00-04:00,4259620096
2019-10-24 00:00:00-04:00,4199209984
2019-10-25 00:00:00-04:00,4186099968
2019-10-25 00:00:00-04:00,4243830016
2019-11-06 00:00:00-05:00,4246510080
2019-11-07 00:00:00-05:00,4203610112
2019-11-08 00:00:00-05:00,4268859904
2019-11-09 00:00:00-05:00,4327849984
2019-11-09 00:00:00-05:00,4243830016
2019-11-14 00:00:00-05:00,4251729920
2019-11-15 00:00:00-05:00,4243830016
2019-11-22 00:00:00-05:00,4264969984
2019-11-23 00:00:00-05:00,4242259968
2019-12-05 00:00:00-05:00,4204900096
2019-12-06 00:00:00-05:00,4242259968
2019-12-09 00:00:00-05:00,4273459968
2019-12-10 00:00:00-05:00,4242259968
2019-12-11 00:00:00-05:00,4261590016
2019-12-12 00:00:00-05:00,4242259968
2019-12-13 00:00:00-05:00,4375430144
2019-12-14 00:00:00-05:00,4242259968
2019-12-18 00:00:00-05:00,4284699904
2019-12-19 00:00:00-05:00,4242259968
2020-01-08 00:00:00-05:00,4312629760
2020-01-09 00:00:00-05:00,4227170048
2020-01-10 00:00:00-05:00,4217410048
2020-01-12 00:00:00-05:00,4242259968
2020-01-13 00:00:00-05:00,4224410112
2020-01-14 00:00:00-05:00,4242259968
2020-01-17 00:00:00-05:00,4334159872
2020-01-18 00:00:00-05:00,4242259968
2020-01-23 00:00:00-05:00,4264859904
2020-01-24 00:00:00-05:00,4242259968
2020-01-24 00:00:00-05:00,4237070080
2020-01-30 00:00:00-05:00,4307180032
2020-01-31 00:00:00-05:00,4242259968
2020-02-04 00:00:00-05:00,4191209984
2020-02-05 00:00:00-05:00,4242259968
2020-02-08 00:00:00-05:00,4263280128
2020-02-09 00:00:00-05:00,4242259968
2020-02-12 00:00:00-05:00,4264829952
2020-02-13 00:00:00-05:00,4334280192
2020-02-14 00:00:00-05:00,4020509952
2020-02-15 00:00:00-05:00,4242259968
2020-02-19 00:00:00-05:00,4207940096
2020-02-21 00:00:00-05:00,4240880128
2020-02-25 00:00:00-05:00,4030650112
2020-02-26 00:00:00-05:00,4240880128
2020-03-04 00:00:00-05:00,4362679808
2020-03-05 00:00:00-05:00,4362679808
