

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,0.0,0.37,11334000000.0,4434000000.0,4185000000.0,34871000000.0,11334000000.0,7149000000.0,-113000000.0,113000000.0,4434000000.0,4434000000.0,43984000000.0,1833431000.0,1825842000.0,2.43,2.43,4434000000.0,4434000000.0,4434000000.0,-9000000.0,4443000000.0,4443000000.0,2593000000.0,7036000000.0,1559000000.0,353000000.0,1206000000.0,-113000000.0,113000000.0,5590000000.0,9113000000.0,6877000000.0,1188000000.0,1048000000.0,14703000000.0,34871000000.0,49574000000.0,49574000000.0
2024-03-31,0.0,0.31,12159000000.0,5501000000.0,4119000000.0,31832000000.0,12159000000.0,8040000000.0,-118000000.0,118000000.0,5501000000.0,5501000000.0,40628000000.0,1849116000.0,1842377000.0,2.97,2.99,5501000000.0,5501000000.0,5501000000.0,-50000000.0,5551000000.0,5551000000.0,2371000000.0,7922000000.0,2088000000.0,647000000.0,1441000000.0,-118000000.0,118000000.0,5952000000.0,8796000000.0,6662000000.0,1124000000.0,1010000000.0,14748000000.0,31832000000.0,46580000000.0,46580000000.0
2023-12-31,0.0,0.357307,7212000000.0,2259000000.0,3602000000.0,34731000000.0,7212000000.0,3610000000.0,-120000000.0,120000000.0,2259000000.0,2259000000.0,43526000000.0,1868101000.0,1861474000.0,1.22,1.23,2259000000.0,2259000000.0,2259000000.0,16000000.0,2243000000.0,2243000000.0,1247000000.0,3490000000.0,-1797000000.0,-2787000000.0,990000000.0,-120000000.0,120000000.0,5407000000.0,8795000000.0,6764000000.0,1062000000.0,969000000.0,14202000000.0,34731000000.0,48933000000.0,48933000000.0
2023-09-30,0.0,0.25,13049000000.0,6526000000.0,4197000000.0,36353000000.0,13049000000.0,8852000000.0,-114000000.0,114000000.0,6526000000.0,6526000000.0,45137000000.0,1877104000.0,1870963000.0,3.48,3.48,6526000000.0,6526000000.0,6526000000.0,-29000000.0,6555000000.0,6555000000.0,2183000000.0,8738000000.0,2067000000.0,754000000.0,1313000000.0,-114000000.0,114000000.0,6785000000.0,8784000000.0,6600000000.0,1021000000.0,1163000000.0,15569000000.0,36353000000.0,51922000000.0,51922000000.0
2023-06-30,0.0,0.23,11516000000.0,6010000000.0,3559000000.0,32505000000.0,11516000000.0,7957000000.0,-120000000.0,120000000.0,6010000000.0,6010000000.0,40900000000.0,1875508000.0,1867165000.0,3.2,3.22,6010000000.0,6010000000.0,6010000000.0,2000000.0,6008000000.0,6008000000.0,1829000000.0,7837000000.0,1641000000.0,401000000.0,1240000000.0,-120000000.0,120000000.0,6316000000.0,8395000000.0,6226000000.0,1041000000.0,1128000000.0,14711000000.0,32505000000.0,47216000000.0,47216000000.0


Net Income
,Net Income
2024-06-30,4434000000.0
2024-03-31,5501000000.0
2023-12-31,2259000000.0
2023-09-30,6526000000.0
2023-06-30,6010000000.0


Shares Outstanding
,0
2015-11-06 00:00:00-05:00,1882040000
2016-02-25 00:00:00-05:00,1883160000
2016-04-08 00:00:00-04:00,1884700000
2016-08-04 00:00:00-04:00,1886520000
2016-11-03 00:00:00-04:00,1887770000
2016-11-03 00:00:00-04:00,1893100000
2017-02-23 00:00:00-05:00,1893100000
2017-04-12 00:00:00-04:00,1894560000
2017-05-04 00:00:00-04:00,1895000064
2017-05-04 00:00:00-04:00,1894560000
2017-08-03 00:00:00-04:00,1910770048
2017-08-03 00:00:00-04:00,1899369984
2017-08-03 00:00:00-04:00,1910249984
2017-08-03 00:00:00-04:00,1916150016
2017-08-03 00:00:00-04:00,1895000064
2017-08-03 00:00:00-04:00,1910960000
2018-11-14 00:00:00-05:00,1910770048
2018-11-15 00:00:00-05:00,1910770048
2018-11-19 00:00:00-05:00,1910770048
2018-11-21 00:00:00-05:00,1910770048
2018-11-22 00:00:00-05:00,1910770048
2018-11-26 00:00:00-05:00,1910770048
2018-11-28 00:00:00-05:00,1910770048
2018-11-29 00:00:00-05:00,1910770048
2018-12-02 00:00:00-05:00,1910770048
2018-12-03 00:00:00-05:00,1910770048
2018-12-04 00:00:00-05:00,1910770048
2018-12-06 00:00:00-05:00,1910770048
2018-12-07 00:00:00-05:00,1910770048
2018-12-10 00:00:00-05:00,1910770048
2018-12-11 00:00:00-05:00,1910770048
2018-12-12 00:00:00-05:00,1910770048
2018-12-14 00:00:00-05:00,1910770048
2018-12-16 00:00:00-05:00,1910770048
2018-12-17 00:00:00-05:00,1910770048
2018-12-19 00:00:00-05:00,1910770048
2018-12-21 00:00:00-05:00,1910770048
2018-12-30 00:00:00-05:00,1910770048
2019-01-05 00:00:00-05:00,1910770048
2019-01-07 00:00:00-05:00,1910770048
2019-01-09 00:00:00-05:00,1910770048
2019-01-10 00:00:00-05:00,1910770048
2019-01-12 00:00:00-05:00,1910770048
2019-01-14 00:00:00-05:00,1910770048
2019-01-16 00:00:00-05:00,1910770048
2019-01-17 00:00:00-05:00,1910770048
2019-01-20 00:00:00-05:00,1910770048
2019-01-22 00:00:00-05:00,1910770048
2019-01-24 00:00:00-05:00,1910770048
2019-01-25 00:00:00-05:00,1910770048
2019-01-26 00:00:00-05:00,1910770048
2019-01-28 00:00:00-05:00,1910770048
2019-01-30 00:00:00-05:00,1910770048
2019-02-04 00:00:00-05:00,1910770048
2019-02-07 00:00:00-05:00,1910770048
2019-02-11 00:00:00-05:00,1910770048
2019-02-13 00:00:00-05:00,1910770048
2019-02-14 00:00:00-05:00,1910770048
2019-02-15 00:00:00-05:00,1910770048
2019-02-17 00:00:00-05:00,1910770048
2019-02-18 00:00:00-05:00,1910770048
2019-02-20 00:00:00-05:00,1910770048
2019-02-28 00:00:00-05:00,1900060032
2019-03-01 00:00:00-05:00,1900060032
2019-03-07 00:00:00-05:00,1900060032
2019-03-09 00:00:00-05:00,1900060032
2019-03-10 00:00:00-05:00,1900060032
2019-03-11 00:00:00-04:00,1900060032
2019-03-14 00:00:00-04:00,1900060032
2019-03-15 00:00:00-04:00,1900060032
2019-03-17 00:00:00-04:00,1900060032
2019-03-18 00:00:00-04:00,1900060032
2019-03-26 00:00:00-04:00,1900060032
2019-03-27 00:00:00-04:00,1900060032
2019-03-29 00:00:00-04:00,1900060032
2019-03-30 00:00:00-04:00,1900060032
2019-04-01 00:00:00-04:00,1900060032
2019-04-02 00:00:00-04:00,1900060032
2019-04-05 00:00:00-04:00,1900060032
2019-04-09 00:00:00-04:00,1900060032
2019-04-11 00:00:00-04:00,1900060032
2019-04-14 00:00:00-04:00,1900060032
2019-04-15 00:00:00-04:00,1900060032
2019-04-17 00:00:00-04:00,1904909952
2019-04-19 00:00:00-04:00,1904909952
2019-04-21 00:00:00-04:00,1904909952
2019-04-23 00:00:00-04:00,1904909952
2019-04-29 00:00:00-04:00,1904909952
2019-05-01 00:00:00-04:00,1904909952
2019-05-02 00:00:00-04:00,1904909952
2019-05-03 00:00:00-04:00,1904909952
2019-05-05 00:00:00-04:00,1904909952
2019-05-07 00:00:00-04:00,1904909952
2019-05-09 00:00:00-04:00,1904909952
2019-05-11 00:00:00-04:00,1904909952
2019-05-12 00:00:00-04:00,1904909952
2019-05-13 00:00:00-04:00,1904909952
2019-05-19 00:00:00-04:00,1904909952
2019-05-20 00:00:00-04:00,1904909952
2019-05-22 00:00:00-04:00,1904909952
2019-05-23 00:00:00-04:00,1904909952
2019-05-28 00:00:00-04:00,1904909952
2019-06-01 00:00:00-04:00,1904909952
2019-06-03 00:00:00-04:00,1904909952
2019-06-04 00:00:00-04:00,1904909952
2019-06-05 00:00:00-04:00,1904909952
2019-06-06 00:00:00-04:00,1904909952
2019-06-10 00:00:00-04:00,1904909952
2019-06-11 00:00:00-04:00,1904909952
2019-06-12 00:00:00-04:00,1904909952
2019-06-17 00:00:00-04:00,1904909952
2019-06-19 00:00:00-04:00,1904909952
2019-06-21 00:00:00-04:00,1904909952
2019-06-23 00:00:00-04:00,1904909952
2019-06-24 00:00:00-04:00,1904909952
2019-06-26 00:00:00-04:00,1904909952
2019-07-05 00:00:00-04:00,1898429952
2019-07-06 00:00:00-04:00,1904909952
2019-07-10 00:00:00-04:00,1908770048
2019-07-11 00:00:00-04:00,1937190016
2019-07-12 00:00:00-04:00,1904760064
2019-07-13 00:00:00-04:00,1904909952
2019-08-07 00:00:00-04:00,1936839936
2019-08-08 00:00:00-04:00,1910690048
2019-08-09 00:00:00-04:00,1964249984
2019-08-10 00:00:00-04:00,1898419968
2019-08-30 00:00:00-04:00,1887270016
2019-09-02 00:00:00-04:00,1884070016
2019-09-04 00:00:00-04:00,1898419968
2019-09-06 00:00:00-04:00,1899709952
2019-09-09 00:00:00-04:00,1889750016
2019-09-11 00:00:00-04:00,1834070016
2019-09-12 00:00:00-04:00,1898419968
2019-09-20 00:00:00-04:00,1890470016
2019-09-21 00:00:00-04:00,1898419968
2019-10-04 00:00:00-04:00,1883990016
2019-10-08 00:00:00-04:00,1898419968
2019-10-21 00:00:00-04:00,1888380032
2019-10-22 00:00:00-04:00,1898419968
2019-11-05 00:00:00-05:00,1897270016
2019-11-06 00:00:00-05:00,1813619968
2019-11-07 00:00:00-05:00,1898419968
2019-11-08 00:00:00-05:00,1903420032
2019-11-09 00:00:00-05:00,1898419968
2019-11-11 00:00:00-05:00,1890870016
2019-11-14 00:00:00-05:00,1911510016
2019-11-15 00:00:00-05:00,1885920000
2019-11-16 00:00:00-05:00,1890870016
2019-11-20 00:00:00-05:00,1857379968
2019-11-20 00:00:00-05:00,1890870016
2019-12-18 00:00:00-05:00,1878829952
2019-12-19 00:00:00-05:00,1890870016
2020-01-07 00:00:00-05:00,1897440000
2020-01-08 00:00:00-05:00,1903890048
2020-01-09 00:00:00-05:00,1845400064
2020-01-11 00:00:00-05:00,1869270016
2020-01-12 00:00:00-05:00,1890870016
2020-02-07 00:00:00-05:00,1877330048
2020-02-08 00:00:00-05:00,1890870016
2020-02-12 00:00:00-05:00,1915330048
2020-02-13 00:00:00-05:00,1890870016
2020-02-25 00:00:00-05:00,1890870016
2020-03-09 00:00:00-04:00,1843170048
2020-03-10 00:00:00-04:00,1879320064
2020-04-09 00:00:00-04:00,1866979968
2020-08-04 00:00:00-04:00,1866979968
2020-08-04 00:00:00-04:00,1886329984
2020-08-07 00:00:00-04:00,1867270016
2020-08-14 00:00:00-04:00,1867289984
2020-08-28 00:00:00-04:00,1867289984
2020-09-05 00:00:00-04:00,1867289984
2020-09-06 00:00:00-04:00,1867289984
2020-09-21 00:00:00-04:00,1881139968
2020-09-22 00:00:00-04:00,1867289984
2020-10-05 00:00:00-04:00,1867289984
2020-10-05 00:00:00-04:00,1887709952
2020-10-09 00:00:00-04:00,1925010048
2020-11-03 00:00:00-05:00,1925010048
2020-11-26 00:00:00-05:00,1925010048
2021-03-02 00:00:00-05:00,1926380032
2021-03-17 00:00:00-04:00,1996530048
2021-03-17 00:00:00-04:00,1926380032
2021-03-24 00:00:00-04:00,1927949952
2021-04-10 00:00:00-04:00,1928060032
2021-04-12 00:00:00-04:00,1928060032
2021-04-14 00:00:00-04:00,1928060032
2021-04-14 00:00:00-04:00,1919379968
2021-04-23 00:00:00-04:00,1962060032
2021-04-25 00:00:00-04:00,1950460032
2021-04-27 00:00:00-04:00,1928060032
2021-08-07 00:00:00-04:00,1933910016
2021-08-09 00:00:00-04:00,1933910016
2021-11-08 00:00:00-05:00,1927689984
2021-11-27 00:00:00-05:00,1972800000
2021-11-27 00:00:00-05:00,1927689984
2021-12-04 00:00:00-05:00,1939990016
2021-12-05 00:00:00-05:00,1927689984
2021-12-29 00:00:00-05:00,1931430016
2021-12-29 00:00:00-05:00,1927689984
2021-12-31 00:00:00-05:00,1936220032
2022-01-01 00:00:00-05:00,1927689984
2022-02-04 00:00:00-05:00,1945069952
2022-02-05 00:00:00-05:00,1927689984
2022-02-11 00:00:00-05:00,1927689984
2022-02-18 00:00:00-05:00,1937639936
2022-02-19 00:00:00-05:00,1927689984
2022-02-26 00:00:00-05:00,1947549952
2022-02-28 00:00:00-05:00,1947549952
2022-03-15 00:00:00-04:00,1996380032
2022-03-17 00:00:00-04:00,2102840064
2022-03-18 00:00:00-04:00,2074530048
