

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,16789000.0,0.163,1552000000.0,103000000.0,103000000.0,818000000.0,591000000.0,2397000000.0,1655000000.0,1064000000.0,-83000000.0,87000000.0,4000000.0,731789000.0,818000000.0,4840000000.0,958000000.0,729400000.0,723000000.0,1.12,1.13,818000000.0,,818000000.0,,818000000.0,818000000.0,0.0,818000000.0,159000000.0,977000000.0,102000000.0,-1000000.0,103000000.0,-83000000.0,87000000.0,4000000.0,958000000.0,2443000000.0,383000000.0,2060000000.0,3401000000.0,2397000000.0,5798000000.0,5798000000.0
2024-06-30,-9617000.0,0.163,1787000000.0,-59000000.0,-59000000.0,907000000.0,580000000.0,2315000000.0,1728000000.0,1148000000.0,-26000000.0,65000000.0,39000000.0,956383000.0,907000000.0,4575000000.0,1168000000.0,742400000.0,737600000.0,1.22,1.23,907000000.0,,907000000.0,,907000000.0,907000000.0,0.0,907000000.0,176000000.0,1083000000.0,-59000000.0,,-59000000.0,-26000000.0,65000000.0,39000000.0,1168000000.0,2260000000.0,391000000.0,1869000000.0,3428000000.0,2315000000.0,5743000000.0,5743000000.0
2024-03-31,-5328000.0,0.144,1959000000.0,-37000000.0,-37000000.0,1088000000.0,586000000.0,2309000000.0,1922000000.0,1336000000.0,-5000000.0,65000000.0,60000000.0,1119672000.0,1088000000.0,4484000000.0,1312000000.0,748600000.0,740600000.0,1.45,1.47,1088000000.0,,1088000000.0,,1088000000.0,1088000000.0,0.0,1088000000.0,183000000.0,1271000000.0,-36000000.0,1000000.0,-37000000.0,-5000000.0,65000000.0,60000000.0,1312000000.0,2175000000.0,368000000.0,1807000000.0,3487000000.0,2309000000.0,5796000000.0,5796000000.0
2023-12-31,-42210000.0,0.21,1229000000.0,-201000000.0,-201000000.0,536000000.0,493000000.0,1070000000.0,1028000000.0,535000000.0,39000000.0,78000000.0,117000000.0,694790000.0,1079000000.0,2075000000.0,541000000.0,746100000.0,739800000.0,1.45,1.46,1079000000.0,,1079000000.0,0.0,1079000000.0,1079000000.0,,536000000.0,-79000000.0,457000000.0,-200000000.0,1000000.0,-93000000.0,39000000.0,78000000.0,117000000.0,618000000.0,1005000000.0,239000000.0,766000000.0,1623000000.0,1070000000.0,2693000000.0,2693000000.0
2023-09-30,-8640000.0,0.18,1798000000.0,-48000000.0,-48000000.0,940000000.0,533000000.0,2349000000.0,1750000000.0,1217000000.0,9000000.0,70000000.0,79000000.0,979360000.0,1129000000.0,4439000000.0,1185000000.0,745900000.0,739400000.0,1.51,1.53,1129000000.0,0.0,1129000000.0,,1129000000.0,1129000000.0,189000000.0,940000000.0,207000000.0,1147000000.0,-47000000.0,1000000.0,-48000000.0,9000000.0,70000000.0,79000000.0,1185000000.0,2090000000.0,362000000.0,1728000000.0,3275000000.0,2349000000.0,5624000000.0,5624000000.0
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,186000000.0,,,,,2000000.0,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,0.0,,21000000.0,,,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-09-30,818000000.0
2024-06-30,907000000.0
2024-03-31,1088000000.0
2023-12-31,1079000000.0
2023-09-30,1129000000.0
2023-06-30,
2023-03-31,


Shares Outstanding
,0
2015-10-22 00:00:00-04:00,685285000
2016-01-27 00:00:00-05:00,686800000
2016-02-24 00:00:00-05:00,687154000
2016-04-04 00:00:00-04:00,688089000
2016-04-21 00:00:00-04:00,688695000
2016-07-25 00:00:00-04:00,690538000
2016-10-20 00:00:00-04:00,692200000
2016-10-20 00:00:00-04:00,691702000
2017-02-01 00:00:00-05:00,693280000
2017-02-01 00:00:00-05:00,692200000
2017-02-22 00:00:00-05:00,693280000
2017-02-22 00:00:00-05:00,694017000
2017-04-03 00:00:00-04:00,694017024
2017-04-03 00:00:00-04:00,694017000
2017-04-20 00:00:00-04:00,694120000
2017-07-20 00:00:00-04:00,697569024
2017-07-20 00:00:00-04:00,695604992
2017-07-20 00:00:00-04:00,698443008
2017-07-20 00:00:00-04:00,699755008
2017-07-20 00:00:00-04:00,696600000
2017-07-20 00:00:00-04:00,698572992
2017-07-20 00:00:00-04:00,694689984
2017-07-20 00:00:00-04:00,700902976
2018-11-13 00:00:00-05:00,700902976
2018-11-14 00:00:00-05:00,700902976
2018-11-15 00:00:00-05:00,700902976
2018-11-19 00:00:00-05:00,700902976
2018-11-21 00:00:00-05:00,700902976
2018-11-22 00:00:00-05:00,700902976
2018-11-26 00:00:00-05:00,700902976
2018-11-28 00:00:00-05:00,700902976
2018-11-29 00:00:00-05:00,700902976
2018-12-02 00:00:00-05:00,700902976
2018-12-03 00:00:00-05:00,700902976
2018-12-04 00:00:00-05:00,700902976
2018-12-06 00:00:00-05:00,700902976
2018-12-07 00:00:00-05:00,700902976
2018-12-09 00:00:00-05:00,700902976
2018-12-11 00:00:00-05:00,700902976
2018-12-12 00:00:00-05:00,700902976
2018-12-14 00:00:00-05:00,700902976
2018-12-16 00:00:00-05:00,700902976
2018-12-17 00:00:00-05:00,700902976
2018-12-19 00:00:00-05:00,700902976
2018-12-21 00:00:00-05:00,700902976
2018-12-30 00:00:00-05:00,700902976
2019-01-05 00:00:00-05:00,700902976
2019-01-07 00:00:00-05:00,700902976
2019-01-09 00:00:00-05:00,700902976
2019-01-10 00:00:00-05:00,700902976
2019-01-12 00:00:00-05:00,700902976
2019-01-14 00:00:00-05:00,700902976
2019-01-16 00:00:00-05:00,700902976
2019-01-17 00:00:00-05:00,700902976
2019-01-20 00:00:00-05:00,700902976
2019-01-22 00:00:00-05:00,700902976
2019-01-24 00:00:00-05:00,700902976
2019-01-25 00:00:00-05:00,700902976
2019-01-26 00:00:00-05:00,700902976
2019-01-28 00:00:00-05:00,700902976
2019-01-30 00:00:00-05:00,700902976
2019-02-04 00:00:00-05:00,701500032
2019-02-07 00:00:00-05:00,701500032
2019-02-10 00:00:00-05:00,701500032
2019-02-13 00:00:00-05:00,701500032
2019-02-15 00:00:00-05:00,701500032
2019-02-17 00:00:00-05:00,701500032
2019-02-20 00:00:00-05:00,701500032
2019-02-28 00:00:00-05:00,701875008
2019-03-01 00:00:00-05:00,701875008
2019-03-07 00:00:00-05:00,713974976
2019-03-09 00:00:00-05:00,713974976
2019-03-10 00:00:00-05:00,713974976
2019-03-11 00:00:00-04:00,713974976
2019-03-14 00:00:00-04:00,713974976
2019-03-15 00:00:00-04:00,713974976
2019-03-17 00:00:00-04:00,713974976
2019-03-18 00:00:00-04:00,713974976
2019-03-26 00:00:00-04:00,713974976
2019-03-27 00:00:00-04:00,713974976
2019-03-29 00:00:00-04:00,715694016
2019-03-30 00:00:00-04:00,715694016
2019-04-01 00:00:00-04:00,715694016
2019-04-02 00:00:00-04:00,715694016
2019-04-05 00:00:00-04:00,715694016
2019-04-09 00:00:00-04:00,715694016
2019-04-11 00:00:00-04:00,715694016
2019-04-14 00:00:00-04:00,715694016
2019-04-15 00:00:00-04:00,715694016
2019-04-17 00:00:00-04:00,715694016
2019-04-19 00:00:00-04:00,715694016
2019-04-21 00:00:00-04:00,715934016
2019-04-23 00:00:00-04:00,715934016
2019-04-29 00:00:00-04:00,715934016
2019-05-01 00:00:00-04:00,715934016
2019-05-02 00:00:00-04:00,715934016
2019-05-03 00:00:00-04:00,715934016
2019-05-05 00:00:00-04:00,715934016
2019-05-07 00:00:00-04:00,715934016
2019-05-09 00:00:00-04:00,715934016
2019-05-11 00:00:00-04:00,715934016
2019-05-12 00:00:00-04:00,715934016
2019-05-13 00:00:00-04:00,715934016
2019-05-19 00:00:00-04:00,715934016
2019-05-20 00:00:00-04:00,715934016
2019-05-22 00:00:00-04:00,715934016
2019-05-23 00:00:00-04:00,715934016
2019-05-28 00:00:00-04:00,715934016
2019-06-01 00:00:00-04:00,715934016
2019-06-03 00:00:00-04:00,715934016
2019-06-04 00:00:00-04:00,715934016
2019-06-05 00:00:00-04:00,715934016
2019-06-06 00:00:00-04:00,715934016
2019-06-10 00:00:00-04:00,715934016
2019-06-11 00:00:00-04:00,715934016
2019-06-12 00:00:00-04:00,715934016
2019-06-17 00:00:00-04:00,715934016
2019-06-19 00:00:00-04:00,715934016
2019-06-21 00:00:00-04:00,715934016
2019-06-23 00:00:00-04:00,715934016
2019-06-24 00:00:00-04:00,715934016
2019-06-26 00:00:00-04:00,715934016
2019-07-05 00:00:00-04:00,710169024
2019-07-06 00:00:00-04:00,715934016
2019-07-10 00:00:00-04:00,707606976
2019-07-11 00:00:00-04:00,717492992
2019-07-12 00:00:00-04:00,716486016
2019-07-13 00:00:00-04:00,715934016
2019-07-22 00:00:00-04:00,717368000
2019-08-05 00:00:00-04:00,722675968
2019-08-06 00:00:00-04:00,717368000
2019-08-07 00:00:00-04:00,735817024
2019-08-08 00:00:00-04:00,730584000
2019-08-09 00:00:00-04:00,731331008
2019-08-10 00:00:00-04:00,717368000
2019-08-30 00:00:00-04:00,706278976
2019-09-02 00:00:00-04:00,704241024
2019-09-04 00:00:00-04:00,717368000
2019-09-06 00:00:00-04:00,713052032
2019-09-09 00:00:00-04:00,706233984
2019-09-11 00:00:00-04:00,746254016
2019-09-12 00:00:00-04:00,717368000
2019-09-20 00:00:00-04:00,726337984
2019-09-21 00:00:00-04:00,717368000
2019-10-04 00:00:00-04:00,708582016
2019-10-08 00:00:00-04:00,717368000
2019-10-21 00:00:00-04:00,718617024
2019-10-22 00:00:00-04:00,717368000
2019-10-28 00:00:00-04:00,718281024
2019-11-05 00:00:00-05:00,724854976
2019-11-06 00:00:00-05:00,732092032
2019-11-07 00:00:00-05:00,718281024
2019-11-08 00:00:00-05:00,714457024
2019-11-09 00:00:00-05:00,718281024
2019-11-14 00:00:00-05:00,726283008
2019-11-15 00:00:00-05:00,713564032
2019-11-16 00:00:00-05:00,718281024
2019-11-20 00:00:00-05:00,718281024
2019-11-20 00:00:00-05:00,735542976
2019-12-18 00:00:00-05:00,715102976
2019-12-19 00:00:00-05:00,718281024
2019-12-20 00:00:00-05:00,695358976
2020-01-07 00:00:00-05:00,699689984
2020-01-08 00:00:00-05:00,697608000
2020-01-09 00:00:00-05:00,702915008
2020-01-11 00:00:00-05:00,696072000
2020-01-12 00:00:00-05:00,695358976
2020-02-03 00:00:00-05:00,695500032
2020-02-07 00:00:00-05:00,700153984
2020-02-08 00:00:00-05:00,695500032
2020-02-12 00:00:00-05:00,698444032
2020-02-13 00:00:00-05:00,695500032
2020-02-25 00:00:00-05:00,696236992
2020-03-09 00:00:00-04:00,691393024
2020-03-10 00:00:00-04:00,696236992
2020-03-27 00:00:00-04:00,696894976
2020-05-08 00:00:00-04:00,697510976
2020-05-14 00:00:00-04:00,707020032
2020-07-27 00:00:00-04:00,709409024
2020-08-04 00:00:00-04:00,719955968
2020-08-04 00:00:00-04:00,709409024
2020-08-27 00:00:00-04:00,709409024
2020-08-28 00:00:00-04:00,709409024
2020-09-05 00:00:00-04:00,709409024
2020-09-06 00:00:00-04:00,709409024
2020-09-21 00:00:00-04:00,712297024
2020-09-22 00:00:00-04:00,709409024
2020-10-05 00:00:00-04:00,709409024
2020-10-05 00:00:00-04:00,702238016
2020-10-23 00:00:00-04:00,710377024
2020-11-26 00:00:00-05:00,710377024
2021-01-30 00:00:00-05:00,711000000
2021-02-27 00:00:00-05:00,712204032
2021-03-17 00:00:00-04:00,712204032
2021-03-17 00:00:00-04:00,708179968
2021-03-26 00:00:00-04:00,713067008
2021-04-14 00:00:00-04:00,713067008
2021-04-14 00:00:00-04:00,689577024
2021-04-23 00:00:00-04:00,689046976
2021-04-25 00:00:00-04:00,670851008
2021-04-26 00:00:00-04:00,670851008
2021-04-27 00:00:00-04:00,713278976
2021-07-20 00:00:00-04:00,713278976
2021-07-20 00:00:00-04:00,715892992
2021-07-23 00:00:00-04:00,713900032
2021-10-22 00:00:00-04:00,714577024
2021-10-23 00:00:00-04:00,713900032
2021-10-23 00:00:00-04:00,714577024
2021-10-26 00:00:00-04:00,714577024
2021-10-26 00:00:00-04:00,731571968
2021-11-05 00:00:00-04:00,725926016
2021-11-06 00:00:00-04:00,714577024
2022-02-11 00:00:00-05:00,714577024
2022-02-26 00:00:00-05:00,715353024
2022-03-24 00:00:00-04:00,734984000
2022-03-25 00:00:00-04:00,715353024
2022-04-01 00:00:00-04:00,715894976
2022-04-19 00:00:00-04:00,720865984
2022-04-19 00:00:00-04:00,715894976
2022-04-23 00:00:00-04:00,727076992
2022-04-25 00:00:00-04:00,727076992
2022-05-04 00:00:00-04:00,732958016
2022-05-06 00:00:00-04:00,727076992
2022-06-03 00:00:00-04:00,727076992
2022-06-03 00:00:00-04:00,761230016
2022-07-22 00:00:00-04:00,727444992
2022-07-29 00:00:00-04:00,750718976
2022-07-30 00:00:00-04:00,727444992
2022-09-02 00:00:00-04:00,727444992
2022-09-20 00:00:00-04:00,722542976
2022-09-21 00:00:00-04:00,727444992
2022-10-21 00:00:00-04:00,771766016
2022-10-23 00:00:00-04:00,727963008
2022-11-04 00:00:00-04:00,727963008
2022-11-04 00:00:00-04:00,731340032
2023-01-04 00:00:00-05:00,736705984
2023-01-05 00:00:00-05:00,727963008
2023-01-25 00:00:00-05:00,728300032
2023-02-04 00:00:00-05:00,730540032
2023-02-05 00:00:00-05:00,728300032
2023-02-24 00:00:00-05:00,728577024
2023-03-18 00:00:00-04:00,747708992
2023-03-19 00:00:00-04:00,728577024
2023-03-23 00:00:00-04:00,734700032
2023-03-24 00:00:00-04:00,728577024
2023-03-30 00:00:00-04:00,730968000
2023-04-01 00:00:00-04:00,729107008
2023-04-01 00:00:00-04:00,735644992
2023-04-04 00:00:00-04:00,734792000
2023-04-06 00:00:00-04:00,732873984
2023-04-06 00:00:00-04:00,729107008
2023-04-07 00:00:00-04:00,729107008
2023-04-15 00:00:00-04:00,737044992
2023-04-15 00:00:00-04:00,729107008
2023-04-26 00:00:00-04:00,737899008
