

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Insurance And Claims,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,40740000.0,0.105,2069000000.0,388000000.0,388000000.0,1705000000.0,313000000.0,6226000000.0,2457000000.0,2144000000.0,-64000000.0,251000000.0,187000000.0,1357740000.0,1852000000.0,8601000000.0,1098000000.0,1093000000.0,1.7,1.71,1852000000.0,,1852000000.0,,1852000000.0,10000000.0,1842000000.0,147000000.0,1695000000.0,198000000.0,1893000000.0,717000000.0,301000000.0,31000000.0,356000000.0,251000000.0,74000000.0,28000000.0,357000000.0,-64000000.0,251000000.0,187000000.0,1241000000.0,2375000000.0,331000000.0,2044000000.0,1330000000.0,714000000.0,,714000000.0,3616000000.0,6226000000.0,9842000000.0,9842000000.0
2024-06-30,-40334000.0,0.086,2214000000.0,-469000000.0,-469000000.0,1320000000.0,50000000.0,5575000000.0,1745000000.0,1695000000.0,-48000000.0,248000000.0,200000000.0,1748666000.0,1266000000.0,7466000000.0,1100000000.0,1089000000.0,1.15,1.16,1266000000.0,,1266000000.0,,1266000000.0,-2000000.0,1268000000.0,-54000000.0,1322000000.0,125000000.0,1447000000.0,-134000000.0,301000000.0,-469000000.0,-394000000.0,,75000000.0,34000000.0,,-48000000.0,248000000.0,200000000.0,1627000000.0,1891000000.0,300000000.0,1591000000.0,,1591000000.0,924000000.0,667000000.0,3518000000.0,5575000000.0,9093000000.0,9093000000.0
2024-03-31,47940000.0,0.17,2385000000.0,282000000.0,282000000.0,1523000000.0,523000000.0,11620000000.0,2667000000.0,2144000000.0,-26000000.0,278000000.0,252000000.0,1288940000.0,1537000000.0,15023000000.0,1103000000.0,1091000000.0,1.39,1.41,1537000000.0,,1537000000.0,,1537000000.0,-27000000.0,1563000000.0,14000000.0,1549000000.0,318000000.0,1866000000.0,864000000.0,454000000.0,282000000.0,637000000.0,,355000000.0,128000000.0,,-26000000.0,278000000.0,252000000.0,1030000000.0,3403000000.0,507000000.0,2896000000.0,,2896000000.0,2269000000.0,627000000.0,4433000000.0,11620000000.0,16053000000.0,16053000000.0
2023-12-31,63286212.045794,0.209557,2537000000.0,302000000.0,302000000.0,1590000000.0,534000000.0,14396000000.0,2839000000.0,2305000000.0,-91000000.0,296000000.0,205000000.0,1351286212.045794,1592000000.0,18228000000.0,1100000000.0,1088000000.0,1.45,1.46,1592000000.0,,1592000000.0,0.0,1592000000.0,0.0,1591000000.0,2000000.0,1589000000.0,421000000.0,2009000000.0,906000000.0,514000000.0,5459000000.0,5779000000.0,,320000000.0,90000000.0,621000000.0,-91000000.0,296000000.0,205000000.0,1195000000.0,3832000000.0,551000000.0,3281000000.0,,9952000000.0,,757000000.0,5027000000.0,14396000000.0,19423000000.0,19423000000.0
2023-09-30,-97968000.0,0.078,2151000000.0,-1256000000.0,-1256000000.0,321000000.0,292000000.0,5992000000.0,895000000.0,603000000.0,-107000000.0,270000000.0,163000000.0,1479032000.0,352000000.0,7950000000.0,1087000000.0,1083000000.0,0.24,0.24,261000000.0,,261000000.0,91000000.0,352000000.0,14000000.0,338000000.0,31000000.0,307000000.0,26000000.0,333000000.0,-911000000.0,298000000.0,-147000000.0,0.0,0.0,147000000.0,47000000.0,-1109000000.0,-107000000.0,270000000.0,163000000.0,1352000000.0,1958000000.0,247000000.0,1711000000.0,1001000000.0,710000000.0,,710000000.0,3310000000.0,5992000000.0,9302000000.0,9302000000.0
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,58000000.0,,,,,,,,,,,,,,,,,,,,,,,,,913000000.0,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,-6000000.0,,145000000.0,,,,,,,,,,,,,,,5908000000.0,,,,,,,,,,2142000000.0,,,,,


Net Income
,Net Income
2024-09-30,1852000000.0
2024-06-30,1266000000.0
2024-03-31,1537000000.0
2023-12-31,1592000000.0
2023-09-30,352000000.0
2023-06-30,
2023-03-31,


Shares Outstanding
,0
2015-11-20 00:00:00-05:00,9437870000
2016-03-03 00:00:00-05:00,9330610000
2016-03-17 00:00:00-04:00,9300000000
2016-03-20 00:00:00-04:00,9285130000
2016-05-04 00:00:00-04:00,9195660000
2016-05-09 00:00:00-04:00,9195660000
2016-08-01 00:00:00-04:00,8961230000
2016-09-30 00:00:00-04:00,8961230000
2016-11-02 00:00:00-04:00,8724780000
2016-11-02 00:00:00-04:00,8846390000
2017-03-02 00:00:00-05:00,8724780000
2017-03-02 00:00:00-05:00,8708710000
2017-03-12 00:00:00-05:00,8708710400
2017-03-12 00:00:00-05:00,8683960320
2017-03-12 00:00:00-05:00,8708710000
2017-05-10 00:00:00-04:00,8657949696
2017-05-10 00:00:00-04:00,8683960320
2017-07-28 00:00:00-04:00,8685339648
2017-07-28 00:00:00-04:00,8698120192
2017-07-28 00:00:00-04:00,8657949696
2017-07-28 00:00:00-04:00,8683509760
2017-07-28 00:00:00-04:00,8691080192
2017-07-28 00:00:00-04:00,8682579968
2017-07-28 00:00:00-04:00,8672079872
2018-11-13 00:00:00-05:00,8698120192
2018-11-14 00:00:00-05:00,8698120192
2018-11-16 00:00:00-05:00,8698120192
2018-11-19 00:00:00-05:00,8698120192
2018-11-21 00:00:00-05:00,8698120192
2018-11-22 00:00:00-05:00,8698120192
2018-11-26 00:00:00-05:00,8698120192
2018-11-28 00:00:00-05:00,8698120192
2018-11-29 00:00:00-05:00,8698120192
2018-12-05 00:00:00-05:00,8698120192
2018-12-06 00:00:00-05:00,8698120192
2018-12-07 00:00:00-05:00,8698120192
2018-12-10 00:00:00-05:00,8698120192
2018-12-11 00:00:00-05:00,8698120192
2018-12-12 00:00:00-05:00,8698120192
2018-12-14 00:00:00-05:00,8698120192
2018-12-16 00:00:00-05:00,8698120192
2018-12-17 00:00:00-05:00,8698120192
2018-12-19 00:00:00-05:00,8698120192
2018-12-21 00:00:00-05:00,8698120192
2018-12-30 00:00:00-05:00,8698120192
2019-01-05 00:00:00-05:00,8698120192
2019-01-07 00:00:00-05:00,8698120192
2019-01-09 00:00:00-05:00,8698120192
2019-01-10 00:00:00-05:00,8698120192
2019-01-12 00:00:00-05:00,8698120192
2019-01-14 00:00:00-05:00,8698120192
2019-01-16 00:00:00-05:00,8698120192
2019-01-20 00:00:00-05:00,8698120192
2019-01-23 00:00:00-05:00,8698120192
2019-01-25 00:00:00-05:00,8698120192
2019-01-29 00:00:00-05:00,8698120192
2019-01-30 00:00:00-05:00,8698120192
2019-02-04 00:00:00-05:00,8698120192
2019-02-07 00:00:00-05:00,8698120192
2019-02-11 00:00:00-05:00,8698120192
2019-02-14 00:00:00-05:00,8698120192
2019-02-15 00:00:00-05:00,8698120192
2019-02-16 00:00:00-05:00,8698120192
2019-02-17 00:00:00-05:00,8698120192
2019-02-19 00:00:00-05:00,8698120192
2019-02-20 00:00:00-05:00,8698120192
2019-02-27 00:00:00-05:00,8698120192
2019-02-28 00:00:00-05:00,8705080320
2019-03-07 00:00:00-05:00,8705080320
2019-03-10 00:00:00-05:00,8705080320
2019-03-14 00:00:00-04:00,8705080320
2019-03-17 00:00:00-04:00,8705080320
2019-03-26 00:00:00-04:00,8709640192
2019-03-29 00:00:00-04:00,8709640192
2019-04-01 00:00:00-04:00,8709640192
2019-04-05 00:00:00-04:00,8709640192
2019-04-06 00:00:00-04:00,8709640192
2019-04-09 00:00:00-04:00,8709640192
2019-04-10 00:00:00-04:00,8709640192
2019-04-14 00:00:00-04:00,8709640192
2019-04-16 00:00:00-04:00,8709640192
2019-04-17 00:00:00-04:00,8709640192
2019-04-21 00:00:00-04:00,8709640192
2019-04-29 00:00:00-04:00,8709640192
2019-04-30 00:00:00-04:00,8709640192
2019-05-02 00:00:00-04:00,8720809984
2019-05-04 00:00:00-04:00,8720809984
2019-05-05 00:00:00-04:00,8720809984
2019-05-06 00:00:00-04:00,8720809984
2019-05-09 00:00:00-04:00,8720809984
2019-05-10 00:00:00-04:00,8720809984
2019-05-12 00:00:00-04:00,8720809984
2019-05-14 00:00:00-04:00,8720809984
2019-05-19 00:00:00-04:00,8720809984
2019-05-21 00:00:00-04:00,8720809984
2019-05-22 00:00:00-04:00,8720809984
2019-05-24 00:00:00-04:00,8720809984
2019-05-28 00:00:00-04:00,8720809984
2019-06-02 00:00:00-04:00,8720809984
2019-06-03 00:00:00-04:00,8720809984
2019-06-05 00:00:00-04:00,8720809984
2019-06-10 00:00:00-04:00,8720809984
2019-06-11 00:00:00-04:00,8720809984
2019-06-13 00:00:00-04:00,8720809984
