

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-168777000.0,0.141,32523000000.0,-1197000000.0,-1197000000.0,23619000000.0,3708000000.0,35507000000.0,31326000000.0,27618000000.0,1023000000.0,67000000.0,1090000000.0,24647223000.0,23619000000.0,57317000000.0,27425000000.0,12495000000.0,12343000000.0,1.89,1.91,23619000000.0,,23619000000.0,23619000000.0,23619000000.0,23619000000.0,3932000000.0,27551000000.0,-897000000.0,268000000.0,32000000.0,-1197000000.0,1023000000.0,67000000.0,1090000000.0,27425000000.0,21810000000.0,11860000000.0,9950000000.0,6792000000.0,3158000000.0,3158000000.0,49235000000.0,35507000000.0,84742000000.0,84742000000.0
2024-03-31,253052000.0,0.164,30279000000.0,1543000000.0,1543000000.0,23662000000.0,3413000000.0,33712000000.0,31822000000.0,28409000000.0,967000000.0,94000000.0,1061000000.0,22372052000.0,23662000000.0,55067000000.0,25472000000.0,13396000000.0,12415000000.0,1.89,1.91,25303000000.0,1641000000.0,23662000000.0,23662000000.0,23662000000.0,23662000000.0,4653000000.0,28315000000.0,1876000000.0,359000000.0,-26000000.0,1543000000.0,967000000.0,94000000.0,1061000000.0,25472000000.0,21355000000.0,11903000000.0,9452000000.0,6426000000.0,3026000000.0,3026000000.0,46827000000.0,33712000000.0,80539000000.0,80539000000.0
2023-12-31,3356955.595609,0.152589,26022000000.0,22000000.0,22000000.0,20687000000.0,1563000000.0,37575000000.0,26044000000.0,24481000000.0,1041000000.0,69000000.0,1110000000.0,20668356955.595608,20687000000.0,62613000000.0,23697000000.0,12602000000.0,12488000000.0,1.64,1.66,20687000000.0,,20687000000.0,20687000000.0,20687000000.0,20687000000.0,3725000000.0,24412000000.0,-326000000.0,-92000000.0,-256000000.0,22000000.0,1041000000.0,69000000.0,1110000000.0,23697000000.0,25038000000.0,12113000000.0,12925000000.0,7719000000.0,5206000000.0,5206000000.0,48735000000.0,37575000000.0,86310000000.0,86310000000.0
2023-09-30,-83780000.0,0.071,27417000000.0,-1180000000.0,-1180000000.0,19689000000.0,4924000000.0,33229000000.0,26237000000.0,21313000000.0,950000000.0,116000000.0,1066000000.0,20785220000.0,19689000000.0,55350000000.0,21343000000.0,12702580645.0,12621153846.0,1.55,1.56,19689000000.0,,19689000000.0,19689000000.0,19689000000.0,19689000000.0,1508000000.0,21197000000.0,-1096000000.0,299000000.0,-215000000.0,-1180000000.0,950000000.0,116000000.0,1066000000.0,21343000000.0,22121000000.0,11258000000.0,10863000000.0,6884000000.0,3979000000.0,3979000000.0,43464000000.0,33229000000.0,76693000000.0,76693000000.0
2023-06-30,-125097000.0,0.161,25547000000.0,-777000000.0,-777000000.0,18368000000.0,2824000000.0,31916000000.0,24770000000.0,21946000000.0,849000000.0,43000000.0,892000000.0,19019903000.0,18368000000.0,52766000000.0,21838000000.0,12764000000.0,12668000000.0,1.44,1.45,18368000000.0,,18368000000.0,18368000000.0,18368000000.0,18368000000.0,3535000000.0,21903000000.0,-784000000.0,99000000.0,-106000000.0,-777000000.0,849000000.0,43000000.0,892000000.0,21838000000.0,20850000000.0,10588000000.0,10262000000.0,6781000000.0,3481000000.0,3481000000.0,42688000000.0,31916000000.0,74604000000.0,74604000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,1036000000.0,,,,,,,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,23619000000.0
2024-03-31,23662000000.0
2023-12-31,20687000000.0
2023-09-30,19689000000.0
2023-06-30,18368000000.0
2023-03-31,


Shares Outstanding
,0
2015-10-29 00:00:00-04:00,687725000
2016-02-01 00:00:00-05:00,687348000
2016-02-11 00:00:00-05:00,688320000
2016-02-12 00:00:00-05:00,688330000
2016-02-26 00:00:00-05:00,688320000
2016-02-26 00:00:00-05:00,687656000
2016-04-21 00:00:00-04:00,686792000
2016-04-29 00:00:00-04:00,686794000
2016-04-29 00:00:00-04:00,686878000
2016-04-29 00:00:00-04:00,686782000
2016-05-03 00:00:00-04:00,686555000
2016-05-09 00:00:00-04:00,686560000
2016-05-09 00:00:00-04:00,687320000
2016-07-28 00:00:00-04:00,686778000
2016-08-04 00:00:00-04:00,687888000
2016-08-04 00:00:00-04:00,674735000
2016-08-04 00:00:00-04:00,687273000
2016-08-04 00:00:00-04:00,674200000
2016-08-04 00:00:00-04:00,673762000
2016-08-04 00:00:00-04:00,674380000
2016-08-04 00:00:00-04:00,673467000
2016-08-04 00:00:00-04:00,673659000
2016-09-30 00:00:00-04:00,674735000
2016-09-30 00:00:00-04:00,687265000
2016-09-30 00:00:00-04:00,673659000
2016-11-03 00:00:00-04:00,680786000
2016-11-03 00:00:00-04:00,680209000
2016-11-10 00:00:00-05:00,680160000
2016-11-10 00:00:00-05:00,679893000
2016-11-10 00:00:00-05:00,678357000
2016-11-10 00:00:00-05:00,680319000
2016-11-10 00:00:00-05:00,677545000
2016-11-10 00:00:00-05:00,679449000
2016-11-10 00:00:00-05:00,682061000
2016-11-10 00:00:00-05:00,679997000
2016-11-10 00:00:00-05:00,679869000
2016-11-10 00:00:00-05:00,681426000
2017-01-26 00:00:00-05:00,681834000
2017-01-31 00:00:00-05:00,681205000
2017-01-31 00:00:00-05:00,680637000
2017-02-09 00:00:00-05:00,683820032
2017-02-09 00:00:00-05:00,682736000
2017-02-09 00:00:00-05:00,682851968
2017-02-09 00:00:00-05:00,682229000
2017-02-09 00:00:00-05:00,683258000
2017-02-09 00:00:00-05:00,682132000
2017-02-09 00:00:00-05:00,683620000
2017-02-09 00:00:00-05:00,683699008
2017-02-09 00:00:00-05:00,682504000
2017-02-09 00:00:00-05:00,683138000
2017-02-09 00:00:00-05:00,682556000
2017-02-09 00:00:00-05:00,683659000
2017-05-03 00:00:00-04:00,683352000
2017-05-03 00:00:00-04:00,681324992
2017-05-03 00:00:00-04:00,682294976
2017-05-06 00:00:00-04:00,682673024
2017-05-06 00:00:00-04:00,682444032
2017-05-06 00:00:00-04:00,682854016
2017-05-06 00:00:00-04:00,683313024
2017-05-06 00:00:00-04:00,683232000
2017-05-06 00:00:00-04:00,683102976
2017-05-06 00:00:00-04:00,685692032
2017-05-06 00:00:00-04:00,685436032
2017-05-06 00:00:00-04:00,684044032
2017-05-06 00:00:00-04:00,683457024
2017-05-06 00:00:00-04:00,685718016
2017-05-06 00:00:00-04:00,683558976
2017-05-06 00:00:00-04:00,682876992
2017-05-06 00:00:00-04:00,683337024
2017-05-06 00:00:00-04:00,682620992
2017-07-25 00:00:00-04:00,694011008
2017-07-25 00:00:00-04:00,693536000
2017-07-25 00:00:00-04:00,691472000
2017-07-25 00:00:00-04:00,695043968
2017-07-25 00:00:00-04:00,689801984
2017-07-25 00:00:00-04:00,691374976
2017-07-25 00:00:00-04:00,688918016
2017-07-25 00:00:00-04:00,693636992
2017-07-25 00:00:00-04:00,689296000
2017-07-25 00:00:00-04:00,692867968
2017-07-25 00:00:00-04:00,690411008
2017-07-25 00:00:00-04:00,692705024
2017-07-25 00:00:00-04:00,689182976
2017-07-25 00:00:00-04:00,686955008
2017-07-25 00:00:00-04:00,690396032
2017-07-25 00:00:00-04:00,692116992
2017-07-25 00:00:00-04:00,686252032
2017-07-25 00:00:00-04:00,689873024
2017-07-25 00:00:00-04:00,692297984
2017-07-25 00:00:00-04:00,694166016
2017-07-25 00:00:00-04:00,690513024
2017-07-25 00:00:00-04:00,692724992
2017-07-25 00:00:00-04:00,695756032
2017-07-25 00:00:00-04:00,693692032
2017-07-25 00:00:00-04:00,691169024
2017-07-25 00:00:00-04:00,686353024
2017-07-25 00:00:00-04:00,686713984
2017-07-25 00:00:00-04:00,685436032
