

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense
2024-06-30,-45255107.252298,0.222932,-203000000.0,-203000000.0,3043000000.0,646000000.0,2242000000.0,18198000000.0,20440000000.0,3200744892.747702,3043000000.0,335500000.0,329800000.0,8.62,8.73,2891000000.0,2891000000.0,152000000.0,3043000000.0,3043000000.0,3043000000.0,873000000.0,3916000000.0,-203000000.0,104000000.0,,99000000.0,0.0,547000000.0,547000000.0,4393000000.0,153000000.0,4240000000.0,4240000000.0,12731000000.0,12731000000.0,244000000.0,393000000.0,2753000000.0
2024-03-31,-38191000.0,0.211,-181000000.0,-181000000.0,4132000000.0,627000000.0,1608000000.0,17947000000.0,19555000000.0,4274809000.0,4132000000.0,339500000.0,335600000.0,11.58,11.67,3931000000.0,3931000000.0,201000000.0,4132000000.0,4132000000.0,4132000000.0,1105000000.0,5237000000.0,-181000000.0,101000000.0,,80000000.0,0.0,547000000.0,547000000.0,4738000000.0,153000000.0,4585000000.0,4585000000.0,14213000000.0,14213000000.0,247000000.0,384000000.0,2561000000.0
2023-12-31,80326530.612245,0.109139,736000000.0,736000000.0,2008000000.0,780000000.0,1339000000.0,17145000000.0,18484000000.0,1352326530.612245,2008000000.0,340900000.0,335700000.0,5.48,5.52,1867000000.0,1867000000.0,141000000.0,2008000000.0,2008000000.0,2008000000.0,246000000.0,2254000000.0,736000000.0,9000000.0,,-745000000.0,0.0,2990000000.0,2990000000.0,3777000000.0,175000000.0,3602000000.0,3602000000.0,11318000000.0,11318000000.0,268000000.0,471000000.0,1717000000.0
2023-09-30,-242881712.626996,0.253266,-959000000.0,-959000000.0,2058000000.0,1512000000.0,1547000000.0,16710000000.0,18257000000.0,2774118287.373004,2058000000.0,343900000.0,338700000.0,5.47,5.52,1882000000.0,1882000000.0,176000000.0,2058000000.0,2058000000.0,2058000000.0,698000000.0,2756000000.0,-959000000.0,15000000.0,,944000000.0,0.0,648000000.0,648000000.0,4324000000.0,136000000.0,4188000000.0,4188000000.0,11817000000.0,11817000000.0,267000000.0,377000000.0,2479000000.0
2023-06-30,-301935483.870968,0.299539,-1008000000.0,-1008000000.0,1216000000.0,1594000000.0,1684000000.0,15152000000.0,16836000000.0,1922064516.129032,1216000000.0,347200000.0,342300000.0,3.08,3.09,1071000000.0,1071000000.0,145000000.0,1216000000.0,1216000000.0,1216000000.0,520000000.0,1736000000.0,-1008000000.0,19000000.0,,989000000.0,0.0,605000000.0,605000000.0,3765000000.0,146000000.0,3619000000.0,3619000000.0,10895000000.0,10895000000.0,253000000.0,392000000.0,2521000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,355000000.0,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,3043000000.0
2024-03-31,4132000000.0
2023-12-31,2008000000.0
2023-09-30,2058000000.0
2023-06-30,1216000000.0
2023-03-31,


Shares Outstanding
,0
2013-05-09 00:00:00-04:00,426400000
2015-10-15 00:00:00-04:00,446200000
2016-01-20 00:00:00-05:00,441600000
2016-02-22 00:00:00-05:00,419481000
2016-04-08 00:00:00-04:00,418758000
2016-04-19 00:00:00-04:00,437200000
2016-07-19 00:00:00-04:00,426400000
2016-07-19 00:00:00-04:00,418800000
2016-10-18 00:00:00-04:00,414800000
2016-10-18 00:00:00-04:00,418800000
2017-01-18 00:00:00-05:00,414800000
2017-02-27 00:00:00-05:00,397790000
2017-02-27 00:00:00-05:00,392632000
2017-03-17 00:00:00-04:00,397790000
2017-04-18 00:00:00-04:00,409300000
2017-07-18 00:00:00-04:00,388212992
2017-07-18 00:00:00-04:00,402900000
2017-08-04 00:00:00-04:00,379030016
2017-08-04 00:00:00-04:00,387600000
2017-08-04 00:00:00-04:00,377705984
2017-08-04 00:00:00-04:00,379099008
2017-08-04 00:00:00-04:00,388212992
2017-08-04 00:00:00-04:00,377556000
2017-08-04 00:00:00-04:00,382900000
2017-08-04 00:00:00-04:00,374808992
2017-08-04 00:00:00-04:00,371969984
2017-08-04 00:00:00-04:00,377200992
2018-11-14 00:00:00-05:00,371969984
2018-11-16 00:00:00-05:00,371969984
2018-11-21 00:00:00-05:00,371969984
2018-11-22 00:00:00-05:00,371969984
2018-11-26 00:00:00-05:00,371969984
2018-11-28 00:00:00-05:00,371969984
2018-12-05 00:00:00-05:00,371969984
2018-12-06 00:00:00-05:00,371969984
2018-12-07 00:00:00-05:00,371969984
2018-12-11 00:00:00-05:00,371969984
2018-12-12 00:00:00-05:00,371969984
2018-12-16 00:00:00-05:00,371969984
2018-12-19 00:00:00-05:00,371969984
2018-12-21 00:00:00-05:00,371969984
2018-12-30 00:00:00-05:00,371969984
2019-01-05 00:00:00-05:00,371969984
2019-01-09 00:00:00-05:00,371969984
2019-01-12 00:00:00-05:00,371969984
2019-01-16 00:00:00-05:00,371969984
2019-01-23 00:00:00-05:00,380900000
2019-01-25 00:00:00-05:00,380900000
2019-01-30 00:00:00-05:00,380900000
2019-02-07 00:00:00-05:00,380900000
2019-02-14 00:00:00-05:00,380900000
2019-02-15 00:00:00-05:00,380900000
2019-02-17 00:00:00-05:00,380900000
2019-02-18 00:00:00-05:00,380900000
2019-02-20 00:00:00-05:00,380900000
2019-02-28 00:00:00-05:00,367742016
2019-03-01 00:00:00-05:00,367742016
2019-03-07 00:00:00-05:00,368270016
2019-03-10 00:00:00-05:00,368270016
2019-03-11 00:00:00-04:00,368270016
2019-03-14 00:00:00-04:00,368270016
2019-03-15 00:00:00-04:00,368270016
2019-03-17 00:00:00-04:00,368270016
2019-03-18 00:00:00-04:00,368270016
2019-03-26 00:00:00-04:00,366763008
2019-03-27 00:00:00-04:00,366763008
2019-03-29 00:00:00-04:00,366763008
2019-03-30 00:00:00-04:00,366763008
2019-04-01 00:00:00-04:00,366763008
2019-04-02 00:00:00-04:00,366763008
2019-04-05 00:00:00-04:00,366763008
2019-04-09 00:00:00-04:00,366763008
2019-04-11 00:00:00-04:00,366763008
2019-04-14 00:00:00-04:00,366763008
2019-04-15 00:00:00-04:00,366763008
2019-04-17 00:00:00-04:00,378200000
2019-04-19 00:00:00-04:00,378200000
2019-04-21 00:00:00-04:00,378200000
2019-04-23 00:00:00-04:00,378200000
