

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-07-31,0.0,0.245,7538000000.0,4561000000.0,920000000.0,28577000000.0,7538000000.0,6618000000.0,-489000000.0,573000000.0,84000000.0,4561000000.0,4561000000.0,36641000000.0,6534000000.0,992000000.0,990000000.0,4.6,4.61,4561000000.0,4561000000.0,4561000000.0,4561000000.0,4561000000.0,1484000000.0,6045000000.0,-489000000.0,573000000.0,84000000.0,6534000000.0,7882000000.0,738000000.0,738000000.0,7144000000.0,14416000000.0,28759000000.0,43175000000.0,43175000000.0
2024-04-30,0.0,0.226,5973000000.0,3600000000.0,837000000.0,23835000000.0,5973000000.0,5136000000.0,-428000000.0,485000000.0,57000000.0,3600000000.0,3600000000.0,31339000000.0,5079000000.0,992000000.0,989000000.0,3.63,3.64,3600000000.0,3600000000.0,3600000000.0,3600000000.0,3600000000.0,1051000000.0,4651000000.0,-428000000.0,485000000.0,57000000.0,5079000000.0,7354000000.0,687000000.0,687000000.0,6667000000.0,12433000000.0,23985000000.0,36418000000.0,36418000000.0
2024-01-31,0.0,0.239891,5030000000.0,2801000000.0,832000000.0,23132000000.0,5030000000.0,4198000000.0,-458000000.0,513000000.0,55000000.0,2801000000.0,2801000000.0,30643000000.0,4143000000.0,994000000.0,991000000.0,2.82,2.83,2801000000.0,2801000000.0,2801000000.0,2801000000.0,2801000000.0,884000000.0,3685000000.0,-458000000.0,513000000.0,55000000.0,4143000000.0,7365000000.0,686000000.0,686000000.0,6679000000.0,11508000000.0,23278000000.0,34786000000.0,34786000000.0
2023-10-31,0.0,0.233,6282000000.0,3810000000.0,827000000.0,24828000000.0,6282000000.0,5455000000.0,-438000000.0,487000000.0,49000000.0,3810000000.0,3810000000.0,32304000000.0,5406000000.0,999000000.0,996000000.0,3.81,3.83,3810000000.0,3810000000.0,3810000000.0,3810000000.0,3810000000.0,1158000000.0,4968000000.0,-438000000.0,487000000.0,49000000.0,5406000000.0,7332000000.0,683000000.0,683000000.0,6649000000.0,12738000000.0,24972000000.0,37710000000.0,37710000000.0
2023-07-31,0.0,0.244,7425000000.0,4659000000.0,795000000.0,28617000000.0,7425000000.0,6630000000.0,-428000000.0,469000000.0,41000000.0,4659000000.0,4659000000.0,36327000000.0,6589000000.0,1003000000.0,1000000000.0,4.65,4.66,4659000000.0,4659000000.0,4659000000.0,4659000000.0,4659000000.0,1502000000.0,6161000000.0,-428000000.0,469000000.0,41000000.0,6589000000.0,7568000000.0,653000000.0,653000000.0,6915000000.0,14157000000.0,28759000000.0,42916000000.0,42916000000.0


Net Income
,Net Income
2024-07-31,4561000000.0
2024-04-30,3600000000.0
2024-01-31,2801000000.0
2023-10-31,3810000000.0
2023-07-31,4659000000.0


Shares Outstanding
,0
2015-11-24 00:00:00-05:00,1267880000
2016-03-24 00:00:00-04:00,1252950000
2016-04-05 00:00:00-04:00,1251490000
2016-05-24 00:00:00-04:00,1244010000
2016-08-23 00:00:00-04:00,1218160000
2016-08-23 00:00:00-04:00,1235570000
2016-11-22 00:00:00-05:00,1218160000
2017-03-23 00:00:00-04:00,1201170000
2017-04-04 00:00:00-04:00,1195549952
2017-04-04 00:00:00-04:00,1201170048
2017-05-23 00:00:00-04:00,1178819968
2017-05-23 00:00:00-04:00,1195549952
2017-08-22 00:00:00-04:00,1152720000
2017-08-22 00:00:00-04:00,1178819968
2017-08-22 00:00:00-04:00,1153539968
2017-08-22 00:00:00-04:00,1144140032
2017-08-22 00:00:00-04:00,1167750016
2018-11-13 00:00:00-05:00,1144140032
2018-11-14 00:00:00-05:00,1144140032
2018-11-16 00:00:00-05:00,1144140032
2018-11-19 00:00:00-05:00,1144140032
2018-11-21 00:00:00-05:00,1144140032
2018-11-22 00:00:00-05:00,1144140032
2018-11-26 00:00:00-05:00,1129529984
2018-11-28 00:00:00-05:00,1129529984
2018-11-29 00:00:00-05:00,1129529984
2018-12-05 00:00:00-05:00,1129529984
2018-12-06 00:00:00-05:00,1129529984
2018-12-07 00:00:00-05:00,1129529984
2018-12-09 00:00:00-05:00,1129529984
2018-12-10 00:00:00-05:00,1129529984
2018-12-11 00:00:00-05:00,1129529984
2018-12-12 00:00:00-05:00,1129529984
2018-12-14 00:00:00-05:00,1129529984
2018-12-16 00:00:00-05:00,1129529984
2018-12-17 00:00:00-05:00,1129529984
2018-12-19 00:00:00-05:00,1129529984
2018-12-21 00:00:00-05:00,1129529984
2018-12-30 00:00:00-05:00,1129529984
2019-01-05 00:00:00-05:00,1129529984
2019-01-07 00:00:00-05:00,1129529984
2019-01-09 00:00:00-05:00,1129529984
2019-01-10 00:00:00-05:00,1129529984
2019-01-12 00:00:00-05:00,1129529984
2019-01-14 00:00:00-05:00,1129529984
2019-01-16 00:00:00-05:00,1129529984
2019-01-20 00:00:00-05:00,1129529984
2019-01-22 00:00:00-05:00,1129529984
2019-01-23 00:00:00-05:00,1129529984
2019-01-25 00:00:00-05:00,1129529984
2019-01-29 00:00:00-05:00,1129529984
2019-01-30 00:00:00-05:00,1129529984
2019-02-04 00:00:00-05:00,1129529984
2019-02-07 00:00:00-05:00,1129529984
2019-02-11 00:00:00-05:00,1129529984
2019-02-14 00:00:00-05:00,1129529984
2019-02-15 00:00:00-05:00,1129529984
2019-02-16 00:00:00-05:00,1129529984
2019-02-17 00:00:00-05:00,1129529984
2019-02-19 00:00:00-05:00,1129529984
2019-02-20 00:00:00-05:00,1129529984
2019-02-27 00:00:00-05:00,1129529984
2019-02-28 00:00:00-05:00,1129529984
2019-03-07 00:00:00-05:00,1129529984
2019-03-08 00:00:00-05:00,1129529984
2019-03-10 00:00:00-05:00,1129529984
2019-03-12 00:00:00-04:00,1129529984
2019-03-14 00:00:00-04:00,1129529984
2019-03-17 00:00:00-04:00,1129529984
2019-03-18 00:00:00-04:00,1129529984
2019-03-26 00:00:00-04:00,1129529984
2019-03-29 00:00:00-04:00,1129529984
2019-04-01 00:00:00-04:00,1103900032
2019-04-05 00:00:00-04:00,1103900032
2019-04-06 00:00:00-04:00,1103900032
2019-04-09 00:00:00-04:00,1103900032
2019-04-10 00:00:00-04:00,1103900032
2019-04-14 00:00:00-04:00,1102739968
2019-04-16 00:00:00-04:00,1102739968
2019-04-17 00:00:00-04:00,1102739968
2019-04-18 00:00:00-04:00,1102739968
2019-04-21 00:00:00-04:00,1102739968
2019-04-22 00:00:00-04:00,1102739968
2019-04-29 00:00:00-04:00,1102739968
2019-04-30 00:00:00-04:00,1102739968
2019-05-02 00:00:00-04:00,1102739968
2019-05-04 00:00:00-04:00,1102739968
2019-05-05 00:00:00-04:00,1102739968
2019-05-08 00:00:00-04:00,1102739968
2019-05-09 00:00:00-04:00,1102739968
2019-05-10 00:00:00-04:00,1102739968
2019-05-12 00:00:00-04:00,1102739968
2019-05-14 00:00:00-04:00,1102739968
2019-05-19 00:00:00-04:00,1102739968
2019-05-21 00:00:00-04:00,1102739968
2019-05-22 00:00:00-04:00,1102739968
2019-05-24 00:00:00-04:00,1102739968
2019-05-28 00:00:00-04:00,1102739968
2019-06-02 00:00:00-04:00,1102739968
2019-06-03 00:00:00-04:00,1100290048
2019-06-05 00:00:00-04:00,1100290048
2019-06-10 00:00:00-04:00,1100290048
2019-06-11 00:00:00-04:00,1100290048
2019-06-13 00:00:00-04:00,1100290048
2019-06-17 00:00:00-04:00,1100290048
2019-06-18 00:00:00-04:00,1100290048
2019-06-19 00:00:00-04:00,1100290048
2019-06-20 00:00:00-04:00,1100290048
2019-06-21 00:00:00-04:00,1100290048
2019-06-22 00:00:00-04:00,1100290048
2019-06-23 00:00:00-04:00,1100290048
2019-06-25 00:00:00-04:00,1100290048
2019-06-27 00:00:00-04:00,1100290048
2019-07-03 00:00:00-04:00,1099549952
2019-07-04 00:00:00-04:00,1100290048
2019-08-13 00:00:00-04:00,1100290048
2019-08-27 00:00:00-04:00,1106259968
2019-08-28 00:00:00-04:00,1100290048
2019-08-30 00:00:00-04:00,1069280000
2019-09-03 00:00:00-04:00,1066510016
2019-09-07 00:00:00-04:00,1094000000
2019-09-10 00:00:00-04:00,1079900032
2019-09-11 00:00:00-04:00,1071830016
2019-09-12 00:00:00-04:00,1095149952
2019-09-12 00:00:00-04:00,1093549952
2019-09-15 00:00:00-04:00,1095149952
2019-09-20 00:00:00-04:00,1082300032
2019-09-21 00:00:00-04:00,1095149952
2019-11-05 00:00:00-05:00,1082419968
2019-11-08 00:00:00-05:00,1082470016
2019-11-09 00:00:00-05:00,1085920000
2019-11-09 00:00:00-05:00,1095149952
2019-11-14 00:00:00-05:00,1103049984
2019-11-15 00:00:00-05:00,1103320064
2019-11-16 00:00:00-05:00,1095149952
2019-11-28 00:00:00-05:00,1090829952
2019-12-09 00:00:00-05:00,1097389952
2019-12-13 00:00:00-05:00,1090829952
2019-12-18 00:00:00-05:00,1101920000
2019-12-19 00:00:00-05:00,1090829952
2020-01-08 00:00:00-05:00,1089340032
2020-01-14 00:00:00-05:00,1090829952
2020-02-07 00:00:00-05:00,1094179968
2020-02-09 00:00:00-05:00,1090829952
2020-02-13 00:00:00-05:00,1090610048
2020-02-16 00:00:00-05:00,1090829952
2020-02-25 00:00:00-05:00,1065750016
2020-02-26 00:00:00-05:00,1090829952
2020-03-27 00:00:00-04:00,1074739968
2020-04-08 00:00:00-04:00,1074119936
