

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,0.0,0.175,3801000000.0,,,1830000000.0,1155000000.0,5933000000.0,3801000000.0,2646000000.0,-210000000.0,427000000.0,217000000.0,1830000000.0,1834000000.0,13356000000.0,934397595.0,920287541.0,1.96,1.99,1834000000.0,1834000000.0,1834000000.0,1834000000.0,4000000.0,1830000000.0,389000000.0,2219000000.0,16000000.0,16000000.0,,,,-210000000.0,427000000.0,217000000.0,2414000000.0,6536000000.0,-241000000.0,2000000.0,268000000.0,268000000.0,268000000.0,268000000.0,1840000000.0,4667000000.0,354000000.0,4313000000.0,4121000000.0,192000000.0,8950000000.0,6820000000.0,15769000000.0,15769000000.0
2024-03-31,-15120000.0,0.21,2709000000.0,-72000000.0,-72000000.0,1575000000.0,1131000000.0,5845000000.0,2637000000.0,1506000000.0,-222000000.0,432000000.0,210000000.0,1631880000.0,1605000000.0,13273000000.0,933400000.0,917200000.0,1.72,1.75,1605000000.0,1605000000.0,1605000000.0,1605000000.0,30000000.0,1575000000.0,-502000000.0,1074000000.0,106000000.0,178000000.0,0.0,0.0,-72000000.0,-222000000.0,432000000.0,210000000.0,1188000000.0,6554000000.0,-216000000.0,-23000000.0,257000000.0,257000000.0,257000000.0,257000000.0,1796000000.0,4740000000.0,279000000.0,4461000000.0,3915000000.0,546000000.0,7742000000.0,6719000000.0,14461000000.0,14461000000.0
2023-12-31,-9709497.206704,0.126097,5393000000.0,-77000000.0,-77000000.0,3285000000.0,1152000000.0,6223000000.0,5316000000.0,4164000000.0,-262000000.0,405000000.0,143000000.0,3352290502.793296,3288000000.0,13414000000.0,927300000.0,914700000.0,3.55,3.59,3288000000.0,3288000000.0,3288000000.0,3288000000.0,3000000.0,3285000000.0,474000000.0,3759000000.0,54000000.0,131000000.0,3000000.0,3000000.0,-80000000.0,-262000000.0,405000000.0,143000000.0,3967000000.0,6300000000.0,-238000000.0,3000000.0,261000000.0,261000000.0,261000000.0,261000000.0,1748000000.0,4526000000.0,248000000.0,4278000000.0,4099000000.0,179000000.0,10267000000.0,7114000000.0,17380000000.0,17380000000.0
2023-09-30,-4335000.0,0.085,3429000000.0,-51000000.0,-51000000.0,1714000000.0,1093000000.0,5888000000.0,3378000000.0,2285000000.0,-256000000.0,412000000.0,156000000.0,1760665000.0,1704000000.0,12682000000.0,923700000.0,912800000.0,1.84,1.87,1704000000.0,1704000000.0,1704000000.0,1704000000.0,-10000000.0,1714000000.0,159000000.0,1873000000.0,58000000.0,109000000.0,0.0,0.0,-51000000.0,-256000000.0,412000000.0,156000000.0,2070000000.0,5953000000.0,-190000000.0,-9000000.0,252000000.0,252000000.0,252000000.0,252000000.0,1685000000.0,4215000000.0,303000000.0,3912000000.0,3730000000.0,182000000.0,8023000000.0,6729000000.0,14752000000.0,14752000000.0
2023-06-30,4620000.0,0.21,3478000000.0,22000000.0,22000000.0,1581000000.0,1077000000.0,6136000000.0,3500000000.0,2423000000.0,-222000000.0,423000000.0,201000000.0,1563620000.0,1583000000.0,13314000000.0,919452496.0,909855943.0,1.72,1.74,1583000000.0,1583000000.0,1583000000.0,1583000000.0,2000000.0,1581000000.0,419000000.0,2000000000.0,60000000.0,38000000.0,2000000.0,2000000.0,22000000.0,-222000000.0,423000000.0,201000000.0,2161000000.0,6340000000.0,-248000000.0,14000000.0,239000000.0,239000000.0,239000000.0,239000000.0,1687000000.0,4648000000.0,372000000.0,4276000000.0,3991000000.0,285000000.0,8501000000.0,6974000000.0,15475000000.0,15475000000.0
2023-03-31,,,,53000000.0,53000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,4000000.0,49000000.0,,,,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,1834000000.0
2024-03-31,1605000000.0
2023-12-31,3288000000.0
2023-09-30,1704000000.0
2023-06-30,1583000000.0
2023-03-31,


Shares Outstanding
,0
2015-10-27 00:00:00-04:00,970110000
2016-02-23 00:00:00-05:00,960881000
2016-04-26 00:00:00-04:00,959962000
2016-07-20 00:00:00-04:00,956000000
2016-07-27 00:00:00-04:00,955844000
2016-10-25 00:00:00-04:00,950855000
2016-10-25 00:00:00-04:00,950854000
2017-03-01 00:00:00-05:00,943212992
2017-03-01 00:00:00-05:00,939497024
2017-03-01 00:00:00-05:00,943213000
2017-03-01 00:00:00-05:00,943212000
2017-04-25 00:00:00-04:00,939497024
2017-07-20 00:00:00-04:00,931939968
2017-07-20 00:00:00-04:00,932000000
2017-07-25 00:00:00-04:00,931939968
2017-07-25 00:00:00-04:00,917968000
2017-07-25 00:00:00-04:00,908793984
2017-07-25 00:00:00-04:00,921168000
2017-07-25 00:00:00-04:00,925790976
2017-07-25 00:00:00-04:00,912768000
2018-11-14 00:00:00-05:00,908793984
2018-11-15 00:00:00-05:00,908793984
2018-11-19 00:00:00-05:00,908793984
2018-11-21 00:00:00-05:00,908793984
2018-11-22 00:00:00-05:00,908793984
2018-11-26 00:00:00-05:00,908793984
2018-11-28 00:00:00-05:00,908793984
2018-11-29 00:00:00-05:00,908793984
2018-12-02 00:00:00-05:00,908793984
2018-12-03 00:00:00-05:00,908793984
2018-12-04 00:00:00-05:00,908793984
2018-12-06 00:00:00-05:00,908793984
2018-12-07 00:00:00-05:00,908793984
2018-12-09 00:00:00-05:00,908793984
2018-12-10 00:00:00-05:00,908793984
2018-12-11 00:00:00-05:00,908793984
2018-12-12 00:00:00-05:00,908793984
2018-12-14 00:00:00-05:00,908793984
2018-12-16 00:00:00-05:00,908793984
2018-12-17 00:00:00-05:00,908793984
2018-12-19 00:00:00-05:00,908793984
2018-12-21 00:00:00-05:00,908793984
2018-12-30 00:00:00-05:00,908793984
2019-01-05 00:00:00-05:00,908793984
2019-01-07 00:00:00-05:00,908793984
2019-01-09 00:00:00-05:00,908793984
2019-01-10 00:00:00-05:00,908793984
2019-01-12 00:00:00-05:00,908793984
2019-01-14 00:00:00-05:00,908793984
2019-01-16 00:00:00-05:00,908793984
2019-01-17 00:00:00-05:00,908793984
2019-01-20 00:00:00-05:00,908793984
2019-01-22 00:00:00-05:00,908793984
2019-01-24 00:00:00-05:00,908793984
2019-01-25 00:00:00-05:00,908793984
2019-01-26 00:00:00-05:00,908793984
2019-01-28 00:00:00-05:00,908793984
2019-01-29 00:00:00-05:00,908793984
2019-01-30 00:00:00-05:00,908793984
2019-02-04 00:00:00-05:00,908793984
2019-02-07 00:00:00-05:00,908793984
2019-02-10 00:00:00-05:00,908793984
2019-02-11 00:00:00-05:00,908793984
2019-02-13 00:00:00-05:00,908793984
2019-02-14 00:00:00-05:00,908793984
2019-02-15 00:00:00-05:00,908793984
2019-02-16 00:00:00-05:00,908793984
2019-02-17 00:00:00-05:00,908793984
2019-02-19 00:00:00-05:00,908793984
2019-02-20 00:00:00-05:00,908793984
2019-02-27 00:00:00-05:00,908793984
2019-02-28 00:00:00-05:00,892478976
2019-03-07 00:00:00-05:00,889865984
2019-03-08 00:00:00-05:00,889865984
2019-03-10 00:00:00-05:00,889865984
2019-03-12 00:00:00-04:00,889865984
2019-03-14 00:00:00-04:00,889865984
2019-03-17 00:00:00-04:00,889865984
2019-03-19 00:00:00-04:00,889865984
2019-03-26 00:00:00-04:00,889865984
2019-03-29 00:00:00-04:00,889865984
2019-04-01 00:00:00-04:00,889865984
2019-04-05 00:00:00-04:00,889865984
2019-04-06 00:00:00-04:00,889865984
2019-04-09 00:00:00-04:00,889865984
2019-04-10 00:00:00-04:00,889865984
2019-04-14 00:00:00-04:00,889865984
2019-04-16 00:00:00-04:00,889865984
2019-04-17 00:00:00-04:00,889865984
2019-04-21 00:00:00-04:00,889865984
2019-04-22 00:00:00-04:00,889865984
2019-04-29 00:00:00-04:00,889865984
2019-04-30 00:00:00-04:00,889865984
2019-05-02 00:00:00-04:00,886643008
2019-05-04 00:00:00-04:00,886643008
2019-05-05 00:00:00-04:00,886643008
2019-05-09 00:00:00-04:00,886643008
2019-05-10 00:00:00-04:00,886643008
2019-05-12 00:00:00-04:00,886643008
2019-05-14 00:00:00-04:00,886643008
2019-05-19 00:00:00-04:00,886643008
2019-05-21 00:00:00-04:00,886643008
2019-05-22 00:00:00-04:00,886643008
2019-05-24 00:00:00-04:00,886643008
2019-05-28 00:00:00-04:00,886643008
2019-06-02 00:00:00-04:00,886643008
2019-06-03 00:00:00-04:00,886643008
2019-06-05 00:00:00-04:00,886643008
2019-06-10 00:00:00-04:00,886643008
2019-06-11 00:00:00-04:00,886643008
2019-06-14 00:00:00-04:00,886643008
