

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-07-31,0.0,0.21,129000000.0,-20000000.0,208000000.0,698000000.0,129000000.0,-79000000.0,-2000000.0,61000000.0,59000000.0,-20000000.0,-20000000.0,3099000000.0,-151000000.0,,,,,-20000000.0,-20000000.0,-20000000.0,-20000000.0,-20000000.0,-120000000.0,-140000000.0,,,-2000000.0,,61000000.0,59000000.0,85000000.0,2316000000.0,123000000.0,123000000.0,123000000.0,123000000.0,725000000.0,1468000000.0,1104000000.0,364000000.0,377000000.0,-13000000.0,2401000000.0,783000000.0,3184000000.0,3184000000.0
2024-04-30,0.0,0.22,3342000000.0,2389000000.0,198000000.0,989000000.0,3342000000.0,3144000000.0,-38000000.0,72000000.0,34000000.0,2389000000.0,2389000000.0,3627000000.0,3105000000.0,284000000.0,280000000.0,8.42,8.53,2389000000.0,2389000000.0,2389000000.0,2389000000.0,2389000000.0,683000000.0,3072000000.0,,,-38000000.0,,72000000.0,34000000.0,3110000000.0,2560000000.0,120000000.0,120000000.0,120000000.0,120000000.0,671000000.0,1769000000.0,1419000000.0,350000000.0,355000000.0,-5000000.0,5670000000.0,1067000000.0,6737000000.0,6737000000.0
2024-01-31,0.0,0.002825,603000000.0,353000000.0,192000000.0,783000000.0,603000000.0,411000000.0,-35000000.0,57000000.0,22000000.0,353000000.0,353000000.0,2997000000.0,369000000.0,284000000.0,280000000.0,1.25,1.26,353000000.0,353000000.0,353000000.0,353000000.0,353000000.0,1000000.0,354000000.0,,,-35000000.0,-20000000.0,57000000.0,22000000.0,389000000.0,2142000000.0,120000000.0,120000000.0,120000000.0,120000000.0,678000000.0,1344000000.0,1020000000.0,324000000.0,344000000.0,-20000000.0,2531000000.0,855000000.0,3386000000.0,3386000000.0
2023-10-31,0.0,0.087121,520000000.0,241000000.0,191000000.0,689000000.0,520000000.0,329000000.0,-29000000.0,65000000.0,36000000.0,241000000.0,241000000.0,2685000000.0,307000000.0,283000000.0,280000000.0,0.85,0.86,241000000.0,241000000.0,241000000.0,241000000.0,241000000.0,23000000.0,264000000.0,,,-29000000.0,,65000000.0,36000000.0,293000000.0,1925000000.0,120000000.0,120000000.0,120000000.0,120000000.0,680000000.0,1125000000.0,769000000.0,356000000.0,342000000.0,14000000.0,2218000000.0,760000000.0,2978000000.0,2978000000.0
2023-07-31,0.0,0.21,271000000.0,89000000.0,195000000.0,639000000.0,271000000.0,76000000.0,-32000000.0,81000000.0,49000000.0,89000000.0,89000000.0,2685000000.0,17000000.0,283000000.0,280000000.0,0.32,0.32,89000000.0,89000000.0,89000000.0,89000000.0,89000000.0,-94000000.0,-5000000.0,,,-32000000.0,,81000000.0,49000000.0,27000000.0,1972000000.0,121000000.0,121000000.0,121000000.0,121000000.0,680000000.0,1171000000.0,840000000.0,331000000.0,341000000.0,-10000000.0,1999000000.0,713000000.0,2712000000.0,2712000000.0
2023-04-30,,,,,,,,,,,,,,,,283000000.0,281000000.0,7.38,7.44,,,,,,,,-6000000.0,-6000000.0,,,,,,,,,,,,,,,,,,,,
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,8000000.0,,-11000000.0,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-07-31,-20000000.0
2024-04-30,2389000000.0
2024-01-31,353000000.0
2023-10-31,241000000.0
2023-07-31,89000000.0
2023-04-30,
2023-01-31,


Shares Outstanding
,0
2015-11-27 00:00:00-05:00,264004000
2016-02-26 00:00:00-05:00,256821000
2016-05-24 00:00:00-04:00,255871000
2016-09-01 00:00:00-04:00,256638000
2016-09-01 00:00:00-04:00,256669000
2016-09-01 00:00:00-04:00,257938000
2016-11-25 00:00:00-05:00,255785000
2016-11-25 00:00:00-05:00,256669000
2017-02-24 00:00:00-05:00,256216992
2017-02-24 00:00:00-05:00,255784992
2017-02-24 00:00:00-05:00,255785000
2017-05-23 00:00:00-04:00,256216992
2017-05-23 00:00:00-04:00,254974000
2017-09-01 00:00:00-04:00,258672000
2017-09-01 00:00:00-04:00,256111008
2017-09-01 00:00:00-04:00,254974000
2017-09-01 00:00:00-04:00,254972992
2017-09-01 00:00:00-04:00,255650000
2017-09-01 00:00:00-04:00,256588000
2018-11-14 00:00:00-05:00,258672000
2018-11-15 00:00:00-05:00,258672000
2018-11-19 00:00:00-05:00,258672000
2018-11-21 00:00:00-05:00,258672000
2018-11-22 00:00:00-05:00,258672000
2018-11-26 00:00:00-05:00,259535008
2018-11-28 00:00:00-05:00,259535008
2018-11-29 00:00:00-05:00,259535008
2018-12-02 00:00:00-05:00,259535008
2018-12-03 00:00:00-05:00,259535008
2018-12-04 00:00:00-05:00,259535008
2018-12-06 00:00:00-05:00,259535008
2018-12-07 00:00:00-05:00,259535008
2018-12-09 00:00:00-05:00,259535008
2018-12-10 00:00:00-05:00,259535008
2018-12-11 00:00:00-05:00,259535008
2018-12-12 00:00:00-05:00,259535008
2018-12-14 00:00:00-05:00,259535008
2018-12-16 00:00:00-05:00,259535008
2018-12-17 00:00:00-05:00,259535008
2018-12-19 00:00:00-05:00,259535008
2018-12-21 00:00:00-05:00,259535008
2018-12-30 00:00:00-05:00,259535008
2019-01-05 00:00:00-05:00,259535008
2019-01-07 00:00:00-05:00,259535008
2019-01-09 00:00:00-05:00,259535008
2019-01-10 00:00:00-05:00,259535008
2019-01-12 00:00:00-05:00,259535008
2019-01-14 00:00:00-05:00,259535008
2019-01-16 00:00:00-05:00,259535008
2019-01-17 00:00:00-05:00,259535008
2019-01-20 00:00:00-05:00,259535008
2019-01-22 00:00:00-05:00,259535008
2019-01-24 00:00:00-05:00,259535008
2019-01-25 00:00:00-05:00,259535008
2019-01-26 00:00:00-05:00,259535008
2019-01-28 00:00:00-05:00,259535008
2019-01-29 00:00:00-05:00,259535008
2019-01-30 00:00:00-05:00,259535008
2019-02-04 00:00:00-05:00,259535008
2019-02-07 00:00:00-05:00,259535008
2019-02-10 00:00:00-05:00,259535008
2019-02-11 00:00:00-05:00,259535008
2019-02-13 00:00:00-05:00,259535008
2019-02-14 00:00:00-05:00,259535008
2019-02-15 00:00:00-05:00,259535008
2019-02-16 00:00:00-05:00,259535008
2019-02-17 00:00:00-05:00,259535008
2019-02-19 00:00:00-05:00,259535008
2019-02-20 00:00:00-05:00,259535008
2019-02-27 00:00:00-05:00,259535008
2019-02-28 00:00:00-05:00,259072992
2019-03-07 00:00:00-05:00,259072992
2019-03-10 00:00:00-05:00,259072992
2019-03-14 00:00:00-04:00,259072992
2019-03-17 00:00:00-04:00,259072992
2019-03-26 00:00:00-04:00,259072992
2019-03-29 00:00:00-04:00,259072992
2019-04-01 00:00:00-04:00,259072992
2019-04-05 00:00:00-04:00,259072992
2019-04-09 00:00:00-04:00,259072992
2019-04-14 00:00:00-04:00,259072992
2019-04-17 00:00:00-04:00,259072992
2019-04-21 00:00:00-04:00,259072992
2019-04-29 00:00:00-04:00,259072992
2019-05-02 00:00:00-04:00,259072992
2019-05-05 00:00:00-04:00,259072992
2019-05-09 00:00:00-04:00,259072992
2019-05-12 00:00:00-04:00,259072992
2019-05-19 00:00:00-04:00,259072992
2019-05-22 00:00:00-04:00,259072992
2019-05-28 00:00:00-04:00,259243008
2019-06-02 00:00:00-04:00,259243008
2019-06-03 00:00:00-04:00,259243008
2019-06-05 00:00:00-04:00,259243008
2019-06-10 00:00:00-04:00,259243008
