

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,0.0,0.15,693500000.0,565100000.0,116200000.0,664200000.0,693500000.0,577300000.0,93700000.0,,565100000.0,565100000.0,1460800000.0,577300000.0,362700000.0,355800000.0,1.56,1.59,565100000.0,565100000.0,565100000.0,-5500000.0,570600000.0,570600000.0,100400000.0,671000000.0,93700000.0,-93700000.0,,577300000.0,796600000.0,286000000.0,510600000.0,1373900000.0,664200000.0,2038100000.0,2038100000.0
2024-06-30,0.0,0.188,679100000.0,526900000.0,111800000.0,637200000.0,679100000.0,567300000.0,87200000.0,87200000.0,526900000.0,526900000.0,1442600000.0,567300000.0,361000000.0,355000000.0,1.46,1.48,526900000.0,526900000.0,526900000.0,-4600000.0,531500000.0,531500000.0,123000000.0,654500000.0,87200000.0,,87200000.0,567300000.0,805400000.0,280100000.0,525300000.0,1372700000.0,637200000.0,2009900000.0,2009900000.0
2024-03-31,0.0,0.017,578700000.0,544900000.0,109300000.0,645200000.0,578700000.0,469400000.0,69100000.0,,544900000.0,544900000.0,1421200000.0,469400000.0,360500000.0,353500000.0,1.51,1.54,544900000.0,544900000.0,544900000.0,-2500000.0,547400000.0,547400000.0,-8900000.0,538500000.0,69100000.0,-69100000.0,,469400000.0,776000000.0,284500000.0,491500000.0,1245400000.0,645200000.0,1890600000.0,1890600000.0
2023-12-31,0.0,0.21,573400000.0,606200000.0,123200000.0,650900000.0,573400000.0,450200000.0,65700000.0,,606200000.0,606200000.0,1478100000.0,450200000.0,358200000.0,352100000.0,1.69,1.72,606200000.0,606200000.0,606200000.0,-4500000.0,610700000.0,610700000.0,-94800000.0,515900000.0,65700000.0,,,450200000.0,827200000.0,260100000.0,567100000.0,1277400000.0,650900000.0,1928300000.0,1928300000.0
2023-09-30,0.0,0.196,574400000.0,415700000.0,108600000.0,576500000.0,574400000.0,465800000.0,56200000.0,,415700000.0,415700000.0,1277900000.0,465800000.0,358200000.0,351700000.0,1.16,1.18,415700000.0,415700000.0,415700000.0,-4100000.0,419800000.0,419800000.0,102200000.0,522000000.0,56200000.0,-56200000.0,,465800000.0,701400000.0,249400000.0,452000000.0,1167200000.0,576500000.0,1743700000.0,1743700000.0
2023-06-30,,,,,,,,,,36000000.0,,,,,,,,,,,,,,,,,,,36000000.0,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34200000.0,,,,,,,,,


Net Income
,Net Income
2024-09-30,565100000.0
2024-06-30,526900000.0
2024-03-31,544900000.0
2023-12-31,606200000.0
2023-09-30,415700000.0
2023-06-30,
2023-03-31,


Shares Outstanding
,0
2015-10-21 00:00:00-04:00,37380300
2015-10-21 00:00:00-04:00,37365200
2016-03-08 00:00:00-05:00,37677700
2016-04-19 00:00:00-04:00,38060400
2016-07-20 00:00:00-04:00,38493400
2016-10-19 00:00:00-04:00,38787000
2016-10-19 00:00:00-04:00,38747000
2017-02-06 00:00:00-05:00,38787000
2017-02-06 00:00:00-05:00,36725500
2017-03-06 00:00:00-05:00,36725500
2017-04-19 00:00:00-04:00,36840800
2017-07-21 00:00:00-04:00,37151000
2017-08-14 00:00:00-04:00,37230000
2017-08-14 00:00:00-04:00,37283800
2017-08-28 00:00:00-04:00,112048000
2017-08-28 00:00:00-04:00,112298000
2017-08-28 00:00:00-04:00,113295000
2017-08-28 00:00:00-04:00,113748000
2017-08-28 00:00:00-04:00,114200000
2017-08-28 00:00:00-04:00,37283800
2017-08-28 00:00:00-04:00,113062000
2017-08-28 00:00:00-04:00,112299000
2017-08-28 00:00:00-04:00,111851000
2018-11-14 00:00:00-05:00,114200000
2018-11-15 00:00:00-05:00,114200000
2018-11-19 00:00:00-05:00,114200000
2018-11-21 00:00:00-05:00,114200000
2018-11-22 00:00:00-05:00,114200000
2018-11-26 00:00:00-05:00,114200000
2018-11-28 00:00:00-05:00,114200000
2018-11-29 00:00:00-05:00,114200000
2018-12-02 00:00:00-05:00,114200000
2018-12-03 00:00:00-05:00,114200000
2018-12-04 00:00:00-05:00,114200000
2018-12-06 00:00:00-05:00,114200000
2018-12-07 00:00:00-05:00,114200000
2018-12-09 00:00:00-05:00,114200000
2018-12-10 00:00:00-05:00,114200000
2018-12-11 00:00:00-05:00,114200000
2018-12-12 00:00:00-05:00,114200000
2018-12-14 00:00:00-05:00,114200000
2018-12-16 00:00:00-05:00,114200000
2018-12-17 00:00:00-05:00,114200000
2018-12-19 00:00:00-05:00,114200000
2018-12-21 00:00:00-05:00,114200000
2018-12-30 00:00:00-05:00,114200000
2019-01-05 00:00:00-05:00,114200000
2019-01-07 00:00:00-05:00,114200000
2019-01-09 00:00:00-05:00,114200000
2019-01-10 00:00:00-05:00,114200000
2019-01-12 00:00:00-05:00,114200000
2019-01-14 00:00:00-05:00,114200000
2019-01-16 00:00:00-05:00,114200000
2019-01-17 00:00:00-05:00,114200000
2019-01-20 00:00:00-05:00,114200000
2019-01-22 00:00:00-05:00,114200000
2019-01-24 00:00:00-05:00,114200000
2019-01-25 00:00:00-05:00,114200000
2019-01-26 00:00:00-05:00,114200000
2019-01-28 00:00:00-05:00,114200000
2019-01-30 00:00:00-05:00,114200000
2019-02-04 00:00:00-05:00,114200000
2019-02-07 00:00:00-05:00,114200000
2019-02-10 00:00:00-05:00,114489000
2019-02-11 00:00:00-05:00,114489000
2019-02-13 00:00:00-05:00,114489000
2019-02-14 00:00:00-05:00,114489000
2019-02-15 00:00:00-05:00,114489000
2019-02-17 00:00:00-05:00,114489000
2019-02-18 00:00:00-05:00,114489000
