

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-273629436.325678,0.18476,9281000000.0,-1481000000.0,-1481000000.0,4686000000.0,1782000000.0,6869000000.0,7800000000.0,6018000000.0,125000000.0,270000000.0,395000000.0,5893370563.674322,4686000000.0,15790000000.0,2422000000.0,2406800000.0,1.93,1.95,4686000000.0,4686000000.0,4686000000.0,4686000000.0,0.0,4686000000.0,1062000000.0,5748000000.0,-1081000000.0,400000000.0,-1081000000.0,500000000.0,194000000.0,,387000000.0,-400000000.0,125000000.0,270000000.0,395000000.0,6657000000.0,8921000000.0,3440000000.0,5481000000.0,5481000000.0,5681000000.0,-200000000.0,15578000000.0,6869000000.0,22447000000.0,22447000000.0
2024-03-31,-367536000.0,0.124,8648000000.0,-2964000000.0,-2964000000.0,3255000000.0,1815000000.0,6511000000.0,5684000000.0,3869000000.0,209000000.0,155000000.0,364000000.0,5851464000.0,3255000000.0,15110000000.0,2430100000.0,2408200000.0,1.34,1.35,3255000000.0,3255000000.0,3255000000.0,3255000000.0,0.0,3255000000.0,459000000.0,3714000000.0,-2764000000.0,200000000.0,-2964000000.0,2700000000.0,,0.0,264000000.0,,209000000.0,155000000.0,364000000.0,6273000000.0,8599000000.0,3542000000.0,5057000000.0,5057000000.0,5257000000.0,-200000000.0,14872000000.0,6511000000.0,21383000000.0,21383000000.0
2023-12-31,-16393700.787402,0.143804,6934000000.0,-114000000.0,-114000000.0,4132000000.0,1843000000.0,6798000000.0,6820000000.0,4977000000.0,212000000.0,151000000.0,363000000.0,4229606299.212598,4049000000.0,16788000000.0,2430700000.0,2407200000.0,1.67,1.682037,4049000000.0,4049000000.0,4049000000.0,4049000000.0,-83000000.0,4132000000.0,694000000.0,4826000000.0,-14000000.0,100000000.0,-614000000.0,258000000.0,,,356000000.0,500000000.0,212000000.0,151000000.0,363000000.0,4607000000.0,9990000000.0,4480000000.0,5510000000.0,5510000000.0,5810000000.0,-300000000.0,14597000000.0,6798000000.0,21395000000.0,21395000000.0
2023-09-30,-219994632.930803,0.174046,8502000000.0,-1264000000.0,-1264000000.0,4309000000.0,1829000000.0,6606000000.0,7238000000.0,5409000000.0,182000000.0,192000000.0,374000000.0,5353005367.069197,26028000000.0,15153000000.0,2549700000.0,2522900000.0,10.21,10.32,26028000000.0,26028000000.0,26028000000.0,26028000000.0,21719000000.0,4309000000.0,908000000.0,5217000000.0,-1164000000.0,100000000.0,-264000000.0,106000000.0,,,158000000.0,-1000000000.0,182000000.0,192000000.0,374000000.0,6198000000.0,8547000000.0,3447000000.0,5100000000.0,5100000000.0,5400000000.0,-300000000.0,14745000000.0,6606000000.0,21351000000.0,21351000000.0
2023-06-30,-36132254.995243,0.147479,8702000000.0,-245000000.0,-245000000.0,5376000000.0,1934000000.0,6462000000.0,8457000000.0,6523000000.0,109000000.0,217000000.0,326000000.0,5584867745.004757,5144000000.0,15161000000.0,2625700000.0,2598400000.0,1.96,1.98,5144000000.0,5144000000.0,5144000000.0,5144000000.0,-232000000.0,5376000000.0,930000000.0,6306000000.0,-145000000.0,100000000.0,-245000000.0,100000000.0,0.0,,145000000.0,,109000000.0,217000000.0,326000000.0,6358000000.0,8699000000.0,3703000000.0,4996000000.0,4996000000.0,5396000000.0,-400000000.0,15057000000.0,6462000000.0,21519000000.0,21519000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49000000.0,,-100000000.0,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,4686000000.0
2024-03-31,3255000000.0
2023-12-31,4049000000.0
2023-09-30,26028000000.0
2023-06-30,5144000000.0
2023-03-31,


Shares Outstanding
,0
2015-10-30 00:00:00-04:00,2766940000
2016-03-16 00:00:00-04:00,2758340000
2016-05-10 00:00:00-04:00,2750640000
2016-08-04 00:00:00-04:00,2735880000
2016-09-30 00:00:00-04:00,2735880000
2016-11-04 00:00:00-04:00,2720530000
2016-11-10 00:00:00-05:00,2720530000
2017-03-02 00:00:00-05:00,2710890000
2017-03-02 00:00:00-05:00,2713350000
2017-03-18 00:00:00-04:00,2693829888
2017-03-18 00:00:00-04:00,2710890000
2017-05-08 00:00:00-04:00,2693829888
2017-05-13 00:00:00-04:00,2693829888
2017-05-13 00:00:00-04:00,2684000000
2017-08-03 00:00:00-04:00,2681979904
2017-08-03 00:00:00-04:00,2686520064
2017-08-03 00:00:00-04:00,2682899968
2017-08-03 00:00:00-04:00,2682639872
2017-08-03 00:00:00-04:00,2684000000
2017-08-03 00:00:00-04:00,2682149888
2017-08-03 00:00:00-04:00,2682759936
2018-11-13 00:00:00-05:00,2681979904
2018-11-14 00:00:00-05:00,2681979904
2018-11-15 00:00:00-05:00,2681979904
2018-11-19 00:00:00-05:00,2681979904
2018-11-21 00:00:00-05:00,2681979904
2018-11-22 00:00:00-05:00,2681979904
2018-11-26 00:00:00-05:00,2681979904
2018-11-28 00:00:00-05:00,2681979904
2018-11-29 00:00:00-05:00,2681979904
2018-12-02 00:00:00-05:00,2681979904
2018-12-03 00:00:00-05:00,2681979904
2018-12-04 00:00:00-05:00,2681979904
2018-12-06 00:00:00-05:00,2681979904
2018-12-07 00:00:00-05:00,2681979904
2018-12-09 00:00:00-05:00,2681979904
2018-12-10 00:00:00-05:00,2681979904
2018-12-11 00:00:00-05:00,2681979904
2018-12-12 00:00:00-05:00,2681979904
2018-12-14 00:00:00-05:00,2681979904
2018-12-16 00:00:00-05:00,2681979904
2018-12-17 00:00:00-05:00,2681979904
2018-12-19 00:00:00-05:00,2681979904
2018-12-21 00:00:00-05:00,2681979904
2018-12-30 00:00:00-05:00,2681979904
2019-01-05 00:00:00-05:00,2681979904
2019-01-07 00:00:00-05:00,2681979904
2019-01-09 00:00:00-05:00,2681979904
2019-01-10 00:00:00-05:00,2681979904
2019-01-12 00:00:00-05:00,2681979904
2019-01-14 00:00:00-05:00,2681979904
2019-01-16 00:00:00-05:00,2681979904
2019-01-17 00:00:00-05:00,2681979904
2019-01-20 00:00:00-05:00,2681979904
2019-01-22 00:00:00-05:00,2681979904
2019-01-24 00:00:00-05:00,2681979904
2019-01-25 00:00:00-05:00,2681979904
2019-01-26 00:00:00-05:00,2681979904
2019-01-28 00:00:00-05:00,2681979904
2019-01-29 00:00:00-05:00,2681979904
2019-01-30 00:00:00-05:00,2681979904
2019-02-04 00:00:00-05:00,2681979904
2019-02-07 00:00:00-05:00,2681979904
2019-02-10 00:00:00-05:00,2681979904
2019-02-11 00:00:00-05:00,2681979904
2019-02-13 00:00:00-05:00,2681979904
2019-02-14 00:00:00-05:00,2681979904
2019-02-15 00:00:00-05:00,2681979904
2019-02-16 00:00:00-05:00,2681979904
2019-02-17 00:00:00-05:00,2681979904
2019-02-19 00:00:00-05:00,2681979904
2019-02-20 00:00:00-05:00,2681979904
2019-02-27 00:00:00-05:00,2681979904
2019-02-28 00:00:00-05:00,2663140096
2019-03-07 00:00:00-05:00,2663140096
2019-03-08 00:00:00-05:00,2663140096
2019-03-10 00:00:00-05:00,2663140096
2019-03-12 00:00:00-04:00,2663140096
2019-03-14 00:00:00-04:00,2662769920
2019-03-17 00:00:00-04:00,2662769920
2019-03-18 00:00:00-04:00,2662769920
2019-03-26 00:00:00-04:00,2662769920
2019-03-27 00:00:00-04:00,2662769920
2019-03-29 00:00:00-04:00,2662769920
2019-04-01 00:00:00-04:00,2662769920
2019-04-05 00:00:00-04:00,2662769920
2019-04-06 00:00:00-04:00,2662769920
2019-04-09 00:00:00-04:00,2662769920
2019-04-14 00:00:00-04:00,2662769920
2019-04-16 00:00:00-04:00,2662769920
2019-04-17 00:00:00-04:00,2662769920
2019-04-19 00:00:00-04:00,2662769920
2019-04-21 00:00:00-04:00,2662769920
2019-04-29 00:00:00-04:00,2662769920
2019-04-30 00:00:00-04:00,2662769920
2019-05-02 00:00:00-04:00,2662769920
2019-05-03 00:00:00-04:00,2662769920
