

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense
2024-06-30,-44660891.828462,0.22556,-198000000.0,-198000000.0,18149000000.0,2002000000.0,22746000000.0,25767000000.0,48513000000.0,18302339108.17154,18149000000.0,2894900000.0,2889800000.0,6.12,6.13,17718000000.0,17718000000.0,114000000.0,317000000.0,18149000000.0,18149000000.0,18149000000.0,5286000000.0,23435000000.0,-198000000.0,317000000.0,-119000000.0,7420000000.0,14174000000.0,1221000000.0,12953000000.0,,12953000000.0,50058000000.0,50058000000.0,3695000000.0,2722000000.0,2805000000.0
2024-03-31,-197792000.0,0.224,-883000000.0,-883000000.0,13419000000.0,2004000000.0,23082000000.0,24356000000.0,47438000000.0,14104208000.0,13419000000.0,2912800000.0,2908300000.0,4.44,4.45,12942000000.0,12942000000.0,80000000.0,397000000.0,13419000000.0,13419000000.0,13419000000.0,3874000000.0,17293000000.0,-883000000.0,653000000.0,230000000.0,-392000000.0,14526000000.0,1160000000.0,13366000000.0,248000000.0,13118000000.0,41908000000.0,41908000000.0,3632000000.0,2548000000.0,1168000000.0
2023-12-31,-593435546.530108,0.178262,-3329000000.0,-3329000000.0,9307000000.0,3337000000.0,24051000000.0,23333000000.0,47384000000.0,12042564453.469893,9307000000.0,2919100000.0,2914400000.0,3.04,3.04,8871000000.0,8871000000.0,50000000.0,386000000.0,9307000000.0,9307000000.0,9307000000.0,2019000000.0,11326000000.0,-3329000000.0,3075000000.0,254000000.0,-754000000.0,13145000000.0,1298000000.0,11847000000.0,,11847000000.0,38600000000.0,38600000000.0,3617000000.0,2606000000.0,1826000000.0
2023-09-30,-173126000.0,0.214,-809000000.0,-809000000.0,13151000000.0,2019000000.0,22726000000.0,21830000000.0,44556000000.0,13786874000.0,13151000000.0,2932100000.0,2927500000.0,4.33,4.33,12685000000.0,12685000000.0,80000000.0,386000000.0,13151000000.0,13151000000.0,13151000000.0,3582000000.0,16733000000.0,-809000000.0,665000000.0,144000000.0,-682000000.0,12852000000.0,1126000000.0,11726000000.0,,11726000000.0,39761000000.0,39761000000.0,3583000000.0,2620000000.0,1793000000.0
2023-06-30,405850562.947799,0.177073,2292000000.0,2292000000.0,14472000000.0,507000000.0,21779000000.0,19865000000.0,41644000000.0,12585850562.9478,14472000000.0,2948300000.0,2943800000.0,4.75,4.76,14011000000.0,14011000000.0,88000000.0,373000000.0,14472000000.0,14472000000.0,14472000000.0,3114000000.0,17586000000.0,2292000000.0,420000000.0,-2712000000.0,-913000000.0,12338000000.0,1122000000.0,11216000000.0,,11216000000.0,38582000000.0,38582000000.0,3337000000.0,2561000000.0,2166000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317000000.0,,,,,,


Net Income
,Net Income
2024-06-30,18149000000.0
2024-03-31,13419000000.0
2023-12-31,9307000000.0
2023-09-30,13151000000.0
2023-06-30,14472000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-02 00:00:00-05:00,3680660000
2016-02-23 00:00:00-05:00,3663000000
2016-04-29 00:00:00-04:00,3656190000
2016-08-03 00:00:00-04:00,3611510000
2016-11-01 00:00:00-04:00,3577790000
2017-03-03 00:00:00-05:00,3557390000
2017-03-03 00:00:00-05:00,3571490000
2017-04-05 00:00:00-04:00,3552800000
2017-04-13 00:00:00-04:00,3552329984
2017-04-13 00:00:00-04:00,3552800000
2017-05-06 00:00:00-04:00,3552329984
2017-07-14 00:00:00-04:00,3519000064
2017-07-19 00:00:00-04:00,3469230080
2017-07-19 00:00:00-04:00,3424829952
2017-07-19 00:00:00-04:00,3360410112
2017-07-19 00:00:00-04:00,3431960064
2017-07-19 00:00:00-04:00,3324940032
2017-07-19 00:00:00-04:00,3360430080
2017-07-19 00:00:00-04:00,3431490048
2017-07-19 00:00:00-04:00,3404310016
2017-07-19 00:00:00-04:00,3404329984
2017-07-19 00:00:00-04:00,3410409984
2017-08-08 00:00:00-04:00,3469230080
2017-08-08 00:00:00-04:00,3518490112
2018-11-12 00:00:00-05:00,3324940032
2018-11-14 00:00:00-05:00,3324940032
2018-11-16 00:00:00-05:00,3324940032
2018-11-19 00:00:00-05:00,3324940032
2018-11-21 00:00:00-05:00,3324940032
2018-11-22 00:00:00-05:00,3324940032
2018-11-26 00:00:00-05:00,3324940032
2018-11-28 00:00:00-05:00,3324940032
2018-11-29 00:00:00-05:00,3324940032
2018-12-05 00:00:00-05:00,3324940032
2018-12-06 00:00:00-05:00,3324940032
2018-12-07 00:00:00-05:00,3324940032
2018-12-09 00:00:00-05:00,3324940032
2018-12-10 00:00:00-05:00,3324940032
2018-12-11 00:00:00-05:00,3324940032
2018-12-12 00:00:00-05:00,3324940032
2018-12-14 00:00:00-05:00,3324940032
2018-12-16 00:00:00-05:00,3324940032
2018-12-17 00:00:00-05:00,3324940032
2018-12-19 00:00:00-05:00,3324940032
2018-12-21 00:00:00-05:00,3324940032
2018-12-30 00:00:00-05:00,3324940032
2019-01-05 00:00:00-05:00,3324940032
2019-01-07 00:00:00-05:00,3324940032
2019-01-09 00:00:00-05:00,3324940032
2019-01-10 00:00:00-05:00,3324940032
2019-01-12 00:00:00-05:00,3324940032
2019-01-14 00:00:00-05:00,3324940032
2019-01-16 00:00:00-05:00,3324940032
2019-01-17 00:00:00-05:00,3324940032
2019-01-20 00:00:00-05:00,3324940032
2019-01-22 00:00:00-05:00,3324940032
2019-01-24 00:00:00-05:00,3324940032
2019-01-25 00:00:00-05:00,3324940032
2019-01-28 00:00:00-05:00,3324940032
2019-01-30 00:00:00-05:00,3324940032
2019-02-04 00:00:00-05:00,3324940032
2019-02-07 00:00:00-05:00,3324940032
2019-02-10 00:00:00-05:00,3324940032
2019-02-11 00:00:00-05:00,3324940032
2019-02-13 00:00:00-05:00,3324940032
2019-02-14 00:00:00-05:00,3324940032
2019-02-15 00:00:00-05:00,3324940032
2019-02-17 00:00:00-05:00,3324940032
2019-02-18 00:00:00-05:00,3324940032
2019-02-20 00:00:00-05:00,3324940032
2019-02-28 00:00:00-05:00,3275290112
2019-03-01 00:00:00-05:00,3275290112
2019-03-07 00:00:00-05:00,3275290112
2019-03-09 00:00:00-05:00,3275290112
2019-03-10 00:00:00-05:00,3275290112
2019-03-11 00:00:00-04:00,3275290112
