

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,0.0,0.207,3715000000.0,,,2411000000.0,269000000.0,4812000000.0,3715000000.0,3446000000.0,-143000000.0,418000000.0,275000000.0,2411000000.0,2411000000.0,9731000000.0,2632000000.0,4319000000.0,4309000000.0,0.56,0.56,2411000000.0,2411000000.0,2411000000.0,10000000.0,2401000000.0,2401000000.0,627000000.0,3028000000.0,539000000.0,2000000.0,,,,,,,537000000.0,,-143000000.0,418000000.0,275000000.0,2632000000.0,4919000000.0,2838000000.0,,,,,2081000000.0,2009000000.0,72000000.0,72000000.0,7551000000.0,4812000000.0,12363000000.0,12363000000.0
2024-03-31,531000.0,0.177,4513000000.0,3000000.0,3000000.0,3177000000.0,262000000.0,3977000000.0,4516000000.0,4254000000.0,-136000000.0,382000000.0,246000000.0,3174531000.0,3177000000.0,7626000000.0,2141000000.0,4322000000.0,4310000000.0,0.74,0.74,3177000000.0,3177000000.0,3177000000.0,-8000000.0,3185000000.0,3185000000.0,687000000.0,3872000000.0,334000000.0,-23000000.0,-132000000.0,516000000.0,1000000.0,760000000.0,760000000.0,-113000000.0,354000000.0,135000000.0,-136000000.0,382000000.0,246000000.0,3674000000.0,3391000000.0,1537000000.0,4000000.0,4000000.0,4000000.0,4000000.0,1850000000.0,1782000000.0,68000000.0,68000000.0,7065000000.0,4235000000.0,11300000000.0,11300000000.0
2023-12-31,599516.518936,0.199839,3163000000.0,3000000.0,3000000.0,1973000000.0,271000000.0,4367000000.0,3166000000.0,2895000000.0,-146000000.0,413000000.0,267000000.0,1970599516.518936,1973000000.0,8492000000.0,2273000000.0,4330000000.0,4317000000.0,0.46,0.46,1973000000.0,1973000000.0,1973000000.0,-13000000.0,1986000000.0,1986000000.0,496000000.0,2482000000.0,271000000.0,-93000000.0,-61000000.0,-345000000.0,1000000.0,,,-324000000.0,361000000.0,64000000.0,-146000000.0,413000000.0,267000000.0,2357000000.0,3858000000.0,2008000000.0,4000000.0,4000000.0,4000000.0,4000000.0,1846000000.0,1769000000.0,77000000.0,77000000.0,6215000000.0,4634000000.0,10849000000.0,10849000000.0
2023-09-30,-54272000.0,0.128,4619000000.0,-424000000.0,-424000000.0,3087000000.0,290000000.0,4371000000.0,4195000000.0,3905000000.0,-120000000.0,368000000.0,248000000.0,3456728000.0,3087000000.0,8386000000.0,3270000000.0,4339000000.0,4324000000.0,0.71,0.71,3087000000.0,3087000000.0,3087000000.0,4000000.0,3083000000.0,3083000000.0,454000000.0,3537000000.0,90000000.0,-3000000.0,-297000000.0,,1000000.0,,,296000000.0,517000000.0,-127000000.0,-120000000.0,368000000.0,248000000.0,3567000000.0,3729000000.0,1448000000.0,4000000.0,4000000.0,4000000.0,4000000.0,2277000000.0,2220000000.0,57000000.0,57000000.0,7296000000.0,4657000000.0,11953000000.0,11953000000.0
2023-06-30,0.0,0.125,3535000000.0,-1218000000.0,-1218000000.0,2547000000.0,281000000.0,4912000000.0,3535000000.0,3254000000.0,-150000000.0,374000000.0,224000000.0,2547000000.0,2547000000.0,9571000000.0,2401000000.0,4341000000.0,4325000000.0,0.59,0.59,2547000000.0,2547000000.0,2547000000.0,26000000.0,2521000000.0,2521000000.0,359000000.0,2880000000.0,629000000.0,91000000.0,-1311000000.0,-35000000.0,6000000.0,,,1270000000.0,538000000.0,93000000.0,-150000000.0,374000000.0,224000000.0,2401000000.0,4659000000.0,2696000000.0,3000000.0,3000000.0,3000000.0,3000000.0,1963000000.0,1901000000.0,62000000.0,62000000.0,7060000000.0,4912000000.0,11972000000.0,11972000000.0
2023-03-31,,,,514000000.0,514000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,359000000.0,,,,,-359000000.0,,155000000.0,,,,,,,4000000.0,4000000.0,4000000.0,4000000.0,,,,,,,,


Net Income
,Net Income
2024-06-30,2411000000.0
2024-03-31,3177000000.0
2023-12-31,1973000000.0
2023-09-30,3087000000.0
2023-06-30,2547000000.0
2023-03-31,


Shares Outstanding
,0
2015-10-28 00:00:00-04:00,4348990000
2016-03-11 00:00:00-05:00,4328750000
2016-04-28 00:00:00-04:00,4326200000
2016-07-28 00:00:00-04:00,4316030000
2016-10-27 00:00:00-04:00,4312960000
2016-10-27 00:00:00-04:00,4293460000
2017-02-24 00:00:00-05:00,4292010000
2017-02-24 00:00:00-05:00,4293460000
2017-03-10 00:00:00-05:00,4272560128
2017-03-10 00:00:00-05:00,4292009984
2017-03-10 00:00:00-05:00,4292010000
2017-04-27 00:00:00-04:00,4265299968
2017-04-27 00:00:00-04:00,4272560128
2017-07-27 00:00:00-04:00,4265299968
2017-07-27 00:00:00-04:00,4264499968
2017-07-27 00:00:00-04:00,4255259904
2017-07-27 00:00:00-04:00,4265910016
2017-07-27 00:00:00-04:00,4252920064
2017-07-27 00:00:00-04:00,4260669952
2017-07-27 00:00:00-04:00,4256509952
2018-11-12 00:00:00-05:00,4256509952
2018-11-14 00:00:00-05:00,4256509952
2018-11-15 00:00:00-05:00,4256509952
2018-11-19 00:00:00-05:00,4256509952
2018-11-21 00:00:00-05:00,4256509952
2018-11-22 00:00:00-05:00,4256509952
2018-11-26 00:00:00-05:00,4256509952
2018-11-28 00:00:00-05:00,4256509952
2018-11-29 00:00:00-05:00,4256509952
2018-12-02 00:00:00-05:00,4256509952
2018-12-03 00:00:00-05:00,4256509952
2018-12-04 00:00:00-05:00,4256509952
2018-12-06 00:00:00-05:00,4256509952
2018-12-07 00:00:00-05:00,4256509952
2018-12-09 00:00:00-05:00,4256509952
2018-12-11 00:00:00-05:00,4256509952
2018-12-12 00:00:00-05:00,4256509952
2018-12-14 00:00:00-05:00,4256509952
2018-12-16 00:00:00-05:00,4256509952
2018-12-17 00:00:00-05:00,4256509952
2018-12-19 00:00:00-05:00,4256509952
2018-12-21 00:00:00-05:00,4256509952
2018-12-30 00:00:00-05:00,4256509952
2019-01-05 00:00:00-05:00,4256509952
2019-01-07 00:00:00-05:00,4256509952
2019-01-09 00:00:00-05:00,4256509952
2019-01-10 00:00:00-05:00,4256509952
2019-01-12 00:00:00-05:00,4256509952
2019-01-14 00:00:00-05:00,4256509952
2019-01-16 00:00:00-05:00,4256509952
2019-01-17 00:00:00-05:00,4256509952
2019-01-20 00:00:00-05:00,4256509952
2019-01-23 00:00:00-05:00,4256509952
2019-01-25 00:00:00-05:00,4256509952
2019-01-26 00:00:00-05:00,4256509952
2019-01-28 00:00:00-05:00,4256509952
2019-01-29 00:00:00-05:00,4256509952
2019-01-30 00:00:00-05:00,4256509952
2019-02-04 00:00:00-05:00,4256509952
2019-02-07 00:00:00-05:00,4256509952
2019-02-11 00:00:00-05:00,4256509952
2019-02-13 00:00:00-05:00,4256509952
2019-02-14 00:00:00-05:00,4256509952
2019-02-15 00:00:00-05:00,4256509952
2019-02-16 00:00:00-05:00,4256509952
2019-02-17 00:00:00-05:00,4256509952
2019-02-19 00:00:00-05:00,4256509952
2019-02-20 00:00:00-05:00,4256509952
2019-02-26 00:00:00-05:00,4256509952
2019-02-28 00:00:00-05:00,4275340032
2019-03-07 00:00:00-05:00,4275340032
2019-03-10 00:00:00-05:00,4275160064
2019-03-12 00:00:00-04:00,4275160064
2019-03-14 00:00:00-04:00,4275160064
2019-03-15 00:00:00-04:00,4275160064
2019-03-17 00:00:00-04:00,4275160064
2019-03-18 00:00:00-04:00,4275160064
2019-03-26 00:00:00-04:00,4275160064
2019-03-27 00:00:00-04:00,4275160064
2019-03-29 00:00:00-04:00,4275160064
2019-03-30 00:00:00-04:00,4275160064
2019-04-01 00:00:00-04:00,4275160064
2019-04-05 00:00:00-04:00,4275160064
2019-04-06 00:00:00-04:00,4275160064
2019-04-09 00:00:00-04:00,4275160064
2019-04-14 00:00:00-04:00,4275160064
2019-04-15 00:00:00-04:00,4275160064
2019-04-17 00:00:00-04:00,4275160064
2019-04-19 00:00:00-04:00,4275160064
2019-04-21 00:00:00-04:00,4275160064
2019-04-29 00:00:00-04:00,4266119936
2019-05-02 00:00:00-04:00,4266119936
2019-05-03 00:00:00-04:00,4266119936
2019-05-05 00:00:00-04:00,4266119936
2019-05-06 00:00:00-04:00,4266119936
2019-05-09 00:00:00-04:00,4266119936
2019-05-10 00:00:00-04:00,4266119936
2019-05-12 00:00:00-04:00,4266109952
2019-05-13 00:00:00-04:00,4266109952
2019-05-19 00:00:00-04:00,4266119936
2019-05-21 00:00:00-04:00,4266119936
2019-05-22 00:00:00-04:00,4266109952
2019-05-24 00:00:00-04:00,4266109952
2019-05-28 00:00:00-04:00,4266119936
2019-06-01 00:00:00-04:00,4266119936
2019-06-03 00:00:00-04:00,4266119936
2019-06-05 00:00:00-04:00,4266119936
2019-06-07 00:00:00-04:00,4266119936
2019-06-10 00:00:00-04:00,4266119936
