

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-116563200.0,0.156,4862400000.0,-747200000.0,-747200000.0,2967000000.0,414400000.0,2170200000.0,4115200000.0,3700800000.0,-146300000.0,183600000.0,37300000.0,3597636800.0,2967000000.0,6884300000.0,904200000.0,900900000.0,3.28,3.29,2967000000.0,2967000000.0,2967000000.0,2967000000.0,2967000000.0,550200000.0,3517200000.0,-755000000.0,-7800000.0,-589300000.0,154300000.0,435000000.0,-157900000.0,-146300000.0,183600000.0,37300000.0,4418500000.0,4714100000.0,2711200000.0,2002900000.0,2002900000.0,2117300000.0,-114400000.0,9132600000.0,2170200000.0,11302800000.0,11302800000.0
2024-03-31,-10962000.0,0.116,3210800000.0,-94500000.0,-94500000.0,2242900000.0,400600000.0,1673500000.0,3116300000.0,2715700000.0,-133800000.0,179600000.0,45800000.0,2326438000.0,2242900000.0,6032400000.0,903800000.0,900800000.0,2.48,2.49,2242900000.0,2242900000.0,2242900000.0,2242900000.0,2242900000.0,293200000.0,2536100000.0,-65700000.0,28800000.0,-110500000.0,110500000.0,,16000000.0,-133800000.0,179600000.0,45800000.0,2735600000.0,4358900000.0,2522800000.0,1836100000.0,1836100000.0,1952200000.0,-116100000.0,7094500000.0,1673500000.0,8768000000.0,8768000000.0
2023-12-31,-72372409.119898,0.127192,3603700000.0,-569000000.0,-569000000.0,2189700000.0,387700000.0,1788000000.0,3034700000.0,2647000000.0,-93700000.0,138200000.0,44500000.0,2686327590.880102,2189700000.0,5813400000.0,903980000.0,899379000.0,2.42,2.434569,2189700000.0,2189700000.0,2189700000.0,2189700000.0,2189700000.0,319100000.0,2508800000.0,-937500000.0,-368500000.0,-690300000.0,622600000.0,,121300000.0,-93700000.0,138200000.0,44500000.0,3540000000.0,4025400000.0,2562700000.0,1462700000.0,1462700000.0,1924600000.0,,7565400000.0,1788000000.0,9353400000.0,9353400000.0
2023-09-30,-637980000.0,0.21,4000800000.0,-3038000000.0,-3038000000.0,-57400000.0,411000000.0,1860100000.0,962800000.0,551800000.0,-75700000.0,124600000.0,48900000.0,2342620000.0,-57400000.0,6073100000.0,949303000.0,949303000.0,-0.060465,-0.060465,-57400000.0,-57400000.0,-57400000.0,-57400000.0,-57400000.0,484600000.0,427200000.0,-2922600000.0,115400000.0,-2975100000.0,2975100000.0,0.0,-62900000.0,-75700000.0,124600000.0,48900000.0,3425500000.0,4213000000.0,2409100000.0,1803900000.0,1803900000.0,1803900000.0,-115500000.0,7638500000.0,1860100000.0,9498600000.0,9498600000.0
2023-06-30,-25272000.0,0.156,2737500000.0,-162000000.0,-162000000.0,1763200000.0,366300000.0,1807400000.0,2575500000.0,2209200000.0,-74300000.0,120300000.0,46000000.0,1899928000.0,1763200000.0,5973700000.0,949286000.0,949286000.0,1.857396,1.857396,1763200000.0,1763200000.0,1763200000.0,1763200000.0,1763200000.0,325700000.0,2088900000.0,-175200000.0,-13200000.0,-97100000.0,97100000.0,0.0,-64900000.0,-74300000.0,120300000.0,46000000.0,2338400000.0,4166300000.0,2356500000.0,1809800000.0,1809800000.0,1925400000.0,-115600000.0,6504700000.0,1807400000.0,8312100000.0,8312100000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-115800000.0,,,,


Net Income
,Net Income
2024-06-30,2967000000.0
2024-03-31,2242900000.0
2023-12-31,2189700000.0
2023-09-30,-57400000.0
2023-06-30,1763200000.0
2023-03-31,


Shares Outstanding
,0
2015-04-23 00:00:00-04:00,1059000000
2016-02-19 00:00:00-05:00,1055270000
2016-04-26 00:00:00-04:00,1063080000
2016-11-02 00:00:00-04:00,1049120000
2016-11-02 00:00:00-04:00,1050880000
2017-02-25 00:00:00-05:00,1052640000
2017-02-25 00:00:00-05:00,1051900032
2017-05-04 00:00:00-04:00,1051929984
2017-05-04 00:00:00-04:00,1047089984
2017-05-04 00:00:00-04:00,1049489984
2017-08-02 00:00:00-04:00,1044940032
2017-08-02 00:00:00-04:00,1047190016
2017-08-02 00:00:00-04:00,1050009984
2017-08-02 00:00:00-04:00,1019110016
2017-08-02 00:00:00-04:00,997502976
2017-08-02 00:00:00-04:00,1042040000
2017-08-02 00:00:00-04:00,1030849984
2017-08-02 00:00:00-04:00,1047089984
2017-08-02 00:00:00-04:00,1020680000
2018-11-13 00:00:00-05:00,987329984
2018-11-14 00:00:00-05:00,987329984
2018-11-15 00:00:00-05:00,987329984
2018-11-19 00:00:00-05:00,982833024
2018-11-21 00:00:00-05:00,982833024
2018-11-22 00:00:00-05:00,982833024
2018-11-26 00:00:00-05:00,982833024
2018-11-28 00:00:00-05:00,982833024
2018-11-29 00:00:00-05:00,982833024
2018-12-02 00:00:00-05:00,982833024
2018-12-03 00:00:00-05:00,982833024
2018-12-04 00:00:00-05:00,982833024
2018-12-06 00:00:00-05:00,982833024
2018-12-07 00:00:00-05:00,982833024
2018-12-10 00:00:00-05:00,982833024
2018-12-11 00:00:00-05:00,982833024
2018-12-12 00:00:00-05:00,982833024
2018-12-14 00:00:00-05:00,982833024
2018-12-16 00:00:00-05:00,982833024
2018-12-17 00:00:00-05:00,982833024
2018-12-19 00:00:00-05:00,982833024
2018-12-21 00:00:00-05:00,982833024
2018-12-30 00:00:00-05:00,982833024
2019-01-05 00:00:00-05:00,982833024
2019-01-07 00:00:00-05:00,982833024
2019-01-09 00:00:00-05:00,982833024
2019-01-10 00:00:00-05:00,982833024
2019-01-12 00:00:00-05:00,982833024
2019-01-14 00:00:00-05:00,982833024
2019-01-16 00:00:00-05:00,982833024
2019-01-17 00:00:00-05:00,982833024
2019-01-20 00:00:00-05:00,982833024
2019-01-22 00:00:00-05:00,982833024
2019-01-25 00:00:00-05:00,982833024
2019-01-26 00:00:00-05:00,982833024
2019-01-28 00:00:00-05:00,982833024
2019-01-30 00:00:00-05:00,982833024
2019-02-04 00:00:00-05:00,1008720000
2019-02-07 00:00:00-05:00,1008720000
2019-02-11 00:00:00-05:00,1008720000
2019-02-13 00:00:00-05:00,1008720000
2019-02-14 00:00:00-05:00,1008720000
2019-02-15 00:00:00-05:00,1008720000
2019-02-17 00:00:00-05:00,1008720000
2019-02-18 00:00:00-05:00,1008720000
2019-02-20 00:00:00-05:00,1035420032
2019-02-28 00:00:00-05:00,1035420032
2019-03-01 00:00:00-05:00,1035420032
2019-03-07 00:00:00-05:00,1035420032
2019-03-09 00:00:00-05:00,1035420032
2019-03-10 00:00:00-05:00,1035420032
2019-03-11 00:00:00-04:00,1035420032
2019-03-14 00:00:00-04:00,1035420032
2019-03-15 00:00:00-04:00,1035420032
2019-03-17 00:00:00-04:00,970417984
2019-03-18 00:00:00-04:00,970417984
2019-03-26 00:00:00-04:00,970214016
2019-03-27 00:00:00-04:00,970214016
2019-03-29 00:00:00-04:00,970419968
2019-04-01 00:00:00-04:00,970817984
2019-04-02 00:00:00-04:00,970817984
2019-04-05 00:00:00-04:00,970817984
2019-04-09 00:00:00-04:00,970817984
2019-04-11 00:00:00-04:00,970817984
2019-04-14 00:00:00-04:00,970817984
2019-04-15 00:00:00-04:00,970817984
2019-04-17 00:00:00-04:00,970817984
2019-04-19 00:00:00-04:00,970817984
2019-04-21 00:00:00-04:00,970817984
2019-04-23 00:00:00-04:00,970817984
2019-04-29 00:00:00-04:00,970817984
2019-05-01 00:00:00-04:00,970817984
2019-05-02 00:00:00-04:00,970817984
2019-05-03 00:00:00-04:00,970817984
2019-05-05 00:00:00-04:00,920830976
2019-05-07 00:00:00-04:00,920830976
2019-05-09 00:00:00-04:00,920830976
2019-05-11 00:00:00-04:00,920830976
2019-05-12 00:00:00-04:00,920830976
2019-05-13 00:00:00-04:00,920830976
2019-05-19 00:00:00-04:00,920830976
2019-05-20 00:00:00-04:00,920830976
2019-05-22 00:00:00-04:00,920830976
2019-05-28 00:00:00-04:00,920830976
2019-06-01 00:00:00-04:00,920830976
2019-06-03 00:00:00-04:00,920830976
2019-06-04 00:00:00-04:00,920830976
2019-06-05 00:00:00-04:00,920830976
2019-06-06 00:00:00-04:00,920830976
2019-06-10 00:00:00-04:00,920830976
2019-06-11 00:00:00-04:00,920830976
2019-06-12 00:00:00-04:00,920830976
2019-06-17 00:00:00-04:00,920830976
2019-06-19 00:00:00-04:00,920830976
2019-06-21 00:00:00-04:00,920830976
2019-06-23 00:00:00-04:00,920830976
2019-06-24 00:00:00-04:00,920830976
2019-06-26 00:00:00-04:00,970830976
2019-07-01 00:00:00-04:00,970830976
2019-07-01 00:00:00-04:00,964908992
2019-07-03 00:00:00-04:00,983403008
2019-07-04 00:00:00-04:00,970830976
2019-07-05 00:00:00-04:00,968963968
2019-07-06 00:00:00-04:00,970830976
2019-07-10 00:00:00-04:00,946225024
2019-07-11 00:00:00-04:00,983280000
2019-07-12 00:00:00-04:00,930905984
2019-07-13 00:00:00-04:00,970830976
2019-08-05 00:00:00-04:00,954337024
2019-08-06 00:00:00-04:00,970830976
2019-08-07 00:00:00-04:00,1003960000
2019-08-08 00:00:00-04:00,986835968
2019-08-09 00:00:00-04:00,990193984
2019-08-10 00:00:00-04:00,965433024
2019-08-30 00:00:00-04:00,954424000
2019-09-02 00:00:00-04:00,948340992
2019-09-04 00:00:00-04:00,965433024
2019-09-06 00:00:00-04:00,951700992
2019-09-09 00:00:00-04:00,956291008
2019-09-11 00:00:00-04:00,981683008
2019-09-12 00:00:00-04:00,965433024
2019-09-20 00:00:00-04:00,979393984
2019-09-21 00:00:00-04:00,965433024
2019-10-04 00:00:00-04:00,962822976
2019-10-08 00:00:00-04:00,965433024
2019-10-21 00:00:00-04:00,967035008
2019-10-22 00:00:00-04:00,965433024
2019-10-29 00:00:00-04:00,960131008
2019-11-05 00:00:00-05:00,972419008
2019-11-06 00:00:00-05:00,967260992
