

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-07-31,0.0,0.239,3980000000.0,2383000000.0,481000000.0,15633000000.0,3980000000.0,3499000000.0,-317000000.0,369000000.0,52000000.0,2383000000.0,2383000000.0,20139000000.0,3447000000.0,570000000.0,568000000.0,4.17,4.18,2377000000.0,2377000000.0,6000000.0,2383000000.0,2383000000.0,2383000000.0,747000000.0,3130000000.0,-317000000.0,369000000.0,52000000.0,3447000000.0,4448000000.0,423000000.0,423000000.0,4025000000.0,7895000000.0,15691000000.0,23586000000.0,23257000000.0
2024-04-30,0.0,0.237,3160000000.0,1755000000.0,486000000.0,14216000000.0,3160000000.0,2674000000.0,-352000000.0,373000000.0,21000000.0,1755000000.0,1755000000.0,18711000000.0,2653000000.0,572000000.0,571000000.0,3.06,3.06,1750000000.0,1750000000.0,5000000.0,1755000000.0,1755000000.0,1755000000.0,546000000.0,2301000000.0,-352000000.0,373000000.0,21000000.0,2653000000.0,4437000000.0,428000000.0,428000000.0,4009000000.0,7090000000.0,14274000000.0,21364000000.0,21223000000.0
2024-01-31,0.0,0.238237,2207000000.0,1020000000.0,496000000.0,12521000000.0,2207000000.0,1711000000.0,-349000000.0,372000000.0,23000000.0,1020000000.0,1020000000.0,16914000000.0,1688000000.0,575000000.0,574000000.0,1.77,1.77,1018000000.0,1018000000.0,2000000.0,1020000000.0,1020000000.0,1020000000.0,319000000.0,1339000000.0,-349000000.0,372000000.0,23000000.0,1688000000.0,4339000000.0,442000000.0,442000000.0,3897000000.0,6027000000.0,12575000000.0,18602000000.0,18272000000.0
2023-10-31,0.0,0.246,3209000000.0,1773000000.0,486000000.0,13528000000.0,3209000000.0,2723000000.0,-345000000.0,372000000.0,27000000.0,1773000000.0,1773000000.0,17775000000.0,2696000000.0,577000000.0,576000000.0,3.06,3.07,1769000000.0,1769000000.0,4000000.0,1773000000.0,1773000000.0,1773000000.0,578000000.0,2351000000.0,-345000000.0,372000000.0,27000000.0,2696000000.0,4195000000.0,434000000.0,434000000.0,3761000000.0,6891000000.0,13580000000.0,20471000000.0,20116000000.0
2023-07-31,0.0,0.246,4397000000.0,2673000000.0,476000000.0,16508000000.0,4397000000.0,3921000000.0,-341000000.0,376000000.0,35000000.0,2673000000.0,2673000000.0,21070000000.0,3886000000.0,585000000.0,584000000.0,4.56,4.56,2666000000.0,2666000000.0,7000000.0,2673000000.0,2673000000.0,2673000000.0,872000000.0,3545000000.0,-341000000.0,376000000.0,35000000.0,3886000000.0,4513000000.0,427000000.0,427000000.0,4086000000.0,8399000000.0,16557000000.0,24956000000.0,24613000000.0


Net Income
,Net Income
2024-07-31,2383000000.0
2024-04-30,1755000000.0
2024-01-31,1020000000.0
2023-10-31,1773000000.0
2023-07-31,2673000000.0


Shares Outstanding
,0
2015-12-02 00:00:00-05:00,915105000
2016-02-25 00:00:00-05:00,910000000
2016-03-29 00:00:00-04:00,897439000
2016-05-19 00:00:00-04:00,894000000
2016-05-31 00:00:00-04:00,886105000
2016-08-18 00:00:00-04:00,881000000
2016-09-06 00:00:00-04:00,874659000
2016-09-06 00:00:00-04:00,873000000
2016-11-17 00:00:00-05:00,873000000
2016-11-17 00:00:00-05:00,869847000
2016-11-29 00:00:00-05:00,869847000
2017-03-02 00:00:00-05:00,866000000
2017-03-02 00:00:00-05:00,858060992
2017-04-24 00:00:00-04:00,858060992
2017-06-06 00:00:00-04:00,844225984
2017-08-24 00:00:00-04:00,832812032
2017-09-05 00:00:00-04:00,816153984
2017-09-05 00:00:00-04:00,830000000
2017-09-05 00:00:00-04:00,829761024
2017-09-05 00:00:00-04:00,825766016
2017-09-05 00:00:00-04:00,832812032
2017-09-05 00:00:00-04:00,831000000
2017-09-05 00:00:00-04:00,811000000
2018-11-13 00:00:00-05:00,811000000
2018-11-14 00:00:00-05:00,811000000
2018-11-16 00:00:00-05:00,811000000
2018-11-21 00:00:00-05:00,811000000
2018-11-22 00:00:00-05:00,811000000
2018-12-05 00:00:00-05:00,806000000
2018-12-06 00:00:00-05:00,806000000
2018-12-07 00:00:00-05:00,806000000
2018-12-11 00:00:00-05:00,802956992
2018-12-12 00:00:00-05:00,802956992
2018-12-19 00:00:00-05:00,802956992
2018-12-30 00:00:00-05:00,802956992
2019-01-05 00:00:00-05:00,802956992
2019-01-09 00:00:00-05:00,802956992
2019-01-12 00:00:00-05:00,802956992
2019-01-16 00:00:00-05:00,802956992
2019-01-25 00:00:00-05:00,802956992
2019-01-30 00:00:00-05:00,802956992
2019-02-04 00:00:00-05:00,802956992
2019-02-07 00:00:00-05:00,802956992
2019-02-15 00:00:00-05:00,802956992
2019-02-17 00:00:00-05:00,802956992
2019-02-20 00:00:00-05:00,802956992
2019-02-28 00:00:00-05:00,802956992
2019-03-01 00:00:00-05:00,802956992
2019-03-07 00:00:00-05:00,801000000
2019-03-10 00:00:00-05:00,801000000
2019-03-14 00:00:00-04:00,801000000
2019-03-17 00:00:00-04:00,801000000
2019-03-26 00:00:00-04:00,801000000
2019-03-29 00:00:00-04:00,801000000
2019-04-01 00:00:00-04:00,801000000
2019-04-05 00:00:00-04:00,795923008
2019-04-09 00:00:00-04:00,795923008
2019-04-10 00:00:00-04:00,795923008
2019-04-14 00:00:00-04:00,795923008
2019-04-17 00:00:00-04:00,795923008
2019-04-18 00:00:00-04:00,795923008
2019-04-21 00:00:00-04:00,795923008
2019-04-22 00:00:00-04:00,795923008
2019-04-29 00:00:00-04:00,795923008
2019-04-30 00:00:00-04:00,795923008
2019-05-02 00:00:00-04:00,795923008
2019-05-05 00:00:00-04:00,795923008
2019-05-06 00:00:00-04:00,795923008
2019-05-09 00:00:00-04:00,795923008
2019-05-10 00:00:00-04:00,795923008
2019-05-12 00:00:00-04:00,795923008
2019-05-19 00:00:00-04:00,795923008
2019-05-22 00:00:00-04:00,795923008
2019-05-23 00:00:00-04:00,795923008
2019-05-28 00:00:00-04:00,795000000
2019-06-03 00:00:00-04:00,795000000
2019-06-05 00:00:00-04:00,782915968
