

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-9688000.0,0.173,4373000000.0,-56000000.0,-56000000.0,3258000000.0,225000000.0,1607000000.0,4317000000.0,4092000000.0,-153000000.0,153000000.0,3304312000.0,3258000000.0,2822000000.0,4036000000.0,,,,,3258000000.0,3258000000.0,3258000000.0,3258000000.0,3258000000.0,681000000.0,3939000000.0,-47000000.0,9000000.0,-98000000.0,98000000.0,42000000.0,-153000000.0,153000000.0,4139000000.0,1215000000.0,225000000.0,225000000.0,990000000.0,184000000.0,806000000.0,806000000.0,5354000000.0,1607000000.0,6961000000.0,6961000000.0
2024-03-31,-8162000.0,0.154,3977000000.0,-53000000.0,-53000000.0,3011000000.0,216000000.0,1514000000.0,3924000000.0,3708000000.0,-150000000.0,150000000.0,3055838000.0,3011000000.0,2590000000.0,3604000000.0,935000000.0,933000000.0,3.22,3.23,3011000000.0,3011000000.0,3011000000.0,3011000000.0,3011000000.0,547000000.0,3558000000.0,-50000000.0,3000000.0,-126000000.0,126000000.0,73000000.0,-150000000.0,150000000.0,3758000000.0,1076000000.0,216000000.0,216000000.0,860000000.0,116000000.0,744000000.0,744000000.0,4834000000.0,1514000000.0,6348000000.0,6348000000.0
2023-12-31,-32396868.413129,0.15959,3877000000.0,-203000000.0,-203000000.0,2791000000.0,205000000.0,1528000000.0,3674000000.0,3469000000.0,-148000000.0,148000000.0,2961603131.586871,2791000000.0,2850000000.0,3372000000.0,939000000.0,936000000.0,2.97,2.98,2791000000.0,2791000000.0,2791000000.0,2791000000.0,2791000000.0,530000000.0,3321000000.0,-229000000.0,-26000000.0,-308000000.0,308000000.0,105000000.0,-148000000.0,148000000.0,3698000000.0,1322000000.0,205000000.0,205000000.0,1117000000.0,264000000.0,853000000.0,853000000.0,5020000000.0,1528000000.0,6548000000.0,6548000000.0
2023-09-30,6000000.0,0.15,4083000000.0,40000000.0,40000000.0,3198000000.0,211000000.0,1573000000.0,4123000000.0,3912000000.0,-151000000.0,151000000.0,3164000000.0,3198000000.0,2664000000.0,3844000000.0,943000000.0,941000000.0,3.39,3.4,3198000000.0,3198000000.0,3198000000.0,3198000000.0,3198000000.0,563000000.0,3761000000.0,43000000.0,3000000.0,0.0,,40000000.0,-151000000.0,151000000.0,3869000000.0,1091000000.0,211000000.0,211000000.0,880000000.0,193000000.0,687000000.0,687000000.0,4960000000.0,1573000000.0,6533000000.0,6533000000.0
2023-06-30,32016000.0,0.232,3902000000.0,138000000.0,138000000.0,2845000000.0,192000000.0,1495000000.0,4040000000.0,3848000000.0,-144000000.0,144000000.0,2739016000.0,2845000000.0,2569000000.0,3656000000.0,949000000.0,946000000.0,3.0,3.01,2845000000.0,2845000000.0,2845000000.0,2845000000.0,2845000000.0,859000000.0,3704000000.0,148000000.0,10000000.0,-20000000.0,20000000.0,158000000.0,-144000000.0,144000000.0,3700000000.0,1074000000.0,192000000.0,192000000.0,882000000.0,201000000.0,681000000.0,681000000.0,4774000000.0,1495000000.0,6269000000.0,6269000000.0
2023-03-31,,,,,,,,,,,,,,,,,956000000.0,953000000.0,2.47,2.48,,,,,,,,,,,211000000.0,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,3258000000.0
2024-03-31,3011000000.0
2023-12-31,2791000000.0
2023-09-30,3198000000.0
2023-06-30,2845000000.0
2023-03-31,


Shares Outstanding
,0
2015-07-29 00:00:00-04:00,1131420000
2016-01-29 00:00:00-05:00,1116000000
2016-02-12 00:00:00-05:00,1110740000
2016-02-24 00:00:00-05:00,1110740000
2016-04-29 00:00:00-04:00,1109860000
2016-04-29 00:00:00-04:00,1099580000
2016-04-29 00:00:00-04:00,1098700000
2016-05-05 00:00:00-04:00,1098700000
2016-07-28 00:00:00-04:00,1097000000
2016-07-28 00:00:00-04:00,1097740000
2016-07-28 00:00:00-04:00,1097830000
2016-08-04 00:00:00-04:00,1097740000
2016-11-02 00:00:00-04:00,1089620000
2016-11-02 00:00:00-04:00,1081000000
2017-01-31 00:00:00-05:00,1078700000
2017-02-04 00:00:00-05:00,1078700000
2017-02-18 00:00:00-05:00,1077920000
2017-02-18 00:00:00-05:00,1071880000
2017-05-03 00:00:00-04:00,1064899968
2017-05-03 00:00:00-04:00,1071880000
2017-07-27 00:00:00-04:00,1054000000
2017-07-27 00:00:00-04:00,1039779968
2017-07-27 00:00:00-04:00,1051379968
2017-07-27 00:00:00-04:00,1064899968
2017-07-27 00:00:00-04:00,1058659968
2017-07-27 00:00:00-04:00,1032790016
2017-07-27 00:00:00-04:00,1057600000
2017-07-27 00:00:00-04:00,1044790016
2017-07-27 00:00:00-04:00,1051390016
2017-07-27 00:00:00-04:00,1043969984
2017-07-27 00:00:00-04:00,1038449984
2018-11-14 00:00:00-05:00,1032790016
2018-11-15 00:00:00-05:00,1032790016
2018-11-19 00:00:00-05:00,1032790016
2018-11-21 00:00:00-05:00,1032790016
2018-11-22 00:00:00-05:00,1032790016
2018-11-26 00:00:00-05:00,1032790016
2018-11-28 00:00:00-05:00,1032790016
2018-11-29 00:00:00-05:00,1032790016
2018-12-02 00:00:00-05:00,1032790016
2018-12-03 00:00:00-05:00,1032790016
2018-12-04 00:00:00-05:00,1032790016
2018-12-06 00:00:00-05:00,1032790016
2018-12-07 00:00:00-05:00,1032790016
2018-12-09 00:00:00-05:00,1032790016
2018-12-10 00:00:00-05:00,1032790016
2018-12-11 00:00:00-05:00,1032790016
2018-12-12 00:00:00-05:00,1032790016
2018-12-14 00:00:00-05:00,1032790016
2018-12-16 00:00:00-05:00,1032790016
2018-12-17 00:00:00-05:00,1032790016
2018-12-19 00:00:00-05:00,1032790016
2018-12-21 00:00:00-05:00,1032790016
2018-12-30 00:00:00-05:00,1032790016
2019-01-05 00:00:00-05:00,1032790016
2019-01-07 00:00:00-05:00,1032790016
2019-01-09 00:00:00-05:00,1032790016
2019-01-10 00:00:00-05:00,1032790016
2019-01-12 00:00:00-05:00,1032790016
2019-01-14 00:00:00-05:00,1032790016
2019-01-16 00:00:00-05:00,1032790016
2019-01-17 00:00:00-05:00,1032790016
2019-01-20 00:00:00-05:00,1032790016
2019-01-22 00:00:00-05:00,1032790016
2019-01-23 00:00:00-05:00,1032790016
2019-01-25 00:00:00-05:00,1032790016
2019-01-26 00:00:00-05:00,1032790016
2019-01-28 00:00:00-05:00,1032790016
2019-01-30 00:00:00-05:00,1032790016
2019-02-04 00:00:00-05:00,1030860032
2019-02-07 00:00:00-05:00,1030860032
2019-02-10 00:00:00-05:00,1026860032
2019-02-11 00:00:00-05:00,1026860032
2019-02-13 00:00:00-05:00,1026860032
2019-02-14 00:00:00-05:00,1026860032
2019-02-15 00:00:00-05:00,1025910016
2019-02-17 00:00:00-05:00,1025910016
2019-02-18 00:00:00-05:00,1025910016
2019-02-20 00:00:00-05:00,1025910016
2019-03-01 00:00:00-05:00,1025910016
2019-03-07 00:00:00-05:00,1025910016
2019-03-09 00:00:00-05:00,1025910016
2019-03-10 00:00:00-05:00,1025910016
2019-03-11 00:00:00-04:00,1025910016
2019-03-14 00:00:00-04:00,1025910016
2019-03-15 00:00:00-04:00,1025910016
2019-03-17 00:00:00-04:00,1025910016
2019-03-18 00:00:00-04:00,1025910016
2019-03-26 00:00:00-04:00,1025910016
2019-03-27 00:00:00-04:00,1025910016
2019-03-29 00:00:00-04:00,1025910016
2019-03-30 00:00:00-04:00,1025910016
2019-04-01 00:00:00-04:00,1025910016
2019-04-02 00:00:00-04:00,1025910016
2019-04-05 00:00:00-04:00,1025910016
2019-04-11 00:00:00-04:00,1025910016
2019-04-14 00:00:00-04:00,1025910016
2019-04-15 00:00:00-04:00,1025910016
2019-04-17 00:00:00-04:00,1025910016
2019-04-19 00:00:00-04:00,1025910016
2019-04-21 00:00:00-04:00,1025910016
2019-04-23 00:00:00-04:00,1025910016
2019-04-29 00:00:00-04:00,1025910016
2019-05-01 00:00:00-04:00,1025910016
2019-05-02 00:00:00-04:00,1021420032
2019-05-03 00:00:00-04:00,1021420032
2019-05-05 00:00:00-04:00,1021420032
