

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-32395000.0,0.209,3585000000.0,-155000000.0,-155000000.0,2022000000.0,502000000.0,2371000000.0,3430000000.0,2928000000.0,-353000000.0,373000000.0,20000000.0,2144605000.0,2022000000.0,3463000000.0,629000000.0,2920000000.0,722000000.0,718800000.0,2.8,2.81,2022000000.0,2022000000.0,2022000000.0,2022000000.0,2022000000.0,533000000.0,2555000000.0,-120000000.0,-10000000.0,-153000000.0,-3000000.0,4000000.0,154000000.0,45000000.0,-2000000.0,-353000000.0,373000000.0,20000000.0,3027000000.0,691000000.0,101000000.0,101000000.0,590000000.0,,,3718000000.0,2772000000.0,6490000000.0,6401000000.0
2024-03-31,-6567000.0,0.199,3324000000.0,-33000000.0,-33000000.0,1929000000.0,510000000.0,2319000000.0,3291000000.0,2781000000.0,-325000000.0,372000000.0,47000000.0,1955433000.0,1929000000.0,3451000000.0,627000000.0,2736000000.0,725900000.0,721800000.0,2.66,2.67,1929000000.0,1929000000.0,1929000000.0,1930000000.0,1930000000.0,479000000.0,2409000000.0,15000000.0,3000000.0,-28000000.0,-2000000.0,9000000.0,35000000.0,45000000.0,-5000000.0,-325000000.0,372000000.0,47000000.0,2718000000.0,721000000.0,99000000.0,99000000.0,622000000.0,,,3439000000.0,2730000000.0,6169000000.0,6078000000.0
2023-12-31,-11734393.638171,0.189264,3434700000.0,-62000000.0,-62000000.0,2039000000.0,497500000.0,2345000000.0,3372700000.0,2875200000.0,-296300000.0,360200000.0,63900000.0,2089265606.361829,2039000000.0,3573400000.0,2932000000.0,2801900000.0,727800000.0,722700000.0,2.8,2.821364,2039000000.0,2039000000.0,2039000000.0,2039000000.0,2039000000.0,476000000.0,2515000000.0,-21800000.0,9000000.0,-62100000.0,19000000.0,56900000.0,138000000.0,31200000.0,100000.0,-296300000.0,360200000.0,63900000.0,2832800000.0,821400000.0,90500000.0,90500000.0,730900000.0,,,3654200000.0,2752000000.0,6406200000.0,6342700000.0
2023-09-30,-5237100.0,0.207,3787500000.0,-25300000.0,-25300000.0,2317100000.0,498000000.0,2427200000.0,3762200000.0,3264200000.0,-293400000.0,340700000.0,47300000.0,2337162900.0,2317100000.0,3508700000.0,625400000.0,3208300000.0,731600000.0,727200000.0,3.17,3.19,2317100000.0,2317100000.0,2317100000.0,2317100000.0,2317100000.0,606400000.0,2923500000.0,33400000.0,9200000.0,-24700000.0,-6800000.0,7900000.0,25800000.0,49500000.0,-600000.0,-293400000.0,340700000.0,47300000.0,3183500000.0,680200000.0,96700000.0,96700000.0,583500000.0,,,3863700000.0,2828500000.0,6692200000.0,6603300000.0
2023-06-30,1440000.0,0.18,3631000000.0,8000000.0,8000000.0,2310000000.0,492000000.0,2369000000.0,3639000000.0,3147000000.0,-293000000.0,330000000.0,37000000.0,2303440000.0,2310000000.0,3428000000.0,618000000.0,3104000000.0,734300000.0,729600000.0,3.15,3.17,2310000000.0,2310000000.0,2310000000.0,2311000000.0,2311000000.0,506000000.0,2817000000.0,40000000.0,-1000000.0,2000000.0,-5000000.0,25000000.0,18000000.0,33000000.0,6000000.0,-293000000.0,330000000.0,37000000.0,3069000000.0,662000000.0,95000000.0,95000000.0,567000000.0,,,3731000000.0,2766000000.0,6497000000.0,6420000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553300000.0,553300000.0,,,,


Net Income
,Net Income
2024-06-30,2022000000.0
2024-03-31,1929000000.0
2023-12-31,2039000000.0
2023-09-30,2317100000.0
2023-06-30,2310000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-04 00:00:00-05:00,918230000
2016-02-25 00:00:00-05:00,901608000
2016-04-18 00:00:00-04:00,877675000
2016-05-06 00:00:00-04:00,877858000
2016-08-04 00:00:00-04:00,853362000
2016-11-04 00:00:00-04:00,830444000
2017-03-01 00:00:00-05:00,816753024
2017-03-01 00:00:00-05:00,818993000
2017-04-17 00:00:00-04:00,816753024
2017-04-17 00:00:00-04:00,815070016
2017-05-09 00:00:00-04:00,815070016
2017-08-08 00:00:00-04:00,775800000
2017-08-08 00:00:00-04:00,809996992
2017-08-08 00:00:00-04:00,794497984
2017-08-08 00:00:00-04:00,797185984
2017-08-08 00:00:00-04:00,785177024
2017-08-08 00:00:00-04:00,770910016
2017-08-08 00:00:00-04:00,786086976
2018-11-12 00:00:00-05:00,770910016
2018-11-14 00:00:00-05:00,770910016
2018-11-15 00:00:00-05:00,770910016
2018-11-19 00:00:00-05:00,770910016
2018-11-21 00:00:00-05:00,770910016
2018-11-22 00:00:00-05:00,770910016
2018-11-26 00:00:00-05:00,770910016
2018-11-28 00:00:00-05:00,770910016
2018-11-29 00:00:00-05:00,770910016
2018-12-02 00:00:00-05:00,770910016
2018-12-03 00:00:00-05:00,770910016
2018-12-04 00:00:00-05:00,770910016
2018-12-06 00:00:00-05:00,770910016
2018-12-07 00:00:00-05:00,770910016
2018-12-10 00:00:00-05:00,770910016
2018-12-11 00:00:00-05:00,770910016
2018-12-12 00:00:00-05:00,770910016
2018-12-14 00:00:00-05:00,770910016
2018-12-16 00:00:00-05:00,770910016
2018-12-17 00:00:00-05:00,770910016
2018-12-19 00:00:00-05:00,770910016
2018-12-21 00:00:00-05:00,770910016
2018-12-30 00:00:00-05:00,770910016
2019-01-05 00:00:00-05:00,770910016
2019-01-07 00:00:00-05:00,770910016
2019-01-09 00:00:00-05:00,770910016
2019-01-10 00:00:00-05:00,770910016
2019-01-12 00:00:00-05:00,770910016
2019-01-14 00:00:00-05:00,770910016
2019-01-16 00:00:00-05:00,770910016
2019-01-20 00:00:00-05:00,770910016
2019-01-24 00:00:00-05:00,770910016
2019-01-25 00:00:00-05:00,770910016
2019-01-26 00:00:00-05:00,770910016
2019-01-29 00:00:00-05:00,770910016
2019-01-30 00:00:00-05:00,770910016
2019-02-04 00:00:00-05:00,770910016
2019-02-07 00:00:00-05:00,770910016
2019-02-11 00:00:00-05:00,770910016
2019-02-13 00:00:00-05:00,770910016
2019-02-14 00:00:00-05:00,770910016
2019-02-15 00:00:00-05:00,770910016
2019-02-16 00:00:00-05:00,770910016
2019-02-17 00:00:00-05:00,770910016
2019-02-19 00:00:00-05:00,770910016
2019-02-20 00:00:00-05:00,770910016
2019-02-27 00:00:00-05:00,770910016
2019-02-28 00:00:00-05:00,765316992
2019-03-07 00:00:00-05:00,765316992
2019-03-08 00:00:00-05:00,765316992
2019-03-10 00:00:00-05:00,765316992
2019-03-12 00:00:00-04:00,765316992
2019-03-14 00:00:00-04:00,765316992
2019-03-17 00:00:00-04:00,765316992
2019-03-19 00:00:00-04:00,765316992
2019-03-26 00:00:00-04:00,765316992
2019-03-29 00:00:00-04:00,765316992
2019-04-01 00:00:00-04:00,765316992
2019-04-05 00:00:00-04:00,765316992
2019-04-06 00:00:00-04:00,765316992
2019-04-09 00:00:00-04:00,765316992
2019-04-10 00:00:00-04:00,765316992
2019-04-14 00:00:00-04:00,763494016
2019-04-16 00:00:00-04:00,763494016
2019-04-17 00:00:00-04:00,763494016
2019-04-18 00:00:00-04:00,763494016
2019-04-21 00:00:00-04:00,763494016
2019-04-22 00:00:00-04:00,763494016
2019-04-29 00:00:00-04:00,763494016
2019-04-30 00:00:00-04:00,763494016
2019-05-02 00:00:00-04:00,763494016
2019-05-04 00:00:00-04:00,763494016
2019-05-05 00:00:00-04:00,763494016
2019-05-08 00:00:00-04:00,763494016
2019-05-09 00:00:00-04:00,763494016
2019-05-10 00:00:00-04:00,763494016
2019-05-12 00:00:00-04:00,763555968
2019-05-14 00:00:00-04:00,763555968
2019-05-19 00:00:00-04:00,763555968
2019-05-21 00:00:00-04:00,763555968
2019-05-22 00:00:00-04:00,763555968
2019-05-24 00:00:00-04:00,763555968
2019-05-28 00:00:00-04:00,763555968
2019-06-02 00:00:00-04:00,763555968
