

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-18480000.0,0.11,19039000000.0,-168000000.0,-168000000.0,13465000000.0,3637000000.0,7308000000.0,18871000000.0,15234000000.0,427000000.0,128000000.0,540000000.0,13614520000.0,13465000000.0,24224000000.0,14847000000.0,2610000000.0,2534000000.0,5.16,5.31,13465000000.0,,13465000000.0,13465000000.0,13465000000.0,13465000000.0,1641000000.0,15106000000.0,-168000000.0,-168000000.0,427000000.0,-15000000.0,128000000.0,540000000.0,14847000000.0,16916000000.0,10537000000.0,6379000000.0,2721000000.0,3658000000.0,3658000000.0,31763000000.0,7308000000.0,39071000000.0,38682000000.0
2024-03-31,-32560000.0,0.22,17832000000.0,-148000000.0,-148000000.0,12369000000.0,3374000000.0,6640000000.0,17684000000.0,14310000000.0,513000000.0,127000000.0,585000000.0,12484440000.0,12369000000.0,22637000000.0,13818000000.0,2625000000.0,2545000000.0,4.71,4.86,12369000000.0,,12369000000.0,12369000000.0,12369000000.0,12369000000.0,1814000000.0,14183000000.0,-148000000.0,-148000000.0,513000000.0,-55000000.0,127000000.0,585000000.0,13818000000.0,15997000000.0,9978000000.0,6019000000.0,2564000000.0,3455000000.0,3455000000.0,29815000000.0,6640000000.0,36455000000.0,36075000000.0
2023-12-31,-10126137.918724,0.166002,20176000000.0,-61000000.0,-61000000.0,14017000000.0,3172000000.0,7695000000.0,20115000000.0,16943000000.0,484000000.0,136000000.0,588000000.0,14067873862.081276,14017000000.0,23727000000.0,16384000000.0,2630000000.0,2566000000.0,5.33,5.46,14017000000.0,,14017000000.0,14017000000.0,14017000000.0,14017000000.0,2790000000.0,16807000000.0,-61000000.0,-61000000.0,484000000.0,-32000000.0,136000000.0,588000000.0,16384000000.0,16032000000.0,10517000000.0,5515000000.0,3226000000.0,2289000000.0,2289000000.0,32416000000.0,7695000000.0,40111000000.0,39777000000.0
2023-09-30,-16660000.0,0.17,17116000000.0,-98000000.0,-98000000.0,11583000000.0,2859000000.0,6210000000.0,17018000000.0,14159000000.0,370000000.0,139000000.0,534000000.0,11664340000.0,11583000000.0,20398000000.0,13748000000.0,2641000000.0,2576000000.0,4.39,4.5,11583000000.0,,11583000000.0,11583000000.0,11583000000.0,11583000000.0,2437000000.0,14020000000.0,-98000000.0,-98000000.0,370000000.0,25000000.0,139000000.0,534000000.0,13748000000.0,14188000000.0,9241000000.0,4947000000.0,2877000000.0,2070000000.0,2070000000.0,27936000000.0,6210000000.0,34146000000.0,33853000000.0
2023-06-30,-23200000.0,0.16,12177000000.0,-145000000.0,-145000000.0,7788000000.0,2623000000.0,5945000000.0,12032000000.0,9409000000.0,46000000.0,116000000.0,323000000.0,7909800000.0,7788000000.0,22607000000.0,9392000000.0,2612000000.0,2568000000.0,2.98,3.03,7788000000.0,,7788000000.0,7788000000.0,7788000000.0,7788000000.0,1505000000.0,9293000000.0,-145000000.0,-145000000.0,46000000.0,161000000.0,116000000.0,323000000.0,9392000000.0,16662000000.0,9344000000.0,7318000000.0,3154000000.0,4164000000.0,4164000000.0,26054000000.0,5945000000.0,31999000000.0,31774000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,801000000.0,,,,,,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,13465000000.0
2024-03-31,12369000000.0
2023-12-31,14017000000.0
2023-09-30,11583000000.0
2023-06-30,7788000000.0
2023-03-31,


Shares Outstanding
,0
2022-06-09 00:00:00-04:00,2706319872
2022-07-30 00:00:00-04:00,2687549952
2022-08-01 00:00:00-04:00,2687549952
2022-08-03 00:00:00-04:00,2683190016
2022-08-05 00:00:00-04:00,2659660032
2022-08-06 00:00:00-04:00,2687549952
2022-08-09 00:00:00-04:00,2637979904
2022-08-10 00:00:00-04:00,2687549952
2022-09-02 00:00:00-04:00,2687549952
2022-10-12 00:00:00-04:00,2797319936
2022-10-13 00:00:00-04:00,2687549952
2022-10-29 00:00:00-04:00,2651549952
2022-11-08 00:00:00-05:00,2488979968
2022-11-10 00:00:00-05:00,2651549952
2022-12-03 00:00:00-05:00,2772559872
2022-12-04 00:00:00-05:00,2651549952
2022-12-16 00:00:00-05:00,2658200064
2023-01-06 00:00:00-05:00,2622200064
2023-02-06 00:00:00-05:00,2592640000
2023-03-18 00:00:00-04:00,2716169984
2023-03-21 00:00:00-04:00,2592640000
2023-03-25 00:00:00-04:00,2592640000
2023-03-25 00:00:00-04:00,2570870016
2023-03-30 00:00:00-04:00,2652969984
2023-04-01 00:00:00-04:00,2592640000
2023-04-04 00:00:00-04:00,2579500032
2023-04-05 00:00:00-04:00,2612720128
2023-04-06 00:00:00-04:00,2632359936
2023-04-07 00:00:00-04:00,2592640000
2023-04-07 00:00:00-04:00,2576079872
2023-04-18 00:00:00-04:00,2565360128
2023-04-25 00:00:00-04:00,2564160000
2023-04-27 00:00:00-04:00,2565360128
2023-04-29 00:00:00-04:00,2562729984
2023-05-02 00:00:00-04:00,2562729984
2023-05-04 00:00:00-04:00,2586629888
2023-05-06 00:00:00-04:00,2562729984
2023-05-11 00:00:00-04:00,2565920000
2023-05-14 00:00:00-04:00,2554729984
2023-05-16 00:00:00-04:00,2562729984
2023-06-09 00:00:00-04:00,2626080000
2023-06-13 00:00:00-04:00,2562729984
2023-06-23 00:00:00-04:00,2587209984
2023-06-25 00:00:00-04:00,2562729984
2023-07-05 00:00:00-04:00,2570350080
2023-07-06 00:00:00-04:00,2497440000
2023-07-07 00:00:00-04:00,2562729984
2023-07-12 00:00:00-04:00,2599239936
2023-07-13 00:00:00-04:00,2562729984
2023-07-19 00:00:00-04:00,2574530048
2023-07-21 00:00:00-04:00,2562729984
2023-08-21 00:00:00-04:00,2573159936
2023-08-23 00:00:00-04:00,2593740032
2023-08-24 00:00:00-04:00,2573159936
2023-09-09 00:00:00-04:00,2579899904
2023-09-12 00:00:00-04:00,2573159936
2023-09-16 00:00:00-04:00,2670929920
2023-09-17 00:00:00-04:00,2573159936
2023-09-26 00:00:00-04:00,2573159936
2023-09-26 00:00:00-04:00,2558190080
2023-10-10 00:00:00-04:00,2573159936
2023-10-11 00:00:00-04:00,2545339904
2023-10-11 00:00:00-04:00,2573159936
2023-10-13 00:00:00-04:00,2573159936
2023-10-13 00:00:00-04:00,2602210048
2023-10-14 00:00:00-04:00,2573159936
2023-10-14 00:00:00-04:00,2650599936
2023-10-15 00:00:00-04:00,2573159936
2023-10-17 00:00:00-04:00,2573159936
2023-10-17 00:00:00-04:00,2550840064
2023-10-18 00:00:00-04:00,2573159936
2023-10-19 00:00:00-04:00,2573159936
2023-10-19 00:00:00-04:00,2630230016
2023-10-20 00:00:00-04:00,2573159936
2023-10-20 00:00:00-04:00,2607379968
2023-10-21 00:00:00-04:00,2573159936
2023-10-24 00:00:00-04:00,2573159936
2023-10-25 00:00:00-04:00,2573159936
2023-10-25 00:00:00-04:00,2585179904
2023-10-27 00:00:00-04:00,2569860096
2023-10-28 00:00:00-04:00,2569860096
2023-11-01 00:00:00-04:00,2569860096
2023-11-02 00:00:00-04:00,2569860096
2023-11-03 00:00:00-04:00,2569860096
2023-11-04 00:00:00-04:00,2539389952
2023-11-04 00:00:00-04:00,2569860096
2023-11-07 00:00:00-05:00,2569860096
2023-11-08 00:00:00-05:00,2545920000
2023-11-09 00:00:00-05:00,2569860096
2023-11-14 00:00:00-05:00,2569860096
