

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Other Taxes,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,20370000.0,0.21,3426000000.0,97000000.0,97000000.0,1622000000.0,1471000000.0,2389000000.0,3523000000.0,2052000000.0,-820000000.0,820000000.0,1545370000.0,1622000000.0,4428000000.0,1670000000.0,2058200000.0,2052500000.0,0.79,0.79,1622000000.0,1622000000.0,1622000000.0,326000000.0,1296000000.0,1296000000.0,-64000000.0,1232000000.0,411000000.0,155000000.0,70000000.0,29000000.0,-41000000.0,159000000.0,27000000.0,-820000000.0,,820000000.0,1641000000.0,1977000000.0,568000000.0,1409000000.0,1409000000.0,3618000000.0,2451000000.0,6069000000.0,6069000000.0
2024-03-31,26985000.0,0.105,3218000000.0,257000000.0,257000000.0,2268000000.0,988000000.0,2239000000.0,3475000000.0,2487000000.0,-323000000.0,323000000.0,2037985000.0,2268000000.0,3776000000.0,2013000000.0,2055200000.0,2051500000.0,1.1,1.11,2268000000.0,2268000000.0,2268000000.0,331000000.0,1937000000.0,1937000000.0,227000000.0,2164000000.0,532000000.0,72000000.0,114000000.0,58000000.0,-56000000.0,203000000.0,143000000.0,-323000000.0,,323000000.0,1955000000.0,1447000000.0,549000000.0,898000000.0,898000000.0,3402000000.0,2329000000.0,5731000000.0,5731000000.0
2023-12-31,95867036.01108,0.155125,4126000000.0,618000000.0,618000000.0,1210000000.0,1681000000.0,2393000000.0,4744000000.0,3063000000.0,-1980000000.0,1980000000.0,687867036.01108,1210000000.0,4612000000.0,2660000000.0,2054000000.0,2050847458.0,0.589094,0.59,1210000000.0,1210000000.0,1210000000.0,295000000.0,915000000.0,915000000.0,168000000.0,1083000000.0,797000000.0,106000000.0,450000000.0,394000000.0,-56000000.0,73000000.0,168000000.0,-1980000000.0,,1980000000.0,2266000000.0,2145000000.0,538000000.0,1607000000.0,1607000000.0,4411000000.0,2467000000.0,6878000000.0,6878000000.0
2023-09-30,-3990000.0,0.21,3044000000.0,-19000000.0,-19000000.0,1219000000.0,2026000000.0,2681000000.0,3025000000.0,999000000.0,-26000000.0,26000000.0,1234010000.0,1219000000.0,5343000000.0,1836000000.0,2036200000.0,2031300000.0,0.6,0.6,1219000000.0,1219000000.0,1219000000.0,200000000.0,1019000000.0,1019000000.0,-46000000.0,973000000.0,-830000000.0,143000000.0,50000000.0,7000000.0,-43000000.0,-954000000.0,-69000000.0,-26000000.0,26000000.0,26000000.0,1829000000.0,2593000000.0,636000000.0,1957000000.0,1957000000.0,4422000000.0,2750000000.0,7172000000.0,7172000000.0
2023-06-30,21269846.455407,0.162365,4616000000.0,131000000.0,131000000.0,2795000000.0,1551000000.0,2429000000.0,4747000000.0,3196000000.0,-135000000.0,135000000.0,2685269846.455407,2795000000.0,4556000000.0,2799000000.0,2027200000.0,2022000000.0,1.38,1.38,2795000000.0,2795000000.0,2795000000.0,231000000.0,2564000000.0,2564000000.0,497000000.0,3061000000.0,403000000.0,140000000.0,37000000.0,6000000.0,-31000000.0,132000000.0,94000000.0,-135000000.0,,135000000.0,2793000000.0,2070000000.0,576000000.0,1494000000.0,1494000000.0,4863000000.0,2486000000.0,7349000000.0,7349000000.0


Net Income
,Net Income
2024-06-30,1622000000.0
2024-03-31,2268000000.0
2023-12-31,1210000000.0
2023-09-30,1219000000.0
2023-06-30,2795000000.0


Shares Outstanding
,0
2015-10-30 00:00:00-04:00,460536000
2016-02-22 00:00:00-05:00,460600000
2016-04-01 00:00:00-04:00,461433000
2016-07-29 00:00:00-04:00,461973000
2016-08-01 00:00:00-04:00,461996000
2016-09-15 00:00:00-04:00,461970000
2016-11-01 00:00:00-04:00,467270000
2016-11-08 00:00:00-05:00,467582000
2016-11-08 00:00:00-05:00,467270000
2017-03-03 00:00:00-05:00,467580000
2017-03-27 00:00:00-04:00,468160000
2017-03-27 00:00:00-04:00,468163008
2017-03-27 00:00:00-04:00,468168000
2017-04-27 00:00:00-04:00,468160000
2017-04-27 00:00:00-04:00,469233984
2017-07-26 00:00:00-04:00,471604992
2017-07-26 00:00:00-04:00,470793984
2017-07-26 00:00:00-04:00,477944992
2017-07-26 00:00:00-04:00,471436992
2017-07-26 00:00:00-04:00,469233984
2017-07-26 00:00:00-04:00,470398016
2017-07-26 00:00:00-04:00,471436000
2018-11-14 00:00:00-05:00,477944992
2018-11-15 00:00:00-05:00,477944992
2018-11-19 00:00:00-05:00,477944992
2018-11-21 00:00:00-05:00,477944992
2018-11-22 00:00:00-05:00,477944992
2018-11-26 00:00:00-05:00,477944992
2018-11-28 00:00:00-05:00,477944992
2018-11-29 00:00:00-05:00,477944992
2018-12-02 00:00:00-05:00,477944992
2018-12-03 00:00:00-05:00,477944992
2018-12-04 00:00:00-05:00,477944992
2018-12-06 00:00:00-05:00,477944992
2018-12-07 00:00:00-05:00,477944992
2018-12-10 00:00:00-05:00,477944992
2018-12-11 00:00:00-05:00,477944992
2018-12-12 00:00:00-05:00,477944992
2018-12-14 00:00:00-05:00,477944992
2018-12-16 00:00:00-05:00,477944992
2018-12-17 00:00:00-05:00,477944992
2018-12-19 00:00:00-05:00,477944992
2018-12-21 00:00:00-05:00,477944992
2018-12-30 00:00:00-05:00,477944992
2019-01-05 00:00:00-05:00,477944992
2019-01-07 00:00:00-05:00,477944992
2019-01-09 00:00:00-05:00,477944992
2019-01-10 00:00:00-05:00,477944992
2019-01-12 00:00:00-05:00,477944992
2019-01-14 00:00:00-05:00,477944992
2019-01-16 00:00:00-05:00,477944992
2019-01-20 00:00:00-05:00,477944992
2019-01-24 00:00:00-05:00,477944992
2019-01-25 00:00:00-05:00,477944992
2019-01-26 00:00:00-05:00,477944992
2019-01-28 00:00:00-05:00,477944992
2019-01-30 00:00:00-05:00,477944992
2019-02-04 00:00:00-05:00,477944992
2019-02-07 00:00:00-05:00,477944992
2019-02-10 00:00:00-05:00,477944992
2019-02-13 00:00:00-05:00,477944992
2019-02-15 00:00:00-05:00,477944992
2019-02-17 00:00:00-05:00,478168000
2019-02-18 00:00:00-05:00,478168000
2019-02-20 00:00:00-05:00,478167008
2019-02-28 00:00:00-05:00,478168000
2019-03-01 00:00:00-05:00,478168000
2019-03-07 00:00:00-05:00,478168000
2019-03-09 00:00:00-05:00,478168000
2019-03-10 00:00:00-05:00,478168000
2019-03-11 00:00:00-04:00,478168000
2019-03-14 00:00:00-04:00,478168000
2019-03-17 00:00:00-04:00,478168000
2019-03-26 00:00:00-04:00,478168000
2019-03-29 00:00:00-04:00,478168000
2019-04-01 00:00:00-04:00,478168000
2019-04-05 00:00:00-04:00,478168000
2019-04-09 00:00:00-04:00,478892992
2019-04-10 00:00:00-04:00,478892992
2019-04-14 00:00:00-04:00,478892992
2019-04-17 00:00:00-04:00,478892992
2019-04-18 00:00:00-04:00,478892992
2019-04-21 00:00:00-04:00,478892992
2019-04-22 00:00:00-04:00,478892992
2019-04-29 00:00:00-04:00,478935008
2019-05-02 00:00:00-04:00,478935008
2019-05-05 00:00:00-04:00,478935008
2019-05-06 00:00:00-04:00,478935008
2019-05-09 00:00:00-04:00,478935008
2019-05-10 00:00:00-04:00,478935008
2019-05-12 00:00:00-04:00,478935008
2019-05-19 00:00:00-04:00,478935008
2019-05-22 00:00:00-04:00,478935008
2019-05-23 00:00:00-04:00,478935008
