

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,0.0,0.13,6689912000.0,2363509000.0,3780435000.0,5119884000.0,6689912000.0,2909477000.0,-206523000.0,206523000.0,,2363509000.0,2363509000.0,6915226000.0,2909477000.0,437898000.0,428239000.0,5.4,5.52,2363509000.0,2363509000.0,2363509000.0,2363509000.0,2363509000.0,339445000.0,2702954000.0,-206523000.0,206523000.0,,2909477000.0,1795342000.0,735063000.0,1060279000.0,642926000.0,417353000.0,417353000.0,4704819000.0,5119884000.0,9824703000.0,9824703000.0
2024-06-30,0.0,0.15,6532759000.0,2147306000.0,3850917000.0,5174143000.0,6532759000.0,2681842000.0,-88981000.0,167986000.0,79005000.0,2147306000.0,2147306000.0,6956473000.0,2602837000.0,439739000.0,430065000.0,4.88,4.99,2147306000.0,2147306000.0,2147306000.0,2147306000.0,2147306000.0,366550000.0,2513856000.0,-88981000.0,167986000.0,79005000.0,2602837000.0,1782330000.0,711254000.0,1071076000.0,644084000.0,426992000.0,426992000.0,4385167000.0,5174143000.0,9559310000.0,9559310000.0
2024-03-31,0.0,0.11,6545932000.0,2332209000.0,3758039000.0,4977073000.0,6545932000.0,2787893000.0,-17955000.0,173314000.0,155359000.0,2332209000.0,2332209000.0,6737906000.0,2632534000.0,441654000.0,432090000.0,5.28,5.4,2332209000.0,2332209000.0,2332209000.0,2332209000.0,2332209000.0,282370000.0,2614579000.0,-17955000.0,173314000.0,155359000.0,2632534000.0,1760833000.0,702473000.0,1058360000.0,654340000.0,404020000.0,404020000.0,4393367000.0,4977073000.0,9370440000.0,9370440000.0
2023-12-31,0.0,0.183175,5212780000.0,937838000.0,3840646000.0,5307485000.0,5212780000.0,1372134000.0,-347959000.0,223984000.0,,937838000.0,937838000.0,7336716000.0,1496109000.0,444292000.0,435923000.0,2.11,2.15,937838000.0,937838000.0,937838000.0,937838000.0,937838000.0,210312000.0,1148150000.0,-347959000.0,223984000.0,,1496109000.0,2029231000.0,673341000.0,1355890000.0,916617000.0,439273000.0,439273000.0,3525340000.0,5307485000.0,8832825000.0,8832825000.0
2023-09-30,0.0,0.12,5748625000.0,1677422000.0,3664013000.0,4930788000.0,5748625000.0,2084612000.0,-7345000.0,175563000.0,168218000.0,1677422000.0,1677422000.0,6625274000.0,1916394000.0,450011000.0,441537000.0,3.73,3.8,1677422000.0,1677422000.0,1677422000.0,1677422000.0,1677422000.0,231627000.0,1909049000.0,-7345000.0,175563000.0,168218000.0,1916394000.0,1694486000.0,657159000.0,1037327000.0,558736000.0,478591000.0,478591000.0,3610880000.0,4930788000.0,8541668000.0,8541668000.0
2023-06-30,,,,,,,,,,,26961000.0,,,,,,,,,,,,,,,,,,26961000.0,,,,,,,,,,,


Net Income
,Net Income
2024-09-30,2363509000.0
2024-06-30,2147306000.0
2024-03-31,2332209000.0
2023-12-31,937838000.0
2023-09-30,1677422000.0
2023-06-30,


Shares Outstanding
,0
2015-10-16 00:00:00-04:00,427388000
2016-01-28 00:00:00-05:00,428081000
2016-02-24 00:00:00-05:00,428080000
2016-04-20 00:00:00-04:00,428289000
2016-04-23 00:00:00-04:00,428290000
2016-05-01 00:00:00-04:00,428300000
2016-07-19 00:00:00-04:00,428725000
2016-07-24 00:00:00-04:00,428730000
2016-10-25 00:00:00-04:00,429150000
2017-01-27 00:00:00-05:00,430412000
2017-02-02 00:00:00-05:00,430409984
2017-02-02 00:00:00-05:00,430410000
2017-04-20 00:00:00-04:00,431000000
2017-04-20 00:00:00-04:00,431004000
2017-04-24 00:00:00-04:00,431000000
2017-04-27 00:00:00-04:00,431000000
2017-07-19 00:00:00-04:00,436084992
2017-07-19 00:00:00-04:00,434692992
2017-07-19 00:00:00-04:00,432731008
2017-07-19 00:00:00-04:00,431750016
2017-07-19 00:00:00-04:00,435457984
2017-07-19 00:00:00-04:00,433948000
2017-07-19 00:00:00-04:00,435456992
2017-07-19 00:00:00-04:00,434656992
2018-11-14 00:00:00-05:00,436084992
2018-11-16 00:00:00-05:00,436084992
2018-11-21 00:00:00-05:00,436084992
2018-11-22 00:00:00-05:00,436084992
2018-12-05 00:00:00-05:00,436084992
2018-12-06 00:00:00-05:00,436084992
2018-12-07 00:00:00-05:00,436084992
2018-12-11 00:00:00-05:00,436084992
2018-12-12 00:00:00-05:00,436084992
2018-12-19 00:00:00-05:00,436084992
2019-01-05 00:00:00-05:00,436084992
2019-01-12 00:00:00-05:00,436084992
2019-01-14 00:00:00-05:00,436084992
2019-01-16 00:00:00-05:00,436084992
2019-01-20 00:00:00-05:00,436084992
2019-01-24 00:00:00-05:00,436084992
2019-01-25 00:00:00-05:00,436084992
2019-01-30 00:00:00-05:00,436084992
2019-02-04 00:00:00-05:00,436599008
2019-02-07 00:00:00-05:00,436599008
2019-02-11 00:00:00-05:00,436599008
2019-02-14 00:00:00-05:00,436599008
2019-02-15 00:00:00-05:00,436599008
2019-02-17 00:00:00-05:00,436599008
2019-02-18 00:00:00-05:00,436599008
2019-02-20 00:00:00-05:00,436599008
2019-02-28 00:00:00-05:00,436599008
2019-03-01 00:00:00-05:00,436599008
2019-03-07 00:00:00-05:00,436599008
2019-03-09 00:00:00-05:00,436599008
2019-03-10 00:00:00-05:00,436599008
2019-03-11 00:00:00-04:00,436599008
2019-03-14 00:00:00-04:00,436599008
2019-03-15 00:00:00-04:00,436599008
2019-03-17 00:00:00-04:00,436599008
2019-03-18 00:00:00-04:00,436599008
2019-03-26 00:00:00-04:00,436599008
2019-03-27 00:00:00-04:00,436599008
2019-03-29 00:00:00-04:00,436599008
2019-03-30 00:00:00-04:00,436599008
2019-04-01 00:00:00-04:00,436599008
2019-04-02 00:00:00-04:00,436599008
2019-04-05 00:00:00-04:00,436599008
2019-04-09 00:00:00-04:00,436599008
2019-04-11 00:00:00-04:00,436599008
2019-04-14 00:00:00-04:00,436599008
2019-04-15 00:00:00-04:00,436599008
2019-04-17 00:00:00-04:00,436599008
2019-04-19 00:00:00-04:00,436599008
2019-04-21 00:00:00-04:00,437192000
2019-04-23 00:00:00-04:00,437192000
2019-04-29 00:00:00-04:00,437220000
2019-05-01 00:00:00-04:00,437220000
2019-05-02 00:00:00-04:00,437220000
2019-05-03 00:00:00-04:00,437220000
