

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-07-31,0.0,0.136,19708000000.0,,,16599000000.0,433000000.0,7466000000.0,19708000000.0,19275000000.0,383000000.0,61000000.0,444000000.0,16599000000.0,16599000000.0,11398000000.0,18642000000.0,24848000000.0,24578000000.0,0.67,0.68,16599000000.0,16599000000.0,16599000000.0,16599000000.0,16599000000.0,2615000000.0,19214000000.0,189000000.0,189000000.0,,,383000000.0,61000000.0,444000000.0,18642000000.0,3932000000.0,3090000000.0,842000000.0,22574000000.0,7466000000.0,30040000000.0,30040000000.0
2024-04-30,0.0,0.139,17753000000.0,,,14881000000.0,410000000.0,5638000000.0,17753000000.0,17343000000.0,295000000.0,64000000.0,359000000.0,14881000000.0,14881000000.0,9135000000.0,16909000000.0,24890000000.0,24620000000.0,0.598,0.604,14881000000.0,14881000000.0,14881000000.0,14881000000.0,14881000000.0,2398000000.0,17279000000.0,75000000.0,75000000.0,,,295000000.0,64000000.0,359000000.0,16909000000.0,3497000000.0,2720000000.0,777000000.0,20406000000.0,5638000000.0,26044000000.0,26044000000.0
2024-01-31,0.0,0.129094,14556000000.0,0.0,0.0,12285000000.0,387000000.0,5312000000.0,14556000000.0,14169000000.0,231000000.0,63000000.0,294000000.0,12285000000.0,12285000000.0,8489000000.0,13614000000.0,,,,,12285000000.0,12285000000.0,12285000000.0,12285000000.0,12285000000.0,1821000000.0,14106000000.0,261000000.0,261000000.0,0.0,0.0,231000000.0,63000000.0,294000000.0,13614000000.0,3177000000.0,2465000000.0,712000000.0,16791000000.0,5312000000.0,22103000000.0,22103000000.0
2023-10-31,0.0,0.122,10957000000.0,0.0,0.0,9243000000.0,372000000.0,4720000000.0,10957000000.0,10585000000.0,171000000.0,63000000.0,234000000.0,9243000000.0,9243000000.0,7703000000.0,10417000000.0,24940000000.0,24680000000.0,0.371,0.375,9243000000.0,9243000000.0,9243000000.0,9243000000.0,9243000000.0,1279000000.0,10522000000.0,-66000000.0,-66000000.0,0.0,0.0,171000000.0,63000000.0,234000000.0,10417000000.0,2983000000.0,2294000000.0,689000000.0,13400000000.0,4720000000.0,18120000000.0,18120000000.0
2023-07-31,0.0,0.137,7411000000.0,0.0,0.0,6188000000.0,365000000.0,4045000000.0,7411000000.0,7046000000.0,122000000.0,65000000.0,187000000.0,6188000000.0,6188000000.0,6707000000.0,6800000000.0,24994000000.0,24729000000.0,0.25,0.25,6188000000.0,6188000000.0,6188000000.0,6188000000.0,6188000000.0,793000000.0,6981000000.0,59000000.0,59000000.0,0.0,0.0,122000000.0,65000000.0,187000000.0,6800000000.0,2662000000.0,2040000000.0,622000000.0,9462000000.0,4045000000.0,13507000000.0,13507000000.0
2023-04-30,,,,0.0,0.0,,,,,,,,,,,,,24900000000.0,24700000000.0,0.082,0.083,,,,,,,,,,0.0,0.0,,,,,,,,,,,
2023-01-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,


Net Income
,Net Income
2024-07-31,16599000000.0
2024-04-30,14881000000.0
2024-01-31,12285000000.0
2023-10-31,9243000000.0
2023-07-31,6188000000.0
2023-04-30,
2023-01-31,


Shares Outstanding
,0
2015-11-18 00:00:00-05:00,538000000
2016-04-08 00:00:00-04:00,544549000
2016-05-25 00:00:00-04:00,534000000
2016-08-23 00:00:00-04:00,535000000
2016-08-23 00:00:00-04:00,539000000
2016-11-23 00:00:00-05:00,539000000
2017-03-02 00:00:00-05:00,594537000
2017-03-02 00:00:00-05:00,589000000
2017-04-10 00:00:00-04:00,594537024
2017-04-10 00:00:00-04:00,595000000
2017-05-23 00:00:00-04:00,595000000
2017-08-24 00:00:00-04:00,600000000
2017-08-24 00:00:00-04:00,606000000
2017-08-24 00:00:00-04:00,608000000
2017-08-24 00:00:00-04:00,607036032
2017-08-24 00:00:00-04:00,605000000
2017-08-24 00:00:00-04:00,607000000
2018-11-14 00:00:00-05:00,608000000
2018-11-15 00:00:00-05:00,608000000
2018-11-21 00:00:00-05:00,610000000
2018-11-22 00:00:00-05:00,610000000
2018-12-04 00:00:00-05:00,610000000
2018-12-06 00:00:00-05:00,610000000
2018-12-07 00:00:00-05:00,610000000
2018-12-11 00:00:00-05:00,610000000
2018-12-12 00:00:00-05:00,610000000
2018-12-16 00:00:00-05:00,610000000
2018-12-19 00:00:00-05:00,610000000
2019-01-05 00:00:00-05:00,610000000
2019-01-09 00:00:00-05:00,610000000
2019-01-12 00:00:00-05:00,610000000
2019-01-16 00:00:00-05:00,610000000
2019-01-25 00:00:00-05:00,610000000
2019-01-26 00:00:00-05:00,610000000
2019-01-30 00:00:00-05:00,610000000
2019-02-07 00:00:00-05:00,610000000
2019-02-13 00:00:00-05:00,610000000
2019-02-15 00:00:00-05:00,610000000
2019-02-17 00:00:00-05:00,610000000
2019-02-20 00:00:00-05:00,610000000
2019-02-28 00:00:00-05:00,606000000
2019-03-07 00:00:00-05:00,606000000
2019-03-10 00:00:00-05:00,606000000
2019-03-14 00:00:00-04:00,606000000
2019-03-17 00:00:00-04:00,606000000
2019-03-26 00:00:00-04:00,606000000
2019-03-29 00:00:00-04:00,606000000
2019-04-01 00:00:00-04:00,606000000
2019-04-05 00:00:00-04:00,608494016
2019-04-06 00:00:00-04:00,608494016
2019-04-09 00:00:00-04:00,608494016
2019-04-10 00:00:00-04:00,608494016
2019-04-14 00:00:00-04:00,608494016
2019-04-16 00:00:00-04:00,608494016
2019-04-17 00:00:00-04:00,608494016
2019-04-18 00:00:00-04:00,608494016
2019-04-21 00:00:00-04:00,608494016
2019-04-22 00:00:00-04:00,608494016
2019-04-29 00:00:00-04:00,608494016
2019-04-30 00:00:00-04:00,608494016
2019-05-02 00:00:00-04:00,608494016
2019-05-04 00:00:00-04:00,608494016
2019-05-05 00:00:00-04:00,608494016
2019-05-08 00:00:00-04:00,608494016
2019-05-09 00:00:00-04:00,608494016
2019-05-10 00:00:00-04:00,608494016
2019-05-12 00:00:00-04:00,608494016
2019-05-14 00:00:00-04:00,608494016
2019-05-19 00:00:00-04:00,609000000
2019-05-22 00:00:00-04:00,609000000
2019-05-28 00:00:00-04:00,609000000
2019-06-03 00:00:00-04:00,609000000
2019-06-05 00:00:00-04:00,609000000
2019-06-10 00:00:00-04:00,609000000
2019-06-11 00:00:00-04:00,609000000
2019-06-17 00:00:00-04:00,609000000
2019-06-19 00:00:00-04:00,609000000
2019-06-21 00:00:00-04:00,609000000
2019-06-23 00:00:00-04:00,609000000
2019-06-27 00:00:00-04:00,609000000
2019-07-16 00:00:00-04:00,607764992
2019-07-17 00:00:00-04:00,609000000
2019-07-18 00:00:00-04:00,618585984
2019-07-18 00:00:00-04:00,609000000
2019-09-02 00:00:00-04:00,586131968
2019-09-08 00:00:00-04:00,567561984
2019-09-09 00:00:00-04:00,571025024
