

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,0.0,0.203,4812000000.0,,,2930000000.0,899000000.0,10396000000.0,4812000000.0,3913000000.0,-219000000.0,219000000.0,2930000000.0,2930000000.0,19447000000.0,3872000000.0,1378000000.0,1373000000.0,2.13,2.13,2930000000.0,0.0,2930000000.0,2930000000.0,-15000000.0,2945000000.0,2945000000.0,749000000.0,3694000000.0,41000000.0,41000000.0,,,,-219000000.0,219000000.0,3872000000.0,9051000000.0,9051000000.0,12923000000.0,10396000000.0,23319000000.0,23319000000.0
2024-06-30,0.0,0.201,4993000000.0,,,3083000000.0,889000000.0,9919000000.0,4993000000.0,4104000000.0,-234000000.0,234000000.0,3083000000.0,3083000000.0,18453000000.0,4048000000.0,1379000000.0,1375000000.0,2.23,2.24,3083000000.0,0.0,3083000000.0,3083000000.0,-11000000.0,3094000000.0,3094000000.0,776000000.0,3870000000.0,56000000.0,56000000.0,,,,-234000000.0,234000000.0,4048000000.0,8534000000.0,8534000000.0,12582000000.0,9919000000.0,22501000000.0,22501000000.0
2024-03-31,0.0,0.202,3543000000.0,,,2042000000.0,768000000.0,8248000000.0,3543000000.0,2775000000.0,-202000000.0,202000000.0,2042000000.0,2042000000.0,15533000000.0,2717000000.0,1380000000.0,1375000000.0,1.48,1.49,2042000000.0,0.0,2042000000.0,2042000000.0,-11000000.0,2053000000.0,2053000000.0,520000000.0,2573000000.0,58000000.0,58000000.0,,,,-202000000.0,202000000.0,2717000000.0,7285000000.0,7285000000.0,10002000000.0,8248000000.0,18250000000.0,18250000000.0
2023-12-31,-125563600.782779,0.136334,3832000000.0,-921000000.0,-921000000.0,1302000000.0,1161000000.0,13097000000.0,2911000000.0,1750000000.0,-217000000.0,217000000.0,2097436399.217221,1302000000.0,25246000000.0,1683000000.0,1381000000.0,1374000000.0,0.94,0.947598,1302000000.0,,1302000000.0,1302000000.0,-22000000.0,1324000000.0,1324000000.0,209000000.0,1533000000.0,-854000000.0,67000000.0,-921000000.0,921000000.0,0.0,-217000000.0,217000000.0,2604000000.0,12149000000.0,12149000000.0,14753000000.0,13097000000.0,27850000000.0,27850000000.0
2023-09-30,0.0,0.196,4918000000.0,-6000000.0,-6000000.0,3092000000.0,841000000.0,10675000000.0,4918000000.0,4077000000.0,-201000000.0,201000000.0,3092000000.0,3092000000.0,19438000000.0,4015000000.0,1383000000.0,1376000000.0,2.24,2.25,3092000000.0,0.0,3092000000.0,3092000000.0,-24000000.0,3116000000.0,3116000000.0,760000000.0,3876000000.0,62000000.0,62000000.0,-6000000.0,6000000.0,0.0,-201000000.0,201000000.0,4015000000.0,8763000000.0,8763000000.0,12778000000.0,10675000000.0,23453000000.0,23453000000.0
2023-06-30,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,
2023-03-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,


Net Income
,Net Income
2024-09-30,2930000000.0
2024-06-30,3083000000.0
2024-03-31,2042000000.0
2023-12-31,1302000000.0
2023-09-30,3092000000.0
2023-06-30,
2023-03-31,


Shares Outstanding
,0
2015-10-06 00:00:00-04:00,1456850000
2016-02-12 00:00:00-05:00,1445410000
2016-03-21 00:00:00-04:00,1461290000
2016-07-08 00:00:00-04:00,1439160000
2016-09-29 00:00:00-04:00,1434180000
2017-02-15 00:00:00-05:00,1428240000
2017-02-15 00:00:00-05:00,1427210000
2017-03-20 00:00:00-04:00,1428499968
2017-03-20 00:00:00-04:00,1428240000
2017-04-26 00:00:00-04:00,1425510016
2017-04-26 00:00:00-04:00,1428499968
2017-07-11 00:00:00-04:00,1425510016
2017-07-11 00:00:00-04:00,1422140032
2017-10-04 00:00:00-04:00,1414320000
2017-10-04 00:00:00-04:00,1419449984
2017-10-04 00:00:00-04:00,1411570048
2017-10-04 00:00:00-04:00,1419910016
2017-10-04 00:00:00-04:00,1422140032
2017-10-04 00:00:00-04:00,1417849984
2018-11-14 00:00:00-05:00,1411570048
2018-11-15 00:00:00-05:00,1411570048
2018-11-19 00:00:00-05:00,1411570048
2018-11-21 00:00:00-05:00,1411570048
2018-11-22 00:00:00-05:00,1411570048
2018-11-26 00:00:00-05:00,1411570048
2018-11-28 00:00:00-05:00,1411570048
2018-11-29 00:00:00-05:00,1411570048
2018-12-02 00:00:00-05:00,1411570048
2018-12-03 00:00:00-05:00,1411570048
2018-12-04 00:00:00-05:00,1411570048
2018-12-06 00:00:00-05:00,1411570048
2018-12-07 00:00:00-05:00,1411570048
2018-12-10 00:00:00-05:00,1411570048
2018-12-11 00:00:00-05:00,1411570048
2018-12-12 00:00:00-05:00,1411570048
2018-12-14 00:00:00-05:00,1411570048
2018-12-16 00:00:00-05:00,1411570048
2018-12-17 00:00:00-05:00,1411570048
2018-12-19 00:00:00-05:00,1411570048
2018-12-21 00:00:00-05:00,1411570048
2018-12-30 00:00:00-05:00,1411570048
2019-01-05 00:00:00-05:00,1411570048
2019-01-07 00:00:00-05:00,1411570048
2019-01-09 00:00:00-05:00,1411570048
2019-01-10 00:00:00-05:00,1411570048
2019-01-12 00:00:00-05:00,1411570048
2019-01-14 00:00:00-05:00,1411570048
2019-01-16 00:00:00-05:00,1411570048
2019-01-20 00:00:00-05:00,1411570048
2019-01-24 00:00:00-05:00,1411570048
2019-01-25 00:00:00-05:00,1411570048
2019-01-26 00:00:00-05:00,1411570048
2019-01-28 00:00:00-05:00,1411570048
2019-01-30 00:00:00-05:00,1411570048
2019-02-04 00:00:00-05:00,1411570048
2019-02-07 00:00:00-05:00,1411570048
2019-02-11 00:00:00-05:00,1411570048
2019-02-13 00:00:00-05:00,1411570048
2019-02-14 00:00:00-05:00,1411570048
2019-02-15 00:00:00-05:00,1411570048
2019-02-17 00:00:00-05:00,1408999936
2019-02-20 00:00:00-05:00,1404690048
2019-02-28 00:00:00-05:00,1404690048
2019-03-01 00:00:00-05:00,1404690048
2019-03-07 00:00:00-05:00,1404690048
2019-03-09 00:00:00-05:00,1404690048
2019-03-10 00:00:00-05:00,1404690048
2019-03-11 00:00:00-04:00,1404690048
2019-03-14 00:00:00-04:00,1404280064
2019-03-15 00:00:00-04:00,1404280064
2019-03-17 00:00:00-04:00,1404280064
2019-03-18 00:00:00-04:00,1404280064
2019-03-26 00:00:00-04:00,1404280064
2019-03-27 00:00:00-04:00,1404280064
2019-03-29 00:00:00-04:00,1404280064
2019-03-30 00:00:00-04:00,1404280064
2019-04-01 00:00:00-04:00,1404280064
2019-04-02 00:00:00-04:00,1404280064
2019-04-05 00:00:00-04:00,1404280064
2019-04-09 00:00:00-04:00,1404280064
2019-04-11 00:00:00-04:00,1404280064
2019-04-14 00:00:00-04:00,1404280064
2019-04-15 00:00:00-04:00,1404280064
