

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-417690000.0,0.21,4395000000.0,-1989000000.0,-1989000000.0,24000000.0,1731000000.0,2876000000.0,2406000000.0,675000000.0,-648000000.0,778000000.0,130000000.0,1595310000.0,41000000.0,11020000000.0,5696000000.0,5666000000.0,0.01,0.01,41000000.0,41000000.0,41000000.0,-7000000.0,48000000.0,17000000.0,31000000.0,-134000000.0,-103000000.0,-1719000000.0,230000000.0,-1647000000.0,,153000000.0,41000000.0,240000000.0,1213000000.0,40000000.0,-342000000.0,-648000000.0,778000000.0,130000000.0,2263000000.0,7720000000.0,1307000000.0,1307000000.0,1307000000.0,1307000000.0,2696000000.0,3717000000.0,9983000000.0,3300000000.0,13283000000.0,13283000000.0
2024-03-31,-33884000.0,0.086,6341000000.0,-394000000.0,-394000000.0,3120000000.0,1736000000.0,2951000000.0,5947000000.0,4211000000.0,-661000000.0,790000000.0,129000000.0,3480116000.0,3115000000.0,10675000000.0,5697000000.0,5657000000.0,0.55,0.55,3115000000.0,3115000000.0,3115000000.0,-8000000.0,3123000000.0,-5000000.0,3128000000.0,293000000.0,3421000000.0,-121000000.0,361000000.0,-419000000.0,,208000000.0,25000000.0,109000000.0,77000000.0,-88000000.0,25000000.0,-661000000.0,790000000.0,129000000.0,4203000000.0,7296000000.0,1308000000.0,1308000000.0,1308000000.0,1308000000.0,2493000000.0,3495000000.0,11499000000.0,3379000000.0,14878000000.0,14878000000.0
2023-12-31,-627297166.384112,0.192541,1487000000.0,-3258000000.0,-3258000000.0,-3343000000.0,1670000000.0,7160000000.0,-1771000000.0,-3441000000.0,-79000000.0,688000000.0,609000000.0,-712297166.384112,-3369000000.0,16220000000.0,5647000000.0,5647000000.0,-0.6,-0.6,-3369000000.0,-3369000000.0,-3369000000.0,-9000000.0,-3360000000.0,-26000000.0,-3335000000.0,-795000000.0,-4129000000.0,-2077000000.0,1030000000.0,-5557000000.0,,230000000.0,,2760000000.0,2610000000.0,151000000.0,2299000000.0,-79000000.0,688000000.0,609000000.0,-1971000000.0,8657000000.0,1267000000.0,1267000000.0,1267000000.0,1267000000.0,2815000000.0,4575000000.0,6686000000.0,7563000000.0,14249000000.0,14249000000.0
2023-09-30,-194400000.0,0.288,-422000000.0,-675000000.0,-675000000.0,-2394000000.0,1560000000.0,8888000000.0,-1097000000.0,-2657000000.0,-172000000.0,695000000.0,523000000.0,-1913400000.0,-2382000000.0,16440000000.0,5646000000.0,5646000000.0,-0.42,-0.42,-2382000000.0,-2382000000.0,-2382000000.0,-6000000.0,-2376000000.0,12000000.0,-2388000000.0,-964000000.0,-3352000000.0,30000000.0,574000000.0,-282000000.0,0.0,128000000.0,40000000.0,0.0,114000000.0,131000000.0,-393000000.0,-172000000.0,695000000.0,523000000.0,-3208000000.0,7171000000.0,1179000000.0,1179000000.0,1179000000.0,1179000000.0,2711000000.0,3281000000.0,3963000000.0,9269000000.0,13232000000.0,13232000000.0
2023-06-30,-51240000.0,0.21,4594000000.0,-244000000.0,-244000000.0,2329000000.0,1573000000.0,2848000000.0,4350000000.0,2777000000.0,-192000000.0,508000000.0,316000000.0,2521760000.0,2327000000.0,10566000000.0,5713000000.0,5646000000.0,0.41,0.41,2327000000.0,2327000000.0,2327000000.0,-11000000.0,2338000000.0,-2000000.0,2340000000.0,-71000000.0,2269000000.0,20000000.0,108000000.0,-379000000.0,-5000000.0,165000000.0,15000000.0,0.0,199000000.0,156000000.0,135000000.0,-192000000.0,508000000.0,316000000.0,2440000000.0,7329000000.0,1184000000.0,1184000000.0,1184000000.0,1184000000.0,2648000000.0,3497000000.0,9769000000.0,3237000000.0,13006000000.0,13006000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0,,-10000000.0,,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,41000000.0
2024-03-31,3115000000.0
2023-12-31,-3369000000.0
2023-09-30,-2382000000.0
2023-06-30,2327000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-24 00:00:00-05:00,6173500000
2016-03-16 00:00:00-04:00,6191880000
2016-05-12 00:00:00-04:00,6064850000
2016-08-11 00:00:00-04:00,6068360000
2016-08-11 00:00:00-04:00,6065650000
2016-11-11 00:00:00-05:00,5951870000
2016-11-11 00:00:00-05:00,6068350000
2016-11-11 00:00:00-05:00,6068360000
2017-02-23 00:00:00-05:00,5955130000
2017-02-23 00:00:00-05:00,5951870000
2017-03-17 00:00:00-04:00,5967840256
2017-03-17 00:00:00-04:00,5955129856
2017-03-17 00:00:00-04:00,5955130000
2017-05-12 00:00:00-04:00,5967840256
2017-08-10 00:00:00-04:00,5948590080
2017-08-10 00:00:00-04:00,5849569792
2017-08-10 00:00:00-04:00,5947350016
2017-08-10 00:00:00-04:00,5952860160
2017-08-10 00:00:00-04:00,5862110208
2017-08-10 00:00:00-04:00,5960710144
2017-08-10 00:00:00-04:00,5780469760
2018-11-14 00:00:00-05:00,5780469760
2018-11-15 00:00:00-05:00,5780469760
2018-11-19 00:00:00-05:00,5780469760
2018-11-21 00:00:00-05:00,5780469760
2018-11-22 00:00:00-05:00,5780469760
2018-11-26 00:00:00-05:00,5780469760
2018-11-28 00:00:00-05:00,5780469760
2018-11-29 00:00:00-05:00,5780469760
2018-12-02 00:00:00-05:00,5780469760
2018-12-03 00:00:00-05:00,5780469760
2018-12-04 00:00:00-05:00,5780469760
2018-12-06 00:00:00-05:00,5780469760
2018-12-07 00:00:00-05:00,5780469760
2018-12-09 00:00:00-05:00,5780469760
2018-12-11 00:00:00-05:00,5780469760
2018-12-12 00:00:00-05:00,5780469760
2018-12-14 00:00:00-05:00,5780469760
2018-12-16 00:00:00-05:00,5780469760
2018-12-17 00:00:00-05:00,5780469760
2018-12-19 00:00:00-05:00,5780469760
2018-12-21 00:00:00-05:00,5780469760
2018-12-30 00:00:00-05:00,5780469760
2019-01-05 00:00:00-05:00,5780469760
2019-01-07 00:00:00-05:00,5780469760
2019-01-09 00:00:00-05:00,5780469760
2019-01-10 00:00:00-05:00,5780469760
2019-01-12 00:00:00-05:00,5780469760
2019-01-14 00:00:00-05:00,5780469760
2019-01-16 00:00:00-05:00,5780469760
2019-01-20 00:00:00-05:00,5780469760
2019-01-22 00:00:00-05:00,5780469760
2019-01-25 00:00:00-05:00,5780469760
2019-01-26 00:00:00-05:00,5780469760
2019-01-28 00:00:00-05:00,5780469760
2019-01-30 00:00:00-05:00,5780469760
2019-02-04 00:00:00-05:00,5780469760
2019-02-07 00:00:00-05:00,5780469760
2019-02-11 00:00:00-05:00,5780469760
2019-02-13 00:00:00-05:00,5780469760
2019-02-14 00:00:00-05:00,5780469760
2019-02-15 00:00:00-05:00,5780469760
2019-02-17 00:00:00-05:00,5780469760
2019-02-18 00:00:00-05:00,5780469760
2019-02-20 00:00:00-05:00,5780469760
2019-02-28 00:00:00-05:00,5780469760
2019-03-01 00:00:00-05:00,5780469760
2019-03-07 00:00:00-05:00,5551799808
2019-03-09 00:00:00-05:00,5551799808
2019-03-10 00:00:00-05:00,5551799808
2019-03-11 00:00:00-04:00,5551799808
2019-03-14 00:00:00-04:00,5551799808
2019-03-15 00:00:00-04:00,5551799808
2019-03-17 00:00:00-04:00,5551799808
2019-03-18 00:00:00-04:00,5551799808
2019-03-26 00:00:00-04:00,5551799808
2019-03-27 00:00:00-04:00,5551799808
2019-03-29 00:00:00-04:00,5551799808
2019-03-30 00:00:00-04:00,5551799808
2019-04-01 00:00:00-04:00,5551799808
2019-04-02 00:00:00-04:00,5551799808
2019-04-05 00:00:00-04:00,5551799808
2019-04-09 00:00:00-04:00,5551799808
2019-04-11 00:00:00-04:00,5551799808
2019-04-14 00:00:00-04:00,5551799808
2019-04-15 00:00:00-04:00,5551799808
2019-04-17 00:00:00-04:00,5551799808
2019-04-19 00:00:00-04:00,5551799808
2019-04-21 00:00:00-04:00,5551799808
2019-04-23 00:00:00-04:00,5551799808
2019-04-29 00:00:00-04:00,5551799808
2019-05-01 00:00:00-04:00,5551799808
2019-05-02 00:00:00-04:00,5551799808
2019-05-03 00:00:00-04:00,5551799808
2019-05-05 00:00:00-04:00,5551799808
2019-05-07 00:00:00-04:00,5551799808
2019-05-09 00:00:00-04:00,5551799808
2019-05-11 00:00:00-04:00,5551799808
2019-05-12 00:00:00-04:00,5551799808
2019-05-13 00:00:00-04:00,5551799808
2019-05-19 00:00:00-04:00,5551799808
2019-05-20 00:00:00-04:00,5551799808
2019-05-22 00:00:00-04:00,5551799808
2019-05-28 00:00:00-04:00,5551799808
2019-06-01 00:00:00-04:00,5551799808
2019-06-03 00:00:00-04:00,5551799808
2019-06-04 00:00:00-04:00,5551799808
2019-06-05 00:00:00-04:00,5551799808
2019-06-06 00:00:00-04:00,5551799808
2019-06-10 00:00:00-04:00,5551799808
2019-06-11 00:00:00-04:00,5551799808
2019-06-12 00:00:00-04:00,5551799808
2019-06-17 00:00:00-04:00,5551799808
2019-06-19 00:00:00-04:00,5551799808
2019-06-21 00:00:00-04:00,5551799808
2019-06-23 00:00:00-04:00,5551799808
2019-06-24 00:00:00-04:00,5551799808
2019-06-26 00:00:00-04:00,5559929856
2019-07-01 00:00:00-04:00,5559929856
2019-07-01 00:00:00-04:00,5545849856
2019-07-03 00:00:00-04:00,5617090048
2019-07-04 00:00:00-04:00,5559929856
2019-07-05 00:00:00-04:00,5537390080
2019-07-06 00:00:00-04:00,5559929856
