

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,0.0,0.224,6106000000.0,,,3959000000.0,728000000.0,10421000000.0,6106000000.0,5378000000.0,-103000000.0,238000000.0,135000000.0,3959000000.0,3959000000.0,15940000000.0,5797000000.0,2466000000.0,2356200000.0,1.61,1.65,3887000000.0,3887000000.0,72000000.0,3959000000.0,-28000000.0,3987000000.0,3987000000.0,1152000000.0,5140000000.0,-554000000.0,-554000000.0,,,-103000000.0,238000000.0,135000000.0,5797000000.0,5519000000.0,5519000000.0,11316000000.0,10421000000.0,21737000000.0,21737000000.0
2024-06-30,0.0,0.187597,4851000000.0,0.0,0.0,3137000000.0,761000000.0,10348000000.0,4851000000.0,4090000000.0,-113000000.0,220000000.0,107000000.0,3137000000.0,3137000000.0,16647000000.0,3885000000.0,,,,,3346000000.0,3062000000.0,75000000.0,3137000000.0,-7000000.0,3144000000.0,3144000000.0,726000000.0,3870000000.0,98000000.0,98000000.0,0.0,0.0,-113000000.0,220000000.0,107000000.0,3885000000.0,6299000000.0,6299000000.0,10184000000.0,10348000000.0,20532000000.0,20532000000.0
2024-03-31,0.0,0.177,5537000000.0,0.0,0.0,3754000000.0,712000000.0,9855000000.0,5537000000.0,4825000000.0,-129000000.0,233000000.0,104000000.0,3754000000.0,3754000000.0,15735000000.0,4460000000.0,2472000000.0,2360500000.0,1.52,1.56,3685000000.0,3685000000.0,69000000.0,3754000000.0,-27000000.0,3781000000.0,3781000000.0,812000000.0,4592000000.0,260000000.0,260000000.0,0.0,0.0,-129000000.0,233000000.0,104000000.0,4460000000.0,5880000000.0,5880000000.0,10340000000.0,9855000000.0,20195000000.0,20195000000.0
2023-12-31,-299043000.0,0.223,6806000000.0,-1341000000.0,-1341000000.0,3468000000.0,721000000.0,10144000000.0,5465000000.0,4744000000.0,-115000000.0,248000000.0,133000000.0,4509957000.0,3468000000.0,15666000000.0,4433000000.0,2468400000.0,2358000000.0,1.4,1.44,3398000000.0,3398000000.0,70000000.0,3468000000.0,-25000000.0,3493000000.0,3493000000.0,1003000000.0,4496000000.0,-1164000000.0,177000000.0,-1341000000.0,1341000000.0,-115000000.0,248000000.0,133000000.0,5775000000.0,5522000000.0,5522000000.0,11297000000.0,10144000000.0,21441000000.0,21441000000.0
2023-09-30,0.0,0.215,6729000000.0,,,4521000000.0,702000000.0,10501000000.0,6729000000.0,6027000000.0,-97000000.0,225000000.0,128000000.0,4521000000.0,4521000000.0,16105000000.0,5767000000.0,2475200000.0,2360000000.0,1.83,1.89,4450000000.0,4450000000.0,70000000.0,4521000000.0,-35000000.0,4556000000.0,4556000000.0,1246000000.0,5802000000.0,132000000.0,132000000.0,,,-97000000.0,225000000.0,128000000.0,5766000000.0,5604000000.0,5604000000.0,11370000000.0,10501000000.0,21871000000.0,21871000000.0
2023-06-30,,,,,,,,,,,,,,,,,,2477500000.0,2417142857.0,1.37,1.4,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,


Net Income
,Net Income
2024-09-30,3959000000.0
2024-06-30,3137000000.0
2024-03-31,3754000000.0
2023-12-31,3468000000.0
2023-09-30,4521000000.0
2023-06-30,
2023-03-31,


Shares Outstanding
,0
2015-10-23 00:00:00-04:00,2720570000
2016-01-26 00:00:00-05:00,2704570000
2016-04-26 00:00:00-04:00,2661850000
2016-08-09 00:00:00-04:00,2668750000
2016-08-29 00:00:00-04:00,2669390000
2016-10-25 00:00:00-04:00,2556480000
2016-10-25 00:00:00-04:00,2675990000
2017-02-08 00:00:00-05:00,2557609984
2017-02-08 00:00:00-05:00,2556480000
2017-04-26 00:00:00-04:00,2553299968
2017-04-26 00:00:00-04:00,2557609984
2017-08-01 00:00:00-04:00,2553299968
2017-08-07 00:00:00-04:00,2550010112
2017-08-07 00:00:00-04:00,2536960000
2017-10-17 00:00:00-04:00,2514599936
2017-10-17 00:00:00-04:00,2489159936
2017-10-17 00:00:00-04:00,2491409920
2017-10-17 00:00:00-04:00,2520999936
2017-10-17 00:00:00-04:00,2536960000
2017-10-17 00:00:00-04:00,2498099968
2018-11-13 00:00:00-05:00,2491409920
2018-11-14 00:00:00-05:00,2491409920
2018-11-15 00:00:00-05:00,2491409920
2018-11-19 00:00:00-05:00,2491409920
2018-11-21 00:00:00-05:00,2491409920
2018-11-22 00:00:00-05:00,2491409920
2018-11-26 00:00:00-05:00,2491409920
2018-11-28 00:00:00-05:00,2491409920
2018-11-29 00:00:00-05:00,2491409920
2018-12-02 00:00:00-05:00,2491409920
2018-12-03 00:00:00-05:00,2491409920
2018-12-04 00:00:00-05:00,2491409920
2018-12-06 00:00:00-05:00,2491409920
2018-12-07 00:00:00-05:00,2491409920
2018-12-10 00:00:00-05:00,2491409920
2018-12-11 00:00:00-05:00,2491409920
2018-12-12 00:00:00-05:00,2491409920
2018-12-14 00:00:00-05:00,2491409920
2018-12-16 00:00:00-05:00,2491409920
2018-12-17 00:00:00-05:00,2491409920
2018-12-19 00:00:00-05:00,2491409920
2018-12-21 00:00:00-05:00,2491409920
2018-12-30 00:00:00-05:00,2491409920
2019-01-05 00:00:00-05:00,2491409920
2019-01-07 00:00:00-05:00,2491409920
2019-01-09 00:00:00-05:00,2491409920
2019-01-10 00:00:00-05:00,2491409920
2019-01-12 00:00:00-05:00,2491409920
2019-01-14 00:00:00-05:00,2491409920
2019-01-16 00:00:00-05:00,2491409920
2019-01-20 00:00:00-05:00,2491409920
2019-01-23 00:00:00-05:00,2491409920
2019-01-25 00:00:00-05:00,2491409920
2019-01-26 00:00:00-05:00,2491409920
2019-01-28 00:00:00-05:00,2501580032
2019-01-30 00:00:00-05:00,2501580032
2019-02-04 00:00:00-05:00,2501580032
2019-02-07 00:00:00-05:00,2501580032
2019-02-11 00:00:00-05:00,2501580032
2019-02-13 00:00:00-05:00,2501580032
2019-02-14 00:00:00-05:00,2501580032
2019-02-15 00:00:00-05:00,2501580032
2019-02-17 00:00:00-05:00,2501580032
2019-02-18 00:00:00-05:00,2501580032
2019-02-20 00:00:00-05:00,2501580032
2019-02-28 00:00:00-05:00,2501580032
2019-03-01 00:00:00-05:00,2501580032
2019-03-07 00:00:00-05:00,2501580032
2019-03-09 00:00:00-05:00,2501580032
2019-03-10 00:00:00-05:00,2501580032
2019-03-11 00:00:00-04:00,2501580032
2019-03-14 00:00:00-04:00,2501580032
2019-03-17 00:00:00-04:00,2501580032
2019-03-26 00:00:00-04:00,2501580032
2019-03-27 00:00:00-04:00,2501580032
2019-03-29 00:00:00-04:00,2501580032
2019-04-01 00:00:00-04:00,2501580032
2019-04-02 00:00:00-04:00,2501580032
2019-04-05 00:00:00-04:00,2501580032
2019-04-09 00:00:00-04:00,2501580032
2019-04-11 00:00:00-04:00,2501580032
2019-04-14 00:00:00-04:00,2501580032
2019-04-15 00:00:00-04:00,2501580032
2019-04-17 00:00:00-04:00,2501580032
2019-04-19 00:00:00-04:00,2501580032
2019-04-21 00:00:00-04:00,2501580032
