

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-4960000.0,0.08,2928000000.0,-62000000.0,-62000000.0,2108000000.0,419000000.0,4174000000.0,2866000000.0,2447000000.0,14000000.0,168000000.0,182000000.0,2165040000.0,2129000000.0,7097000000.0,2221000000.0,1134000000.0,1116000000.0,1.88,1.91,2129000000.0,2129000000.0,2129000000.0,2129000000.0,21000000.0,2108000000.0,171000000.0,2279000000.0,-31000000.0,31000000.0,-80000000.0,75000000.0,5000000.0,18000000.0,14000000.0,168000000.0,182000000.0,2296000000.0,2923000000.0,,2259000000.0,664000000.0,5219000000.0,4174000000.0,9393000000.0,9393000000.0
2024-03-31,9720000.0,0.09,2973000000.0,108000000.0,108000000.0,2275000000.0,411000000.0,4106000000.0,3081000000.0,2670000000.0,-12000000.0,172000000.0,160000000.0,2176720000.0,2326000000.0,7049000000.0,2340000000.0,1130000000.0,1117000000.0,2.06,2.08,2326000000.0,2326000000.0,2326000000.0,2326000000.0,51000000.0,2275000000.0,223000000.0,2498000000.0,170000000.0,62000000.0,-50000000.0,,50000000.0,158000000.0,-12000000.0,172000000.0,160000000.0,2340000000.0,2943000000.0,,2236000000.0,707000000.0,5283000000.0,4106000000.0,9389000000.0,9389000000.0
2023-12-31,-150000.0,0.05,3580000000.0,-3000000.0,-3000000.0,2811000000.0,437000000.0,4312000000.0,3577000000.0,3140000000.0,-29000000.0,178000000.0,149000000.0,2813850000.0,2767000000.0,7007000000.0,2928000000.0,1127000000.0,1116000000.0,2.46,2.48,2767000000.0,2767000000.0,2767000000.0,2767000000.0,-44000000.0,2811000000.0,151000000.0,2962000000.0,63000000.0,66000000.0,-12000000.0,,12000000.0,9000000.0,-29000000.0,178000000.0,149000000.0,2928000000.0,2695000000.0,-28000000.0,2096000000.0,627000000.0,5623000000.0,4312000000.0,9935000000.0,9935000000.0
2023-09-30,71610000.0,0.21,1714000000.0,341000000.0,341000000.0,1629000000.0,462000000.0,3880000000.0,2055000000.0,1593000000.0,-53000000.0,173000000.0,120000000.0,1359610000.0,1490000000.0,7506000000.0,1410000000.0,1125000000.0,1116000000.0,1.32,1.33,1490000000.0,1490000000.0,1490000000.0,1490000000.0,-139000000.0,1629000000.0,-209000000.0,1420000000.0,348000000.0,7000000.0,273000000.0,,12000000.0,68000000.0,-53000000.0,173000000.0,120000000.0,1125000000.0,3626000000.0,,2135000000.0,629000000.0,4751000000.0,3880000000.0,8631000000.0,8631000000.0
2023-06-30,-210000.0,0.01,2429000000.0,-21000000.0,-21000000.0,1735000000.0,479000000.0,3792000000.0,2408000000.0,1929000000.0,-93000000.0,172000000.0,79000000.0,1755790000.0,1803000000.0,6632000000.0,1823000000.0,1124000000.0,1115000000.0,1.6,1.62,1803000000.0,1803000000.0,1803000000.0,1803000000.0,68000000.0,1735000000.0,22000000.0,1757000000.0,31000000.0,52000000.0,-15000000.0,-4000000.0,19000000.0,-6000000.0,-93000000.0,172000000.0,79000000.0,1819000000.0,2840000000.0,,2222000000.0,618000000.0,4659000000.0,3792000000.0,8451000000.0,8451000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208000000.0,,,,,,


Net Income
,Net Income
2024-06-30,2129000000.0
2024-03-31,2326000000.0
2023-12-31,2767000000.0
2023-09-30,1490000000.0
2023-06-30,1803000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-05 00:00:00-05:00,1503090000
2016-01-22 00:00:00-05:00,1494750000
2016-01-28 00:00:00-05:00,1494890000
2016-04-20 00:00:00-04:00,1468920000
2016-07-20 00:00:00-04:00,1473650000
2016-11-02 00:00:00-04:00,1476890000
2017-01-20 00:00:00-05:00,1477040000
2017-01-20 00:00:00-05:00,1477700000
2017-02-08 00:00:00-05:00,1477040000
2017-04-19 00:00:00-04:00,1477440000
2017-07-19 00:00:00-04:00,1480359936
2017-07-19 00:00:00-04:00,1480690048
2017-07-19 00:00:00-04:00,1476070016
2017-07-19 00:00:00-04:00,1469110016
2017-07-19 00:00:00-04:00,1469129984
2017-07-19 00:00:00-04:00,1474160000
2017-07-19 00:00:00-04:00,1480390016
2017-07-19 00:00:00-04:00,1482620032
2018-11-12 00:00:00-05:00,1212160000
2018-11-14 00:00:00-05:00,1212160000
2018-11-15 00:00:00-05:00,1212160000
2018-11-19 00:00:00-05:00,1212160000
2018-11-21 00:00:00-05:00,1212160000
2018-11-22 00:00:00-05:00,1212160000
2018-11-26 00:00:00-05:00,1212160000
2018-11-28 00:00:00-05:00,1212160000
2018-11-29 00:00:00-05:00,1212160000
2018-12-02 00:00:00-05:00,1212160000
2018-12-03 00:00:00-05:00,1212160000
2018-12-04 00:00:00-05:00,1212160000
2018-12-06 00:00:00-05:00,1212160000
2018-12-07 00:00:00-05:00,1212160000
2018-12-10 00:00:00-05:00,1212160000
2018-12-11 00:00:00-05:00,1212160000
2018-12-12 00:00:00-05:00,1212160000
2018-12-14 00:00:00-05:00,1212160000
2018-12-16 00:00:00-05:00,1212160000
2018-12-17 00:00:00-05:00,1212160000
2018-12-19 00:00:00-05:00,1212160000
2018-12-21 00:00:00-05:00,1212160000
2018-12-31 00:00:00-05:00,1212160000
2019-01-05 00:00:00-05:00,1212160000
2019-01-07 00:00:00-05:00,1212160000
2019-01-09 00:00:00-05:00,1212160000
2019-01-10 00:00:00-05:00,1212160000
2019-01-12 00:00:00-05:00,1212160000
2019-01-14 00:00:00-05:00,1212160000
2019-01-16 00:00:00-05:00,1212160000
2019-01-20 00:00:00-05:00,1212160000
2019-01-24 00:00:00-05:00,1212160000
2019-01-25 00:00:00-05:00,1212160000
2019-01-26 00:00:00-05:00,1212160000
2019-01-29 00:00:00-05:00,1210200064
2019-01-30 00:00:00-05:00,1210200064
2019-02-04 00:00:00-05:00,1210310016
2019-02-07 00:00:00-05:00,1210310016
2019-02-12 00:00:00-05:00,1210310016
2019-02-13 00:00:00-05:00,1210310016
2019-02-15 00:00:00-05:00,1210310016
2019-02-16 00:00:00-05:00,1210310016
2019-02-17 00:00:00-05:00,1210310016
2019-02-18 00:00:00-05:00,1210310016
2019-02-20 00:00:00-05:00,1210310016
2019-02-27 00:00:00-05:00,1210310016
2019-02-28 00:00:00-05:00,1210310016
2019-03-01 00:00:00-05:00,1210310016
2019-03-07 00:00:00-05:00,1210310016
2019-03-08 00:00:00-05:00,1210310016
2019-03-10 00:00:00-05:00,1210310016
2019-03-12 00:00:00-04:00,1210310016
2019-03-14 00:00:00-04:00,1210310016
2019-03-17 00:00:00-04:00,1210310016
2019-03-19 00:00:00-04:00,1210310016
2019-03-26 00:00:00-04:00,1210310016
2019-03-29 00:00:00-04:00,1210310016
2019-04-01 00:00:00-04:00,1210310016
2019-04-05 00:00:00-04:00,1210310016
2019-04-06 00:00:00-04:00,1210310016
2019-04-09 00:00:00-04:00,1210310016
2019-04-10 00:00:00-04:00,1210310016
2019-04-14 00:00:00-04:00,1210310016
2019-04-16 00:00:00-04:00,1210310016
2019-04-17 00:00:00-04:00,1210310016
2019-04-18 00:00:00-04:00,1210310016
2019-04-21 00:00:00-04:00,1210310016
2019-04-22 00:00:00-04:00,1210310016
2019-04-29 00:00:00-04:00,1210310016
2019-04-30 00:00:00-04:00,1210310016
2019-05-02 00:00:00-04:00,1210310016
2019-05-05 00:00:00-04:00,1215699968
