

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,0.0,0.195,3548000000.0,1472000000.0,1094000000.0,16055000000.0,3548000000.0,2454000000.0,-503000000.0,548000000.0,45000000.0,1472000000.0,1472000000.0,18061000000.0,2028000000.0,1346200000.0,1333200000.0,1.09,1.1,1472000000.0,1472000000.0,1472000000.0,-63000000.0,1535000000.0,,1535000000.0,371000000.0,1906000000.0,381000000.0,381000000.0,-503000000.0,548000000.0,45000000.0,2028000000.0,2006000000.0,-134000000.0,751000000.0,1389000000.0,,,,4034000000.0,16055000000.0,20089000000.0,20089000000.0
2024-06-30,0.0,0.21,1988000000.0,111000000.0,1072000000.0,16141000000.0,1988000000.0,916000000.0,-469000000.0,488000000.0,19000000.0,111000000.0,111000000.0,18818000000.0,529000000.0,1342100000.0,1331800000.0,0.08,0.08,111000000.0,111000000.0,111000000.0,-64000000.0,175000000.0,,175000000.0,253000000.0,428000000.0,-6000000.0,-6000000.0,-469000000.0,488000000.0,19000000.0,903000000.0,2677000000.0,896000000.0,706000000.0,1075000000.0,1075000000.0,1449000000.0,-374000000.0,3580000000.0,16141000000.0,19721000000.0,19721000000.0
2024-03-31,0.0,0.058,3330000000.0,1709000000.0,1059000000.0,15744000000.0,3330000000.0,2271000000.0,-409000000.0,420000000.0,11000000.0,1709000000.0,1709000000.0,17049000000.0,1870000000.0,1337300000.0,1329400000.0,1.28,1.29,1709000000.0,1709000000.0,1709000000.0,-34000000.0,1743000000.0,,1743000000.0,108000000.0,1851000000.0,4000000.0,4000000.0,-409000000.0,420000000.0,11000000.0,2256000000.0,1305000000.0,-372000000.0,669000000.0,1008000000.0,1008000000.0,1394000000.0,-386000000.0,3561000000.0,15744000000.0,19305000000.0,19305000000.0
2023-12-31,0.0,0.151009,3345000000.0,1426000000.0,1059000000.0,15918000000.0,3345000000.0,2286000000.0,-497000000.0,551000000.0,54000000.0,1426000000.0,1426000000.0,16370000000.0,1777000000.0,1361700000.0,1354900000.0,1.05,1.05,1426000000.0,1426000000.0,1426000000.0,-47000000.0,1473000000.0,0.0,1473000000.0,262000000.0,1735000000.0,-1325000000.0,-1325000000.0,-497000000.0,551000000.0,54000000.0,3557000000.0,452000000.0,30000000.0,757000000.0,-335000000.0,,,,4009000000.0,15918000000.0,19927000000.0,19927000000.0
2023-09-30,0.0,0.294,143000000.0,-984000000.0,1074000000.0,12750000000.0,143000000.0,-931000000.0,-372000000.0,391000000.0,19000000.0,-984000000.0,-984000000.0,14860000000.0,-1396000000.0,1448100000.0,1448100000.0,-0.68,-0.68,-984000000.0,-984000000.0,-984000000.0,-51000000.0,-933000000.0,0.0,-933000000.0,-389000000.0,-1322000000.0,446000000.0,446000000.0,-372000000.0,391000000.0,19000000.0,-1396000000.0,2110000000.0,-3000000.0,712000000.0,1401000000.0,,,,714000000.0,12750000000.0,13464000000.0,13464000000.0
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1153000000.0,1600000000.0,-447000000.0,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,919000000.0,1363000000.0,-444000000.0,,,,


Net Income
,Net Income
2024-09-30,1472000000.0
2024-06-30,111000000.0
2024-03-31,1709000000.0
2023-12-31,1426000000.0
2023-09-30,-984000000.0
2023-06-30,
2023-03-31,


Shares Outstanding
,0
2020-04-14 00:00:00-04:00,1516269952
2020-04-29 00:00:00-04:00,1515160064
2020-04-30 00:00:00-04:00,1515160064
2020-05-12 00:00:00-04:00,1515160064
2020-07-31 00:00:00-04:00,1527660032
2020-08-04 00:00:00-04:00,1550029952
2020-08-04 00:00:00-04:00,1527660032
2020-08-28 00:00:00-04:00,1527660032
2020-09-05 00:00:00-04:00,1527660032
2020-09-06 00:00:00-04:00,1527660032
2020-09-21 00:00:00-04:00,1538930048
2020-09-22 00:00:00-04:00,1527660032
2020-10-05 00:00:00-04:00,1577639936
2020-10-05 00:00:00-04:00,1527660032
2020-10-29 00:00:00-04:00,1518720000
2020-11-26 00:00:00-05:00,1518720000
2021-02-10 00:00:00-05:00,1519480064
2021-03-13 00:00:00-05:00,1516029952
2021-03-17 00:00:00-04:00,1516029952
2021-04-14 00:00:00-04:00,1516029952
2021-04-14 00:00:00-04:00,1535929984
2021-04-23 00:00:00-04:00,1518540032
2021-04-25 00:00:00-04:00,1484600064
2021-04-27 00:00:00-04:00,1516029952
2021-04-29 00:00:00-04:00,1515090048
2021-07-30 00:00:00-04:00,1507879936
2021-10-12 00:00:00-04:00,1507879936
2021-10-12 00:00:00-04:00,1520120064
2021-10-28 00:00:00-04:00,1496780032
2021-11-05 00:00:00-04:00,1507149952
2021-11-06 00:00:00-04:00,1507149952
2021-12-04 00:00:00-05:00,1496780032
2021-12-04 00:00:00-05:00,1506930048
2022-02-11 00:00:00-05:00,1496780032
2022-02-15 00:00:00-05:00,1492329984
2022-03-04 00:00:00-05:00,1505929984
2022-03-05 00:00:00-05:00,1492329984
2022-03-20 00:00:00-04:00,1493779968
2022-03-22 00:00:00-04:00,1492329984
2022-04-05 00:00:00-04:00,1490269952
2022-04-29 00:00:00-04:00,1487219968
2022-06-23 00:00:00-04:00,1492999936
2022-06-23 00:00:00-04:00,1487219968
2022-07-28 00:00:00-04:00,1476509952
2022-08-05 00:00:00-04:00,1504359936
2022-08-06 00:00:00-04:00,1476509952
2022-08-19 00:00:00-04:00,1480880000
2022-08-20 00:00:00-04:00,1476509952
2022-09-01 00:00:00-04:00,1476509952
2022-09-03 00:00:00-04:00,1476509952
2022-09-03 00:00:00-04:00,1483929984
2022-09-10 00:00:00-04:00,1451689984
2022-09-12 00:00:00-04:00,1476509952
2022-09-15 00:00:00-04:00,1476509952
2022-09-15 00:00:00-04:00,1430710016
2022-10-01 00:00:00-04:00,1471760000
2022-10-29 00:00:00-04:00,1470060032
2022-12-03 00:00:00-05:00,1481680000
2022-12-05 00:00:00-05:00,1470060032
2022-12-10 00:00:00-05:00,1488310016
2022-12-11 00:00:00-05:00,1470060032
2023-01-04 00:00:00-05:00,1471660032
2023-01-06 00:00:00-05:00,1470060032
2023-02-11 00:00:00-05:00,1464950016
2023-03-15 00:00:00-04:00,1463209984
2023-03-18 00:00:00-04:00,1498809984
2023-03-21 00:00:00-04:00,1463209984
2023-03-30 00:00:00-04:00,1476809984
2023-03-31 00:00:00-04:00,1463209984
2023-03-31 00:00:00-04:00,1468169984
2023-04-06 00:00:00-04:00,1474320000
2023-04-07 00:00:00-04:00,1463209984
2023-04-25 00:00:00-04:00,1466210048
2023-04-27 00:00:00-04:00,1461139968
2023-05-03 00:00:00-04:00,1482720000
2023-05-04 00:00:00-04:00,1486860032
2023-05-06 00:00:00-04:00,1461139968
2023-05-14 00:00:00-04:00,1465859968
2023-05-16 00:00:00-04:00,1461139968
2023-06-23 00:00:00-04:00,1472899968
2023-06-24 00:00:00-04:00,1461139968
2023-07-12 00:00:00-04:00,1469389952
2023-07-13 00:00:00-04:00,1461139968
2023-08-22 00:00:00-04:00,1455510016
2023-08-23 00:00:00-04:00,1458759936
2023-08-24 00:00:00-04:00,1455520000
2023-08-26 00:00:00-04:00,1455510016
2023-08-31 00:00:00-04:00,1455520000
2023-09-02 00:00:00-04:00,1455510016
2023-09-08 00:00:00-04:00,1455520000
2023-09-11 00:00:00-04:00,1455510016
2023-09-12 00:00:00-04:00,1455520000
2023-09-15 00:00:00-04:00,1455510016
2023-09-19 00:00:00-04:00,1455520000
2023-09-23 00:00:00-04:00,1455510016
2023-09-25 00:00:00-04:00,1455520000
2023-09-26 00:00:00-04:00,1455510016
2023-09-30 00:00:00-04:00,1455520000
2023-10-11 00:00:00-04:00,1455510016
2023-10-19 00:00:00-04:00,1455520000
2023-10-22 00:00:00-04:00,1455510016
2023-10-23 00:00:00-04:00,1455510016
2023-10-24 00:00:00-04:00,1455520000
2023-10-25 00:00:00-04:00,1455520000
2023-10-26 00:00:00-04:00,1437900032
2023-11-04 00:00:00-04:00,1438940032
2023-12-06 00:00:00-05:00,1445549952
2023-12-06 00:00:00-05:00,1437900032
2023-12-15 00:00:00-05:00,1461789952
2023-12-16 00:00:00-05:00,1437900032
2023-12-22 00:00:00-05:00,1437900032
2024-01-05 00:00:00-05:00,1441270016
2024-01-05 00:00:00-05:00,1437900032
2024-01-23 00:00:00-05:00,1437900032
2024-01-24 00:00:00-05:00,1437900032
2024-01-26 00:00:00-05:00,1437900032
2024-01-27 00:00:00-05:00,1437900032
2024-01-30 00:00:00-05:00,1437900032
2024-01-31 00:00:00-05:00,1437900032
2024-02-07 00:00:00-05:00,1326829952
2024-02-07 00:00:00-05:00,1437280000
2024-02-08 00:00:00-05:00,1326829952
2024-02-09 00:00:00-05:00,1326829952
2024-02-10 00:00:00-05:00,1334599936
2024-02-13 00:00:00-05:00,1326829952
2024-02-14 00:00:00-05:00,1326829952
2024-02-15 00:00:00-05:00,1326829952
2024-02-16 00:00:00-05:00,1326829952
2024-02-21 00:00:00-05:00,1326829952
2024-02-23 00:00:00-05:00,1326829952
2024-02-28 00:00:00-05:00,1326829952
2024-03-02 00:00:00-05:00,1326829952
2024-03-05 00:00:00-05:00,1326829952
2024-03-06 00:00:00-05:00,1326829952
2024-03-09 00:00:00-05:00,1326829952
2024-03-13 00:00:00-04:00,1329639936
2024-03-14 00:00:00-04:00,1329639936
2024-03-15 00:00:00-04:00,1329639936
2024-03-20 00:00:00-04:00,1329639936
2024-03-21 00:00:00-04:00,1329639936
2024-03-23 00:00:00-04:00,1329639936
2024-03-26 00:00:00-04:00,1329639936
2024-03-27 00:00:00-04:00,1329639936
2024-03-29 00:00:00-04:00,1329639936
2024-04-02 00:00:00-04:00,1329639936
2024-04-04 00:00:00-04:00,1343280000
2024-04-04 00:00:00-04:00,1329639936
2024-04-06 00:00:00-04:00,1329639936
2024-04-09 00:00:00-04:00,1329639936
2024-04-10 00:00:00-04:00,1329639936
2024-04-12 00:00:00-04:00,1338680064
2024-04-12 00:00:00-04:00,1329639936
2024-04-13 00:00:00-04:00,1329639936
2024-04-16 00:00:00-04:00,1329639936
2024-04-18 00:00:00-04:00,1330829952
2024-04-18 00:00:00-04:00,1329639936
2024-04-24 00:00:00-04:00,1329639936
2024-04-25 00:00:00-04:00,1334240000
2024-04-25 00:00:00-04:00,1329510016
2024-04-30 00:00:00-04:00,1329510016
2024-05-01 00:00:00-04:00,1341549952
2024-05-01 00:00:00-04:00,1329510016
2024-05-04 00:00:00-04:00,1335929984
2024-05-04 00:00:00-04:00,1329510016
2024-05-07 00:00:00-04:00,1329510016
2024-05-09 00:00:00-04:00,1329510016
2024-05-10 00:00:00-04:00,1329510016
2024-05-11 00:00:00-04:00,1329510016
2024-05-15 00:00:00-04:00,1330759936
2024-05-16 00:00:00-04:00,1329510016
2024-05-17 00:00:00-04:00,1329510016
2024-05-22 00:00:00-04:00,1329510016
2024-05-23 00:00:00-04:00,1329510016
2024-05-24 00:00:00-04:00,1340860032
2024-05-24 00:00:00-04:00,1329510016
2024-05-25 00:00:00-04:00,1329510016
2024-05-30 00:00:00-04:00,1329510016
2024-06-01 00:00:00-04:00,1329510016
2024-06-05 00:00:00-04:00,1329510016
2024-06-07 00:00:00-04:00,1329510016
2024-06-12 00:00:00-04:00,1331619968
2024-06-12 00:00:00-04:00,1329510016
2024-06-13 00:00:00-04:00,1331369984
2024-06-13 00:00:00-04:00,1329510016
2024-06-15 00:00:00-04:00,1339709952
2024-06-15 00:00:00-04:00,1329510016
2024-06-18 00:00:00-04:00,1329510016
2024-06-21 00:00:00-04:00,1329510016
2024-06-25 00:00:00-04:00,1329510016
2024-06-28 00:00:00-04:00,1337959936
2024-06-28 00:00:00-04:00,1329510016
2024-07-04 00:00:00-04:00,1329510016
2024-07-09 00:00:00-04:00,1329510016
2024-07-10 00:00:00-04:00,1335180032
2024-07-11 00:00:00-04:00,1329510016
2024-07-12 00:00:00-04:00,1335280000
2024-07-12 00:00:00-04:00,1329510016
2024-07-13 00:00:00-04:00,1329510016
2024-07-16 00:00:00-04:00,1329510016
2024-07-17 00:00:00-04:00,1329510016
2024-07-18 00:00:00-04:00,1329510016
2024-07-19 00:00:00-04:00,1342829952
2024-07-20 00:00:00-04:00,1329510016
2024-07-23 00:00:00-04:00,1329510016
2024-07-24 00:00:00-04:00,1329510016
2024-07-25 00:00:00-04:00,1329510016
2024-07-27 00:00:00-04:00,1330240000
2024-08-17 00:00:00-04:00,1334860032
2024-08-17 00:00:00-04:00,1330240000
2024-09-07 00:00:00-04:00,1343719936
2024-09-07 00:00:00-04:00,1330240000
2024-09-11 00:00:00-04:00,1330240000
2024-09-11 00:00:00-04:00,1339750016
2024-09-12 00:00:00-04:00,1330240000
2024-09-12 00:00:00-04:00,1341840000
2024-09-21 00:00:00-04:00,1330240000
2024-09-21 00:00:00-04:00,1337779968


Recommendations
,period,strongBuy,buy,hold,sell,strongSell
0,0m,0,0,0,0,0
1,-1m,2,7,16,1,1
2,-2m,2,7,16,1,1
3,-3m,6,12,4,0,0
