

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Depreciation Income Statement,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-639000.0,0.213,1750000000.0,-3000000.0,-3000000.0,1011000000.0,292000000.0,1084000000.0,1747000000.0,1455000000.0,-77000000.0,77000000.0,1013361000.0,1011000000.0,2110000000.0,1452000000.0,313200000.0,313000000.0,3.23,3.23,1011000000.0,1011000000.0,1011000000.0,-74000000.0,1085000000.0,1085000000.0,293000000.0,1378000000.0,16000000.0,6000000.0,0.0,0.0,13000000.0,-3000000.0,-77000000.0,77000000.0,1439000000.0,1025000000.0,291000000.0,291000000.0,266000000.0,266000000.0,25000000.0,734000000.0,2464000000.0,1085000000.0,3549000000.0,3549000000.0
2024-03-31,564000.0,0.188,1678000000.0,3000000.0,3000000.0,991000000.0,287000000.0,1120000000.0,1681000000.0,1394000000.0,-78000000.0,78000000.0,988564000.0,991000000.0,2112000000.0,1385000000.0,314000000.0,313600000.0,3.16,3.16,991000000.0,991000000.0,991000000.0,-77000000.0,1068000000.0,1068000000.0,248000000.0,1316000000.0,15000000.0,6000000.0,0.0,0.0,6000000.0,3000000.0,-78000000.0,78000000.0,1379000000.0,992000000.0,287000000.0,287000000.0,264000000.0,264000000.0,23000000.0,705000000.0,2371000000.0,1120000000.0,3491000000.0,3491000000.0
2023-12-31,-566750.629723,0.188917,1163000000.0,-3000000.0,-3000000.0,579000000.0,290000000.0,1032000000.0,1160000000.0,870000000.0,-76000000.0,76000000.0,581433249.370277,579000000.0,2264000000.0,890000000.0,315900000.0,315400000.0,1.83,1.84,579000000.0,579000000.0,579000000.0,-65000000.0,644000000.0,644000000.0,150000000.0,794000000.0,-18000000.0,,-1000000.0,-1000000.0,3000000.0,-2000000.0,-76000000.0,76000000.0,888000000.0,1232000000.0,290000000.0,290000000.0,260000000.0,260000000.0,30000000.0,942000000.0,2120000000.0,1032000000.0,3152000000.0,3152000000.0
2023-09-30,-182000.0,0.182,1362000000.0,-1000000.0,-1000000.0,742000000.0,282000000.0,995000000.0,1361000000.0,1079000000.0,-84000000.0,84000000.0,742818000.0,742000000.0,2018000000.0,1074000000.0,318000000.0,317500000.0,2.33,2.34,742000000.0,742000000.0,742000000.0,-72000000.0,814000000.0,814000000.0,181000000.0,995000000.0,13000000.0,6000000.0,0.0,0.0,8000000.0,-1000000.0,-84000000.0,84000000.0,1066000000.0,1023000000.0,282000000.0,282000000.0,260000000.0,260000000.0,22000000.0,741000000.0,2089000000.0,995000000.0,3084000000.0,3084000000.0
2023-06-30,-35454000.0,0.311,1321000000.0,-114000000.0,-114000000.0,511000000.0,284000000.0,1027000000.0,1207000000.0,922000000.0,-88000000.0,88000000.0,589546000.0,511000000.0,2082000000.0,911000000.0,319800000.0,319300000.0,1.6,1.6,511000000.0,511000000.0,511000000.0,-64000000.0,575000000.0,575000000.0,259000000.0,834000000.0,-97000000.0,6000000.0,-119000000.0,-119000000.0,11000000.0,5000000.0,-88000000.0,88000000.0,1019000000.0,1056000000.0,285000000.0,285000000.0,261000000.0,261000000.0,24000000.0,771000000.0,2075000000.0,1026000000.0,3101000000.0,3101000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,1011000000.0
2024-03-31,991000000.0
2023-12-31,579000000.0
2023-09-30,742000000.0
2023-06-30,511000000.0
2023-03-31,


Shares Outstanding
,0
2016-04-27 00:00:00-04:00,264600000
2016-07-01 00:00:00-04:00,264800000
2016-07-29 00:00:00-04:00,264000000
2016-11-04 00:00:00-04:00,258000000
2016-11-04 00:00:00-04:00,259100000
2017-02-09 00:00:00-05:00,258400000
2017-03-14 00:00:00-04:00,258563000
2017-03-14 00:00:00-04:00,258563008
2017-03-14 00:00:00-04:00,257800000
2017-04-26 00:00:00-04:00,257000000
2017-04-26 00:00:00-04:00,257800000
2017-07-27 00:00:00-04:00,251300000
2017-07-27 00:00:00-04:00,253700000
2017-07-27 00:00:00-04:00,249359008
2017-07-27 00:00:00-04:00,250900000
2017-07-27 00:00:00-04:00,257000000
2017-07-27 00:00:00-04:00,255000000
2017-07-27 00:00:00-04:00,251500000
2017-07-27 00:00:00-04:00,253900000
2018-11-14 00:00:00-05:00,250900000
2018-11-15 00:00:00-05:00,250900000
2018-11-21 00:00:00-05:00,250900000
2018-11-22 00:00:00-05:00,250900000
2018-11-28 00:00:00-05:00,250900000
2018-11-29 00:00:00-05:00,250900000
2018-12-02 00:00:00-05:00,250900000
2018-12-04 00:00:00-05:00,250900000
2018-12-06 00:00:00-05:00,250900000
2018-12-07 00:00:00-05:00,250900000
2018-12-16 00:00:00-05:00,250900000
2018-12-19 00:00:00-05:00,250900000
2019-01-05 00:00:00-05:00,250900000
2019-01-09 00:00:00-05:00,250900000
2019-01-12 00:00:00-05:00,250900000
2019-01-17 00:00:00-05:00,250900000
2019-01-25 00:00:00-05:00,250900000
2019-01-26 00:00:00-05:00,250900000
2019-01-30 00:00:00-05:00,250900000
2019-02-07 00:00:00-05:00,250900000
2019-02-10 00:00:00-05:00,253700000
2019-02-13 00:00:00-05:00,248400000
2019-02-15 00:00:00-05:00,248600000
2019-02-17 00:00:00-05:00,248600000
2019-02-18 00:00:00-05:00,248600000
2019-02-20 00:00:00-05:00,248600000
2019-02-28 00:00:00-05:00,248600000
2019-03-01 00:00:00-05:00,248600000
2019-03-07 00:00:00-05:00,248600000
2019-03-10 00:00:00-05:00,248600000
2019-03-14 00:00:00-04:00,248600000
2019-03-17 00:00:00-04:00,248600000
2019-03-26 00:00:00-04:00,248600000
2019-03-29 00:00:00-04:00,246080992
2019-04-01 00:00:00-04:00,246080992
2019-04-05 00:00:00-04:00,246080992
2019-04-09 00:00:00-04:00,246080992
2019-04-10 00:00:00-04:00,246080992
2019-04-14 00:00:00-04:00,246080992
2019-04-17 00:00:00-04:00,246080992
2019-04-18 00:00:00-04:00,246080992
2019-04-21 00:00:00-04:00,246080992
2019-04-22 00:00:00-04:00,246080992
2019-04-29 00:00:00-04:00,246080992
2019-05-02 00:00:00-04:00,246080992
2019-05-05 00:00:00-04:00,246080992
2019-05-07 00:00:00-04:00,246080992
2019-05-09 00:00:00-04:00,246080992
2019-05-10 00:00:00-04:00,246080992
2019-05-12 00:00:00-04:00,246080992
2019-05-19 00:00:00-04:00,246080992
2019-05-22 00:00:00-04:00,246080992
2019-05-23 00:00:00-04:00,246080992
2019-05-28 00:00:00-04:00,246080992
2019-06-03 00:00:00-04:00,246080992
2019-06-04 00:00:00-04:00,246080992
2019-06-05 00:00:00-04:00,246080992
2019-06-06 00:00:00-04:00,246080992
2019-06-10 00:00:00-04:00,246080992
2019-06-11 00:00:00-04:00,246080992
2019-06-12 00:00:00-04:00,246080992
2019-06-17 00:00:00-04:00,246080992
2019-06-19 00:00:00-04:00,246080992
2019-06-21 00:00:00-04:00,246080992
2019-06-23 00:00:00-04:00,246080992
2019-06-24 00:00:00-04:00,246080992
2019-06-26 00:00:00-04:00,246200000
2019-07-03 00:00:00-04:00,249083008
2019-07-04 00:00:00-04:00,246200000
2019-07-05 00:00:00-04:00,242932992
2019-07-06 00:00:00-04:00,246200000
2019-07-10 00:00:00-04:00,245020992
2019-07-11 00:00:00-04:00,249688992
2019-07-12 00:00:00-04:00,250059008
2019-07-13 00:00:00-04:00,246200000
2019-08-05 00:00:00-04:00,249370000
2019-08-06 00:00:00-04:00,246300000
