

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-5544000.0,0.072,2987000000.0,-77000000.0,-77000000.0,1548000000.0,791000000.0,6194000000.0,2910000000.0,2119000000.0,-59000000.0,354000000.0,295000000.0,1619456000.0,1548000000.0,8644000000.0,1820000000.0,383000000.0,382000000.0,4.04,4.05,1548000000.0,1548000000.0,1548000000.0,-6000000.0,1553000000.0,1553000000.0,-84000000.0,128000000.0,1765000000.0,-72000000.0,5000000.0,-77000000.0,77000000.0,-59000000.0,354000000.0,295000000.0,1897000000.0,2450000000.0,339000000.0,2111000000.0,4347000000.0,6194000000.0,10541000000.0,10541000000.0
2024-03-31,-2610000.0,0.09,2817000000.0,-29000000.0,-29000000.0,1328000000.0,836000000.0,6140000000.0,2788000000.0,1952000000.0,-84000000.0,363000000.0,279000000.0,1354390000.0,1328000000.0,8654000000.0,1663000000.0,384000000.0,382000000.0,3.46,3.47,1328000000.0,1328000000.0,1328000000.0,-4000000.0,1331000000.0,1331000000.0,23000000.0,281000000.0,1589000000.0,-19000000.0,10000000.0,-29000000.0,29000000.0,-84000000.0,363000000.0,279000000.0,1691000000.0,2514000000.0,331000000.0,2183000000.0,4205000000.0,6140000000.0,10345000000.0,10345000000.0
2023-12-31,-6114942.528736,0.076437,3049000000.0,-80000000.0,-80000000.0,1630000000.0,839000000.0,6493000000.0,2969000000.0,2130000000.0,-81000000.0,390000000.0,309000000.0,1703885057.471264,1630000000.0,8952000000.0,1854000000.0,388000000.0,387000000.0,4.2,4.22,1630000000.0,1630000000.0,1630000000.0,24000000.0,1606000000.0,1606000000.0,-1000000.0,133000000.0,1740000000.0,-113000000.0,-33000000.0,-80000000.0,80000000.0,-81000000.0,390000000.0,309000000.0,1934000000.0,2459000000.0,327000000.0,2132000000.0,4393000000.0,6493000000.0,10886000000.0,10886000000.0
2023-09-30,-2520000.0,0.03,3061000000.0,-84000000.0,-84000000.0,1715000000.0,853000000.0,6258000000.0,2977000000.0,2124000000.0,-113000000.0,359000000.0,246000000.0,1796480000.0,1715000000.0,8626000000.0,1864000000.0,388000000.0,386000000.0,4.42,4.44,1715000000.0,1715000000.0,1715000000.0,20000000.0,1695000000.0,1695000000.0,-17000000.0,53000000.0,1765000000.0,-70000000.0,14000000.0,-84000000.0,84000000.0,-113000000.0,359000000.0,246000000.0,1948000000.0,2368000000.0,319000000.0,2049000000.0,4316000000.0,6258000000.0,10574000000.0,10574000000.0
2023-06-30,-6588000.0,0.036,2794000000.0,-183000000.0,-183000000.0,1361000000.0,855000000.0,6436000000.0,2611000000.0,1756000000.0,-148000000.0,326000000.0,178000000.0,1537412000.0,1361000000.0,8926000000.0,1578000000.0,388000000.0,386000000.0,3.51,3.53,1361000000.0,1361000000.0,1361000000.0,-1000000.0,1362000000.0,1362000000.0,-16000000.0,52000000.0,1430000000.0,-183000000.0,,-183000000.0,183000000.0,-148000000.0,326000000.0,178000000.0,1761000000.0,2490000000.0,345000000.0,2145000000.0,4251000000.0,6436000000.0,10687000000.0,10687000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46000000.0,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,1548000000.0
2024-03-31,1328000000.0
2023-12-31,1630000000.0
2023-09-30,1715000000.0
2023-06-30,1361000000.0
2023-03-31,


Shares Outstanding
,0
2015-10-30 00:00:00-04:00,399098000
2016-02-25 00:00:00-05:00,396262000
2016-04-06 00:00:00-04:00,393473000
2016-05-06 00:00:00-04:00,393512000
2016-08-05 00:00:00-04:00,394263000
2016-11-04 00:00:00-04:00,395025000
2017-03-01 00:00:00-05:00,391215000
2017-03-01 00:00:00-05:00,390391000
2017-04-05 00:00:00-04:00,391215008
2017-05-05 00:00:00-04:00,391220000
2017-05-05 00:00:00-04:00,390119008
2017-08-04 00:00:00-04:00,390119008
2017-08-14 00:00:00-04:00,402576000
2017-08-14 00:00:00-04:00,400207008
2017-08-14 00:00:00-04:00,400995008
2017-08-14 00:00:00-04:00,402323008
2017-08-14 00:00:00-04:00,401784000
2017-08-14 00:00:00-04:00,402796000
2017-08-14 00:00:00-04:00,402320992
2018-11-14 00:00:00-05:00,402576000
2018-11-15 00:00:00-05:00,402576000
2018-11-19 00:00:00-05:00,402576000
2018-11-21 00:00:00-05:00,402576000
2018-11-22 00:00:00-05:00,402576000
2018-11-26 00:00:00-05:00,402576000
2018-11-28 00:00:00-05:00,402576000
2018-11-29 00:00:00-05:00,402576000
2018-12-02 00:00:00-05:00,402576000
2018-12-03 00:00:00-05:00,402576000
2018-12-04 00:00:00-05:00,402576000
2018-12-06 00:00:00-05:00,402576000
2018-12-07 00:00:00-05:00,402576000
2018-12-10 00:00:00-05:00,402576000
2018-12-11 00:00:00-05:00,402576000
2018-12-12 00:00:00-05:00,402576000
2018-12-14 00:00:00-05:00,402576000
2018-12-16 00:00:00-05:00,402576000
2018-12-17 00:00:00-05:00,402576000
2018-12-19 00:00:00-05:00,402576000
2018-12-21 00:00:00-05:00,402576000
2018-12-30 00:00:00-05:00,402576000
2019-01-05 00:00:00-05:00,402576000
2019-01-07 00:00:00-05:00,402576000
2019-01-09 00:00:00-05:00,402576000
2019-01-10 00:00:00-05:00,402576000
2019-01-12 00:00:00-05:00,402576000
2019-01-14 00:00:00-05:00,402576000
2019-01-16 00:00:00-05:00,402576000
2019-01-17 00:00:00-05:00,402576000
2019-01-20 00:00:00-05:00,402576000
2019-01-24 00:00:00-05:00,402576000
2019-01-25 00:00:00-05:00,402576000
2019-01-26 00:00:00-05:00,402576000
2019-01-28 00:00:00-05:00,402576000
2019-01-30 00:00:00-05:00,402576000
2019-02-04 00:00:00-05:00,402576000
2019-02-07 00:00:00-05:00,402576000
2019-02-11 00:00:00-05:00,402576000
2019-02-13 00:00:00-05:00,402576000
2019-02-14 00:00:00-05:00,402576000
2019-02-15 00:00:00-05:00,402576000
2019-02-17 00:00:00-05:00,402576000
2019-02-18 00:00:00-05:00,402576000
2019-02-20 00:00:00-05:00,402576000
2019-02-28 00:00:00-05:00,402576000
2019-03-01 00:00:00-05:00,402576000
2019-03-07 00:00:00-05:00,399004000
2019-03-09 00:00:00-05:00,399004000
2019-03-10 00:00:00-05:00,399004000
2019-03-11 00:00:00-04:00,399004000
2019-03-14 00:00:00-04:00,399004000
2019-03-15 00:00:00-04:00,399004000
2019-03-17 00:00:00-04:00,399004000
2019-03-18 00:00:00-04:00,399004000
2019-03-26 00:00:00-04:00,399004000
2019-03-27 00:00:00-04:00,399004000
2019-03-29 00:00:00-04:00,399004000
2019-03-30 00:00:00-04:00,399004000
2019-04-01 00:00:00-04:00,399004000
2019-04-02 00:00:00-04:00,399004000
2019-04-05 00:00:00-04:00,399004000
2019-04-09 00:00:00-04:00,399004000
2019-04-11 00:00:00-04:00,399004000
2019-04-14 00:00:00-04:00,399004000
2019-04-15 00:00:00-04:00,399004000
2019-04-17 00:00:00-04:00,399004000
2019-04-19 00:00:00-04:00,399004000
2019-04-21 00:00:00-04:00,399004000
2019-04-23 00:00:00-04:00,399004000
2019-04-29 00:00:00-04:00,399004000
2019-05-01 00:00:00-04:00,399004000
2019-05-02 00:00:00-04:00,399004000
2019-05-03 00:00:00-04:00,399004000
