

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-130620000.0,0.21,3873000000.0,-622000000.0,-622000000.0,1478000000.0,1278000000.0,20922000000.0,3251000000.0,1973000000.0,262000000.0,86000000.0,348000000.0,1969380000.0,1478000000.0,23273000000.0,245000000.0,1605000000.0,3481000000.0,3191000000.0,0.42,0.46,1478000000.0,,1478000000.0,,1478000000.0,-16000000.0,1494000000.0,1494000000.0,393000000.0,1887000000.0,-602000000.0,20000000.0,-622000000.0,622000000.0,262000000.0,86000000.0,348000000.0,2227000000.0,2351000000.0,1074000000.0,1277000000.0,4578000000.0,20922000000.0,25500000000.0,25500000000.0
2024-03-31,0.0,0.26,2875000000.0,,,1129000000.0,1246000000.0,17605000000.0,2875000000.0,1629000000.0,274000000.0,76000000.0,350000000.0,1129000000.0,1129000000.0,20130000000.0,269000000.0,1171000000.0,3484000000.0,3186000000.0,0.34,0.37,1171000000.0,,1171000000.0,-42000000.0,1129000000.0,-15000000.0,1144000000.0,1144000000.0,409000000.0,1553000000.0,108000000.0,108000000.0,,,274000000.0,76000000.0,350000000.0,1171000000.0,2525000000.0,1151000000.0,1374000000.0,3696000000.0,17605000000.0,21301000000.0,21301000000.0
2023-12-31,0.0,0.21,3484000000.0,0.0,0.0,7930000000.0,1232000000.0,20729000000.0,3484000000.0,2252000000.0,272000000.0,61000000.0,333000000.0,7930000000.0,7930000000.0,23103000000.0,296000000.0,2064000000.0,3492000000.0,3181000000.0,2.27,2.49,7927000000.0,0.0,7927000000.0,,7930000000.0,-13000000.0,7943000000.0,7943000000.0,-5752000000.0,2191000000.0,-145000000.0,-145000000.0,0.0,0.0,272000000.0,61000000.0,333000000.0,2064000000.0,2374000000.0,1094000000.0,1280000000.0,4438000000.0,20729000000.0,25167000000.0,25167000000.0
2023-09-30,0.0,0.08,3318000000.0,0.0,0.0,1853000000.0,1235000000.0,19172000000.0,3318000000.0,2083000000.0,244000000.0,38000000.0,282000000.0,1853000000.0,1853000000.0,21586000000.0,301000000.0,1764000000.0,3493000000.0,3176000000.0,0.53,0.58,1851000000.0,0.0,1851000000.0,2000000.0,1853000000.0,-25000000.0,1878000000.0,1878000000.0,167000000.0,2045000000.0,37000000.0,37000000.0,0.0,0.0,244000000.0,38000000.0,282000000.0,1764000000.0,2414000000.0,1161000000.0,1253000000.0,4178000000.0,19172000000.0,23350000000.0,23350000000.0
2023-06-30,0.0,0.11,4119000000.0,0.0,0.0,2703000000.0,1154000000.0,20394000000.0,4119000000.0,2965000000.0,210000000.0,28000000.0,238000000.0,2703000000.0,2703000000.0,22528000000.0,338000000.0,2399000000.0,3478000000.0,3171000000.0,0.78,0.85,2703000000.0,0.0,2703000000.0,0.0,2703000000.0,89000000.0,2614000000.0,2614000000.0,323000000.0,2937000000.0,328000000.0,328000000.0,0.0,0.0,210000000.0,28000000.0,238000000.0,2399000000.0,2134000000.0,943000000.0,1191000000.0,4533000000.0,20394000000.0,24927000000.0,24927000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,-5000000.0,,,,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,1478000000.0
2024-03-31,1129000000.0
2023-12-31,7930000000.0
2023-09-30,1853000000.0
2023-06-30,2703000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-06 00:00:00-05:00,130951000
2016-02-24 00:00:00-05:00,132056000
2016-05-10 00:00:00-04:00,133945000
2016-05-20 00:00:00-04:00,145881000
2016-06-16 00:00:00-04:00,147277000
2016-08-01 00:00:00-04:00,148047000
2016-11-22 00:00:00-05:00,172170000
2016-12-14 00:00:00-05:00,160874000
2017-03-02 00:00:00-05:00,162897000
2017-03-02 00:00:00-05:00,161670000
2017-03-23 00:00:00-04:00,164260000
2017-03-23 00:00:00-04:00,163096992
2017-03-23 00:00:00-04:00,163097000
2017-05-10 00:00:00-04:00,164260000
2017-05-10 00:00:00-04:00,166887008
2017-08-04 00:00:00-04:00,168880000
2017-08-04 00:00:00-04:00,171732992
2017-08-04 00:00:00-04:00,170000000
2017-08-04 00:00:00-04:00,168920000
2017-08-04 00:00:00-04:00,168867008
2017-08-04 00:00:00-04:00,168067008
2017-08-04 00:00:00-04:00,169794000
2017-08-04 00:00:00-04:00,170592992
2017-08-04 00:00:00-04:00,166887008
2018-11-14 00:00:00-05:00,171732992
2018-11-15 00:00:00-05:00,171732992
2018-11-19 00:00:00-05:00,171732992
2018-11-21 00:00:00-05:00,171732992
2018-11-22 00:00:00-05:00,171732992
2018-11-26 00:00:00-05:00,171732992
2018-11-28 00:00:00-05:00,171732992
2018-11-29 00:00:00-05:00,171732992
2018-12-02 00:00:00-05:00,171732992
2018-12-03 00:00:00-05:00,171732992
2018-12-04 00:00:00-05:00,171732992
2018-12-06 00:00:00-05:00,171732992
2018-12-07 00:00:00-05:00,171732992
2018-12-09 00:00:00-05:00,171732992
2018-12-10 00:00:00-05:00,171732992
2018-12-11 00:00:00-05:00,171732992
2018-12-12 00:00:00-05:00,171732992
2018-12-14 00:00:00-05:00,171732992
2018-12-16 00:00:00-05:00,171732992
2018-12-17 00:00:00-05:00,171732992
2018-12-19 00:00:00-05:00,171732992
2018-12-21 00:00:00-05:00,171732992
2018-12-30 00:00:00-05:00,171732992
2019-01-05 00:00:00-05:00,171732992
2019-01-07 00:00:00-05:00,171732992
2019-01-09 00:00:00-05:00,171732992
2019-01-10 00:00:00-05:00,171732992
2019-01-12 00:00:00-05:00,171732992
2019-01-14 00:00:00-05:00,171732992
2019-01-16 00:00:00-05:00,171732992
2019-01-17 00:00:00-05:00,171732992
2019-01-20 00:00:00-05:00,171732992
2019-01-22 00:00:00-05:00,171732992
2019-01-24 00:00:00-05:00,171732992
2019-01-25 00:00:00-05:00,171732992
2019-01-26 00:00:00-05:00,171732992
2019-01-28 00:00:00-05:00,171732992
2019-01-30 00:00:00-05:00,171732992
2019-02-04 00:00:00-05:00,171732992
2019-02-07 00:00:00-05:00,171732992
2019-02-10 00:00:00-05:00,171732992
2019-02-11 00:00:00-05:00,171732992
2019-02-13 00:00:00-05:00,171732992
2019-02-14 00:00:00-05:00,171732992
2019-02-15 00:00:00-05:00,171732992
2019-02-17 00:00:00-05:00,171732992
2019-02-18 00:00:00-05:00,171732992
2019-02-20 00:00:00-05:00,172720992
2019-02-28 00:00:00-05:00,172720992
2019-03-01 00:00:00-05:00,172720992
2019-03-07 00:00:00-05:00,172720992
2019-03-09 00:00:00-05:00,172720992
2019-03-10 00:00:00-05:00,172720992
2019-03-11 00:00:00-04:00,172720992
2019-03-14 00:00:00-04:00,172720992
2019-03-15 00:00:00-04:00,172720992
2019-03-17 00:00:00-04:00,172720992
2019-03-18 00:00:00-04:00,172720992
2019-03-26 00:00:00-04:00,172720992
2019-03-27 00:00:00-04:00,172720992
2019-03-29 00:00:00-04:00,172720992
2019-03-30 00:00:00-04:00,172720992
2019-04-01 00:00:00-04:00,172720992
2019-04-02 00:00:00-04:00,172720992
2019-04-05 00:00:00-04:00,172720992
2019-04-11 00:00:00-04:00,172720992
2019-04-14 00:00:00-04:00,172720992
2019-04-15 00:00:00-04:00,172720992
2019-04-17 00:00:00-04:00,172720992
2019-04-19 00:00:00-04:00,172720992
2019-04-21 00:00:00-04:00,173708992
2019-04-23 00:00:00-04:00,173708992
2019-04-29 00:00:00-04:00,173708992
2019-05-01 00:00:00-04:00,173708992
2019-05-02 00:00:00-04:00,173720992
2019-05-03 00:00:00-04:00,173720992
2019-05-05 00:00:00-04:00,176404992
2019-05-07 00:00:00-04:00,176404992
2019-05-09 00:00:00-04:00,176404992
2019-05-11 00:00:00-04:00,176404992
2019-05-12 00:00:00-04:00,176404992
2019-05-13 00:00:00-04:00,176404992
2019-05-20 00:00:00-04:00,177290000
2019-05-22 00:00:00-04:00,177290000
2019-05-23 00:00:00-04:00,177290000
2019-05-28 00:00:00-04:00,178190000
2019-06-03 00:00:00-04:00,178190000
2019-06-05 00:00:00-04:00,178190000
2019-06-10 00:00:00-04:00,178190000
2019-06-11 00:00:00-04:00,178190000
2019-06-17 00:00:00-04:00,178190000
2019-06-19 00:00:00-04:00,178190000
2019-06-21 00:00:00-04:00,178190000
2019-06-23 00:00:00-04:00,178190000
2019-06-26 00:00:00-04:00,181335008
2019-06-27 00:00:00-04:00,178188992
2019-07-05 00:00:00-04:00,170336992
2019-07-06 00:00:00-04:00,178188992
2019-07-10 00:00:00-04:00,174730000
2019-07-11 00:00:00-04:00,185051008
2019-07-12 00:00:00-04:00,177950000
2019-07-13 00:00:00-04:00,178188992
2019-07-31 00:00:00-04:00,179127008
2019-08-05 00:00:00-04:00,178752992
2019-08-06 00:00:00-04:00,179127008
2019-08-07 00:00:00-04:00,183850000
2019-08-08 00:00:00-04:00,183128000
2019-08-09 00:00:00-04:00,182872000
2019-08-10 00:00:00-04:00,179127008
2019-08-30 00:00:00-04:00,174183008
2019-09-02 00:00:00-04:00,171172000
2019-09-04 00:00:00-04:00,179127008
2019-09-06 00:00:00-04:00,176030000
2019-09-09 00:00:00-04:00,177678000
2019-09-11 00:00:00-04:00,171576000
2019-09-12 00:00:00-04:00,187919008
2019-09-12 00:00:00-04:00,179127008
2019-09-20 00:00:00-04:00,181415008
2019-09-21 00:00:00-04:00,179127008
2019-10-04 00:00:00-04:00,186891008
2019-10-08 00:00:00-04:00,179127008
2019-10-21 00:00:00-04:00,175695008
2019-10-22 00:00:00-04:00,179127008
2019-10-31 00:00:00-04:00,180244992
2019-11-05 00:00:00-05:00,181171008
2019-11-06 00:00:00-05:00,178796992
2019-11-07 00:00:00-05:00,180244992
2019-11-08 00:00:00-05:00,190504000
2019-11-09 00:00:00-05:00,180244992
2019-11-14 00:00:00-05:00,178276992
2019-11-15 00:00:00-05:00,181932000
2019-11-16 00:00:00-05:00,180244992
2019-11-20 00:00:00-05:00,180244992
2019-11-20 00:00:00-05:00,185152992
2019-12-18 00:00:00-05:00,179059008
2019-12-19 00:00:00-05:00,180244992
2020-01-07 00:00:00-05:00,175056992
2020-01-08 00:00:00-05:00,171750000
2020-01-09 00:00:00-05:00,196451008
2020-01-11 00:00:00-05:00,189114000
