

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,0.0,0.2,360766000000.0,,,325258000000.0,,,360766000000.0,360766000000.0,,,,325258000000.0,325258000000.0,,360766000000.0,5185600000.0,5185600000.0,62.7,62.7,325258000000.0,325258000000.0,325258000000.0,,384187000000.0,384187000000.0,,384187000000.0,,,,,,,,,,,360766000000.0,,,,,,,,439345000000.0,,759692000000.0,759692000000.0
2024-06-30,-2269871.091245,0.19147,474127164000.0,-11855000.0,-11855000.0,247845528000.0,165166594000.0,315385699000.0,474115309000.0,308948715000.0,18341093000.0,2638140000.0,20979233000.0,247855113128.90875,247845528000.0,386966817000.0,286555542000.0,5186162400.0,5185794400.0,47.8,47.8,247845528000.0,247845528000.0,247845528000.0,184090000.0,247661438000.0,247661438000.0,58649137000.0,306310575000.0,1426122000.0,285752000.0,,,1152225000.0,-11855000.0,18341093000.0,,2638140000.0,20979233000.0,286543360000.0,71581118000.0,1285808000.0,48057704000.0,22237606000.0,2947324000.0,19290282000.0,19290282000.0,358124478000.0,315385699000.0,673510177000.0,673510177000.0
2024-03-31,-37940105.570987,0.155029,428509350000.0,-244729000.0,-244729000.0,225484877000.0,159023162000.0,278138932000.0,428264621000.0,269241459000.0,16660917000.0,2698255000.0,19359172000.0,225691665894.42902,225484877000.0,343632468000.0,249018306000.0,5185951400.0,5185853400.0,43.5,43.5,225484877000.0,225484877000.0,225484877000.0,263614000.0,225221263000.0,225221263000.0,41321941000.0,266543204000.0,870554000.0,237282000.0,,,878001000.0,-244729000.0,16660917000.0,,2698255000.0,19359172000.0,249011733000.0,65493536000.0,136255000.0,46108936000.0,19248345000.0,3111259000.0,16137086000.0,16137086000.0,314505269000.0,278138932000.0,592644201000.0,521896971000.0
2023-12-31,155680153.857045,0.09647,430379444000.0,1613767000.0,1613767000.0,251954479000.0,150648409000.0,293760918000.0,431993211000.0,281344802000.0,14490150000.0,2918637000.0,17408787000.0,250496392153.85706,251954479000.0,365324465000.0,260204497000.0,5185800000.0,5183713355.0,46.031471,46.05,251954479000.0,251954479000.0,251954479000.0,388095000.0,251566384000.0,251566384000.0,26859781000.0,278426165000.0,3731665000.0,657672000.0,15553000.0,147000.0,1460226000.0,1598067000.0,14490150000.0,,2918637000.0,17408787000.0,260204350000.0,71563547000.0,-57458000.0,50410124000.0,21210881000.0,2975542000.0,18235339000.0,18235339000.0,331767897000.0,293760918000.0,625528815000.0,625528815000.0
2023-09-30,0.0,0.2,375345162000.0,224064000.0,224064000.0,211000000000.0,147280162000.0,250090294000.0,375345162000.0,228065000000.0,12483352000.0,3111922000.0,15595274000.0,211000000000.0,211000000000.0,318670603000.0,228065000000.0,5185800000.0,5185800000.0,40.7,40.7,211000000000.0,211000000000.0,211000000000.0,204665000.0,241940000000.0,241940000000.0,31145221000.0,241940000000.0,1394988000.0,3954000.0,-2748000.0,2748000.0,1166970000.0,224064000.0,12483352000.0,,3111922000.0,15595274000.0,228065000000.0,68580309000.0,-128482000.0,51137762000.0,17571029000.0,2572905000.0,14998124000.0,14998124000.0,296643000000.0,250090294000.0,546733000000.0,546733000000.0
2023-06-30,,,,538496000.0,538496000.0,,123939688000.0,220641407000.0,,,10666866000.0,3005155000.0,13672021000.0,,,278897361000.0,,,,,,,,,82015000.0,,,32957903000.0,,2064150000.0,391467000.0,-3096000.0,3096000.0,1134187000.0,538496000.0,10666866000.0,-10667000000.0,3005155000.0,13672021000.0,,58255954000.0,61394000.0,41665278000.0,16529282000.0,2365893000.0,14163389000.0,14163389000.0,,220641407000.0,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6164000.0,6164000.0,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-09-30,325258000000.0
2024-06-30,247845528000.0
2024-03-31,225484877000.0
2023-12-31,251954479000.0
2023-09-30,211000000000.0
2023-06-30,
2023-03-31,


Shares Outstanding
,0
2017-04-29 00:00:00-04:00,4916530176
2017-05-02 00:00:00-04:00,4944260096
2017-05-04 00:00:00-04:00,4854150144
2017-05-06 00:00:00-04:00,4854150144
2017-05-12 00:00:00-04:00,4975059968
2017-05-13 00:00:00-04:00,4975059968
2017-05-15 00:00:00-04:00,5001780224
2017-05-16 00:00:00-04:00,5001780224
2017-05-19 00:00:00-04:00,4995389952
2017-05-22 00:00:00-04:00,4952820224
2017-05-23 00:00:00-04:00,4952820224
2017-05-23 00:00:00-04:00,4973360128
2017-05-24 00:00:00-04:00,4973360128
2017-05-25 00:00:00-04:00,5004910080
2017-06-02 00:00:00-04:00,5006320128
2017-06-12 00:00:00-04:00,5027559936
2017-06-14 00:00:00-04:00,5027559936
2017-06-16 00:00:00-04:00,5027559936
2017-06-23 00:00:00-04:00,5100009984
2017-06-25 00:00:00-04:00,5100009984
2017-06-26 00:00:00-04:00,5073849856
2017-06-27 00:00:00-04:00,5073849856
2017-06-29 00:00:00-04:00,5101870080
2017-07-01 00:00:00-04:00,5101870080
2017-07-05 00:00:00-04:00,5133680128
2017-07-08 00:00:00-04:00,5133680128
2017-07-10 00:00:00-04:00,5108740096
2017-07-12 00:00:00-04:00,5108740096
2017-07-17 00:00:00-04:00,5046269952
2017-07-19 00:00:00-04:00,5046269952
2017-07-25 00:00:00-04:00,5138509824
2017-07-26 00:00:00-04:00,5138509824
2017-07-28 00:00:00-04:00,5109729792
2017-07-29 00:00:00-04:00,5109729792
2017-08-03 00:00:00-04:00,5109729792
2017-08-03 00:00:00-04:00,5083360256
2017-08-08 00:00:00-04:00,5064820224
2017-08-08 00:00:00-04:00,5077089792
2017-08-14 00:00:00-04:00,5064820224
2017-08-16 00:00:00-04:00,5064820224
2017-08-17 00:00:00-04:00,5064820224
2017-08-22 00:00:00-04:00,5107579904
2017-08-24 00:00:00-04:00,5082350080
2017-08-29 00:00:00-04:00,5021870080
2017-08-30 00:00:00-04:00,5021870080
2017-09-05 00:00:00-04:00,5006470144
2017-09-12 00:00:00-04:00,4957669888
2017-09-13 00:00:00-04:00,4957669888
2017-09-18 00:00:00-04:00,4972049920
2017-09-19 00:00:00-04:00,4972049920
2017-09-25 00:00:00-04:00,4956250112
2017-09-28 00:00:00-04:00,4956250112
2017-10-02 00:00:00-04:00,5030920192
2017-10-12 00:00:00-04:00,5030920192
2017-10-18 00:00:00-04:00,4986650112
2017-10-21 00:00:00-04:00,4986650112
2017-10-23 00:00:00-04:00,4979590144
2017-10-23 00:00:00-04:00,4948340224
2017-10-24 00:00:00-04:00,4979590144
2017-10-25 00:00:00-04:00,4979590144
2017-10-31 00:00:00-04:00,4979590144
2017-11-01 00:00:00-04:00,4941559808
2017-11-06 00:00:00-05:00,4853300224
2017-11-09 00:00:00-05:00,4853300224
2017-11-15 00:00:00-05:00,4894490112
2017-11-28 00:00:00-05:00,4862629888
2017-11-30 00:00:00-05:00,4908510208
2017-12-01 00:00:00-05:00,4997649920
2017-12-01 00:00:00-05:00,4908510208
2017-12-06 00:00:00-05:00,5015860224
2017-12-07 00:00:00-05:00,5027919872
2017-12-11 00:00:00-05:00,4974410240
2017-12-14 00:00:00-05:00,4974410240
2017-12-16 00:00:00-05:00,4974410240
2017-12-18 00:00:00-05:00,4974410240
2017-12-20 00:00:00-05:00,4974410240
2017-12-26 00:00:00-05:00,4974410240
2017-12-29 00:00:00-05:00,4974410240
2017-12-30 00:00:00-05:00,4974410240
2018-01-02 00:00:00-05:00,5106180096
2018-01-03 00:00:00-05:00,5106180096
2018-01-06 00:00:00-05:00,4955829760
2018-01-11 00:00:00-05:00,4955829760
2018-01-18 00:00:00-05:00,4909570048
2018-01-29 00:00:00-05:00,4900310016
2018-01-29 00:00:00-05:00,4778399744
2018-01-30 00:00:00-05:00,4774340096
2018-01-31 00:00:00-05:00,4867840000
2018-01-31 00:00:00-05:00,4774340096
2018-02-02 00:00:00-05:00,4906729984
2018-02-03 00:00:00-05:00,4906729984
2018-02-06 00:00:00-05:00,4906729984
2018-02-07 00:00:00-05:00,4906729984
2018-02-07 00:00:00-05:00,5046689792
2018-02-08 00:00:00-05:00,5046689792
2018-02-09 00:00:00-05:00,5046689792
2018-02-12 00:00:00-05:00,4885919744
2018-02-15 00:00:00-05:00,4706599936
2018-02-16 00:00:00-05:00,4706599936
2018-02-20 00:00:00-05:00,4660049920
2018-02-22 00:00:00-05:00,4784079872
2018-02-23 00:00:00-05:00,4943360000
