

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,12500000.0,0.05,1147000000.0,250000000.0,250000000.0,1015000000.0,181000000.0,6480000000.0,1397000000.0,1216000000.0,37000000.0,139000000.0,176000000.0,777500000.0,1015000000.0,9904000000.0,796000000.0,2150019000.0,2092180000.0,0.47,0.49,1001000000.0,-14000000.0,1015000000.0,1015000000.0,7000000.0,1008000000.0,1008000000.0,-12000000.0,57000000.0,1077000000.0,244000000.0,-6000000.0,,,,250000000.0,37000000.0,139000000.0,176000000.0,796000000.0,3416000000.0,682000000.0,173000000.0,173000000.0,760000000.0,1801000000.0,1115000000.0,686000000.0,686000000.0,4212000000.0,6488000000.0,10700000000.0,10700000000.0
2024-03-31,-185850000.0,0.21,573000000.0,-885000000.0,-885000000.0,-654000000.0,194000000.0,6164000000.0,-312000000.0,-506000000.0,35000000.0,124000000.0,159000000.0,45150000.0,-654000000.0,9959000000.0,172000000.0,2080168000.0,2078467000.0,-0.32,-0.31,-670000000.0,-16000000.0,-654000000.0,-654000000.0,9000000.0,-663000000.0,-663000000.0,-4000000.0,29000000.0,-630000000.0,-837000000.0,48000000.0,,,,-885000000.0,35000000.0,124000000.0,159000000.0,172000000.0,3791000000.0,685000000.0,190000000.0,190000000.0,790000000.0,2126000000.0,917000000.0,1209000000.0,1209000000.0,3963000000.0,6168000000.0,10131000000.0,10131000000.0
2023-12-31,87817833.698031,0.072757,979000000.0,1207000000.0,1207000000.0,1429000000.0,203000000.0,6057000000.0,2186000000.0,1983000000.0,5000000.0,155000000.0,160000000.0,309817833.698031,1429000000.0,9284000000.0,652000000.0,2121929000.0,2060885000.0,0.66,0.69,1409000000.0,-20000000.0,1429000000.0,1429000000.0,-271000000.0,1700000000.0,1700000000.0,5000000.0,133000000.0,1828000000.0,1171000000.0,-36000000.0,204000000.0,204000000.0,0.0,1003000000.0,5000000.0,155000000.0,160000000.0,652000000.0,3227000000.0,702000000.0,203000000.0,203000000.0,784000000.0,1538000000.0,935000000.0,603000000.0,603000000.0,3879000000.0,6057000000.0,9936000000.0,9936000000.0
2023-09-30,-39480000.0,0.21,735000000.0,-188000000.0,-188000000.0,221000000.0,205000000.0,5626000000.0,547000000.0,342000000.0,-36000000.0,166000000.0,130000000.0,369520000.0,221000000.0,8898000000.0,394000000.0,2108479000.0,2044688000.0,0.1,0.11,208000000.0,-13000000.0,221000000.0,221000000.0,2000000.0,219000000.0,219000000.0,3000000.0,-40000000.0,176000000.0,-182000000.0,6000000.0,0.0,0.0,0.0,-188000000.0,-36000000.0,166000000.0,130000000.0,394000000.0,3272000000.0,683000000.0,205000000.0,205000000.0,797000000.0,1587000000.0,941000000.0,646000000.0,646000000.0,3666000000.0,5626000000.0,9292000000.0,9292000000.0
2023-06-30,43820000.0,0.14,494000000.0,313000000.0,313000000.0,394000000.0,208000000.0,5515000000.0,807000000.0,599000000.0,-37000000.0,144000000.0,107000000.0,124820000.0,394000000.0,8904000000.0,326000000.0,2079265000.0,2026813000.0,0.18,0.19,381000000.0,-13000000.0,394000000.0,394000000.0,0.0,394000000.0,394000000.0,4000000.0,65000000.0,455000000.0,166000000.0,-147000000.0,0.0,,0.0,313000000.0,-37000000.0,144000000.0,107000000.0,326000000.0,3389000000.0,664000000.0,208000000.0,208000000.0,808000000.0,1709000000.0,1218000000.0,491000000.0,491000000.0,3715000000.0,5515000000.0,9230000000.0,9230000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,1015000000.0
2024-03-31,-654000000.0
2023-12-31,1429000000.0
2023-09-30,221000000.0
2023-06-30,394000000.0
2023-03-31,


Shares Outstanding
,0
2019-05-09 00:00:00-04:00,1830000000
2019-05-10 00:00:00-04:00,0
2019-05-10 00:00:00-04:00,1830000000
2019-05-12 00:00:00-04:00,1676960000
2019-05-14 00:00:00-04:00,1676960000
2019-05-20 00:00:00-04:00,1682520064
2019-05-22 00:00:00-04:00,1682520064
2019-05-23 00:00:00-04:00,1682520064
2019-05-29 00:00:00-04:00,1682520064
2019-06-03 00:00:00-04:00,1682520064
2019-06-04 00:00:00-04:00,1682520064
2019-06-05 00:00:00-04:00,1695549952
2019-06-06 00:00:00-04:00,1695549952
2019-06-10 00:00:00-04:00,1695549952
2019-06-11 00:00:00-04:00,1695549952
2019-06-17 00:00:00-04:00,1695549952
2019-06-19 00:00:00-04:00,1695549952
2019-06-21 00:00:00-04:00,1695549952
2019-06-23 00:00:00-04:00,1695549952
2019-06-30 00:00:00-04:00,1695549952
2019-07-12 00:00:00-04:00,1706800000
2019-07-13 00:00:00-04:00,1695549952
2019-07-24 00:00:00-04:00,1682749952
2019-07-25 00:00:00-04:00,1695549952
2019-08-05 00:00:00-04:00,1733740032
2019-08-06 00:00:00-04:00,1695549952
2019-08-07 00:00:00-04:00,1754169984
2019-08-08 00:00:00-04:00,1699890048
2019-08-09 00:00:00-04:00,1860989952
2019-08-10 00:00:00-04:00,1695549952
2019-08-12 00:00:00-04:00,1697609984
2019-08-13 00:00:00-04:00,1700000000
2019-08-29 00:00:00-04:00,1673299968
2019-08-30 00:00:00-04:00,1691180032
2019-09-02 00:00:00-04:00,1701049984
2019-09-04 00:00:00-04:00,1700000000
2019-09-06 00:00:00-04:00,1703139968
2019-09-09 00:00:00-04:00,1737890048
2019-09-11 00:00:00-04:00,1652320000
2019-09-12 00:00:00-04:00,1724860032
2019-09-13 00:00:00-04:00,1700000000
2019-09-20 00:00:00-04:00,1678169984
2019-09-21 00:00:00-04:00,1700000000
2019-10-05 00:00:00-04:00,1658819968
2019-10-08 00:00:00-04:00,1660819968
2019-10-09 00:00:00-04:00,1700000000
2019-10-21 00:00:00-04:00,1670819968
2019-10-22 00:00:00-04:00,1700000000
2019-11-05 00:00:00-05:00,1707049984
2019-11-06 00:00:00-05:00,1722979968
2019-11-07 00:00:00-05:00,1715869952
2019-11-08 00:00:00-05:00,1478589952
2019-11-09 00:00:00-05:00,1705820032
2019-11-14 00:00:00-05:00,1706450048
2019-11-15 00:00:00-05:00,1659830016
2019-11-16 00:00:00-05:00,1705820032
2019-12-11 00:00:00-05:00,1718759936
2019-12-12 00:00:00-05:00,1674000000
2019-12-13 00:00:00-05:00,1705820032
2019-12-18 00:00:00-05:00,1688790016
2019-12-19 00:00:00-05:00,1727600000
2019-12-20 00:00:00-05:00,1705820032
2020-01-08 00:00:00-05:00,1673949952
2020-01-09 00:00:00-05:00,1705820032
2020-01-10 00:00:00-05:00,1832749952
2020-01-11 00:00:00-05:00,1764039936
2020-01-12 00:00:00-05:00,1705820032
2020-01-13 00:00:00-05:00,1709840000
2020-01-14 00:00:00-05:00,1705820032
2020-02-04 00:00:00-05:00,1646819968
2020-02-05 00:00:00-05:00,1705820032
2020-02-07 00:00:00-05:00,1718790016
2020-02-09 00:00:00-05:00,1705820032
2020-02-10 00:00:00-05:00,1716679936
2020-02-12 00:00:00-05:00,1770739968
2020-02-13 00:00:00-05:00,1715849984
2020-02-14 00:00:00-05:00,1668409984
2020-02-15 00:00:00-05:00,1716679936
2020-03-04 00:00:00-05:00,1723779968
2020-04-01 00:00:00-04:00,1727299968
2020-05-09 00:00:00-04:00,1629319936
2020-05-10 00:00:00-04:00,1727299968
2020-05-12 00:00:00-04:00,1727299968
2020-05-21 00:00:00-04:00,1679670016
2020-05-22 00:00:00-04:00,1733990016
2020-07-23 00:00:00-04:00,1745959936
2020-08-11 00:00:00-04:00,1752620032
2020-08-28 00:00:00-04:00,1752620032
2020-09-05 00:00:00-04:00,1802979968
2020-09-21 00:00:00-04:00,1752620032
2020-09-21 00:00:00-04:00,1749789952
2020-11-10 00:00:00-05:00,1763769984
2020-11-26 00:00:00-05:00,1763769984
2021-01-22 00:00:00-05:00,1851320064
2021-03-04 00:00:00-05:00,1858339968
2021-03-17 00:00:00-04:00,1858339968
2021-03-17 00:00:00-04:00,1905709952
2021-03-17 00:00:00-04:00,1858509952
2021-03-18 00:00:00-04:00,1858509952
2021-03-31 00:00:00-04:00,1860909952
2021-04-13 00:00:00-04:00,1867360000
2021-04-23 00:00:00-04:00,1850439936
