

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Gain On Sale Of Business,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-50067431.597529,0.219594,7898000000.0,-228000000.0,-228000000.0,4216000000.0,1020000000.0,76798000000.0,7670000000.0,6650000000.0,-985000000.0,985000000.0,4393932568.402471,4216000000.0,90980000000.0,7875000000.0,928000000.0,921000000.0,4.54,4.577633,4216000000.0,4216000000.0,4216000000.0,-205000000.0,4421000000.0,4421000000.0,1244000000.0,5665000000.0,-228000000.0,-1225000000.0,-1225000000.0,997000000.0,-985000000.0,985000000.0,6878000000.0,14182000000.0,13162000000.0,1020000000.0,1020000000.0,21060000000.0,76798000000.0,97858000000.0,97858000000.0
2024-03-31,-1275750000.0,0.21,7917000000.0,-6075000000.0,-6075000000.0,-1409000000.0,997000000.0,76791000000.0,1842000000.0,845000000.0,-844000000.0,844000000.0,3390250000.0,-1409000000.0,91865000000.0,7931000000.0,922000000.0,920000000.0,-1.531522,-1.531522,-1409000000.0,-1409000000.0,-1409000000.0,-188000000.0,-1221000000.0,-1221000000.0,1222000000.0,1000000.0,-6075000000.0,-7086000000.0,-7086000000.0,1011000000.0,-844000000.0,844000000.0,6920000000.0,15074000000.0,14077000000.0,997000000.0,997000000.0,21994000000.0,76791000000.0,98785000000.0,98785000000.0
2023-12-31,203518880.303251,0.17262,7484000000.0,1179000000.0,1179000000.0,5455000000.0,974000000.0,72425000000.0,8663000000.0,7689000000.0,-830000000.0,830000000.0,4479518880.303251,5455000000.0,86738000000.0,7689000000.0,935000000.0,924000000.0,5.83,5.90368,5455000000.0,5455000000.0,5455000000.0,-220000000.0,5675000000.0,5675000000.0,1184000000.0,6859000000.0,1179000000.0,,,1179000000.0,-830000000.0,830000000.0,6510000000.0,14313000000.0,13339000000.0,974000000.0,974000000.0,20823000000.0,72425000000.0,93248000000.0,93248000000.0
2023-09-30,214355000.0,0.215,8536000000.0,997000000.0,997000000.0,5841000000.0,1007000000.0,68973000000.0,9533000000.0,8526000000.0,-834000000.0,834000000.0,5058355000.0,5841000000.0,83835000000.0,8526000000.0,936000000.0,926000000.0,6.24,6.31,5841000000.0,5841000000.0,5841000000.0,-197000000.0,6038000000.0,6038000000.0,1654000000.0,7692000000.0,997000000.0,,,997000000.0,-834000000.0,834000000.0,7529000000.0,14862000000.0,13855000000.0,1007000000.0,1007000000.0,22391000000.0,68973000000.0,91364000000.0,91364000000.0
2023-06-30,242465071.240836,0.217457,7963000000.0,1115000000.0,1115000000.0,5474000000.0,1021000000.0,70016000000.0,9078000000.0,8057000000.0,-828000000.0,828000000.0,4601465071.240836,5474000000.0,84846000000.0,8057000000.0,940000000.0,930000000.0,5.82,5.89,5474000000.0,5474000000.0,5474000000.0,-183000000.0,5657000000.0,5657000000.0,1572000000.0,7229000000.0,1115000000.0,0.0,0.0,1115000000.0,-828000000.0,828000000.0,6942000000.0,14830000000.0,13809000000.0,1021000000.0,1021000000.0,21772000000.0,70016000000.0,91788000000.0,91788000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,


Net Income
,Net Income
2024-06-30,4216000000.0
2024-03-31,-1409000000.0
2023-12-31,5455000000.0
2023-09-30,5841000000.0
2023-06-30,5474000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-05 00:00:00-05:00,953108000
2016-02-09 00:00:00-05:00,950674000
2016-04-25 00:00:00-04:00,950209000
2016-05-05 00:00:00-04:00,950804000
2016-08-02 00:00:00-04:00,952391000
2016-11-08 00:00:00-05:00,951816000
2017-02-09 00:00:00-05:00,951165000
2017-03-27 00:00:00-04:00,964854016
2017-03-27 00:00:00-04:00,964110016
2017-03-27 00:00:00-04:00,964854000
2017-04-24 00:00:00-04:00,963662016
2017-04-24 00:00:00-04:00,964110016
2017-05-08 00:00:00-04:00,966860032
2017-05-08 00:00:00-04:00,963662016
2017-08-04 00:00:00-04:00,969067008
2017-08-04 00:00:00-04:00,966860032
2017-08-04 00:00:00-04:00,967662976
2017-08-04 00:00:00-04:00,961076992
2017-08-04 00:00:00-04:00,960980992
2017-08-04 00:00:00-04:00,962473024
2017-08-04 00:00:00-04:00,962033984
2018-11-13 00:00:00-05:00,962033984
2018-11-14 00:00:00-05:00,962033984
2018-11-16 00:00:00-05:00,962033984
2018-11-19 00:00:00-05:00,962033984
2018-11-21 00:00:00-05:00,962033984
2018-11-22 00:00:00-05:00,962033984
2018-11-26 00:00:00-05:00,962033984
2018-11-28 00:00:00-05:00,962033984
2018-11-29 00:00:00-05:00,962033984
2018-12-05 00:00:00-05:00,962033984
2018-12-06 00:00:00-05:00,962033984
2018-12-07 00:00:00-05:00,962033984
2018-12-10 00:00:00-05:00,962033984
2018-12-11 00:00:00-05:00,962033984
2018-12-12 00:00:00-05:00,962033984
2018-12-14 00:00:00-05:00,962033984
2018-12-16 00:00:00-05:00,962033984
2018-12-17 00:00:00-05:00,962033984
2018-12-19 00:00:00-05:00,962033984
2018-12-21 00:00:00-05:00,962033984
2018-12-30 00:00:00-05:00,962033984
2019-01-05 00:00:00-05:00,962033984
2019-01-07 00:00:00-05:00,962033984
2019-01-09 00:00:00-05:00,962033984
2019-01-10 00:00:00-05:00,962033984
2019-01-12 00:00:00-05:00,962033984
2019-01-14 00:00:00-05:00,962033984
2019-01-16 00:00:00-05:00,962033984
2019-01-20 00:00:00-05:00,962033984
2019-01-24 00:00:00-05:00,962033984
2019-01-25 00:00:00-05:00,962033984
2019-01-28 00:00:00-05:00,962033984
2019-01-30 00:00:00-05:00,962033984
2019-02-04 00:00:00-05:00,962033984
2019-02-07 00:00:00-05:00,962033984
2019-02-11 00:00:00-05:00,962033984
2019-02-14 00:00:00-05:00,962033984
2019-02-15 00:00:00-05:00,959537984
2019-02-17 00:00:00-05:00,959537984
2019-02-18 00:00:00-05:00,959537984
2019-02-20 00:00:00-05:00,959537984
2019-02-28 00:00:00-05:00,959537984
2019-03-01 00:00:00-05:00,959537984
2019-03-07 00:00:00-05:00,959537984
2019-03-09 00:00:00-05:00,959537984
2019-03-10 00:00:00-05:00,959537984
2019-03-11 00:00:00-04:00,959537984
2019-03-14 00:00:00-04:00,959537984
2019-03-15 00:00:00-04:00,959537984
2019-03-17 00:00:00-04:00,959537984
2019-03-18 00:00:00-04:00,959537984
2019-03-26 00:00:00-04:00,959537984
2019-03-27 00:00:00-04:00,959537984
2019-03-29 00:00:00-04:00,959537984
2019-03-30 00:00:00-04:00,959537984
2019-04-01 00:00:00-04:00,959537984
2019-04-02 00:00:00-04:00,959537984
2019-04-05 00:00:00-04:00,959537984
2019-04-09 00:00:00-04:00,959537984
2019-04-11 00:00:00-04:00,959537984
2019-04-14 00:00:00-04:00,959537984
2019-04-15 00:00:00-04:00,959537984
2019-04-17 00:00:00-04:00,959537984
2019-04-19 00:00:00-04:00,959537984
2019-04-21 00:00:00-04:00,959537984
2019-04-23 00:00:00-04:00,959537984
2019-04-29 00:00:00-04:00,952244992
2019-05-01 00:00:00-04:00,952244992
2019-05-02 00:00:00-04:00,952244992
2019-05-03 00:00:00-04:00,952244992
2019-05-05 00:00:00-04:00,952244992
2019-05-07 00:00:00-04:00,952244992
2019-05-09 00:00:00-04:00,950342976
2019-05-11 00:00:00-04:00,950342976
2019-05-12 00:00:00-04:00,950342976
2019-05-13 00:00:00-04:00,950342976
2019-05-19 00:00:00-04:00,950342976
2019-05-20 00:00:00-04:00,950342976
2019-05-22 00:00:00-04:00,950342976
2019-05-23 00:00:00-04:00,950342976
2019-05-28 00:00:00-04:00,950342976
2019-06-01 00:00:00-04:00,950342976
2019-06-03 00:00:00-04:00,950342976
2019-06-04 00:00:00-04:00,950342976
2019-06-05 00:00:00-04:00,950342976
2019-06-06 00:00:00-04:00,950342976
2019-06-10 00:00:00-04:00,950342976
2019-06-11 00:00:00-04:00,950342976
2019-06-12 00:00:00-04:00,950342976
2019-06-17 00:00:00-04:00,950342976
2019-06-19 00:00:00-04:00,950342976
2019-06-21 00:00:00-04:00,950342976
2019-06-23 00:00:00-04:00,950342976
2019-06-24 00:00:00-04:00,950342976
2019-06-26 00:00:00-04:00,950342976
2019-07-05 00:00:00-04:00,945537024
2019-07-06 00:00:00-04:00,950342976
2019-07-10 00:00:00-04:00,960536000
2019-07-11 00:00:00-04:00,956060992
2019-07-12 00:00:00-04:00,1002880000
2019-07-13 00:00:00-04:00,950342976
2019-08-05 00:00:00-04:00,947302976
2019-08-06 00:00:00-04:00,950342976
2019-08-07 00:00:00-04:00,969694016
2019-08-08 00:00:00-04:00,955734016
2019-08-09 00:00:00-04:00,952179968
2019-08-10 00:00:00-04:00,947681024
2019-08-30 00:00:00-04:00,934243008
2019-09-02 00:00:00-04:00,920748992
2019-09-04 00:00:00-04:00,947681024
2019-09-06 00:00:00-04:00,965884032
2019-09-09 00:00:00-04:00,968371968
2019-09-11 00:00:00-04:00,953958976
2019-09-12 00:00:00-04:00,947681024
2019-09-20 00:00:00-04:00,956886016
2019-09-21 00:00:00-04:00,947681024
2019-10-04 00:00:00-04:00,953796992
2019-10-08 00:00:00-04:00,947681024
2019-10-21 00:00:00-04:00,954176000
2019-10-22 00:00:00-04:00,947681024
2019-11-05 00:00:00-05:00,949521984
2019-11-06 00:00:00-05:00,953150016
2019-11-07 00:00:00-05:00,947681024
2019-11-08 00:00:00-05:00,967060992
2019-11-14 00:00:00-05:00,941179008
2019-11-15 00:00:00-05:00,955859008
2019-11-16 00:00:00-05:00,947414976
2019-11-20 00:00:00-05:00,951928000
2019-11-20 00:00:00-05:00,947414976
2019-12-18 00:00:00-05:00,942353984
2019-12-19 00:00:00-05:00,947414976
2020-01-08 00:00:00-05:00,950502016
2020-01-09 00:00:00-05:00,961550976
2020-01-11 00:00:00-05:00,967390016
2020-01-12 00:00:00-05:00,947414976
2020-02-07 00:00:00-05:00,936939008
2020-02-08 00:00:00-05:00,947414976
2020-02-12 00:00:00-05:00,959825984
2020-02-13 00:00:00-05:00,947414976
2020-02-20 00:00:00-05:00,948572992
2020-03-09 00:00:00-04:00,951624000
2020-03-10 00:00:00-04:00,948572992
2020-04-17 00:00:00-04:00,948572992
2020-04-21 00:00:00-04:00,947425984
2020-05-08 00:00:00-04:00,948380032
2020-08-04 00:00:00-04:00,948380032
2020-08-04 00:00:00-04:00,950979008
2020-08-05 00:00:00-04:00,950336000
2020-08-28 00:00:00-04:00,950336000
2020-09-05 00:00:00-04:00,962387008
2020-09-06 00:00:00-04:00,950336000
2020-09-21 00:00:00-04:00,940956032
2020-09-22 00:00:00-04:00,950336000
2020-11-04 00:00:00-05:00,948820992
2020-11-26 00:00:00-05:00,948820992
2021-03-03 00:00:00-05:00,945318976
2021-03-17 00:00:00-04:00,949105024
2021-03-17 00:00:00-04:00,945318976
2021-04-16 00:00:00-04:00,945318976
2021-04-23 00:00:00-04:00,950731008
2021-04-25 00:00:00-04:00,941777024
2021-04-27 00:00:00-04:00,945318976
2021-04-28 00:00:00-04:00,943889024
2021-05-07 00:00:00-04:00,943702016
2021-06-17 00:00:00-04:00,943702016
2021-06-17 00:00:00-04:00,950899968
2021-06-29 00:00:00-04:00,943702016
2021-06-29 00:00:00-04:00,951905984
2021-08-05 00:00:00-04:00,942916992
2021-11-05 00:00:00-04:00,944094016
2021-11-06 00:00:00-04:00,941851008
2022-02-11 00:00:00-05:00,941851008
2022-02-17 00:00:00-05:00,940899008
2022-02-24 00:00:00-05:00,946814976
2022-02-25 00:00:00-05:00,940899008
2022-03-20 00:00:00-04:00,942572032
2022-03-22 00:00:00-04:00,940899008
2022-04-26 00:00:00-04:00,938948992
2022-05-06 00:00:00-04:00,938172032
2022-07-06 00:00:00-04:00,938172032
2022-07-06 00:00:00-04:00,960750976
2022-08-05 00:00:00-04:00,950300032
2022-08-06 00:00:00-04:00,938172032
2022-08-08 00:00:00-04:00,935382976
2022-09-06 00:00:00-04:00,935382976
2022-09-10 00:00:00-04:00,941038016
2022-09-12 00:00:00-04:00,935382976
2022-09-17 00:00:00-04:00,935382976
2022-09-17 00:00:00-04:00,938776000
2022-11-10 00:00:00-05:00,934348992
2023-01-04 00:00:00-05:00,955139008
2023-01-06 00:00:00-05:00,934348992
2023-03-01 00:00:00-05:00,932846976
2023-03-10 00:00:00-05:00,932846976
2023-03-10 00:00:00-05:00,944264000
2023-03-18 00:00:00-04:00,937854016
2023-03-21 00:00:00-04:00,932846976
2023-04-01 00:00:00-04:00,932846976
2023-04-01 00:00:00-04:00,937867008
2023-04-25 00:00:00-04:00,941460992
2023-04-27 00:00:00-04:00,931603008
2023-05-04 00:00:00-04:00,939121024
2023-05-06 00:00:00-04:00,931603008
2023-05-10 00:00:00-04:00,931032000
2023-05-11 00:00:00-04:00,931620992
2023-05-14 00:00:00-04:00,931032000
2023-07-05 00:00:00-04:00,936409024
2023-07-06 00:00:00-04:00,949644032
2023-07-07 00:00:00-04:00,931032000
2023-07-08 00:00:00-04:00,946724992
2023-07-08 00:00:00-04:00,931032000
2023-07-19 00:00:00-04:00,961651008
2023-07-21 00:00:00-04:00,931032000
2023-08-21 00:00:00-04:00,931032000
2023-08-23 00:00:00-04:00,936352000
2023-08-24 00:00:00-04:00,931032000
2023-09-05 00:00:00-04:00,926305024
2023-10-11 00:00:00-04:00,926305024
2023-10-11 00:00:00-04:00,930316032
2023-10-13 00:00:00-04:00,926305024
2023-10-14 00:00:00-04:00,926305024
2023-10-15 00:00:00-04:00,926305024
2023-10-17 00:00:00-04:00,928686976
2023-10-18 00:00:00-04:00,926305024
2023-10-19 00:00:00-04:00,926305024
2023-10-19 00:00:00-04:00,927324992
2023-10-22 00:00:00-04:00,926305024
2023-10-23 00:00:00-04:00,926305024
2023-11-04 00:00:00-04:00,935430016
2023-11-04 00:00:00-04:00,926305024
2023-11-08 00:00:00-05:00,926305024
2023-11-09 00:00:00-05:00,924924992
2023-11-10 00:00:00-05:00,924924992
2023-11-11 00:00:00-05:00,924924992
2023-11-14 00:00:00-05:00,924924992
2023-11-15 00:00:00-05:00,924924992
2023-11-16 00:00:00-05:00,924924992
2023-11-18 00:00:00-05:00,924924992
2023-11-21 00:00:00-05:00,924924992
2023-11-22 00:00:00-05:00,924924992
2023-11-25 00:00:00-05:00,924924992
2023-11-28 00:00:00-05:00,924924992
2023-11-29 00:00:00-05:00,924924992
2023-12-02 00:00:00-05:00,924924992
2023-12-05 00:00:00-05:00,924924992
2023-12-09 00:00:00-05:00,924924992
2023-12-12 00:00:00-05:00,924924992
2023-12-13 00:00:00-05:00,924924992
2023-12-15 00:00:00-05:00,950496000
2023-12-16 00:00:00-05:00,924924992
2023-12-20 00:00:00-05:00,924924992
2023-12-21 00:00:00-05:00,924924992
2023-12-22 00:00:00-05:00,924924992
2023-12-23 00:00:00-05:00,924924992
2023-12-26 00:00:00-05:00,924924992
2023-12-28 00:00:00-05:00,924924992
2023-12-29 00:00:00-05:00,924924992
2024-01-05 00:00:00-05:00,924924992
2024-01-11 00:00:00-05:00,924924992
2024-01-12 00:00:00-05:00,924924992
2024-01-20 00:00:00-05:00,948398976
2024-01-20 00:00:00-05:00,924924992
2024-02-10 00:00:00-05:00,928262976
2024-02-13 00:00:00-05:00,924924992
2024-03-02 00:00:00-05:00,924924992
2024-03-05 00:00:00-05:00,939628032
2024-03-05 00:00:00-05:00,921934016
2024-03-06 00:00:00-05:00,921934016
2024-03-13 00:00:00-04:00,924484992
2024-03-14 00:00:00-04:00,921934016
