

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,43524000.0,0.186,6215000000.0,234000000.0,234000000.0,4872000000.0,264000000.0,1773000000.0,6449000000.0,6185000000.0,-196000000.0,196000000.0,4681524000.0,4872000000.0,2949000000.0,5938000000.0,2029000000.0,1610000000.0,2.4,2.4,4872000000.0,4872000000.0,4872000000.0,4872000000.0,4872000000.0,1117000000.0,5989000000.0,234000000.0,-13000000.0,13000000.0,247000000.0,-196000000.0,196000000.0,5951000000.0,1176000000.0,264000000.0,264000000.0,912000000.0,378000000.0,534000000.0,534000000.0,7127000000.0,1773000000.0,8900000000.0,11650000000.0
2024-03-31,-29106000.0,0.154,6033000000.0,-189000000.0,-189000000.0,4663000000.0,249000000.0,1792000000.0,5844000000.0,5595000000.0,-82000000.0,82000000.0,4822894000.0,4663000000.0,2991000000.0,5354000000.0,2039000000.0,1579000000.0,2.29,2.29,4663000000.0,4663000000.0,4663000000.0,4663000000.0,4663000000.0,850000000.0,5513000000.0,-189000000.0,-430000000.0,430000000.0,241000000.0,-82000000.0,82000000.0,5784000000.0,1199000000.0,249000000.0,249000000.0,950000000.0,338000000.0,612000000.0,612000000.0,6983000000.0,1792000000.0,8775000000.0,11276000000.0
2023-12-31,50806000.0,0.191,6210000000.0,266000000.0,266000000.0,4890000000.0,247000000.0,1660000000.0,6476000000.0,6229000000.0,-187000000.0,187000000.0,4674806000.0,4890000000.0,2671000000.0,5954000000.0,2045000000.0,1584000000.0,2.39,2.39,4890000000.0,4890000000.0,4890000000.0,4890000000.0,4890000000.0,1152000000.0,6042000000.0,266000000.0,-9000000.0,9000000.0,275000000.0,-187000000.0,187000000.0,5963000000.0,1011000000.0,247000000.0,247000000.0,764000000.0,293000000.0,471000000.0,471000000.0,6974000000.0,1660000000.0,8634000000.0,11290000000.0
2023-09-30,23722498.225692,0.169446,5926000000.0,140000000.0,140000000.0,4681000000.0,247000000.0,1695000000.0,6066000000.0,5819000000.0,-183000000.0,183000000.0,4564722498.225692,4681000000.0,2930000000.0,5550000000.0,2065000000.0,1603000000.0,2.27,2.27,4681000000.0,4681000000.0,4681000000.0,4681000000.0,4681000000.0,955000000.0,5636000000.0,140000000.0,-129000000.0,129000000.0,269000000.0,-183000000.0,183000000.0,5679000000.0,1235000000.0,247000000.0,247000000.0,988000000.0,403000000.0,585000000.0,585000000.0,6914000000.0,1695000000.0,8609000000.0,11304000000.0
2023-06-30,-29376000.0,0.192,5716000000.0,-153000000.0,-153000000.0,4156000000.0,235000000.0,1663000000.0,5563000000.0,5328000000.0,-182000000.0,182000000.0,4279624000.0,4156000000.0,2642000000.0,5024000000.0,2080000000.0,1614000000.0,2.0,2.0,4156000000.0,4156000000.0,4156000000.0,4156000000.0,4156000000.0,990000000.0,5146000000.0,-153000000.0,-457000000.0,457000000.0,304000000.0,-182000000.0,182000000.0,5481000000.0,979000000.0,235000000.0,235000000.0,744000000.0,297000000.0,447000000.0,447000000.0,6460000000.0,1663000000.0,8123000000.0,10693000000.0


Net Income
,Net Income
2024-06-30,4872000000.0
2024-03-31,4663000000.0
2023-12-31,4890000000.0
2023-09-30,4681000000.0
2023-06-30,4156000000.0


Shares Outstanding
,0
2015-11-20 00:00:00-05:00,2429470000
2016-01-28 00:00:00-05:00,2401460000
2016-04-21 00:00:00-04:00,2384830000
2016-04-25 00:00:00-04:00,2384910000
2016-07-25 00:00:00-04:00,2360810000
2016-10-24 00:00:00-04:00,2342830000
2016-10-24 00:00:00-04:00,2113090000
2016-11-15 00:00:00-05:00,2113090000
2016-11-18 00:00:00-05:00,2113090000
2016-11-18 00:00:00-05:00,2100470000
2016-12-13 00:00:00-05:00,2100470000
2017-02-02 00:00:00-05:00,2103530000
2017-02-09 00:00:00-05:00,2320719872
2017-02-09 00:00:00-05:00,2320720000
2017-02-09 00:00:00-05:00,2305669888
2017-02-09 00:00:00-05:00,2103530000
2017-02-09 00:00:00-05:00,2320020000
2017-04-26 00:00:00-04:00,2305669888
2017-07-20 00:00:00-04:00,2061830016
2017-07-20 00:00:00-04:00,2268809984
2017-07-20 00:00:00-04:00,2286769920
2017-07-20 00:00:00-04:00,2275399936
2017-07-20 00:00:00-04:00,2274680064
2017-07-20 00:00:00-04:00,2256910080
2017-07-20 00:00:00-04:00,2266200064
2017-07-20 00:00:00-04:00,2231630080
2017-07-20 00:00:00-04:00,2072460032
2017-07-20 00:00:00-04:00,2225110016
2017-07-20 00:00:00-04:00,2239790080
2017-07-20 00:00:00-04:00,2216460032
2017-08-08 00:00:00-04:00,2286769920
2018-11-14 00:00:00-05:00,2216460032
2018-11-16 00:00:00-05:00,2216460032
2018-11-19 00:00:00-05:00,2206759936
2018-11-21 00:00:00-05:00,2206759936
2018-11-22 00:00:00-05:00,2206759936
2018-11-26 00:00:00-05:00,2206759936
2018-11-28 00:00:00-05:00,2206759936
2018-11-29 00:00:00-05:00,2206759936
2018-12-05 00:00:00-05:00,2206759936
2018-12-06 00:00:00-05:00,2206759936
2018-12-07 00:00:00-05:00,2204209920
2018-12-07 00:00:00-05:00,2206759936
2018-12-09 00:00:00-05:00,2204209920
2018-12-10 00:00:00-05:00,2204209920
2018-12-11 00:00:00-05:00,2204209920
2018-12-12 00:00:00-05:00,2204209920
2018-12-14 00:00:00-05:00,2204209920
2018-12-16 00:00:00-05:00,2204209920
2018-12-17 00:00:00-05:00,2204209920
2018-12-19 00:00:00-05:00,2204209920
2018-12-21 00:00:00-05:00,2204209920
2018-12-30 00:00:00-05:00,2204209920
2018-12-31 00:00:00-05:00,2204209920
2019-01-05 00:00:00-05:00,2204209920
2019-01-07 00:00:00-05:00,2204209920
2019-01-09 00:00:00-05:00,2204209920
2019-01-10 00:00:00-05:00,2204209920
2019-01-12 00:00:00-05:00,2204209920
2019-01-14 00:00:00-05:00,2204209920
2019-01-16 00:00:00-05:00,2204209920
2019-01-17 00:00:00-05:00,2204209920
2019-01-20 00:00:00-05:00,2204209920
2019-01-22 00:00:00-05:00,2204209920
2019-01-24 00:00:00-05:00,2204209920
2019-01-25 00:00:00-05:00,2204209920
2019-01-28 00:00:00-05:00,2204209920
2019-01-30 00:00:00-05:00,2204209920
2019-02-04 00:00:00-05:00,2197060096
2019-02-07 00:00:00-05:00,2197060096
2019-02-10 00:00:00-05:00,2197060096
2019-02-11 00:00:00-05:00,2197060096
2019-02-13 00:00:00-05:00,2197060096
2019-02-14 00:00:00-05:00,2197060096
2019-02-15 00:00:00-05:00,2197060096
2019-02-17 00:00:00-05:00,2197060096
2019-02-18 00:00:00-05:00,2197060096
2019-02-20 00:00:00-05:00,2197060096
2019-02-28 00:00:00-05:00,2197060096
2019-03-01 00:00:00-05:00,2197060096
2019-03-07 00:00:00-05:00,2197060096
2019-03-09 00:00:00-05:00,2197060096
2019-03-10 00:00:00-05:00,2197060096
2019-03-11 00:00:00-04:00,2197060096
2019-03-14 00:00:00-04:00,2197060096
2019-03-15 00:00:00-04:00,2197060096
