

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,19646668.876367,0.220749,12126000000.0,89000000.0,89000000.0,4593000000.0,4483000000.0,12471000000.0,12215000000.0,7732000000.0,-1615000000.0,1698000000.0,83000000.0,4523646668.876367,4593000000.0,24978000000.0,7818000000.0,4221000000.0,4215000000.0,1.09,1.09,4593000000.0,4593000000.0,4593000000.0,-109000000.0,4702000000.0,4702000000.0,1332000000.0,6034000000.0,-169000000.0,-244000000.0,89000000.0,-89000000.0,-14000000.0,-1615000000.0,1698000000.0,83000000.0,7818000000.0,12507000000.0,4483000000.0,4483000000.0,8024000000.0,20325000000.0,12471000000.0,32796000000.0,32796000000.0
2024-03-31,24530000.0,0.223,12045000000.0,110000000.0,110000000.0,4602000000.0,4445000000.0,12872000000.0,12155000000.0,7710000000.0,-1557000000.0,1635000000.0,78000000.0,4516530000.0,4602000000.0,25460000000.0,7521000000.0,4219000000.0,4215000000.0,1.09,1.09,4602000000.0,4602000000.0,4602000000.0,-120000000.0,4722000000.0,4722000000.0,1353000000.0,6075000000.0,111000000.0,10000000.0,110000000.0,-110000000.0,-9000000.0,-1557000000.0,1635000000.0,78000000.0,7521000000.0,12588000000.0,4445000000.0,4445000000.0,8143000000.0,20109000000.0,12872000000.0,32981000000.0,32981000000.0
2023-12-31,-1208970000.0,0.21,10055000000.0,-5757000000.0,-5757000000.0,-2705000000.0,4516000000.0,15182000000.0,4298000000.0,-218000000.0,-1510000000.0,1599000000.0,89000000.0,1843030000.0,-2705000000.0,28689000000.0,600000000.0,4214000000.0,4214000000.0,-0.64,-0.64,-2705000000.0,-2705000000.0,-2705000000.0,-132000000.0,-2573000000.0,-2573000000.0,756000000.0,-1817000000.0,-6748000000.0,-980000000.0,-5757000000.0,-84000000.0,-11000000.0,-1510000000.0,1599000000.0,89000000.0,6441000000.0,13507000000.0,4516000000.0,4516000000.0,8991000000.0,19948000000.0,15182000000.0,35130000000.0,35130000000.0
2023-09-30,17935000.0,0.211,11971000000.0,85000000.0,85000000.0,4762000000.0,4431000000.0,13437000000.0,12056000000.0,7625000000.0,-1335000000.0,1433000000.0,98000000.0,4694935000.0,4762000000.0,25863000000.0,7473000000.0,4216000000.0,4213000000.0,1.13,1.13,4762000000.0,4762000000.0,4762000000.0,-122000000.0,4884000000.0,4884000000.0,1308000000.0,6192000000.0,54000000.0,-13000000.0,85000000.0,-85000000.0,-18000000.0,-1335000000.0,1433000000.0,98000000.0,7473000000.0,12426000000.0,4431000000.0,4431000000.0,7995000000.0,19899000000.0,13437000000.0,33336000000.0,33336000000.0
2023-06-30,15195353.403141,0.220223,11687000000.0,69000000.0,69000000.0,4648000000.0,4359000000.0,12764000000.0,11756000000.0,7397000000.0,-1193000000.0,1285000000.0,92000000.0,4594195353.403141,4648000000.0,25376000000.0,7220000000.0,4213000000.0,4208000000.0,1.1,1.1,4648000000.0,4648000000.0,4648000000.0,-118000000.0,4766000000.0,4766000000.0,1346000000.0,6112000000.0,85000000.0,49000000.0,69000000.0,-69000000.0,-33000000.0,-1193000000.0,1285000000.0,92000000.0,7220000000.0,12612000000.0,4359000000.0,4359000000.0,8253000000.0,19832000000.0,12764000000.0,32596000000.0,32596000000.0


Net Income
,Net Income
2024-06-30,4593000000.0
2024-03-31,4602000000.0
2023-12-31,-2705000000.0
2023-09-30,4762000000.0
2023-06-30,4648000000.0


Shares Outstanding
,0
2015-10-27 00:00:00-04:00,4068870000
2016-02-23 00:00:00-05:00,4073840000
2016-03-22 00:00:00-04:00,4080000000
2016-04-22 00:00:00-04:00,4076000000
2016-04-28 00:00:00-04:00,4076290000
2016-06-29 00:00:00-04:00,4076000000
2016-07-29 00:00:00-04:00,4076300000
2016-10-26 00:00:00-04:00,4076730000
2016-10-26 00:00:00-04:00,4076630000
2017-02-21 00:00:00-05:00,4076730112
2017-02-21 00:00:00-05:00,4079369984
2017-02-21 00:00:00-05:00,4076730000
2017-04-27 00:00:00-04:00,4079000064
2017-04-27 00:00:00-04:00,4079409920
2017-04-27 00:00:00-04:00,4079369984
2017-07-28 00:00:00-04:00,4079409920
2017-08-03 00:00:00-04:00,4131899904
2017-08-03 00:00:00-04:00,4079439872
2017-08-03 00:00:00-04:00,4132000000
2017-08-03 00:00:00-04:00,4079490048
2017-08-03 00:00:00-04:00,4079000064
2017-08-03 00:00:00-04:00,4079409920
2017-08-03 00:00:00-04:00,4132019968
2017-08-03 00:00:00-04:00,4131940096
2017-08-03 00:00:00-04:00,4127960064
2018-11-14 00:00:00-05:00,4132019968
2018-11-16 00:00:00-05:00,4132019968
2018-11-19 00:00:00-05:00,4132019968
2018-11-21 00:00:00-05:00,4132019968
2018-11-22 00:00:00-05:00,4132019968
2018-11-26 00:00:00-05:00,4132019968
2018-11-28 00:00:00-05:00,4132019968
2018-11-29 00:00:00-05:00,4132019968
2018-12-05 00:00:00-05:00,4132019968
2018-12-06 00:00:00-05:00,4132019968
2018-12-07 00:00:00-05:00,4132019968
2018-12-10 00:00:00-05:00,4132019968
2018-12-11 00:00:00-05:00,4132019968
2018-12-12 00:00:00-05:00,4132019968
2018-12-14 00:00:00-05:00,4132019968
2018-12-16 00:00:00-05:00,4132019968
2018-12-17 00:00:00-05:00,4132019968
2018-12-19 00:00:00-05:00,4132019968
2018-12-21 00:00:00-05:00,4132019968
2018-12-30 00:00:00-05:00,4132019968
2019-01-05 00:00:00-05:00,4132019968
2019-01-07 00:00:00-05:00,4132019968
2019-01-09 00:00:00-05:00,4132019968
2019-01-10 00:00:00-05:00,4132019968
2019-01-12 00:00:00-05:00,4132019968
2019-01-14 00:00:00-05:00,4132019968
2019-01-16 00:00:00-05:00,4132019968
2019-01-17 00:00:00-05:00,4132019968
2019-01-20 00:00:00-05:00,4132019968
2019-01-23 00:00:00-05:00,4132019968
2019-01-25 00:00:00-05:00,4132019968
2019-01-28 00:00:00-05:00,4132019968
2019-01-30 00:00:00-05:00,4132019968
2019-02-04 00:00:00-05:00,4132000000
2019-02-07 00:00:00-05:00,4132000000
2019-02-10 00:00:00-05:00,4132000000
2019-02-13 00:00:00-05:00,4132000000
2019-02-15 00:00:00-05:00,4132000000
2019-02-17 00:00:00-05:00,4132049920
2019-02-18 00:00:00-05:00,4132049920
2019-02-20 00:00:00-05:00,4132049920
2019-02-28 00:00:00-05:00,4132049920
2019-03-01 00:00:00-05:00,4132049920
2019-03-07 00:00:00-05:00,4132049920
2019-03-09 00:00:00-05:00,4132049920
2019-03-10 00:00:00-05:00,4132049920
2019-03-11 00:00:00-04:00,4132049920
2019-03-14 00:00:00-04:00,4132049920
2019-03-15 00:00:00-04:00,4132049920
2019-03-17 00:00:00-04:00,4132049920
2019-03-18 00:00:00-04:00,4132049920
2019-03-26 00:00:00-04:00,4129999872
2019-03-29 00:00:00-04:00,4129999872
2019-04-01 00:00:00-04:00,4129999872
2019-04-05 00:00:00-04:00,4129999872
2019-04-09 00:00:00-04:00,4129999872
2019-04-14 00:00:00-04:00,4129999872
2019-04-17 00:00:00-04:00,4129999872
2019-04-19 00:00:00-04:00,4129999872
2019-04-21 00:00:00-04:00,4129999872
2019-04-29 00:00:00-04:00,4135709952
2019-05-01 00:00:00-04:00,4135709952
2019-05-02 00:00:00-04:00,4135709952
2019-05-03 00:00:00-04:00,4135709952
2019-05-05 00:00:00-04:00,4135709952
2019-05-07 00:00:00-04:00,4135709952
