

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense
2024-06-30,0.0,0.203,,,4910000000.0,1972000000.0,11923000000.0,10961000000.0,22884000000.0,4910000000.0,4910000000.0,,3486200000.0,3448300000.0,1.33,1.35,4640000000.0,4640000000.0,270000000.0,4910000000.0,1000000.0,4909000000.0,4909000000.0,1251000000.0,6160000000.0,,,0.0,8799000000.0,224000000.0,8575000000.0,,8575000000.0,20689000000.0,20689000000.0,1869000000.0,1139000000.0,1486000000.0
2024-03-31,0.0,0.173,,,4619000000.0,1819000000.0,12227000000.0,10613000000.0,22840000000.0,4619000000.0,4619000000.0,164000000.0,3600100000.0,3560100000.0,1.2,1.21,4313000000.0,4313000000.0,306000000.0,4619000000.0,-4000000.0,4623000000.0,4623000000.0,964000000.0,5587000000.0,,,-7000000.0,9853000000.0,197000000.0,9656000000.0,164000000.0,9492000000.0,20863000000.0,20863000000.0,1767000000.0,1101000000.0,1617000000.0
2023-12-31,0.0,0.21,,,3446000000.0,1494000000.0,12771000000.0,10068000000.0,22839000000.0,3446000000.0,3446000000.0,,3657000000.0,3620900000.0,0.86,0.87,3160000000.0,3160000000.0,286000000.0,3446000000.0,-64000000.0,3510000000.0,3510000000.0,-100000000.0,3410000000.0,,,466000000.0,8911000000.0,259000000.0,8652000000.0,,9181000000.0,20478000000.0,20478000000.0,1816000000.0,1242000000.0,3817000000.0
2023-09-30,0.0,0.123,0.0,0.0,5767000000.0,1597000000.0,13105000000.0,8988000000.0,22093000000.0,5767000000.0,5767000000.0,172000000.0,3680600000.0,3648800000.0,1.48,1.49,5450000000.0,5450000000.0,317000000.0,5767000000.0,31000000.0,5736000000.0,5736000000.0,811000000.0,6547000000.0,0.0,0.0,-19000000.0,9014000000.0,215000000.0,8799000000.0,172000000.0,8627000000.0,20857000000.0,20857000000.0,1699000000.0,1310000000.0,1090000000.0
2023-06-30,0.0,0.158,0.0,0.0,4938000000.0,1628000000.0,13163000000.0,7667000000.0,20830000000.0,4938000000.0,4938000000.0,180000000.0,3724900000.0,3699900000.0,1.25,1.26,4659000000.0,4659000000.0,279000000.0,4938000000.0,35000000.0,4903000000.0,4903000000.0,930000000.0,5833000000.0,0.0,0.0,-90000000.0,8970000000.0,184000000.0,8786000000.0,180000000.0,8606000000.0,20533000000.0,20533000000.0,1654000000.0,1304000000.0,1059000000.0
2023-03-31,,,0.0,0.0,,,,,,,,177000000.0,,,,,,,,,,,,,,0.0,0.0,,,,,177000000.0,,,,,,


Net Income
,Net Income
2024-06-30,4910000000.0
2024-03-31,4619000000.0
2023-12-31,3446000000.0
2023-09-30,5767000000.0
2023-06-30,4938000000.0
2023-03-31,


Shares Outstanding
,0
2015-11-04 00:00:00-05:00,5107810000
2016-01-19 00:00:00-05:00,5092100000
2016-02-24 00:00:00-05:00,5076710000
2016-03-17 00:00:00-04:00,5057250000
2016-05-04 00:00:00-04:00,5077050000
2016-07-18 00:00:00-04:00,5048500000
2016-08-03 00:00:00-04:00,5024000000
2016-08-03 00:00:00-04:00,5045550000
2016-11-03 00:00:00-04:00,5016000000
2016-11-03 00:00:00-04:00,5022300000
2017-01-17 00:00:00-05:00,5016000000
2017-03-01 00:00:00-05:00,5003370000
2017-04-17 00:00:00-04:00,4996700160
2017-05-05 00:00:00-04:00,4997320192
2017-07-17 00:00:00-04:00,4967000064
2017-07-17 00:00:00-04:00,4963939840
2017-08-04 00:00:00-04:00,4927869952
2017-08-04 00:00:00-04:00,4963939840
2017-10-13 00:00:00-04:00,4873880064
2017-10-13 00:00:00-04:00,4707239936
2017-10-13 00:00:00-04:00,4877749760
2017-10-13 00:00:00-04:00,4927869952
2017-10-13 00:00:00-04:00,4872869888
2017-10-13 00:00:00-04:00,4849070080
2017-10-13 00:00:00-04:00,4891619840
2017-10-13 00:00:00-04:00,4711560192
2017-10-13 00:00:00-04:00,4816139776
2017-10-13 00:00:00-04:00,4876089856
2017-10-13 00:00:00-04:00,4924259840
2018-11-14 00:00:00-05:00,4707239936
2018-11-15 00:00:00-05:00,4707239936
2018-11-19 00:00:00-05:00,4707239936
2018-11-21 00:00:00-05:00,4707239936
2018-11-22 00:00:00-05:00,4707239936
2018-11-26 00:00:00-05:00,4707239936
2018-11-28 00:00:00-05:00,4707239936
2018-11-29 00:00:00-05:00,4707239936
2018-12-02 00:00:00-05:00,4707239936
2018-12-03 00:00:00-05:00,4707239936
2018-12-04 00:00:00-05:00,4707239936
2018-12-06 00:00:00-05:00,4707239936
2018-12-07 00:00:00-05:00,4707239936
2018-12-10 00:00:00-05:00,4707239936
2018-12-11 00:00:00-05:00,4707239936
2018-12-12 00:00:00-05:00,4707239936
2018-12-14 00:00:00-05:00,4707239936
2018-12-16 00:00:00-05:00,4707239936
2018-12-17 00:00:00-05:00,4707239936
2018-12-19 00:00:00-05:00,4707239936
2018-12-21 00:00:00-05:00,4707239936
2018-12-30 00:00:00-05:00,4707239936
2019-01-05 00:00:00-05:00,4707239936
2019-01-07 00:00:00-05:00,4707239936
2019-01-09 00:00:00-05:00,4707239936
2019-01-10 00:00:00-05:00,4707239936
2019-01-12 00:00:00-05:00,4707239936
2019-01-14 00:00:00-05:00,4707239936
2019-01-16 00:00:00-05:00,4707239936
2019-01-17 00:00:00-05:00,4707239936
2019-01-20 00:00:00-05:00,4707239936
2019-01-22 00:00:00-05:00,4581250048
2019-01-24 00:00:00-05:00,4581250048
2019-01-25 00:00:00-05:00,4581250048
2019-01-26 00:00:00-05:00,4581250048
2019-01-28 00:00:00-05:00,4581250048
2019-01-30 00:00:00-05:00,4581250048
2019-02-04 00:00:00-05:00,4581250048
2019-02-07 00:00:00-05:00,4581250048
2019-02-10 00:00:00-05:00,4581250048
2019-02-11 00:00:00-05:00,4581250048
2019-02-13 00:00:00-05:00,4581250048
