

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-07-31,0.0,0.241751,10103000000.0,,,4501000000.0,3211000000.0,126810000000.0,10103000000.0,6892000000.0,-565000000.0,679000000.0,114000000.0,4501000000.0,4501000000.0,161395000000.0,7940000000.0,8081000000.0,8044000000.0,0.56,0.56,4501000000.0,4501000000.0,4501000000.0,-210000000.0,4711000000.0,4711000000.0,1502000000.0,6213000000.0,-1162000000.0,-1162000000.0,,-565000000.0,679000000.0,114000000.0,7940000000.0,34585000000.0,34585000000.0,42525000000.0,126810000000.0,169335000000.0,169335000000.0
2024-04-30,0.0,0.246,10877000000.0,,,5104000000.0,3128000000.0,121431000000.0,10877000000.0,7749000000.0,-600000000.0,714000000.0,114000000.0,5104000000.0,5104000000.0,154667000000.0,6841000000.0,8084000000.0,8053000000.0,0.63,0.63,5104000000.0,5104000000.0,5104000000.0,-203000000.0,5307000000.0,5307000000.0,1728000000.0,7035000000.0,794000000.0,794000000.0,,-600000000.0,714000000.0,114000000.0,6841000000.0,33236000000.0,33236000000.0,40077000000.0,121431000000.0,161508000000.0,161508000000.0
2024-01-31,0.0,0.244746,11330000000.0,,,5494000000.0,3117000000.0,131825000000.0,11330000000.0,8213000000.0,-549000000.0,695000000.0,146000000.0,5494000000.0,5494000000.0,166134000000.0,7254000000.0,8103000000.0,8070000000.0,0.676667,0.68,5494000000.0,5494000000.0,5494000000.0,-184000000.0,5678000000.0,5678000000.0,1840000000.0,7518000000.0,813000000.0,813000000.0,,-549000000.0,695000000.0,146000000.0,7254000000.0,34309000000.0,34309000000.0,41563000000.0,131825000000.0,173388000000.0,173388000000.0
2023-10-31,0.0,0.297,4583000000.0,,,453000000.0,2986000000.0,121183000000.0,4583000000.0,1597000000.0,-537000000.0,682000000.0,145000000.0,453000000.0,453000000.0,154602000000.0,6202000000.0,8109000000.0,8079000000.0,0.056667,0.056667,453000000.0,453000000.0,453000000.0,-190000000.0,643000000.0,643000000.0,272000000.0,915000000.0,-4750000000.0,-4750000000.0,,-537000000.0,682000000.0,145000000.0,6202000000.0,33419000000.0,33419000000.0,39621000000.0,121183000000.0,160804000000.0,160804000000.0
2023-07-31,0.0,0.249,14274000000.0,,,7891000000.0,2905000000.0,121850000000.0,14274000000.0,11369000000.0,-494000000.0,642000000.0,148000000.0,7891000000.0,7891000000.0,154316000000.0,7316000000.0,8109000000.0,8079000000.0,0.973333,0.976667,7891000000.0,7891000000.0,7891000000.0,-162000000.0,8053000000.0,8053000000.0,2674000000.0,10727000000.0,3905000000.0,3905000000.0,,-494000000.0,642000000.0,148000000.0,7316000000.0,32466000000.0,32466000000.0,39782000000.0,121850000000.0,161632000000.0,161632000000.0
2023-01-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,


Net Income
,Net Income
2024-07-31,4501000000.0
2024-04-30,5104000000.0
2024-01-31,5494000000.0
2023-10-31,453000000.0
2023-07-31,7891000000.0
2023-01-31,


Shares Outstanding
,0
2015-12-02 00:00:00-05:00,3201890000
2016-03-31 00:00:00-04:00,3144340000
2016-04-21 00:00:00-04:00,3138770000
2016-06-03 00:00:00-04:00,3116650000
2016-09-01 00:00:00-04:00,3093260000
2016-09-01 00:00:00-04:00,3073190000
2016-12-01 00:00:00-05:00,3073190000
2017-03-31 00:00:00-04:00,3033009920
2017-03-31 00:00:00-04:00,3031559936
2017-03-31 00:00:00-04:00,3033010000
2017-04-21 00:00:00-04:00,3031559936
2017-06-02 00:00:00-04:00,2987200000
2017-06-02 00:00:00-04:00,3014500096
2017-06-02 00:00:00-04:00,3031559936
2017-09-01 00:00:00-04:00,2952480000
2017-09-01 00:00:00-04:00,2987200000
2017-09-01 00:00:00-04:00,2962380032
2017-09-01 00:00:00-04:00,2950700032
2017-09-01 00:00:00-04:00,2928730112
2017-09-01 00:00:00-04:00,2950840064
2018-11-13 00:00:00-05:00,2928730112
2018-11-14 00:00:00-05:00,2928730112
2018-11-15 00:00:00-05:00,2928730112
2018-11-19 00:00:00-05:00,2928730112
2018-11-21 00:00:00-05:00,2928730112
2018-11-22 00:00:00-05:00,2928730112
2018-11-26 00:00:00-05:00,2928730112
2018-11-28 00:00:00-05:00,2928730112
2018-11-29 00:00:00-05:00,2928730112
2018-12-02 00:00:00-05:00,2928730112
2018-12-03 00:00:00-05:00,2905260032
2018-12-04 00:00:00-05:00,2905260032
2018-12-06 00:00:00-05:00,2905260032
2018-12-07 00:00:00-05:00,2905260032
2018-12-11 00:00:00-05:00,2905260032
2018-12-12 00:00:00-05:00,2905260032
2018-12-16 00:00:00-05:00,2905260032
2018-12-17 00:00:00-05:00,2905260032
2018-12-19 00:00:00-05:00,2905260032
2018-12-21 00:00:00-05:00,2905260032
2018-12-30 00:00:00-05:00,2905260032
2019-01-05 00:00:00-05:00,2905260032
2019-01-07 00:00:00-05:00,2905260032
2019-01-09 00:00:00-05:00,2905260032
2019-01-10 00:00:00-05:00,2905260032
2019-01-12 00:00:00-05:00,2905260032
2019-01-14 00:00:00-05:00,2905260032
2019-01-17 00:00:00-05:00,2905260032
2019-01-22 00:00:00-05:00,2905260032
2019-01-25 00:00:00-05:00,2905260032
2019-01-26 00:00:00-05:00,2905260032
2019-01-28 00:00:00-05:00,2905260032
2019-01-30 00:00:00-05:00,2905260032
2019-02-04 00:00:00-05:00,2905260032
2019-02-07 00:00:00-05:00,2905260032
2019-02-10 00:00:00-05:00,2905260032
2019-02-13 00:00:00-05:00,2905260032
2019-02-15 00:00:00-05:00,2905260032
2019-02-17 00:00:00-05:00,2905260032
2019-02-20 00:00:00-05:00,2905260032
2019-02-28 00:00:00-05:00,2905260032
2019-03-07 00:00:00-05:00,2905260032
2019-03-10 00:00:00-05:00,2905260032
2019-03-11 00:00:00-04:00,2905260032
2019-03-14 00:00:00-04:00,2905260032
2019-03-17 00:00:00-04:00,2905260032
2019-03-26 00:00:00-04:00,2905260032
2019-03-29 00:00:00-04:00,2905260032
2019-04-01 00:00:00-04:00,2869680128
2019-04-02 00:00:00-04:00,2869680128
2019-04-05 00:00:00-04:00,2869680128
2019-04-09 00:00:00-04:00,2869680128
2019-04-11 00:00:00-04:00,2869680128
2019-04-14 00:00:00-04:00,2869680128
2019-04-15 00:00:00-04:00,2869680128
2019-04-17 00:00:00-04:00,2869680128
2019-04-19 00:00:00-04:00,2869680128
2019-04-21 00:00:00-04:00,2869680128
2019-04-23 00:00:00-04:00,2869680128
