

Financials
,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,0.0,0.34,19723000000.0,9240000000.0,5787000000.0,69790000000.0,19723000000.0,13936000000.0,-271000000.0,271000000.0,9240000000.0,9240000000.0,79124000000.0,4317000000.0,4317000000.0,2.14,2.14,9240000000.0,9240000000.0,9240000000.0,-331000000.0,9571000000.0,9571000000.0,4094000000.0,13665000000.0,3074000000.0,1330000000.0,1744000000.0,-271000000.0,271000000.0,10862000000.0,9334000000.0,153000000.0,6579000000.0,2602000000.0,2602000000.0,2568000000.0,34000000.0,20196000000.0,69790000000.0,89986000000.0,89986000000.0
2024-03-31,0.0,0.36,17402000000.0,8220000000.0,4812000000.0,61504000000.0,17402000000.0,12590000000.0,-221000000.0,221000000.0,8220000000.0,8220000000.0,70493000000.0,3998000000.0,3998000000.0,2.06,2.06,8220000000.0,8220000000.0,8220000000.0,-346000000.0,8566000000.0,8566000000.0,3803000000.0,12369000000.0,2672000000.0,830000000.0,1842000000.0,-221000000.0,221000000.0,9918000000.0,8989000000.0,148000000.0,6323000000.0,2518000000.0,2518000000.0,2495000000.0,23000000.0,18907000000.0,61504000000.0,80411000000.0,80411000000.0
2023-12-31,0.0,0.245929,18637000000.0,7630000000.0,7740000000.0,63985000000.0,18637000000.0,10897000000.0,-272000000.0,272000000.0,7630000000.0,7630000000.0,73447000000.0,4010000000.0,3994764398.0,1.91,1.91,7630000000.0,7630000000.0,7630000000.0,-382000000.0,8012000000.0,8012000000.0,2613000000.0,10625000000.0,2656000000.0,1491000000.0,1165000000.0,-272000000.0,272000000.0,8241000000.0,9462000000.0,139000000.0,6515000000.0,2808000000.0,2808000000.0,2591000000.0,217000000.0,17703000000.0,63985000000.0,81688000000.0,81688000000.0
2023-09-30,0.0,0.34,18283000000.0,9070000000.0,4415000000.0,66187000000.0,18283000000.0,13868000000.0,-169000000.0,169000000.0,9070000000.0,9070000000.0,76892000000.0,4031111111.0,4031111111.0,2.25,2.25,9070000000.0,9070000000.0,9070000000.0,-276000000.0,9346000000.0,9346000000.0,4353000000.0,13699000000.0,2190000000.0,733000000.0,1457000000.0,-169000000.0,169000000.0,11678000000.0,10705000000.0,338000000.0,7712000000.0,2655000000.0,2655000000.0,2489000000.0,166000000.0,22383000000.0,66187000000.0,88570000000.0,88570000000.0
2023-06-30,0.0,0.33,16147000000.0,7880000000.0,4242000000.0,60700000000.0,16147000000.0,11905000000.0,-249000000.0,249000000.0,7880000000.0,7880000000.0,71009000000.0,4066000000.0,4061855670.0,1.94,1.94,7880000000.0,7880000000.0,7880000000.0,-273000000.0,8153000000.0,8153000000.0,3503000000.0,11656000000.0,2119000000.0,737000000.0,1382000000.0,-249000000.0,249000000.0,9786000000.0,10309000000.0,133000000.0,7563000000.0,2613000000.0,2613000000.0,2449000000.0,164000000.0,20095000000.0,60700000000.0,80795000000.0,80795000000.0


Net Income
,Net Income
2024-06-30,9240000000.0
2024-03-31,8220000000.0
2023-12-31,7630000000.0
2023-09-30,9070000000.0
2023-06-30,7880000000.0


Shares Outstanding
,0
2015-11-04 00:00:00-05:00,4162940000
2016-02-03 00:00:00-05:00,4156000000
2016-02-24 00:00:00-05:00,4152760000
2016-05-03 00:00:00-04:00,4150240000
2016-05-04 00:00:00-04:00,4146610000
2016-08-01 00:00:00-04:00,4147000000
2016-08-03 00:00:00-04:00,4146650000
2016-11-03 00:00:00-04:00,4148000000
2016-11-03 00:00:00-04:00,4146690000
2017-02-01 00:00:00-05:00,4148000000
2017-02-01 00:00:00-05:00,4146510000
2017-02-23 00:00:00-05:00,4239729920
2017-02-23 00:00:00-05:00,4146510000
2017-04-17 00:00:00-04:00,4237270016
2017-04-17 00:00:00-04:00,4239729920
2017-05-03 00:00:00-04:00,4237270016
2017-05-03 00:00:00-04:00,4237110016
2017-08-02 00:00:00-04:00,4239000064
2017-08-02 00:00:00-04:00,4235790080
2017-08-02 00:00:00-04:00,4233809920
2017-08-02 00:00:00-04:00,4233829888
2017-08-02 00:00:00-04:00,4237110016
2017-08-02 00:00:00-04:00,4233999872
2018-11-14 00:00:00-05:00,4233809920
2018-11-15 00:00:00-05:00,4233809920
2018-11-19 00:00:00-05:00,4233809920
2018-11-21 00:00:00-05:00,4233809920
2018-11-22 00:00:00-05:00,4233809920
2018-11-26 00:00:00-05:00,4233809920
2018-11-28 00:00:00-05:00,4233809920
2018-11-29 00:00:00-05:00,4233809920
2018-12-02 00:00:00-05:00,4233809920
2018-12-03 00:00:00-05:00,4233809920
2018-12-04 00:00:00-05:00,4233809920
2018-12-06 00:00:00-05:00,4233809920
2018-12-07 00:00:00-05:00,4233809920
2018-12-10 00:00:00-05:00,4233809920
2018-12-11 00:00:00-05:00,4233809920
2018-12-12 00:00:00-05:00,4233809920
2018-12-14 00:00:00-05:00,4233809920
2018-12-16 00:00:00-05:00,4233809920
2018-12-17 00:00:00-05:00,4233809920
2018-12-19 00:00:00-05:00,4233809920
2018-12-21 00:00:00-05:00,4233809920
2018-12-30 00:00:00-05:00,4233809920
2019-01-05 00:00:00-05:00,4233809920
2019-01-07 00:00:00-05:00,4233809920
2019-01-09 00:00:00-05:00,4233809920
2019-01-10 00:00:00-05:00,4233809920
2019-01-12 00:00:00-05:00,4233809920
2019-01-14 00:00:00-05:00,4233809920
2019-01-16 00:00:00-05:00,4233809920
2019-01-20 00:00:00-05:00,4233809920
2019-01-24 00:00:00-05:00,4233809920
2019-01-25 00:00:00-05:00,4233809920
2019-01-26 00:00:00-05:00,4233809920
2019-01-28 00:00:00-05:00,4233809920
2019-01-30 00:00:00-05:00,4233809920
2019-02-07 00:00:00-05:00,4236999936
2019-02-11 00:00:00-05:00,4236999936
2019-02-13 00:00:00-05:00,4236999936
2019-02-14 00:00:00-05:00,4236999936
2019-02-15 00:00:00-05:00,4236999936
2019-02-17 00:00:00-05:00,4236999936
2019-02-20 00:00:00-05:00,4236999936
2019-02-28 00:00:00-05:00,4236999936
2019-03-07 00:00:00-05:00,4234800128
2019-03-09 00:00:00-05:00,4234800128
2019-03-10 00:00:00-05:00,4234800128
2019-03-11 00:00:00-04:00,4234800128
2019-03-14 00:00:00-04:00,4234800128
2019-03-15 00:00:00-04:00,4234800128
2019-03-17 00:00:00-04:00,4234800128
2019-03-18 00:00:00-04:00,4234800128
2019-03-26 00:00:00-04:00,4234800128
2019-03-27 00:00:00-04:00,4234800128
2019-03-29 00:00:00-04:00,4234800128
2019-03-30 00:00:00-04:00,4234800128
2019-04-01 00:00:00-04:00,4234800128
2019-04-02 00:00:00-04:00,4234800128
