date,ticker,weighted compound sentiment score
2011-05-16,GOOG,0.2617
2011-05-26,GOOG,0.0303
2011-06-14,GOOG,-0.4497
2011-06-16,GOOG,-0.3503
2011-06-17,GOOG,0.43099999999999994
2011-06-21,GOOG,-0.3041539130434783
2011-06-28,GOOG,-0.1227
2011-07-05,GOOG,0.6647376109523093
2011-07-08,GOOG,-0.8363
2011-07-14,GOOG,0.453994805560774
2011-07-15,GOOG,0.758542752339995
2011-07-19,GOOG,0.7803
2011-07-21,GOOG,0.6568964462213338
2011-07-28,GOOG,0.4703
2011-07-29,GOOG,0.8426
2011-08-03,GOOG,-0.7003
2011-08-04,GOOG,0.25
2011-08-09,GOOG,0.8932
2011-08-15,GOOG,0.06282476811461105
2011-08-16,GOOG,-0.2477
2011-08-17,GOOG,-0.10269999999999999
2011-10-05,GOOG,-0.6124
2011-10-10,GOOG,0.3818
2011-10-13,GOOG,0.2534247233880198
2011-10-14,GOOG,0.5023513894355663
2011-11-28,GOOG,0.4615
2012-01-09,GOOG,-0.5754
2012-01-19,GOOG,0.7257926857307083
2012-01-20,GOOG,-0.0258
2012-01-25,GOOG,0.901
2012-02-22,GOOG,0.4424
2012-03-28,GOOG,-0.34
2012-04-12,GOOG,0.7386999999999999
2012-04-13,GOOG,0.34
2012-04-24,GOOG,0.8554999999999999
2012-05-02,GOOG,0.4828
2012-05-16,GOOG,0.8481
2012-07-19,GOOG,0.732981973140496
2012-07-20,GOOG,0.9383
2012-07-30,GOOG,0.653
2012-08-13,GOOG,-0.5825181403171552
2012-09-11,GOOG,0.6249
2012-09-24,GOOG,0.963
2012-10-18,GOOG,0.16494763411932264
2013-01-10,GOOG,0.34
2013-01-22,GOOG,0.564
2013-01-23,GOOG,0.8269
2013-02-01,GOOG,0.6597
2013-03-05,GOOG,0.6808
2013-04-16,GOOG,0.34
2013-04-19,GOOG,0.8575909951709119
2013-05-15,GOOG,0.8807000000000001
2013-07-18,GOOG,0.0631
2013-08-22,GOOG,0.8271
2013-09-20,GOOG,0.0
2013-10-17,GOOG,0.0
2013-10-18,GOOG,0.4939
2013-12-31,GOOG,0.0644
2014-01-14,GOOG,0.5859
2014-01-21,GOOG,0.6249
2014-01-30,GOOG,0.296
2014-01-31,GOOG,0.296
2014-02-20,GOOG,0.8126
2014-02-26,GOOG,0.0
2014-03-26,GOOG,-0.4019
2014-04-03,GOOG,0.7506
2014-04-16,GOOG,0.3182
2014-04-17,GOOG,0.7888
2014-04-23,GOOG,0.0772
2014-07-17,GOOG,-0.22629999999999997
2014-07-18,GOOG,0.34
2014-09-05,GOOG,0.6597
2014-09-12,GOOG,-0.296
2014-10-15,GOOG,-0.6698
2014-12-02,GOOG,-0.2732
2014-12-05,GOOG,-0.3612
2014-12-12,GOOG,-0.296
2014-12-16,GOOG,-0.6705
2015-01-08,GOOG,0.7652
2015-01-29,GOOG,0.0
2015-01-30,GOOG,0.5132
2015-05-21,GOOG,0.0
2015-06-19,GOOG,0.1779
2015-07-10,GOOG,0.41079999999999994
2015-07-14,GOOG,0.2132
2015-07-16,GOOG,0.3875
2015-07-17,GOOG,0.5116
2015-08-10,GOOG,0.7278000000000001
2015-08-11,GOOG,0.5423
2015-08-24,GOOG,-0.3818
2015-08-26,GOOG,0.0
2015-09-14,GOOG,-0.8225
2015-10-22,GOOG,0.6255999999999999
2015-10-23,GOOG,0.2682
2015-11-19,GOOG,0.0
2016-02-01,GOOG,-0.5252
2016-02-03,GOOG,0.5994
2016-03-23,GOOG,0.0
2016-04-19,GOOG,-0.296
2016-04-21,GOOG,-0.7678
2016-04-22,GOOG,-0.21919999999999998
2016-05-19,GOOG,0.0258
2016-05-20,GOOG,0.296
2016-06-17,GOOG,0.0
2016-06-24,GOOG,0.0
2016-06-27,GOOG,-0.22629999999999997
2016-07-28,GOOG,0.3508
2016-07-29,GOOG,0.34
2016-09-27,GOOG,0.296
2016-09-30,GOOG,0.7506
2016-10-04,GOOG,0.6697
2016-10-05,GOOG,-0.3818
2016-10-21,GOOG,0.6124
2016-10-27,GOOG,0.2132
2017-01-27,GOOG,0.2244
2017-04-05,GOOG,0.128
2017-04-17,GOOG,0.0
2017-04-27,GOOG,0.5047
2017-04-28,GOOG,0.0
2017-07-24,GOOG,0.3909
2017-08-04,GOOG,0.765
2017-08-14,GOOG,-0.10269999999999999
2017-09-25,GOOG,0.0
2017-09-27,GOOG,0.0
2017-10-05,GOOG,0.4767
2017-10-23,GOOG,0.0
2017-10-26,GOOG,0.4669
2017-10-27,GOOG,0.19980207280080892
2017-10-31,GOOG,-0.4614
2017-12-06,GOOG,0.0
2018-01-03,GOOG,0.0
2018-01-16,GOOG,0.4215
2018-01-17,GOOG,0.0
2018-01-30,GOOG,0.2177
2018-02-01,GOOG,-0.0889
2018-02-02,GOOG,0.0516
2018-02-15,GOOG,0.0
2018-02-27,GOOG,0.0
2018-03-05,GOOG,0.1531
2018-03-21,GOOG,0.0
2018-03-26,GOOG,0.2493
2018-03-27,GOOG,0.4404
2018-04-09,GOOG,-0.7506
2018-04-10,GOOG,-0.4588
2018-04-13,GOOG,0.0
2018-04-16,GOOG,0.0
2018-04-23,GOOG,0.5448444444444444
2018-04-30,GOOG,0.0
2018-05-08,GOOG,0.0
2018-05-09,GOOG,0.6249
2018-05-14,GOOG,-0.2732
2018-05-18,GOOG,0.0
2018-06-01,GOOG,0.2132
2018-06-07,GOOG,0.2023
2018-06-12,GOOG,0.0
2018-06-19,GOOG,0.0
2018-07-09,GOOG,0.4767
2018-07-10,GOOG,0.4215
2018-07-13,GOOG,0.0
2018-07-23,GOOG,0.7759
2018-07-24,GOOG,-0.3612
2018-08-27,GOOG,0.0516
2018-08-30,GOOG,0.6249
2018-08-31,GOOG,0.11809999999999997
2018-09-04,GOOG,0.4754
2018-10-01,GOOG,0.5106
2018-10-05,GOOG,0.0
2018-10-16,GOOG,0.6486
2018-10-26,GOOG,0.2898
2018-11-05,GOOG,0.4588
2018-11-12,GOOG,0.0
2018-11-26,GOOG,-0.765
2018-11-27,GOOG,0.0
2018-12-10,GOOG,0.1779
2019-02-04,GOOG,0.51
2019-04-09,GOOG,0.0
2019-04-29,GOOG,0.2816
2019-05-15,GOOG,0.34
2019-05-20,GOOG,0.0
2019-06-07,GOOG,0.5277
2019-06-24,GOOG,-0.128
2019-07-02,GOOG,0.0
2019-07-16,GOOG,0.0
2019-07-26,GOOG,0.3948
2019-10-28,GOOG,-0.3577000000000001
