Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2011-05-10,MSFT,0.065,0.0,0.9376666666666668,0.4344952009318578
2011-05-19,MSFT,0.08172,0.1011122448979592,0.9008954890576151,0.07661586935495869
2011-05-23,MSFT,0.036,0.102,0.8619999999999999,-0.4767
2011-06-01,MSFT,0.043,0.064,0.893,-0.296
2011-06-28,MSFT,0.095,0.0,0.905,0.296
2011-07-05,MSFT,0.0,0.05000000000000001,0.9500000000000001,-0.3818
2011-07-13,MSFT,0.107,0.047,0.8459999999999999,0.4019
2011-07-18,MSFT,0.101,0.115,0.7829999999999999,-0.0772
2011-07-21,MSFT,0.175,0.0,0.825,0.4626
2011-08-04,MSFT,0.16032881355932205,0.0,0.8547196480938416,0.4915876033057851
2011-08-05,MSFT,0.19600000000000004,0.067,0.737,0.7933999999999999
2011-08-08,MSFT,0.036,0.097,0.868,-0.4742
2011-08-09,MSFT,0.216,0.044,0.74,0.7972
2011-08-19,MSFT,0.07,0.0,0.93,0.3612
2011-08-23,MSFT,0.107,0.0,0.893,0.6597
2011-08-26,MSFT,0.0,0.0,1.0,0.0
2011-08-29,MSFT,0.127,0.0,0.8729999999999999,0.6597
2011-09-13,MSFT,0.0,0.0,1.0,0.0
2011-09-14,MSFT,0.288,0.0,0.712,0.9708
2011-09-28,MSFT,0.091,0.0,0.909,0.6369
2011-10-05,MSFT,0.0,0.0,1.0,0.0
2011-10-20,MSFT,0.092,0.0,0.908,0.2074
2011-11-03,MSFT,0.1590986547085202,0.0,0.8531550509005481,0.6548858164917227
2011-11-17,MSFT,0.139,0.0,0.861,0.6808
2011-11-21,MSFT,0.082,0.0,0.918,0.5267
2011-11-28,MSFT,0.15,0.154,0.696,-0.041
2011-11-30,MSFT,0.0,0.165,0.835,-0.9159
2011-12-06,MSFT,0.237,0.036,0.7269999999999999,0.9299
2011-12-22,MSFT,0.0,0.043,0.957,-0.25
2012-01-05,MSFT,0.073,0.0,0.927,0.5413
2012-01-19,MSFT,0.204,0.18,0.617,-0.078
2012-02-09,MSFT,0.2116780487804878,0.0,0.7967220125786164,0.8192525663716813
2012-02-10,MSFT,0.1868642857142857,0.042,0.8260207823960881,0.8469486000202163
2012-02-16,MSFT,0.12639869281045754,0.06857037037037036,0.8966043832537228,0.43429206055325636
2012-03-01,MSFT,0.058,0.127,0.815,-0.4834
2012-03-08,MSFT,0.068,0.0,0.932,0.5994
2012-03-21,MSFT,0.231,0.0,0.769,0.8591
2012-03-30,MSFT,0.182,0.0,0.818,0.7003
2012-04-04,MSFT,0.0,0.114,0.886,-0.5574
2012-04-05,MSFT,0.073,0.05600000000000001,0.871,0.25
2012-04-10,MSFT,0.034,0.029,0.937,0.0772
2012-04-12,MSFT,0.035,0.057,0.908,-0.1531
2012-04-19,MSFT,0.12721343873517788,0.06528571428571428,0.8105077112893276,0.4876051185749545
2012-04-20,MSFT,0.191,0.0,0.809,0.8803
2012-05-03,MSFT,0.14421641791044776,0.051,0.8447250000000001,0.6037668898000167
2012-05-04,MSFT,0.149,0.0,0.851,0.7581000000000001
2012-05-23,MSFT,0.0,0.075,0.925,-0.5106
2012-05-24,MSFT,0.026,0.089,0.886,-0.5245
2012-05-30,MSFT,0.20000000000000004,0.0,0.8000000000000002,0.7596
2012-06-06,MSFT,0.092,0.069,0.839,0.0258
2012-06-19,MSFT,0.09,0.03,0.88,0.6124
2012-07-09,MSFT,0.118,0.066,0.816,0.1779
2012-07-12,MSFT,0.027,0.159,0.8140000000000001,-0.8658000000000001
2012-08-02,MSFT,0.193,0.0,0.807,0.6871
2012-08-03,MSFT,0.162,0.084,0.754,0.7585
2012-08-21,MSFT,0.143,0.0,0.857,0.7195
2012-09-05,MSFT,0.14,0.017,0.844,0.7906
2012-09-11,MSFT,0.0,0.065,0.935,-0.6808
2012-10-11,MSFT,0.082,0.0,0.918,0.3903
2012-10-22,MSFT,0.043,0.09800000000000002,0.859,-0.6486
2012-11-01,MSFT,0.178,0.0,0.822,0.5916
2012-11-12,MSFT,0.20299999999999999,0.0,0.797,0.936
2012-11-13,MSFT,0.015,0.069,0.916,-0.5842
2013-01-10,MSFT,0.187,0.033,0.78,0.872
2013-02-07,MSFT,0.188,0.0,0.8119999999999999,0.6871
2013-02-08,MSFT,0.187,0.0,0.813,0.939
2013-02-27,MSFT,0.065,0.062,0.8729999999999999,-0.1727
2013-04-11,MSFT,0.057,0.12574103585657373,0.8473664302600471,-0.7101062403155374
2013-04-16,MSFT,0.133,0.053,0.8140000000000001,0.4939
2013-04-18,MSFT,0.183,0.087,0.7299999999999999,0.278
2013-04-19,MSFT,0.136,0.041,0.823,0.8573
2013-04-22,MSFT,0.066,0.0,0.934,0.296
2013-05-02,MSFT,0.168,0.0,0.832,0.6871
2013-05-03,MSFT,0.28,0.052,0.668,0.9791
2013-05-13,MSFT,0.068,0.017,0.915,0.4404
2013-06-06,MSFT,0.141,0.0,0.859,0.9382
2013-06-12,MSFT,0.115,0.073,0.8119999999999999,0.1333
2013-06-14,MSFT,0.0,0.0,1.0,0.0
2013-06-19,MSFT,0.134,0.058,0.808,0.7158999999999999
2013-07-18,MSFT,0.135,0.127,0.738,0.057
2013-07-19,MSFT,0.09210743801652893,0.05194814814814815,0.8772934451219512,0.4230689277899344
2013-07-29,MSFT,0.0,0.174,0.826,-0.2732
2013-08-01,MSFT,0.199,0.0,0.801,0.7884
2013-08-12,MSFT,0.068,0.0,0.932,0.2074
2013-08-15,MSFT,0.0,0.109,0.891,-0.4019
2013-08-19,MSFT,0.068,0.0,0.932,0.4404
2013-08-22,MSFT,0.079,0.0,0.9209999999999999,0.7184
2013-08-23,MSFT,0.0,0.0,1.0,0.0
2013-09-20,MSFT,0.032,0.09,0.878,-0.5267
2013-09-24,MSFT,0.184,0.0,0.816,0.7184
2013-10-15,MSFT,0.113,0.0,0.887,0.5574
2013-10-24,MSFT,0.0,0.0,1.0,0.0
2013-10-29,MSFT,0.0,0.0,1.0,0.0
2013-11-15,MSFT,0.05600000000000001,0.0,0.944,0.296
2013-11-20,MSFT,0.119,0.127,0.753,-0.0772
2013-12-06,MSFT,0.032,0.0,0.968,0.2732
2013-12-18,MSFT,0.11529702970297032,0.081,0.8656779266161911,0.262114373088685
2014-01-02,MSFT,0.135,0.0,0.865,0.6369
2014-01-06,MSFT,0.0,0.0,1.0,0.0
2014-01-07,MSFT,0.0,0.163,0.8370000000000001,-0.3612
2014-01-10,MSFT,0.0,0.305,0.695,-0.8442
2014-01-16,MSFT,0.0,0.0,1.0,0.0
2014-01-23,MSFT,0.0,0.0,1.0,0.0
2014-01-24,MSFT,0.059,0.0,0.941,0.1779
2014-02-06,MSFT,0.071,0.0,0.9658066355624676,0.3903
2014-02-07,MSFT,0.058,0.075,0.867,0.0387
2014-02-19,MSFT,0.246,0.0,0.754,0.7299
2014-02-25,MSFT,0.023,0.0,0.977,0.0258
2014-02-26,MSFT,0.12,0.0,0.88,0.5994
2014-03-18,MSFT,0.044,0.061,0.894,0.0325
2014-03-28,MSFT,0.113,0.0,0.887,0.7844999999999999
2014-04-08,MSFT,0.17529411764705885,0.046,0.8104807930607189,0.5757796587576647
2014-04-09,MSFT,0.15,0.0,0.85,0.7184
2014-04-17,MSFT,0.114,0.188,0.698,-0.5037
2014-04-24,MSFT,0.165,0.0,0.9249182561307902,0.5175
2014-05-01,MSFT,0.1397699115044248,0.0,0.8904103720405862,0.3496285735101267
2014-05-02,MSFT,0.102,0.031,0.868,0.5574
2014-07-16,MSFT,0.0,0.0,1.0,0.0
2014-07-17,MSFT,0.0,0.139,0.861,-0.4019
2014-07-22,MSFT,0.197,0.0,0.803,0.7463999999999998
2014-07-23,MSFT,0.149,0.0,0.851,0.8221
2014-07-31,MSFT,0.08,0.0,0.9616666666666667,0.3903
2014-08-01,MSFT,0.174,0.0,0.826,0.802
2014-09-10,MSFT,0.148,0.075,0.777,0.4215
2014-09-17,MSFT,0.133,0.0,0.867,0.5994
2014-09-26,MSFT,0.103,0.0,0.897,0.4626
2014-10-20,MSFT,0.154,0.08,0.766,0.2549
2014-10-23,MSFT,0.158,0.0,0.9277763300760042,0.5608
2014-10-30,MSFT,0.0,0.0,1.0,0.0
2014-10-31,MSFT,0.0,0.0,1.0,0.0
2014-11-04,MSFT,0.065,0.0,0.935,0.2732
2014-11-17,MSFT,0.057,0.0,0.943,0.4019
2014-12-16,MSFT,0.104,0.0,0.8960000000000001,0.6249
2014-12-18,MSFT,0.20000000000000004,0.0,0.8000000000000002,0.3612
2015-01-21,MSFT,0.061,0.0,0.939,0.3167
2015-01-23,MSFT,0.121,0.0,0.879,0.5106
2015-01-26,MSFT,0.173,0.068,0.7579999999999999,0.684
2015-02-04,MSFT,0.0,0.0,1.0,0.0
2015-02-05,MSFT,0.051,0.0,0.9751672652642381,0.2074
2015-02-06,MSFT,0.276,0.0,0.724,0.8561
2015-02-26,MSFT,0.038,0.064,0.897,-0.25
2015-04-10,MSFT,0.267,0.0,0.733,0.9433
2015-04-20,MSFT,0.034,0.043,0.924,-0.1245
2015-04-23,MSFT,0.082,0.0,0.9607528675703858,0.3903
2015-04-24,MSFT,0.218,0.031,0.751,0.8663
2015-04-30,MSFT,0.154,0.069,0.9024924029262802,0.278
2015-05-01,MSFT,0.0,0.158,0.842,-0.709
2015-05-05,MSFT,0.0,0.0,1.0,0.0
2015-05-22,MSFT,0.026,0.0,0.974,0.10269999999999999
2015-06-01,MSFT,0.097,0.066,0.8370000000000001,0.1779
2015-06-02,MSFT,0.0,0.0,1.0,0.0
2015-06-03,MSFT,0.093,0.0,0.907,0.5994
2015-06-29,MSFT,0.108,0.083,0.914583195135434,0.128
2015-07-13,MSFT,0.038,0.0,0.962,0.25
2015-07-15,MSFT,0.045,0.045,0.909,0.0
2015-07-17,MSFT,0.0,0.062,0.938,-0.2132
2015-07-21,MSFT,0.055,0.0,0.945,0.2074
2015-07-22,MSFT,0.132,0.079,0.7890000000000001,0.2505
2015-07-27,MSFT,0.0,0.086,0.914,-0.5267
2015-07-30,MSFT,0.0,0.0,1.0,0.0
2015-07-31,MSFT,0.0,0.051,0.949,-0.10269999999999999
2015-10-22,MSFT,0.12722881355932203,0.0,0.9254797395079594,0.6967190616919099
2015-10-23,MSFT,0.11037313432835821,0.07910596026490066,0.8267961165048543,0.20650000000000002
2015-10-29,MSFT,0.0,0.0,1.0,0.0
2016-01-13,MSFT,0.045,0.133,0.822,-0.5651
2016-01-15,MSFT,0.139,0.087,0.7729999999999999,0.4721
2016-01-28,MSFT,0.148,0.12,0.8867344110854503,0.1849
2016-01-29,MSFT,0.079,0.127,0.7940000000000002,-0.39050000000000007
2016-02-04,MSFT,0.099,0.06,0.9273661053775123,0.164
2016-02-05,MSFT,0.08473964497041421,0.08065217391304348,0.8350766467065868,-0.1516
2016-02-08,MSFT,0.108,0.0,0.892,0.6249
2016-03-16,MSFT,0.0,0.133,0.867,-0.5574
2016-04-21,MSFT,0.11613946587537091,0.12372489082969432,0.8171232539030403,0.15553618918395032
2016-04-28,MSFT,0.08,0.066,0.9327486515641854,-0.092
2016-05-02,MSFT,0.102,0.0,0.898,0.2399
2016-06-01,MSFT,0.05600000000000001,0.0,0.944,0.296
2016-06-09,MSFT,0.109,0.068,0.823,0.3182
2016-06-13,MSFT,0.167,0.029,0.9072782705099779,0.1911
2016-07-19,MSFT,0.0,0.0,1.0,0.0
2016-10-20,MSFT,0.109,0.0,0.9486414595452142,0.4626
2016-10-21,MSFT,0.159,0.0,0.841,0.1783
2017-01-27,MSFT,0.0,0.0,1.0,0.0
